T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-3.23729,-4.40401,0.2159,0.74046,-0.72087,-0.08073,2.76699,-1.63503,-0.15628,0.96825,-0.05078,-0.05283,-0.09909,3.23542,0.43917,0.13521,1.17526,0.03699,-0.00608,0.1151,3.18041,8.39821,-2.42714,39.21489,-5.35794,-0.9357,1.14888,15.3216,12.9201,-0.97712,11.78503,-8.47892,-12.04403,-0.37735
0.02,-3.35368,-4.40921,0.18169,0.74433,-0.72805,-0.08145,2.69642,-1.67851,-0.16193,0.93083,-0.05085,-0.0552,-0.09525,3.1441,0.42908,0.13683,1.14162,0.03705,-0.00616,0.11128,3.19772,8.38477,-2.43184,39.07674,-5.32102,-0.963,1.12858,15.05635,13.0974,-0.98766,11.76834,-8.95756,-11.58518,-0.2846
0.04,-3.50645,-4.39737,0.138,0.74837,-0.73422,-0.08209,2.61694,-1.72652,-0.16796,0.88873,-0.05088,-0.05767,-0.09084,3.04514,0.41344,0.13833,1.10505,0.03705,-0.00602,0.10711,3.21752,8.35907,-2.43005,38.93808,-5.28297,-0.99051,1.10806,14.73687,13.26998,-0.99666,11.72669,-9.42592,-11.11097,-0.18236
0.06,-3.6895,-4.36437,0.08586,0.7528,-0.7392,-0.08268,2.53073,-1.77803,-0.17408,0.84327,-0.05088,-0.06013,-0.08603,2.94024,0.39043,0.1394,1.06643,0.03695,-0.0055,0.10268,3.23687,8.32116,-2.42118,38.80109,-5.24492,-1.01815,1.08763,14.37131,13.43012,-1,11.66359,-9.87702,-10.62862,-0.07268
0.08,-3.88448,-4.3126,0.02863,0.75884,-0.74276,-0.08323,2.44956,-1.82712,-0.18086,0.79814,-0.05101,-0.06253,-0.08132,2.84278,0.35889,0.14033,1.03052,0.03698,-0.00468,0.09856,3.25219,8.28023,-2.40816,38.66687,-5.20767,-1.04508,1.068,13.93985,13.57912,-0.98704,11.5862,-10.36395,-10.06836,0.05966
0.1,-4.09862,-4.22726,-0.03353,0.76411,-0.74542,-0.08384,2.35869,-1.88079,-0.18588,0.75248,-0.05103,-0.06451,-0.0765,2.73366,0.31651,0.13937,0.99206,0.03645,-0.00283,0.09416,3.26966,8.22594,-2.38488,38.54154,-5.1714,-1.07064,1.04908,13.5326,13.67626,-0.96528,11.4886,-10.74062,-9.61922,0.17045
0.12,-4.33917,-4.0955,-0.09977,0.76634,-0.74779,-0.08462,2.24193,-1.94762,-0.18655,0.70524,-0.05064,-0.06583,-0.07128,2.59121,0.26197,0.13528,0.94378,0.03468,0.00049,0.08865,3.28899,8.14777,-2.34669,38.43568,-5.13599,-1.09367,1.03098,13.29298,13.66931,-0.94702,11.38367,-10.84971,-9.52181,0.19918
0.14,-4.57443,-3.93196,-0.16256,0.76744,-0.74961,-0.08559,2.12614,-2.01576,-0.18536,0.66311,-0.05026,-0.06675,-0.06664,2.44877,0.19788,0.13029,0.89568,0.03251,0.00442,0.08326,3.30931,8.06418,-2.30012,38.34177,-5.10345,-1.1141,1.01439,13.12942,13.60534,-0.91335,11.27812,-10.85644,-9.55925,0.19533
0.16,-4.77702,-3.75386,-0.21439,0.76924,-0.75067,-0.08677,2.03793,-2.07446,-0.18455,0.63281,-0.05026,-0.06741,-0.06354,2.33689,0.12889,0.12569,0.85829,0.03059,0.00847,0.07923,3.33149,7.98661,-2.24978,38.26041,-5.07555,-1.13158,0.99991,12.95545,13.50841,-0.84928,11.1774,-10.89919,-9.53856,0.20454
0.18,-4.94008,-3.56328,-0.25083,0.77294,-0.75042,-0.08815,1.98587,-2.12372,-0.184,0.61716,-0.05072,-0.06781,-0.06224,2.26062,0.05996,0.12143,0.83344,0.02893,0.01256,0.07673,3.34432,7.92928,-2.20509,38.22172,-5.05149,-1.14412,0.98786,12.79435,13.40193,-0.75846,11.08751,-10.94337,-9.50045,0.21938
0.2,-5.07191,-3.34892,-0.27216,0.77021,-0.75184,-0.09001,1.94719,-2.17391,-0.18258,0.61385,-0.05143,-0.06797,-0.06262,2.20178,-0.01016,0.11705,0.81568,0.02711,0.01704,0.07527,3.38164,7.85286,-2.14358,38.15936,-5.037,-1.15448,0.97793,12.6696,13.21714,-0.6469,10.98614,-10.93503,-9.53069,0.21374
0.22,-5.18926,-3.09721,-0.27832,0.7531,-0.7579,-0.09263,1.89723,-2.23647,-0.17915,0.61995,-0.05221,-0.06801,-0.0645,2.14121,-0.08258,0.11232,0.79752,0.02471,0.02213,0.07415,3.48558,7.72186,-2.04575,38.01221,-5.03259,-1.16279,0.96919,12.59435,12.88635,-0.5213,10.85022,-10.8316,-9.70095,0.16276
0.24,-5.28183,-2.8264,-0.26187,0.72754,-0.76597,-0.09566,1.8648,-2.30106,-0.17501,0.64024,-0.05334,-0.06789,-0.06829,2.10322,-0.14775,0.10786,0.78632,0.02231,0.02729,0.07406,3.60716,7.57493,-1.93901,37.84431,-5.04169,-1.16785,0.96319,12.53169,12.49552,-0.38374,10.69916,-10.6722,-9.93467,0.09374
0.26,-5.33584,-2.55652,-0.21803,0.6999,-0.7738,-0.09882,1.87756,-2.35695,-0.17134,0.67931,-0.05506,-0.06749,-0.07437,2.1114,-0.19711,0.10385,0.7909,0.02039,0.03237,0.07586,3.7125,7.45275,-1.84972,37.72443,-5.06287,-1.16589,0.96077,12.44714,12.12249,-0.2374,10.55252,-10.50793,-10.14518,0.03321
0.28,-5.34855,-2.29026,-0.14724,0.67409,-0.78068,-0.10199,1.93753,-2.40289,-0.16762,0.7377,-0.05733,-0.0666,-0.08279,2.16723,-0.2282,0.10005,0.8108,0.01884,0.03772,0.07933,3.82162,7.37442,-1.79078,37.69281,-5.0803,-1.14819,0.95955,12.29362,11.77682,-0.08744,10.38072,-10.36378,-10.31517,-0.01878
0.3,-5.36304,-2.00532,-0.05087,0.63176,-0.79072,-0.10527,2.00107,-2.44685,-0.16247,0.80479,-0.05961,-0.06504,-0.09227,2.23722,-0.24556,0.09517,0.8364,0.01727,0.04341,0.08358,3.91035,7.25787,-1.71829,37.59211,-5.14656,-1.1397,0.96559,12.18873,11.42335,0.04418,10.23133,-10.12156,-10.56201,-0.08379
0.32,-5.4431,-1.6766,0.07216,0.55197,-0.80959,-0.10887,2.01416,-2.4967,-0.15428,0.86597,-0.06126,-0.06259,-0.10099,2.27817,-0.25605,0.08732,0.85443,0.0153,0.04934,0.08737,3.98014,7.0044,-1.57989,37.26081,-5.31389,-1.16023,0.98565,12.23558,11.03163,0.13154,10.14757,-9.60538,-11.04005,-0.18709
0.34,-5.54992,-1.32438,0.2201,0.4575,-0.83178,-0.11235,2.01569,-2.5341,-0.14328,0.92783,-0.06253,-0.05885,-0.10957,2.31797,-0.25311,0.07672,0.87121,0.01317,0.05565,0.09097,4.04674,6.67788,-1.42261,36.85743,-5.53476,-1.1912,1.01207,12.28213,10.67012,0.18362,10.0697,-8.98211,-11.55791,-0.29504
0.36,-5.63389,-0.97716,0.38598,0.3679,-0.85317,-0.11534,2.03907,-2.54799,-0.13018,0.99529,-0.0636,-0.0537,-0.11851,2.38212,-0.23275,0.06393,0.893,0.01098,0.06264,0.09464,4.12054,6.35738,-1.29257,36.53794,-5.76389,-1.21098,1.03892,12.24378,10.407,0.2063,9.95985,-8.3887,-11.98613,-0.38282
0.38,-5.712,-0.64209,0.56371,0.27701,-0.87759,-0.11805,2.05499,-2.54961,-0.11498,1.0575,-0.06418,-0.04773,-0.1265,2.4475,-0.20206,0.04831,0.91125,0.00835,0.07035,0.09741,4.24717,6.03822,-1.18227,36.31201,-5.98436,-1.19312,1.06659,12.14993,10.27278,0.18305,9.8117,-7.64813,-12.4679,-0.47047
0.4,-5.74954,-0.29781,0.74453,0.18743,-0.89903,-0.11965,2.07738,-2.52859,-0.09713,1.1198,-0.0641,-0.04,-0.13417,2.51664,-0.163,0.02893,0.92611,0.00527,0.07859,0.09923,4.3103,5.59245,-1.04735,35.97984,-6.28761,-1.23237,1.09612,12.10783,10.14959,0.13448,9.69782,-7.10523,-12.73865,-0.52425
0.42,-5.70533,0.07871,0.921,0.10188,-0.91114,-0.11932,2.12509,-2.47742,-0.07602,1.18779,-0.06316,-0.02917,-0.14208,2.59113,-0.11984,0.00445,0.93764,0.00189,0.08697,0.10032,4.16884,4.79702,-0.8241,35.28817,-6.79405,-1.45355,1.13313,12.25056,9.89021,0.08653,9.71459,-7.21435,-12.51331,-0.51523
