T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.02464,-0.00052,0.0084,0.04678,0,0.01793,-0.03059,-0.0278,-0.02395,-0.01733,0.06372,0.09707,-0.12698,-0.1627,0.62649,0.20242,-0.10448,0.00037,-0.11408,-0.2629,-0.04962,0.05328,-0.03081,0.10074,0.08299,-0.00539,0.04337,-0.03939,-0.02029,-0.00693,-0.0224,0.02577,-0.00691,0.06367,0.05681,1.53906,-0.0398,0.16336,-0.55273,-1.59549
0.02,0.02494,-0.00067,0.00846,0.04633,0,0.01773,-0.03308,-0.02937,-0.02305,-0.01409,0.06755,0.10209,-0.15035,-0.17414,0.5941,0.18975,-0.10278,0.0035,-0.10491,-0.29709,-0.04815,0.12924,-0.05018,0.10919,0.07706,-0.01261,0.04499,-0.0403,-0.02476,-0.00801,-0.02251,0.02652,-0.00909,0.06379,0.05397,1.4775,-0.03878,0.15758,-0.53361,-1.53485
0.04,0.02484,-0.00076,0.00829,0.04521,0,0.01611,-0.03632,-0.03035,-0.02177,-0.00753,0.07231,0.1073,-0.1841,-0.18717,0.53282,0.1676,-0.09908,0.0075,-0.08963,-0.3427,-0.04572,0.23832,-0.07639,0.11983,0.06729,-0.02237,0.04542,-0.03981,-0.03051,-0.00786,-0.02226,0.0268,-0.01148,0.06259,0.0499,1.35874,-0.03651,0.14594,-0.49543,-1.41665
0.06,0.02437,-0.00075,0.00787,0.04382,0,0.01258,-0.04053,-0.03042,-0.02049,0.00311,0.07842,0.11298,-0.23006,-0.20216,0.44285,0.13645,-0.094,0.0121,-0.06865,-0.40133,-0.0428,0.38132,-0.10911,0.13332,0.05407,-0.03441,0.04425,-0.03761,-0.03774,-0.00571,-0.02173,0.02655,-0.01389,0.06019,0.04531,1.1863,-0.03307,0.12879,-0.43952,-1.2448
0.08,0.02356,-0.00058,0.00719,0.04269,0,0.00664,-0.04588,-0.02918,-0.01973,0.01854,0.08626,0.11928,-0.28927,-0.21907,0.32632,0.09757,-0.08841,0.01684,-0.04298,-0.47333,-0.04003,0.55557,-0.14706,0.15017,0.03822,-0.0481,0.04098,-0.03333,-0.04655,-0.00061,-0.02104,0.02567,-0.01605,0.05675,0.04117,0.96797,-0.02862,0.10687,-0.36862,-1.02759
0.1,0.02248,-0.00016,0.00622,0.04242,0,-0.00227,-0.05243,-0.02613,-0.02012,0.03932,0.09605,0.12621,-0.36181,-0.23747,0.18759,0.05311,-0.08342,0.02106,-0.01421,-0.5576,-0.03822,0.75444,-0.18793,0.17056,0.02095,-0.0624,0.035,-0.02653,-0.05684,0.00852,-0.02032,0.02404,-0.01752,0.05249,0.03873,0.71642,-0.02345,0.08143,-0.28704,-0.77819
0.12,0.02115,0.00058,0.00496,0.04363,0,-0.01467,-0.0602,-0.02074,-0.02227,0.06599,0.10797,0.1336,-0.44712,-0.25656,0.03215,0.00566,-0.08024,0.02402,0.01578,-0.65216,-0.03823,0.96922,-0.22879,0.19433,0.00367,-0.07608,0.02565,-0.01672,-0.06817,0.0228,-0.01968,0.02152,-0.01776,0.04763,0.03936,0.44669,-0.01785,0.05389,-0.1999,-0.51209
0.14,0.01962,0.00171,0.00336,0.04678,0,-0.03107,-0.06918,-0.01248,-0.02656,0.09907,0.12213,0.14113,-0.54469,-0.27559,-0.13524,-0.04251,-0.07997,0.02512,0.04552,-0.75531,-0.04081,1.19238,-0.26697,0.22105,-0.01241,-0.08807,0.01229,-0.00324,-0.07966,0.04325,-0.01922,0.01794,-0.01608,0.04234,0.04427,0.17205,-0.01207,0.02549,-0.11178,-0.2428
0.16,0.01788,0.00331,0.00139,0.05203,0,-0.05184,-0.07938,-0.00098,-0.03304,0.13904,0.13862,0.14837,-0.65409,-0.29385,-0.31134,-0.08984,-0.08346,0.02402,0.07425,-0.86596,-0.04642,1.419,-0.30041,0.24987,-0.02656,-0.09766,-0.00564,0.01471,-0.08979,0.07063,-0.01899,0.01312,-0.01164,0.03667,0.05437,-0.09789,-0.00627,-0.00293,-0.02609,0.02021
0.18,0.01594,0.0054,-0.00098,0.05916,0,-0.07706,-0.0907,0.01394,-0.04128,0.18603,0.15735,0.15468,-0.77428,-0.3107,-0.49325,-0.13518,-0.09126,0.02068,0.10178,-0.983,-0.05525,1.64548,-0.32754,0.27934,-0.03842,-0.10448,-0.02845,0.03793,-0.09629,0.10522,-0.01895,0.00691,-0.00352,0.03063,0.07012,-0.35569,-0.00054,-0.03079,0.05444,0.27004
