T,RGRFx,RGRFy,RGRFz,RGRTx,RGRTy,RGRTz,LGRFx,LGRFy,LGRFz,LGRTx,LGRTy,LGRTz
0,0.00343,0.5549,-0.00513,0.01019,0.00014,0.01029,0.0017,0.44403,-0.00257,0.01019,0.00014,0.01029
0.02,0.00285,0.54799,-0.00515,0.01019,0.00014,0.01015,0.00139,0.45094,-0.00269,0.01019,0.00014,0.01015
0.04,0.00229,0.54108,-0.00514,0.01019,0.00014,0.00997,0.0011,0.45786,-0.0028,0.01019,0.00014,0.00997
0.06,0.00177,0.53424,-0.00507,0.01019,0.00013,0.00974,0.00083,0.46471,-0.00291,0.01019,0.00013,0.00974
0.08,0.0013,0.52761,-0.00495,0.01019,0.00013,0.00946,0.0006,0.47135,-0.00302,0.01019,0.00013,0.00946
0.1,0.00089,0.52135,-0.00476,0.01019,0.00012,0.00911,0.0004,0.4776,-0.00311,0.01019,0.00012,0.00911
0.12,0.00056,0.51568,-0.00452,0.01019,0.00011,0.0087,0.00024,0.48328,-0.00316,0.01019,0.00011,0.0087
0.14,0.00031,0.51077,-0.00423,0.01018,0.0001,0.00825,0.00012,0.4882,-0.00318,0.01018,0.0001,0.00825
0.16,0.00012,0.50671,-0.00392,0.01018,9e-05,0.00776,4e-05,0.49226,-0.00314,0.01018,9e-05,0.00776
0.18,-1e-05,0.50353,-0.0036,0.01018,7e-05,0.00725,-2e-05,0.49545,-0.00305,0.01018,7e-05,0.00725
0.2,-9e-05,0.50116,-0.00327,0.01018,6e-05,0.00674,-6e-05,0.49782,-0.00292,0.01018,6e-05,0.00674
0.22,-0.00014,0.49951,-0.00296,0.01019,5e-05,0.00624,-8e-05,0.49947,-0.00277,0.01019,5e-05,0.00624
0.24,-0.00016,0.49845,-0.00267,0.01019,4e-05,0.00576,-8e-05,0.50053,-0.00259,0.01019,4e-05,0.00576
0.26,-0.00015,0.49786,-0.0024,0.0102,3e-05,0.0053,-8e-05,0.50113,-0.0024,0.0102,3e-05,0.0053
0.28,-0.00014,0.49761,-0.00216,0.01021,2e-05,0.00488,-7e-05,0.50138,-0.00222,0.01021,2e-05,0.00488
0.3,-0.00012,0.4976,-0.00196,0.01022,1e-05,0.00449,-6e-05,0.50139,-0.00204,0.01022,1e-05,0.00449
0.32,-0.0001,0.49774,-0.00177,0.01023,1e-05,0.00413,-5e-05,0.50125,-0.00186,0.01023,1e-05,0.00413
0.34,-8e-05,0.49798,-0.00161,0.01024,1e-05,0.00381,-4e-05,0.50101,-0.0017,0.01024,1e-05,0.00381
0.36,-6e-05,0.49825,-0.00146,0.01026,0,0.00353,-3e-05,0.50074,-0.00155,0.01026,0,0.00353
0.38,-4e-05,0.49853,-0.00133,0.01027,0,0.00327,-2e-05,0.50047,-0.0014,0.01027,0,0.00327
0.4,-2e-05,0.49878,-0.0012,0.01027,-0,0.00304,-1e-05,0.50021,-0.00126,0.01027,-0,0.00304
0.42,-1e-05,0.499,-0.00108,0.01027,-0,0.00285,-0,0.49999,-0.00113,0.01027,-0,0.00285
0.44,-0,0.49918,-0.00096,0.01026,-0,0.00268,-0,0.49981,-0.00099,0.01026,-0,0.00268
0.46,0,0.49932,-0.00084,0.01022,-0,0.00253,0,0.49967,-0.00086,0.01022,-0,0.00253
0.48,0,0.49943,-0.00072,0.01017,-0,0.0024,0,0.49957,-0.00074,0.01017,-0,0.0024
0.5,1e-05,0.4995,-0.00061,0.01008,-0,0.0023,0,0.49949,-0.00061,0.01008,-0,0.0023
0.52,1e-05,0.49955,-0.0005,0.00997,-0,0.00221,0,0.49945,-0.0005,0.00997,-0,0.00221
0.54,1e-05,0.49957,-0.0004,0.00981,-0,0.00214,0,0.49942,-0.0004,0.00981,-0,0.00214
0.56,1e-05,0.49959,-0.00031,0.00961,-0,0.00209,1e-05,0.49941,-0.00031,0.00961,-0,0.00209
0.58,1e-05,0.49959,-0.00023,0.00937,-0,0.00205,1e-05,0.49941,-0.00023,0.00937,-0,0.00205
0.6,1e-05,0.49958,-0.00017,0.0091,-0,0.00203,1e-05,0.49942,-0.00016,0.0091,-0,0.00203
0.62,1e-05,0.49957,-0.00012,0.00879,-0,0.00202,1e-05,0.49943,-0.00011,0.00879,-0,0.00202
0.64,1e-05,0.49955,-8e-05,0.00846,-0,0.00202,1e-05,0.49944,-7e-05,0.00846,-0,0.00202
0.66,1e-05,0.49954,-5e-05,0.0081,-0,0.00204,1e-05,0.49946,-4e-05,0.0081,-0,0.00204
0.68,1e-05,0.49953,-3e-05,0.00774,0,0.00206,1e-05,0.49947,-2e-05,0.00774,0,0.00206
0.7,1e-05,0.49952,-1e-05,0.00737,0,0.0021,1e-05,0.49948,-1e-05,0.00737,0,0.0021
0.72,1e-05,0.49951,-0,0.00699,0,0.00215,1e-05,0.49949,-0,0.00699,0,0.00215
0.74,1e-05,0.49951,0,0.00663,0,0.0022,1e-05,0.49949,0,0.00663,0,0.0022
0.76,1e-05,0.4995,0,0.00627,0,0.00227,1e-05,0.4995,1e-05,0.00627,0,0.00227
0.78,1e-05,0.4995,0,0.00593,0,0.00234,1e-05,0.4995,1e-05,0.00593,0,0.00234
0.8,1e-05,0.4995,0,0.0056,0,0.00243,1e-05,0.4995,0,0.0056,0,0.00243
0.82,1e-05,0.4995,0,0.00529,0,0.00251,1e-05,0.4995,0,0.00529,0,0.00251
