T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.0059,-0.04712,-0.00294,0.49523,-0.01312,-0.00346,3.03583,1.63661,-0.19456,1.88236,6.75995,1.40474,-0.01008,2.71183,0.20945,0.05732,1.73768,-0.02433,0.14454,-0.00402,-7.76852,1.05159,-3.15696,19.08842,0.30737,0.02984,-3.33523,0.86487,0.3702,-0.11006,-11.72007,-1.65591,-0.01359,0.03606
0.02,-0.33292,-0.04661,-0.00691,0.50414,-0.01713,-0.00404,2.91312,1.75103,-0.18112,1.87211,6.36036,1.40352,-0.01205,2.4917,0.26173,0.07802,1.68749,-0.02855,0.12584,-0.00409,-7.7465,1.12862,-2.77121,18.16728,0.41457,0.1067,-2.58684,0.82022,0.16428,-0.19966,-10.04785,-1.84786,-0.00064,0.02903
0.04,-0.71833,-0.03702,-0.01351,0.50838,-0.02138,-0.00467,2.64866,1.86395,-0.15313,1.83479,5.6392,1.35502,-0.01431,2.10514,0.32133,0.09765,1.5915,-0.03311,0.1,-0.00408,-7.59424,1.12656,-2.31118,16.93749,0.52513,0.21339,-1.87304,0.66967,-0.03454,-0.32447,-7.08712,-1.98078,0.0132,0.01951
0.06,-1.13739,-0.01106,-0.02325,0.50718,-0.02545,-0.00528,2.23614,1.97994,-0.11048,1.79009,4.63783,1.26942,-0.01671,1.56087,0.38672,0.11515,1.46503,-0.03754,0.06968,-0.00396,-7.33424,1.05842,-1.82138,15.47413,0.63362,0.34688,-1.24015,0.33198,-0.199,-0.49443,-2.77109,-2.03422,0.02682,0.00764
0.08,-1.55639,0.04036,-0.0359,0.49939,-0.02877,-0.00575,1.6752,2.09846,-0.05497,1.75564,3.46069,1.16683,-0.01898,0.88135,0.44999,0.1247,1.31797,-0.04157,0.03866,-0.00369,-6.94997,0.94415,-1.32748,13.81472,0.73724,0.49685,-0.68078,-0.24719,-0.28102,-0.70189,2.84178,-1.98922,0.03768,-0.00644
0.1,-1.92539,0.12634,-0.05008,0.4822,-0.03099,-0.00595,0.97418,2.2329,0.01006,1.75821,2.20846,1.05479,-0.02098,0.09954,0.51088,0.13257,1.18318,-0.04436,0.01103,-0.00334,-6.53551,0.8174,-0.91148,12.10513,0.81668,0.65128,-0.31552,-1.18967,-0.32102,-0.97513,9.45801,-1.8475,0.04714,-0.02267
0.12,-2.19326,0.25238,-0.0636,0.45212,-0.03203,-0.00575,0.14515,2.3996,0.07914,1.8221,1.05665,0.94013,-0.02254,-0.75192,0.56775,0.15083,1.09317,-0.04493,-0.00884,-0.00306,-6.19871,0.72237,-0.6092,10.47903,0.85187,0.80019,-0.17502,-2.69277,-0.32574,-1.33877,16.14327,-1.61245,0.05594,-0.04201
0.14,-2.31621,0.41567,-0.07324,0.41018,-0.03137,-0.0051,-0.80051,2.59257,0.14737,1.95682,0.20775,0.85062,-0.02311,-1.65287,0.59986,0.16867,1.04531,-0.04402,-0.01792,-0.00279,-5.84178,0.66606,-0.37455,8.90466,0.8465,0.92372,-0.10945,-4.58084,-0.21601,-1.69157,22.33298,-1.27623,0.05728,-0.06456
0.16,-2.26453,0.60215,-0.07641,0.35791,-0.02892,-0.00401,-1.8487,2.80439,0.2125,2.16447,-0.25413,0.80006,-0.02224,-2.60123,0.59033,0.17626,1.03517,-0.04253,-0.01535,-0.00249,-5.38666,0.64415,-0.19181,7.35365,0.80498,1.00072,-0.05291,-6.62262,-0.00882,-1.97149,28.01695,-0.84345,0.04672,-0.08938
0.18,-2.03364,0.78907,-0.07337,0.29566,-0.02544,-0.00262,-2.98606,3.03226,0.27179,2.43634,-0.31441,0.7795,-0.01973,-3.61248,0.53607,0.17849,1.06518,-0.04012,-0.00137,-0.00219,-4.85917,0.66365,-0.06789,5.84365,0.72704,1.01769,-0.0134,-8.92187,0.24074,-2.19336,33.11861,-0.33435,0.02425,-0.117
0.2,-1.60626,0.93602,-0.06229,0.23148,-0.02104,-0.00115,-4.1919,3.30828,0.32908,2.82054,-0.00119,0.78802,-0.01551,-4.72869,0.4513,0.19671,1.2,-0.03654,0.02312,-0.00202,-4.33336,0.72223,-0.0049,4.57554,0.60776,0.98208,0.00727,-10.7736,0.48049,-2.27205,36.69849,0.21841,-0.00871,-0.14206
