T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-7.90408,-0.74782,-0.08572,0.24301,-0.50561,-0.05735,1.83488,-1.40988,-0.05108,0.8205,-0.03282,-0.02524,-0.09202,2.42925,0.22587,-0.01032,0.97903,0.01338,0.01623,0.09789,14.93075,-16.19165,0.39448,7.1174,-8.74729,4.61471,0.49716,16.37993,14.08283,0.13318,8.98947,-10.30191,-3.60207,-0.27779
0.02,-7.93,-0.71752,-0.08432,0.24718,-0.50589,-0.05709,1.8521,-1.40284,-0.05222,0.82825,-0.03269,-0.02498,-0.09259,2.44191,0.21573,-0.01216,0.98646,0.01212,0.01673,0.0994,14.86771,-16.15437,0.34965,7.32752,-8.91166,4.2853,0.44717,16.41739,14.07973,0.1439,8.93048,-10.3277,-3.61714,-0.2862
0.04,-7.95542,-0.68401,-0.07646,0.2506,-0.50703,-0.05678,1.86957,-1.40018,-0.05393,0.83547,-0.03268,-0.02496,-0.09311,2.45635,0.2156,-0.01312,0.99403,0.01107,0.01674,0.10105,14.7885,-16.09756,0.28455,7.52554,-9.06706,3.95615,0.39739,16.44564,14.07985,0.15483,8.86868,-10.35459,-3.63205,-0.2944
0.06,-7.9802,-0.64993,-0.06082,0.25314,-0.50931,-0.05648,1.8883,-1.40149,-0.05631,0.84256,-0.03282,-0.02516,-0.09361,2.47225,0.22674,-0.01281,1.00156,0.01038,0.01615,0.10282,14.70295,-16.02057,0.2002,7.70062,-9.20758,3.64366,0.34937,16.47274,14.08001,0.16563,8.81165,-10.38163,-3.64622,-0.30254
0.08,-8.00699,-0.60624,-0.03726,0.2545,-0.51186,-0.05608,1.91066,-1.40712,-0.05923,0.85117,-0.03307,-0.02549,-0.09422,2.49171,0.25559,-0.01091,1.00961,0.00995,0.01487,0.10483,14.60251,-15.91322,0.09606,7.94265,-9.37455,3.22881,0.29346,16.49062,14.07624,0.17913,8.73732,-10.40887,-3.6592,-0.3121
0.1,-8.04049,-0.57684,-0.00303,0.25352,-0.51743,-0.05594,1.93573,-1.41458,-0.06312,0.85934,-0.03363,-0.02613,-0.0949,2.51013,0.28987,-0.0068,1.01664,0.01045,0.0127,0.10668,14.54259,-15.8194,-0.01294,8.03271,-9.46337,3.01872,0.25431,16.51146,14.07986,0.18891,8.69837,-10.43473,-3.67058,-0.31864
0.12,-8.09243,-0.59387,0.0449,0.24832,-0.52912,-0.05643,1.96342,-1.42008,-0.06857,0.86477,-0.03468,-0.02734,-0.09559,2.52259,0.31475,0.00033,1.02015,0.01259,0.00934,0.1078,14.57839,-15.81916,-0.10652,7.67079,-9.34087,3.43488,0.26277,16.55748,14.12239,0.18739,8.76478,-10.4571,-3.67808,-0.31534
0.14,-8.15514,-0.62869,0.10313,0.2399,-0.54357,-0.05721,1.99716,-1.42668,-0.07494,0.87107,-0.03601,-0.02885,-0.09651,2.53555,0.346,0.0105,1.02117,0.01569,0.00487,0.10859,14.60555,-15.86602,-0.18707,7.13225,-9.11802,4.0471,0.28991,16.60975,14.16974,0.18227,8.86827,-10.4762,-3.68331,-0.30883
0.16,-8.22694,-0.65777,0.16745,0.22863,-0.55801,-0.05797,2.04049,-1.43538,-0.08155,0.8817,-0.03744,-0.0304,-0.09793,2.55525,0.39462,0.0233,1.02188,0.01921,-0.00045,0.10952,14.59714,-15.91005,-0.25317,6.67331,-8.91465,4.52863,0.31007,16.65812,14.20765,0.18008,8.95601,-10.49198,-3.68752,-0.30408
0.18,-8.31251,-0.69438,0.23576,0.21416,-0.5723,-0.05875,2.09463,-1.44147,-0.08858,0.89641,-0.03901,-0.03196,-0.09988,2.58051,0.45335,0.03853,1.02222,0.02315,-0.00639,0.11044,14.58794,-16.00891,-0.29406,6.05983,-8.61024,5.13881,0.33881,16.72943,14.25412,0.17837,9.06314,-10.50389,-3.688,-0.29753
0.2,-8.40058,-0.73455,0.30663,0.1964,-0.58746,-0.0597,2.15676,-1.45168,-0.09532,0.91486,-0.04059,-0.03363,-0.10233,2.61512,0.51533,0.05615,1.0221,0.02768,-0.01311,0.11147,14.57093,-16.07531,-0.31049,5.67678,-8.40656,5.50749,0.35887,16.77588,14.27822,0.1768,9.15262,-10.51107,-3.69025,-0.29346
0.22,-8.47424,-0.77008,0.37914,0.17514,-0.60463,-0.06097,2.22221,-1.4743,-0.1008,0.93635,-0.04199,-0.03546,-0.10517,2.66284,0.57144,0.0762,1.02016,0.03297,-0.0208,0.11262,14.57433,-15.98462,-0.30542,6.08739,-8.61822,5.15534,0.34344,16.73075,14.2484,0.17581,9.16957,-10.51301,-3.70129,-0.29717
0.24,-8.54932,-0.81143,0.44706,0.15099,-0.62144,-0.06238,2.29404,-1.50002,-0.10547,0.96147,-0.0433,-0.03725,-0.10848,2.72287,0.61936,0.09761,1.01805,0.03852,-0.02877,0.1138,14.57393,-15.86954,-0.28637,6.72787,-8.93215,4.55906,0.31865,16.6611,14.19662,0.17456,9.16667,-10.51035,-3.71438,-0.30356
0.26,-8.63761,-0.86177,0.50302,0.12433,-0.63539,-0.06367,2.37362,-1.52158,-0.1098,0.99028,-0.04458,-0.03888,-0.11231,2.79224,0.65404,0.11904,1.0186,0.04389,-0.0362,0.11514,14.56519,-15.79709,-0.26085,7.2079,-9.1466,4.08996,0.30216,16.61674,14.15453,0.17297,9.18031,-10.50428,-3.72337,-0.3085
0.28,-8.7425,-0.92789,0.54363,0.09344,-0.64858,-0.06514,2.45591,-1.54078,-0.11378,1.02083,-0.04573,-0.0405,-0.11648,2.86645,0.66028,0.14005,1.02035,0.04912,-0.04283,0.11642,14.53881,-15.71597,-0.24108,7.77978,-9.3789,3.4942,0.27935,16.57801,14.11123,0.17022,9.19618,-10.49437,-3.73066,-0.3136
