T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.02485,-0.00504,0.02086,0.05189,0,-0.00837,-0.0989,0.0638,0.10678,0.26011,0.17347,-0.06913,-1.54893,-0.45659,-2.72152,-0.51315,-0.42202,0,0.36814,-1.97534,0.2744,1.58955,-1.38256,-1.52449,-2.51189,-0.8841,-0.04388,-0.02776,-1.19277,0.0292,0.16189,0.42231,1.11502,-0.03003,0.00108,0.01126,0.0035,0.03378,0.02825,-0.04136
0.02,-0.02473,-0.00521,0.02093,0.05107,0,-0.00801,-0.10531,0.06271,0.1061,0.27047,0.18062,-0.07036,-1.59191,-0.47397,-2.96406,-0.50625,-0.46661,-0.01628,0.38061,-2.04266,0.266,2.26087,-1.36615,-1.42433,-2.43702,-0.85406,-0.0436,-0.02665,-1.13793,0.02814,0.15712,0.40466,1.06105,-0.03045,0.00062,0.01094,0.00434,0.03393,0.02695,-0.04054
0.04,-0.02413,-0.00532,0.0206,0.04888,0,-0.00734,-0.11197,0.05998,0.10346,0.27879,0.18623,-0.07025,-1.61934,-0.48768,-3.23688,-0.48631,-0.5179,-0.03833,0.38895,-2.0945,0.25085,3.11122,-1.31523,-1.26365,-2.28641,-0.79684,-0.04237,-0.0245,-1.03715,0.02609,0.14718,0.37186,0.96299,-0.03045,-2e-05,0.01028,0.00538,0.03344,0.02468,-0.03853
0.06,-0.02315,-0.00537,0.01991,0.0454,0,-0.00641,-0.1188,0.05584,0.09937,0.28499,0.18998,-0.06862,-1.63325,-0.49758,-3.53538,-0.45457,-0.57464,-0.06548,0.39256,-2.13284,0.23115,4.09762,-1.23294,-1.05522,-2.07011,-0.71663,-0.04034,-0.02131,-0.89315,0.02311,0.13248,0.32533,0.82344,-0.03012,-0.00078,0.00938,0.00659,0.03234,0.02165,-0.03544
0.08,-0.02194,-0.00533,0.0189,0.04077,0,-0.00529,-0.12547,0.05063,0.09453,0.28861,0.19128,-0.06526,-1.6349,-0.50299,-3.84429,-0.41306,-0.63353,-0.09619,0.39031,-2.15797,0.2101,5.13869,-1.12452,-0.81978,-1.80482,-0.62026,-0.03769,-0.01717,-0.71224,0.01933,0.11381,0.26779,0.64844,-0.02958,-0.00159,0.00843,0.00789,0.03072,0.01815,-0.03145
0.1,-0.02068,-0.00518,0.01763,0.0352,0,-0.00408,-0.13139,0.04482,0.08982,0.28886,0.18921,-0.05988,-1.62464,-0.50259,-4.13699,-0.36475,-0.68908,-0.12801,0.38062,-2.16828,0.19173,6.11406,-0.99741,-0.58593,-1.51421,-0.51727,-0.03468,-0.01223,-0.50485,0.01498,0.09235,0.20334,0.44806,-0.02893,-0.00236,0.00762,0.00915,0.02868,0.01457,-0.02684
0.12,-0.01955,-0.0049,0.01619,0.02902,0,-0.00288,-0.13579,0.03894,0.08615,0.28473,0.18283,-0.05227,-1.60205,-0.49482,-4.38113,-0.31296,-0.7347,-0.15798,0.36191,-2.16088,0.18022,6.88814,-0.86013,-0.38409,-1.22452,-0.41815,-0.03159,-0.00674,-0.28395,0.01034,0.06954,0.1368,0.2348,-0.02828,-0.00296,0.00712,0.01023,0.02631,0.01136,-0.0219
0.14,-0.01868,-0.00447,0.01464,0.02261,0,-0.00178,-0.13805,0.03341,0.08423,0.27528,0.17141,-0.04235,-1.56629,-0.47836,-4.54833,-0.26063,-0.76461,-0.1835,0.33326,-2.13272,0.17861,7.34991,-0.7202,-0.23687,-0.95731,-0.33145,-0.02866,-0.00095,-0.06225,0.00569,0.04666,0.07239,0.02088,-0.02767,-0.00333,0.00693,0.01098,0.02372,0.00885,-0.01688
0.16,-0.01811,-0.0039,0.01302,0.01644,0,-0.0008,-0.13777,0.02848,0.08447,0.25986,0.1548,-0.03034,-1.51644,-0.45261,-4.6204,-0.20993,-0.77503,-0.20277,0.29506,-2.08149,0.18795,7.43925,-0.58322,-0.15281,-0.7254,-0.26202,-0.02605,0.00485,0.14895,0.00133,0.02475,0.01312,-0.18295,-0.02707,-0.00345,0.00683,0.01128,0.02095,0.00719,-0.01195
0.18,-0.0178,-0.00322,0.01141,0.01113,0,6e-05,-0.13485,0.02428,0.08688,0.23831,0.13357,-0.01679,-1.45196,-0.41793,-4.5901,-0.16249,-0.76438,-0.21476,0.24935,-2.00618,0.20704,7.15182,-0.45365,-0.12552,-0.53361,-0.21117,-0.02386,0.01031,0.33845,-0.00245,0.00469,-0.0389,-0.36609,-0.02635,-0.00337,0.00631,0.01101,0.01804,0.00633,-0.00718
