T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0,0.00258,0,0,0,0.03355,0,0,0,0,0,0,0.0363,0.01931,0.00381,0,0.00654,0,0.00853,0.08769,0,0.01393,0.06919,0,0.1635,0.11783,0.06328,0.01696,0,0.04468,0,0,0,0.00229,0.00861,0,0.01139,0.0036,0.0003,0,0.02438,0.00137,0.0586,0.00982,0.00893,0.00588,0,0,0,0.07058,0,0.01185,0,0,0.01888,0,0,0.1211,0,0,0,0,0.02953,0,0.13511,0.15171,0.10195
0.02,0,0,0.00256,0,0,0,0.0333,0,0,0,0,0,0,0.0361,0.01875,0.00362,0,0.00695,0,0.00861,0.08771,0,0.01356,0.06926,0,0.16277,0.1176,0.06348,0.01688,0,0.04509,0,0,0,0.00265,0.00821,0,0.01099,0.00332,0.00025,0,0.02427,0.00144,0.05914,0.01132,0.00881,0.00588,0,0,0,0.0698,0,0.01191,0,0,0.01894,0,0,0.1212,0,0,0,0,0.03005,0,0.13531,0.15221,0.10234
0.04,0,0,0.0025,0,0,0,0.03267,0,0,0,0,0,0,0.03542,0.01814,0.00352,0,0.00732,0,0.00857,0.08767,0,0.01314,0.06932,0,0.16204,0.11733,0.06364,0.01678,0,0.0455,0,0,0,0.00305,0.00779,0,0.01044,0.00299,0.0002,0,0.02417,0.00158,0.06015,0.01223,0.00871,0.00582,0,0,0,0.06934,0,0.01195,0,0,0.01905,0,0,0.12129,0,0,0,0,0.03059,0,0.13553,0.15268,0.1027
0.06,0,0,0.00241,0,0,0,0.03176,0,0,0,0,0,0,0.03441,0.01754,0.0035,0,0.00765,0,0.00847,0.08761,0,0.01272,0.0694,0,0.16138,0.11722,0.06377,0.01669,0,0.04591,0,0,0,0.00347,0.00734,0,0.0098,0.00262,0.00015,0,0.0241,0.00182,0.06084,0.01263,0.00863,0.00569,0,0,0,0.06918,0,0.01195,0,0,0.01915,0,0,0.12136,0,0,0,0,0.03111,0,0.13577,0.15315,0.10304
0.08,0,0,0.0023,0,0,0,0.03093,0,0,0,0,0,0,0.0335,0.01692,0.00356,0,0.008,0,0.00849,0.08743,0,0.01233,0.06943,0,0.16075,0.11716,0.06387,0.01659,0,0.04635,0,0,0,0.0038,0.00687,0,0.00905,0.00223,0.0001,0,0.02408,0.00218,0.06129,0.0129,0.00853,0.00565,0,0,0,0.06897,0,0.01187,0,0,0.01927,0,0,0.12143,0,0,0,0,0.03157,0,0.13602,0.15363,0.10327
0.1,0,0,0.00216,1e-05,0,9e-05,0.02982,0,0,2e-05,0.00024,1e-05,1e-05,0.0323,0.01635,0.00373,3e-05,0.00834,2e-05,0.0083,0.08746,0,0.01201,0.06964,6e-05,0.16035,0.11749,0.06394,0.01649,1e-05,0.04674,6e-05,2e-05,4e-05,0.00422,0.0064,0,0.00834,0.00187,0.00013,2e-05,0.02407,0.00272,0.06211,0.01309,0.00845,0.00552,2e-05,0,0,0.06945,2e-05,0.01178,1e-05,3e-05,0.0194,1e-05,2e-05,0.12152,2e-05,1e-05,3e-05,1e-05,0.03204,3e-05,0.13628,0.15429,0.10393
0.12,0,1e-05,0.00199,0,0,7e-05,0.02722,0,2e-05,1e-05,3e-05,0,1e-05,0.02963,0.01556,0.00402,1e-05,0.00854,1e-05,0.0076,0.08803,1e-05,0.01166,0.07023,0,0.16025,0.11814,0.06396,0.0163,1e-05,0.04688,0,1e-05,0,0.00495,0.00597,0,0.0078,0.00154,8e-05,0,0.02399,0.00341,0.06389,0.01139,0.00838,0.005,0,0,0,0.07147,1e-05,0.01149,1e-05,0,0.01962,1e-05,1e-05,0.12161,0,0,1e-05,0,0.03263,0,0.13649,0.15533,0.10546
0.14,0,1e-05,0.00183,1e-05,0,0.00102,0.0257,0,5e-05,0,4e-05,1e-05,4e-05,0.0277,0.01493,0.00445,1e-05,0.00878,1e-05,0.00698,0.08887,1e-05,0.01142,0.071,1e-05,0.16042,0.11898,0.06395,0.01608,1e-05,0.04696,1e-05,3e-05,1e-05,0.00573,0.00557,0,0.00734,0.00133,0.00077,0,0.0239,0.00424,0.06584,0.00999,0.00834,0.0045,0,0,1e-05,0.07429,4e-05,0.01119,4e-05,1e-05,0.01991,1e-05,0,0.12174,3e-05,1e-05,2e-05,0,0.03321,1e-05,0.13671,0.15669,0.10762
0.16,0,1e-05,0.00169,0,0,0.00043,0.02517,1e-05,7e-05,3e-05,1e-05,1e-05,3e-05,0.02712,0.01472,0.00504,0,0.00904,1e-05,0.00666,0.08966,0,0.01131,0.07172,2e-05,0.16068,0.11988,0.06398,0.01588,1e-05,0.04712,1e-05,1e-05,0,0.00634,0.00514,0,0.00685,0.00121,0.00031,0,0.02385,0.00507,0.0672,0.00908,0.00817,0.0042,0,1e-05,0,0.0755,2e-05,0.01089,3e-05,1e-05,0.02017,1e-05,0,0.12188,1e-05,1e-05,0,0,0.03363,0,0.1369,0.15819,0.10949
0.18,0,0,0.00155,0,0,1e-05,0.02527,0,0,0,0,0,0,0.02737,0.01486,0.00614,0,0.00934,0,0.00658,0.09061,0,0.01134,0.07256,0,0.16111,0.12102,0.06405,0.01567,0,0.0473,0,0,0,0.00687,0.00466,0,0.00638,0.0011,0,0,0.02373,0.00566,0.06793,0.00839,0.00795,0.00406,0,0,0,0.07567,0,0.01057,0,0,0.02043,0,0,0.12203,0,0,0,0,0.03399,0,0.13706,0.15997,0.11195
0.2,0,0,0.00145,0,0,1e-05,0.02563,0,1e-05,0,1e-05,0,1e-05,0.02796,0.01507,0.0076,0,0.00974,1e-05,0.00662,0.09156,0,0.01152,0.07335,1e-05,0.16149,0.12196,0.06419,0.01549,0,0.04757,1e-05,1e-05,0,0.00734,0.00424,0,0.00595,0.00108,1e-05,0,0.02368,0.00643,0.06851,0.00804,0.00771,0.004,0,0,0,0.07568,4e-05,0.01026,1e-05,1e-05,0.02069,0,0,0.12218,1e-05,0,0,0,0.03425,0,0.13721,0.16168,0.11368
0.22,5e-05,0.00027,0.00145,0.00019,0.00036,0.00292,0.02605,0.00026,0.00197,0.00024,0.00086,0.00031,0.00102,0.02863,0.01515,0.0101,0.00022,0.02224,0.00045,0.0072,0.09249,6e-05,0.01248,0.07409,0.00103,0.16199,0.12314,0.06457,0.0155,0.00031,0.0481,0.00114,0.00047,0.00022,0.00777,0.00427,8e-05,0.0057,0.00134,0.00184,0.00016,0.0244,0.01307,0.06968,0.00943,0.00831,0.00457,0.00023,0.00011,0.0003,0.07663,0.00839,0.01113,0.00094,0.00049,0.02099,0.00043,0.0002,0.12256,0.00047,0.00023,0.00035,5e-05,0.03476,0.00013,0.13764,0.16292,0.11375
0.24,4e-05,0.0002,0.00136,0.00016,0.0003,0.00221,0.02641,0.00034,0.00147,0.00024,0.00066,0.00037,0.0008,0.02921,0.015,0.01254,0.00017,0.01959,0.00046,0.00703,0.09314,4e-05,0.01279,0.07458,0.0009,0.16182,0.12244,0.06491,0.01551,0.00027,0.04858,0.00087,0.00039,0.00018,0.00814,0.0039,6e-05,0.00534,0.00144,0.0014,0.00012,0.02484,0.01242,0.07039,0.00931,0.00812,0.00436,0.00019,9e-05,0.0004,0.07716,0.00626,0.01073,0.00074,0.00035,0.02117,0.00033,0.00019,0.12261,0.00039,0.00019,0.00045,4e-05,0.03452,0.0001,0.13771,0.16301,0.11157
