T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,1.1447,0.89116,0.92525,1.20093,1.34403,0.8108,1.26764,0.80821,1.35078,0.99899,0.77569,1.10515,1.07338,1.2889,1.05342,0.47027,0.99867,1.02072,1.072,1.09109,1.01806,1.02344,1.24787,0.99608,0.99236,0.96804,0.71556,0.98798,1.02089,1.0982,1.01813,1.00514,0.99529,0.97858,0.92109,1.1635,1.09835,0.82236,0.36038,1.20974,0.59767,1.2008,0.13097,1.00282,1.19814,0.91739,0.96739,0.5237,0.96661,1.28604,1.00369,0.98516,0.94791,0.92518,0.992,0.99051,0.8077,1.01165,1.01491,1.05325,1.16568,1.01963,0.9858,0.91186,0.98566,0.99738,1.00984,1.08709
0.02,1.14133,0.89036,0.92591,1.21051,1.34326,0.8089,1.2644,0.81479,1.34957,0.99888,0.77768,1.10674,1.06081,1.28353,1.04926,0.47264,0.99872,1.01742,1.06869,1.09519,1.01831,1.03189,1.26617,0.99577,0.99063,0.96258,0.65437,0.98734,1.02066,1.10294,1.01827,1.00546,0.9967,0.97893,0.92378,1.16427,1.09766,0.80707,0.36566,1.21091,0.60779,1.19673,0.13937,1.0031,1.19708,0.9158,0.97385,0.5437,0.9695,1.28543,1.00356,0.98761,0.95069,0.92102,0.99189,0.98683,0.77251,1.01254,1.01816,1.06117,1.19084,1.02063,0.98596,0.90653,0.98554,0.99722,1.00693,1.08594
0.04,1.13478,0.89124,0.92868,1.22006,1.34096,0.81124,1.25691,0.82865,1.34679,0.99886,0.78499,1.10684,1.04073,1.27244,1.04097,0.48441,0.99895,1.01049,1.0624,1.09998,1.01825,1.04177,1.28335,0.99539,0.9886,0.95611,0.58814,0.98649,1.02015,1.1084,1.01829,1.00584,0.99846,0.97965,0.92882,1.16343,1.09471,0.79067,0.38111,1.20947,0.63026,1.18777,0.15837,1.00316,1.19308,0.9157,0.98334,0.58214,0.97512,1.28238,1.00293,0.99264,0.95587,0.91605,0.99191,0.98234,0.73228,1.01363,1.02191,1.07018,1.21528,1.02196,0.98632,0.90025,0.98553,0.99702,1.00325,1.08359
0.06,1.12506,0.8936,0.93366,1.22913,1.33674,0.8182,1.24358,0.8505,1.34207,0.99898,0.79795,1.10521,1.01154,1.25219,1.02771,0.50602,0.99944,0.99935,1.05274,1.10582,1.01789,1.05219,1.29814,0.99493,0.98643,0.94898,0.52329,0.98533,1.01944,1.11478,1.01828,1.00631,1.0006,0.98056,0.93593,1.16112,1.0893,0.7739,0.40805,1.20512,0.66706,1.17243,0.18935,1.00284,1.18573,0.91733,0.99559,0.64372,0.98366,1.27658,1.00158,1.00177,0.96352,0.90984,0.99208,0.97736,0.69016,1.01497,1.02586,1.07968,1.2368,1.02375,0.98682,0.89267,0.98554,0.99678,0.99968,1.08056
0.08,1.11227,0.89732,0.9409,1.23709,1.32985,0.83041,1.22136,0.88105,1.33483,0.99929,0.81687,1.10148,0.98685,1.21457,1.0084,0.53814,1.00054,0.99071,1.03927,1.11296,1.01725,1.06197,1.3099,0.99435,0.98436,0.94183,0.46599,0.98377,1.01868,1.12209,1.01834,1.00687,1.00363,0.98145,0.94466,1.15742,1.08117,0.75811,0.44854,1.19711,0.72084,1.14806,0.23417,1.00199,1.17436,0.92103,1.01884,0.73565,0.99525,1.26746,0.99962,1.02414,0.97365,0.90198,0.99237,0.97244,0.65014,1.01659,1.02955,1.08876,1.25412,1.02613,0.98736,0.88369,0.98549,0.99649,0.99805,1.07756
0.1,1.09698,0.90215,0.9504,1.24326,1.31886,0.84877,1.18376,0.92085,1.32418,0.99985,0.84202,1.09508,0.96746,1.13526,0.99127,0.58157,1.00305,0.97929,1.02158,1.12146,1.01636,1.06977,1.31842,0.99368,0.98274,0.93557,0.42138,0.98177,1.01803,1.13017,1.01859,1.00755,1.00502,0.98204,0.95427,1.15247,1.06999,0.74511,0.50553,1.18412,0.79507,1.10986,0.29472,1.00041,1.15792,0.9272,1.04415,0.86875,1.01862,1.25409,0.99786,1.0505,0.98606,0.89225,0.99278,0.96834,0.61652,1.01849,1.0324,1.09639,1.26662,1.02917,0.98781,0.87337,0.98528,0.99613,0.99729,1.07552
0.12,1.08023,0.90788,0.96212,1.24695,1.30083,0.87442,1.11445,0.97035,1.30875,1.0015,0.87356,1.08531,0.94959,0.9603,0.97624,0.63794,1.00652,0.96497,0.99967,1.13115,1.01522,1.07437,1.32378,0.99292,0.98195,0.93116,0.39297,0.97925,1.01775,1.1388,1.01919,1.00835,1.00382,0.98204,0.96388,1.1464,1.05533,0.737,0.58305,1.16376,0.8948,1.04803,0.37267,0.99895,1.13483,0.93626,1.06524,1.09028,1.0474,1.23467,0.99538,1.07925,1.00083,0.8806,0.9933,0.96584,0.59298,1.02063,1.03377,1.10157,1.27418,1.03292,0.98801,0.86185,0.98479,0.99572,0.99795,1.07552
0.14,1.06372,0.91407,0.97603,1.24758,1.26874,0.90912,0.98059,1.05149,1.286,1.00407,0.91148,1.0713,0.9346,0.83128,0.95916,0.71155,1.01104,0.94767,0.98711,1.1417,1.01379,1.07487,1.3262,0.99207,0.98232,0.92933,0.38254,0.97612,1.0181,1.1478,1.02029,1.00924,0.99969,0.98121,0.97254,1.13954,1.03653,0.73559,0.68673,1.13111,1.04922,0.97393,0.4704,0.99713,1.10263,0.9485,1.08148,1.23166,1.07587,1.20499,0.9921,1.1089,1.02974,0.86721,0.99395,0.96556,0.5817,1.02296,1.03313,1.10368,1.27688,1.03751,0.98776,0.84925,0.98388,0.99525,1.00066,1.07838
0.16,1.04947,0.92025,0.99219,1.24453,1.20181,0.95568,0.88287,1.128,1.25029,1.00753,0.95544,1.05216,0.92314,0.72181,0.93963,0.81231,1.01658,0.92732,0.97439,1.15262,1.01198,1.07081,1.32584,0.99116,0.98401,0.93044,0.3908,0.97222,1.01939,1.15709,1.02208,1.01026,0.99584,0.97939,0.97944,1.1324,1.01254,0.74235,0.82334,1.07459,1.1911,0.92036,0.59319,0.99465,1.05748,0.96397,1.09311,1.28586,1.10399,1.15367,0.988,1.13821,1.05553,0.85249,0.99476,0.96778,0.58338,1.02544,1.03016,1.10241,1.27475,1.04308,0.98685,0.83557,0.98239,0.99472,1.00872,1.08446
0.18,1.03987,0.92575,1.0198,1.23695,1.00351,1.0321,0.79318,1.17875,1.18561,1.0119,1.00803,1.02713,0.91537,0.62919,0.917,0.96119,1.02298,0.90406,0.96216,1.16325,1.00964,1.06211,1.32279,0.99022,0.98706,0.93436,0.41808,0.96742,1.02203,1.1666,1.02478,1.01138,0.99078,0.97655,0.98382,1.12578,0.99148,0.75839,0.99823,0.98278,1.25422,0.86888,0.75299,0.99147,0.99702,0.98227,1.10063,1.31415,1.13185,1.04098,0.98315,1.16608,1.07753,0.83725,0.99581,0.97237,0.5975,1.02798,1.02472,1.09782,1.26752,1.04977,0.98498,0.82079,0.98013,0.99412,1.01886,1.09352
