T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0.00011,4e-05,0.00285,0.00028,0.00078,0.00068,0.3783,0,0.009,0.00036,0.00099,0.00068,0,0.75761,0.00355,0.00315,0.00045,0,0.00035,0.1468,0,0.0001,0,0.06198,0.00057,0,0.00039,0,0,0,0,0.00041,0.00028,0.00809,0,0,0,0.06191,0.002,0.00511,0,0.00082,0.00022,0,0.00891,0,0,0,0.00067,0.08356,0,0.00083,0,0,0.00016,0,0.01687,0.00016,0,0.00051,0,0.0002,0.0001,3e-05,0.00017,0,0,0.00054
0.02,9e-05,3e-05,0.00322,0.00024,0.00069,0.00066,0.34384,0,0.00804,0.00031,0.00092,0.00063,0,0.68904,0,0.00381,0.00038,0,0.00032,0.13561,0,9e-05,0,0.05918,0.00056,0,0.00039,0,0,0,0,0.00038,0.00025,0.00855,0,0,0,0.01546,0.0056,0.00501,0,0.00084,0.0002,0,0.0082,0,0,0,0.00078,0.0704,0,0.00074,0,0,0.00015,0,0.01268,0.00015,0,0.00044,0,0.00018,9e-05,0.00037,0.00015,0,0,0.00054
0.04,8e-05,3e-05,0.00361,0.00021,0.0006,0.00064,0.30926,0,0.00696,0.00027,0.00085,0.00058,0,0.62037,0,0.00454,0.00032,0,0.00029,0.12421,0,9e-05,0,0.05683,0.00055,0,0.00039,0,0,0,0,0.00036,0.00023,0.00897,0,0,0,0,0.00914,0.00488,0,0.00086,0.00018,0,0.00751,0,0,0,0.0009,0.05767,0,0.00066,0,0,0.00015,0,0.00833,0.00014,0,0.00038,0,0.00016,8e-05,0.00078,0.00013,0,0,0.00054
0.06,7e-05,3e-05,0.00401,0.00018,0.00051,0.0006,0.27482,0,0.00577,0.00023,0.00077,0.00053,0,0.55222,0,0.00534,0.00026,0,0.00026,0.1127,0,8e-05,0,0.05498,0.00053,0,0.00039,0,0,0,0,0.00034,0.0002,0.00936,0,0,0,0,0.01258,0.00469,0,0.00089,0.00016,0,0.00684,0,0,0,0.00103,0.04554,0,0.00058,0,0,0.00014,0,0.00381,0.00013,0,0.00032,0,0.00014,7e-05,0.00125,0.00012,0,0,0.00054
0.08,5e-05,3e-05,0.00443,0.00017,0.0004,0.00056,0.24083,0,0.00446,0.00019,0.00069,0.00047,0,0.48516,0,0.0062,0.0002,0,0.00023,0.10116,0,7e-05,0,0.05363,0.00051,0,0.00038,0,0,0,0,0.00031,0.00017,0.00969,0,0,0,0,0.01588,0.00446,0,0.00093,0.00014,0,0.0062,0.00024,0,0,0.00117,0.03416,0,0.00051,0,0,0.00013,0,0,0.00012,0,0.00026,0,0.00013,6e-05,0.00181,0.0001,0,0,0.00054
0.1,4e-05,3e-05,0.00486,0.00016,0.00027,0.00051,0.20755,0,0.00306,0.00015,0.00059,0.0004,0,0.41976,0,0.00713,0.00013,0,0.0002,0.08966,0,6e-05,0,0.05279,0.00047,0,0.00036,0,0,0,0,0.00028,0.00015,0.00997,0,0,0,0,0.01904,0.00419,0,0.00096,0.00013,0,0.00558,0.00104,0,0,0.00132,0.02365,0,0.00043,0.00064,0,0.00012,0,0,0.0001,0,0.0002,0,0.00011,5e-05,0.00244,8e-05,0,0,0.00054
0.12,3e-05,2e-05,0.00528,0.00015,0.00014,0.00045,0.17524,0,0.00158,0.00011,0.00048,0.00032,0,0.35654,0,0.00812,7e-05,0,0.00017,0.07828,0,6e-05,0,0.05247,0.00044,0,0.00033,0,0.00032,0,0,0.00025,0.00012,0.01018,0,0,0,0,0.02202,0.00386,0,0.001,0.00011,0,0.005,0.00172,0,0,0.00148,0.01409,0,0.00035,0.00129,0,0.00011,0,0,9e-05,0,0.00014,0,9e-05,4e-05,0.00317,6e-05,0,0,0.00054
0.14,1e-05,2e-05,0.0057,0.00016,0,0.00038,0.14413,0,3e-05,6e-05,0.00036,0.00024,0,0.29599,0,0.00917,1e-05,0,0.00014,0.06711,0,5e-05,0,0.05261,0.00039,0,0.0003,0,0.00081,0,0,0.00021,9e-05,0.01032,0,0,0,0,0.0248,0.00349,0,0.00105,9e-05,0,0.00445,0.00227,0,0,0.00165,0.00555,0,0.00027,0.00168,0,0.0001,0,0,8e-05,0,7e-05,0,7e-05,3e-05,0.00398,5e-05,0,0,0.00053
0.16,0,2e-05,0.00611,0.00017,0,0.00029,0.11443,0,0,2e-05,0.00023,0.00014,0,0.23852,0,0.01027,0,0,0.00011,0.05621,0,4e-05,0,0.05316,0.00033,0,0.00026,0,0.00129,0,0.00288,0.00017,6e-05,0.01039,0,0,0,0,0.02738,0.00308,0,0.00109,8e-05,0,0.00393,0.00268,0,0,0.00182,0,0,0.00019,0.00184,0,9e-05,0,0,6e-05,0,1e-05,0,5e-05,2e-05,0.00489,3e-05,0,0.00351,0.00053
0.18,0,2e-05,0.00649,0.0002,0,0.00019,0.08632,0,0,0,9e-05,4e-05,0,0.1845,0,0.0114,0,0.00033,8e-05,0.04569,0,3e-05,0,0.05401,0.00026,0,0.00021,0,0.00173,0,0.00654,0.00013,3e-05,0.01039,5e-05,0,0,0,0.02975,0.00263,0,0.00114,6e-05,0,0.00345,0.00295,0,0,0.002,0,0,0.00011,0.00177,0,7e-05,0,0,5e-05,0,0,0,3e-05,1e-05,0.00589,1e-05,0,0.01018,0.00051
0.2,0,1e-05,0.00684,0.00025,0,9e-05,0.05997,0,0,0,0,0,0,0.13423,0,0.01256,0,0.00172,5e-05,0.0356,0,3e-05,0,0.05504,0.00018,0,0.00015,0,0.00211,0,0.01028,9e-05,0,0.01031,0.00428,0,0,0,0.03191,0.00217,0,0.0012,5e-05,0,0.003,0.00307,0,0,0.00218,0,0,4e-05,0.00149,0.00027,6e-05,0,0,3e-05,0,0,0,1e-05,0,0.00699,0,0,0.01667,0.0005
0.22,0,1e-05,0.00715,0.00031,0,0,0.03552,0,0,0,0,0,0,0.08794,0,0.01373,0,0.00316,2e-05,0.02603,0,2e-05,0,0.05609,9e-05,0,9e-05,0,0.00241,0,0.01407,5e-05,0,0.01016,0.00815,0,0,0,0.03389,0.0017,0,0.00125,4e-05,0,0.00258,0.00306,0,0,0.00235,0,0,0,0.00103,0.00058,4e-05,0,0,1e-05,0,0,0,0,0,0.00819,0,0,0.02294,0.00048
0.24,0,1e-05,0.00742,0.00038,0,0,0.01307,0,0,0,0,0,0,0.04578,0,0.0149,0,0.00466,0,0.01703,0,1e-05,0,0.05705,0,0,1e-05,0,0.00259,0,0.01787,0,0,0.00993,0.01165,0,0,0,0.03568,0.00124,0,0.0013,4e-05,0.00253,0.00221,0.00293,0,0,0.00253,0,0,0,0.00041,0.00093,2e-05,0,0,0,0,0,0,0,0,0.00948,0,0,0.02896,0.00045
0.26,0,0,0.00764,0.00047,0,0,0,0,0,0,0,0,0,0.00786,0,0.01604,0,0.00622,0,0.00865,0,0,0.00043,0.05782,0,0,0,0,0.00263,0,0.02167,0,0,0.00964,0.01475,0,0,0,0.0373,0.00081,0,0.00135,3e-05,0.01569,0.00188,0.0027,0,0,0.0027,0,0.01941,0,0,0.00132,0,0,0,0,0,0,0,0,0,0.01087,0,0,0.0347,0.00041
0.28,0,0,0.0078,0.00057,0,0,0,0,0,0,0,0,0,0,0,0.01713,0,0.00784,0,0.00095,0.00096,0,0.00163,0.05834,0,0,0,0,0.00251,0,0.02541,0,0,0.00931,0.01746,0,0,1,0.03877,0.00043,0,0.00139,3e-05,0.02823,0.0016,0.00238,0,0,0.00286,0,0.04111,0,0,0.00175,0,0,0,0,0,0,0,0,0,0.01235,0,0,0.04014,0.00037
0.3,0,0,0.00791,0.00069,0,0,0,0,0,0,0,0,0,0,0,0.01814,0,0.0095,0,0,0.00244,0,0.00303,0.05859,0,0,0,0,0.00218,0,0.02906,0,0,0.00896,0.01976,0,0,1,0.0401,0.0001,0,0.00142,2e-05,0.03999,0.00137,0.00198,0,0,0.003,0,0.0614,0,0,0.00222,0,0,0,0,0,0,0,0,0,0.01391,0,0,0.04526,0.00031
0.32,0,0,0.00795,0.00082,0,0,0,0,0,0,0,0,0.00132,0,0,0.01903,0,0.01121,0,0,0.00398,0,0.00465,0.05855,0,0,0,0,0.00164,0,0.03257,0,0,0.00859,0.02165,0,0,1,0.04129,0,0,0.00143,2e-05,0.05078,0.0012,0.00152,0,0,0.00313,0,0.08002,0,0,0.00273,0,0,0,0,0,0,0.00101,0,0,0.01554,0,0,0.05004,0.00025
0.34,0,0,0.00791,0.00096,0,0,0,0,0,0,0,0,0.00259,0,0,0.01978,0,0.01293,0,0,0.00559,0,0.0065,0.05825,0,0,0,0,0.00086,0,0.0359,0,0,0.00825,0.02314,0,0,0,0.04234,0,0,0.00142,2e-05,0.06045,0.00108,0.00103,0,0,0.00324,0,0.09671,0,0,0.00327,0,0,0,0,0,0,0.00417,0,0,0.01726,0,0,0.05448,0.00017
