T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-6e-05,-8e-05,-0,0.00017,-2e-05,0,-5e-05,0,2e-05,0.00014,0,0,-0,-0.00025,-2e-05,0.00041,0.00017,2e-05,0,-0,0.00029,-0,2e-05,-0.00031,-1e-05,1e-05,-1e-05,-0.00029,8e-05,1e-05,0.0003,-1e-05,3e-05,2e-05
0.02,-9e-05,-8e-05,-0,0.00019,-2e-05,0,-4e-05,0,2e-05,0.00014,0,0,-0,-0.00024,-2e-05,0.00045,0.00016,2e-05,0,-0,0.00032,-1e-05,3e-05,-0.00034,1e-05,-3e-05,-3e-05,-0.00029,9e-05,1e-05,0.00029,-3e-05,3e-05,1e-05
0.04,-0.00013,-8e-05,-0,0.00021,-2e-05,0,-2e-05,0,2e-05,0.00015,0,-0,-0,-0.00021,-2e-05,0.00049,0.00015,2e-05,0,-0,0.00036,-2e-05,5e-05,-0.00038,3e-05,-8e-05,-5e-05,-0.00029,9e-05,1e-05,0.00028,-5e-05,3e-05,1e-05
0.06,-0.00017,-7e-05,-0,0.00024,-3e-05,0,2e-05,0,2e-05,0.00016,0,-0,-0,-0.00015,-3e-05,0.00053,0.00014,2e-05,0,-0,0.00041,-4e-05,7e-05,-0.00043,6e-05,-0.00015,-8e-05,-0.00028,0.0001,1e-05,0.00027,-8e-05,3e-05,1e-05
0.08,-0.00023,-7e-05,-0,0.00027,-3e-05,0,7e-05,0,2e-05,0.00017,0,-0,-0,-5e-05,-3e-05,0.00057,0.00012,2e-05,0,-0,0.00046,-6e-05,9e-05,-0.00049,0.00011,-0.00025,-0.00012,-0.00028,0.00012,1e-05,0.00026,-0.00011,4e-05,1e-05
0.1,-0.00029,-7e-05,0,0.00031,-3e-05,0,0.00015,0,2e-05,0.00017,0,-0,-0,8e-05,-3e-05,0.00062,0.0001,1e-05,0,-0,0.00052,-9e-05,0.00012,-0.00055,0.00017,-0.00036,-0.00016,-0.00028,0.00014,1e-05,0.00026,-0.00014,3e-05,1e-05
0.12,-0.00036,-7e-05,0,0.00035,-3e-05,0,0.00025,1e-05,2e-05,0.00018,0,-0,-0,0.00026,-3e-05,0.00066,8e-05,1e-05,0,-0,0.00059,-0.00012,0.00015,-0.00061,0.00025,-0.00048,-0.00021,-0.00028,0.00017,1e-05,0.00027,-0.00015,3e-05,1e-05
0.14,-0.00042,-6e-05,0,0.00039,-3e-05,0,0.00038,1e-05,2e-05,0.00019,0,-0,-0,0.00051,-3e-05,0.0007,6e-05,1e-05,0,-0,0.00066,-0.00015,0.00019,-0.00066,0.00034,-0.00061,-0.00026,-0.0003,0.00021,2e-05,0.00029,-0.00016,2e-05,1e-05
0.16,-0.00047,-6e-05,0,0.00042,-3e-05,0,0.00052,1e-05,2e-05,0.00019,0,-0,-0,0.0008,-3e-05,0.00074,5e-05,1e-05,0,-0,0.00073,-0.00019,0.00021,-0.00071,0.00044,-0.00074,-0.00031,-0.00032,0.00026,2e-05,0.00033,-0.00015,1e-05,1e-05
0.18,-0.00052,-6e-05,0,0.00045,-2e-05,0,0.00068,1e-05,2e-05,0.00019,0,-0,-0,0.00114,-2e-05,0.00074,4e-05,1e-05,0,-0,0.0008,-0.00022,0.00022,-0.00075,0.00053,-0.00085,-0.00035,-0.00035,0.00031,2e-05,0.00038,-0.00013,-0,1e-05
