T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0.00063,0.0054,0.01528,0.00373,0,0.01222,0.0672,0.0079,0.00455,0.00388,0.0052,0.00298,0.00656,0.12719,0.02363,0.04947,0.00582,0.02551,0.00331,0.00585,0,0.00161,0.039,0,0.00314,0.06285,0,0.02289,0.00338,0.03543,0,0.00203,0.1134,0,0,0,0.00467,0.11886,0.21339,0.01648,0.0012,0.02926,0.01249,0.02131,0.00977,0.00169,0.00791,0.00369,0.00162,0.008,0.01223,0.00597,0,0.02381,0.00341,0,0.00225,0.00159,0,0.0044,0.00045,0,0.00062,0.00246,0,0.00141,0,0.02856
0.02,0.00054,0.00574,0.01869,0.00358,0,0.01025,0.08118,0.01083,0.00454,0.00331,0.00445,0.00255,0.00558,0.15931,0.0325,0.03178,0.00497,0.02097,0.00295,0.00509,0,0.00145,0.03455,0,0.00268,0.06919,0,0.02783,7e-05,0.03003,0,0.00174,0.10068,0,0,0,0.00351,0.13053,0.26507,0.01415,0.00102,0.02692,0.01039,0.01662,0.00811,0,0.00674,0.00313,0.00139,0.00857,0,0.00511,0,0.02117,0.00303,0,0.00196,0.00147,0,0.00378,1e-05,0,0.00053,0.00384,0,0.00315,0,0.02725
0.04,0.00046,0.0061,0.02246,0.00349,0,0.00843,0.09408,0.01419,0.00455,0.00278,0.00376,0.00215,0.00467,0.18895,0.04199,0.0132,0.00419,0.01662,0.00261,0.00451,0,0.0013,0.02992,0,0.00224,0.07669,0,0.03344,0,0.02438,0,0.00147,0.0877,0,0,0,0.00218,0.13875,0.32218,0.01183,0.00086,0.02451,0.00837,0.01198,0.00649,0,0.00564,0.00262,0.00118,0.00917,0,0.0043,0,0.01872,0.00269,0,0.0017,0.00136,0,0.00318,0,0,0.00045,0.00552,0,0.00482,0,0.02595
0.06,0.00038,0.00647,0.0266,0.00346,0,0.00676,0.10569,0.01799,0.0046,0.00229,0.00311,0.00178,0.00384,0.21559,0.05206,0,0.00346,0.0125,0.00229,0.00413,0,0.00116,0.02512,0,0.00182,0.0853,0,0.03975,0,0.01848,0,0.00122,0.0745,0,0,0,0.00067,0.14307,0.38482,0.00951,0.00071,0.02204,0.00644,0.00741,0.0049,0,0.00461,0.00214,0.00098,0.0098,0,0.00356,0,0.01644,0.00239,0,0.00145,0.00128,0,0.00261,0,0,0.00037,0.00754,0,0.00639,0,0.02467
0.08,0.00031,0.00686,0.03111,0.00348,0,0.00523,0.1158,0.02227,0.00467,0.00185,0.00252,0.00144,0.00307,0.2387,0.06265,0,0.0028,0.00863,0.002,0.00394,0,0.00101,0.02018,0,0.00143,0.09487,0,0.04676,0,0.01234,0,0.00098,0.0611,0,0,0,0,0.14307,0.45303,0.00717,0.00057,0.01954,0.00463,0.00296,0.00336,0,0.00366,0.00171,0.0008,0.01043,0,0.00288,0,0.01432,0.00213,0,0.00123,0.00121,0,0.00205,0,0,0.0003,0.00991,0,0.00782,0,0.02342
0.1,0.00025,0.00724,0.03597,0.00356,0,0.00385,0.12419,0.02702,0.00476,0.00144,0.00199,0.00114,0.00237,0.25775,0.07372,0,0.0022,0.00506,0.00173,0.00394,0,0.00087,0.01514,0,0.00107,0.10517,0,0.05448,0,0.00601,0,0.00077,0.04752,0,0,0,0,0.13838,0.52678,0.00481,0.00044,0.01702,0.00295,0,0.00187,0,0.00279,0.00131,0.00063,0.01106,0,0.00225,0,0.01236,0.00192,0,0.00103,0.00115,0,0.00151,0,0,0.00024,0.01264,0,0.00909,0,0.02219
0.12,0.00019,0.00762,0.04118,0.0037,0,0.0026,0.13069,0.03226,0.00487,0.00108,0.00151,0.00087,0.00175,0.27222,0.08519,0,0.00166,0.0018,0.00148,0.00413,0,0.00073,0.01006,0,0.00072,0.11585,0,0.06289,0,0,0,0.00059,0.0338,0,0,0,0,0.12875,0.6059,0.00242,0.00033,0.01449,0.00143,0,0.00045,0,0.00202,0.00096,0.00048,0.01166,0,0.00169,0,0.01054,0.00174,0,0.00084,0.00112,0,0.00099,0,0,0.00018,0.01576,0,0.01013,0,0.02099
0.14,0.00014,0.00797,0.0467,0.00391,0,0.00151,0.13513,0.03798,0.00499,0.00076,0.00108,0.00063,0.0012,0.28164,0.097,0,0.00118,0,0.00125,0.00451,0,0.0006,0.00501,0,0.0004,0.12647,0,0.07195,0,0,0,0.00042,0.01993,0,0,0,0,0.11399,0.69014,2e-05,0.00023,0.01197,6e-05,0,0,0,0.00135,0.00065,0.00035,0.01222,0,0.0012,0,0.00886,0.0016,0,0.00068,0.0011,0,0.00048,0,0,0.00013,0.01928,0,0.0109,0,0.0198
0.16,9e-05,0.00828,0.05249,0.00416,0,0.00057,0.13738,0.04417,0.00511,0.00049,0.00071,0.00043,0.00073,0.28559,0.10906,0,0.00076,0,0.00103,0.00507,0,0.00045,5e-05,0,0.0001,0.13646,0.00258,0.0816,0,0,0.00084,0.00027,0.0059,0,0,0,0,0.09404,0.77907,0,0.00014,0.00948,0,0,0,0,0.00079,0.00038,0.00023,0.01272,0,0.00076,0,0.00729,0.00151,0,0.00053,0.00109,0,0,0,0,9e-05,0.0232,0,0.01136,0,0.01862
0.18,6e-05,0.00854,0.05852,0.00447,0,0,0.13734,0.05082,0.00523,0.00025,0.00039,0.00026,0.00033,0.28372,0.12124,0,0.0004,0,0.00082,0.0058,0,0.00031,0,0,0,0.14517,0.00964,0.09178,0,0,0.0072,0.00015,0,0,0,0,0,0.06894,0.87213,0,7e-05,0.00705,0,0,0,0,0.00035,0.00015,0.00013,0.01312,0,0.00038,0.00114,0.00581,0.00144,0,0.0004,0.0011,0.00038,0,0,0,5e-05,0.02753,0,0.01144,0,0.01745
0.2,2e-05,0.00873,0.06472,0.00482,0,0,0.13497,0.0579,0.00532,5e-05,0.00011,0.00012,0,0.27578,0.13343,0,0.0001,0,0.00062,0.00669,0,0.00015,0,0,0,0.15189,0.0161,0.10238,0,0,0.01411,4e-05,0,0,0,0,0,0.03887,0.96855,0,1e-05,0.00469,0,0,0,0,2e-05,0,4e-05,0.01341,0,5e-05,0.00476,0.00438,0.00141,0,0.00028,0.00111,0.00225,0,0,0,2e-05,0.03227,0,0.01111,0,0.01627
0.22,0,0.00883,0.07101,0.00521,0,0,0.13025,0.06536,0.00538,0,0,1e-05,0,0.26163,0.14547,0,0,0,0.00042,0.00771,0,0,0,0,0,0.1559,0.02185,0.11328,0,0,0.02158,0,0,0,0,0,0,0.00414,1,0,0,0.00245,0,0,0,0,0,0,0,0.01354,0,0,0.00868,0.00297,0.00141,0,0.00017,0.00114,0.00428,0,0,0,0,0.0374,0,0.01031,0,0.01507
0.24,0,0.0088,0.07731,0.00562,0,0,0.12324,0.07316,0.00539,0,0,0,0,0.24129,0.15719,0,0,0,0.00022,0.00884,0,0,0,0,0,0.15657,0.02673,0.12433,0,0,0.02963,0,0,0,0.00591,0,0,0,1,0,0,0.00034,0,0,0,0,0,0,0,0.01349,0,0,0.01284,0.00157,0.00142,0,7e-05,0.00116,0.00646,0,0,0,0,0.0429,0,0.00899,0,0.01385
0.26,0,0.00863,0.08351,0.00606,0,0,0.11406,0.08121,0.00533,0,0,0,0,0.21496,0.16845,0,0,0,2e-05,0.01005,0,0,0,0,0,0.15345,0.03051,0.13534,0,0,0.03826,0,0,0,0.01236,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0132,0,0,0.01716,0.00017,0.00145,0,0,0.00119,0.00872,0,0,0,0,0.04875,0,0.00711,0,0.01261
0.28,0,0.00829,0.08948,0.0065,0,0,0.10289,0.08943,0.0052,0,0,0,0,0.18304,0.17909,0,0,0,0,0.0113,0,0,0,0,0,0.14632,0.03292,0.14609,0,0,0.04744,0,0,0,0.01928,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.01265,0,0,0.02157,0,0.0015,0,0,0.00122,0.01094,0,0,0,0,0.05491,0,0.00462,0,0.01136
0.3,0,0.00775,0.09508,0.00694,0,0,0.08998,0.0977,0.00498,0,0,0,0,0.1461,0.18895,0,0,0,0,0.01256,0,0,0,0,0,0.13521,0.03366,0.15635,0,0,0.05712,0,0,0,0.0266,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.01178,0,0,0.02598,0,0.00155,0,0,0.00124,0.01297,0,0,0,0,0.06133,0,0.00149,0,0.0101
0.32,0,0.00698,0.10015,0.00736,0,0,0.07562,0.10592,0.00465,0,0,0,0,0.10486,0.19789,0,0,0,0,0.01379,0,0,0,0,0,0.12039,0.03246,0.16583,0,0,0.06721,0,0,0,0.03424,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.01055,0,0,0.03031,0,0.00161,0.00475,0,0.00125,0.01461,0,0,0,0,0.06794,0,0,0,0.00881
0.34,0,0.00596,0.10449,0.00775,0,0,0.06014,0.11391,0.00422,0,0,0,0,0.06016,0.20581,0,0,0,0,0.01493,0,0,0,0,0,0.10225,0.02915,0.17423,0,0,0.07763,0,0,0,0.04211,0.00484,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0089,0,0,0.03444,0,0.00166,0.01183,0,0.00124,0.01569,0,0,0,0,0.07467,0,0,0,0.0075
0.36,0,0.00467,0.10789,0.00808,0,0,0.04395,0.12151,0.00368,0,0,0,0,0.01293,0.2126,0,0,0,0,0.01593,0,0,0,0,0,0.08118,0.02377,0.18123,0,0,0.08825,0,0,0,0.05007,0.01373,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00677,0,0,0.03829,0,0.00169,0.01955,0,0.00122,0.01606,0,0,0,0,0.08143,0,0,0,0.00615
0.38,0,0.00314,0.11014,0.00835,0,0,0.02745,0.12855,0.00304,0,0,0,0,0,0.2182,0,0,0,0,0.01673,0,0,0,0,0,0.05748,0.01657,0.18649,0,0,0.09893,0,0,0,0.05803,0.02329,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00412,0,0,0.04174,0,0.00171,0.02802,0,0.00117,0.0156,0,0,0,0,0.0881,0,0,0.00062,0.0047
0.4,0,0.0014,0.111,0.00852,0,0,0.01109,0.13483,0.00232,0,0,0,0,0,0.22252,0,0,0,0,0.01726,0,0,0,0,0,0.03132,0.00792,0.18964,0,0,0.1095,0,0,0,0.06582,0.03345,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00091,0,0,0.0447,0,0.0017,0.03732,0,0.00109,0.01422,0,0,0,0,0.09455,0,0,0.00734,0.00312
0.42,0,0,0.11029,0.00859,0,0,0,0.14019,0.00154,0,0,0,0,0,0.22549,0.00457,0,0,0,0.01748,0,0,0,0,0,0.00274,0,0.19032,0,0,0.11976,0,0,0,0.07332,0.04412,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04709,0,0.00166,0.04758,0,0.00098,0.01186,0,0.00022,0,0,0.10062,0,0,0.0152,0.00136
0.44,0,0,0.10783,0.00854,0,0.00013,0,0.14447,0.00072,0,0,0,0,0,0.22702,0.04932,0,0,0,0.01735,0,0,0,0,0,0,0,0.18814,0,0,0.12946,0,0,0,0.08037,0.0552,0,0.14672,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04884,0,0.00158,0.05893,0,0.00083,0.00849,0,0.0012,0,0,0.10616,0.00541,0,0.0243,0
0.46,0,0,0.10351,0.00834,0,0.00067,0,0.14754,0,0,0,8e-05,0,0,0.22704,0.09914,0,0,0,0.01688,0,0,0,0.0054,0,0,0,0.18272,0,0,0.13832,0,0,0.00395,0.08681,0.06659,0,0.00787,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04987,0,0.00144,0.0715,0,0.00064,0.00406,0,0.00235,0.01238,0,0.11095,0.01516,0,0.03469,0
0.48,0,0,0.09726,0.00798,0,0.00126,0,0.14929,0,0,0,0.00017,0,0,0.22544,0.15407,0,0,0,0.01611,0.00322,0,0,0.03183,0,0,0,0.17368,0,0,0.14601,0,0,0.00906,0.09249,0.07818,0,0,1,0,0,0,4e-05,0,0,0,0,0,0,0,0,0,0.05011,0,0.00125,0.08546,0,0.0004,0,0,0.00367,0.02983,0,0.11478,0.0265,0,0.04646,0
0.5,0,0,0.08908,0.0074,0,0.00188,0,0.14967,0,0,0,0.00026,0,0,0.22213,0.21414,0,0,0,0.01509,0.03633,0,0,0.06168,0,0,0,0.16067,0,0,0.15214,0,0,0.01499,0.09724,0.08985,0,0.01446,1,0,0,0,0.00063,0,0,0,3e-05,0,0,0,0,0,0.04953,0,0.00099,0.10096,0,0.0001,0,0,0.00518,0.05001,0,0.11739,0.03951,0,0.05965,0
0.52,0,0,0.07904,0.00661,0,0.00255,0,0.14864,0,0,0,0.00036,0,0,0.21706,0.27936,0,0,0,0.01393,0.0736,0,0,0.09492,0,0,0,0.14336,0,0.00373,0.15631,0,0,0.02179,0.10094,0.10143,0.00045,0.14225,1,0,0,0,0.00119,0,0,0,0.00018,0,0,0,0,0,0.0481,0,0.00065,0.11812,0,0,0,0,0.00688,0.0731,0,0.1185,0.05431,0,0.0743,0
