T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.18173,-0.18123,0.00454,-0.25473,0.02349,-0.00444,-0.43944,0.06038,-0.03046,0.19687,0.00103,0.01472,-0.00403,-0.35576,-0.65242,1.35798,-0.0274,-0.03759,0.00162,-0.06025,0.2225,0.01338,-0.02662,-0.05403,0.04806,-0.10704,-0.00443,0.36397,-0.05909,0.01881,-0.21218,0.14865,-0.00688,-0.00059
0.02,0.17891,-0.19023,0.00971,-0.2697,0.02125,-0.00471,-0.41258,0.06986,-0.02727,0.19089,0.00132,0.0147,-0.00347,-0.3148,-0.6309,1.47793,-0.03645,-0.03238,0.00145,-0.04396,0.24608,0.0084,-0.02952,-0.07253,0.05255,-0.11628,-0.00236,0.34038,-0.03452,0.0194,-0.15799,0.17136,-0.00894,-0.00122
0.04,0.17472,-0.19735,0.01501,-0.27976,0.01724,-0.00497,-0.37362,0.08203,-0.02332,0.17737,0.00151,0.01425,-0.0029,-0.26122,-0.59383,1.49006,-0.04783,-0.02835,0.00106,-0.02778,0.27821,-0.00148,-0.03232,-0.10217,0.05836,-0.12513,0.00023,0.30004,0.00466,0.01943,-0.07499,0.20056,-0.01186,-0.00213
0.06,0.16992,-0.20217,0.01854,-0.28464,0.01124,-0.00522,-0.32382,0.09721,-0.0188,0.15704,0.0016,0.01342,-0.00237,-0.19334,-0.5429,1.41525,-0.061,-0.02537,0.00052,-0.01282,0.32098,-0.01772,-0.03474,-0.14556,0.06597,-0.13361,0.00314,0.243,0.06047,0.01883,0.03842,0.2365,-0.01592,-0.00337
0.08,0.16735,-0.20463,0.01791,-0.28536,0.00317,-0.00544,-0.26359,0.11528,-0.0138,0.13173,0.00159,0.01231,-0.00191,-0.1081,-0.47805,1.29257,-0.07512,-0.02261,-0.00011,0.00083,0.3759,-0.04194,-0.03627,-0.2046,0.07577,-0.14102,0.00603,0.16972,0.13417,0.0177,0.1822,0.27905,-0.02129,-0.00496
0.1,0.16233,-0.20392,0.01133,-0.28026,-0.00701,-0.00558,-0.20138,0.13575,-0.00899,0.10281,0.00147,0.01104,-0.00161,-0.01163,-0.40421,1.12691,-0.0885,-0.02072,-0.00062,0.01034,0.44367,-0.07541,-0.03629,-0.28092,0.08797,-0.14667,0.00844,0.0821,0.22585,0.0157,0.35232,0.32678,-0.02818,-0.00687
0.12,0.1496,-0.19935,-0.00142,-0.26828,-0.01919,-0.00557,-0.14369,0.15765,-0.00469,0.07289,0.00126,0.00975,-0.00156,0.0995,-0.3232,0.91092,-0.09891,-0.02001,-0.00089,0.01424,0.52326,-0.11897,-0.0337,-0.37547,0.10266,-0.14869,0.00985,-0.01708,0.33406,0.01269,0.5395,0.37759,-0.0367,-0.00895
0.14,0.13646,-0.19025,-0.01952,-0.25351,-0.03318,-0.00538,-0.08837,0.17959,-0.00073,0.04577,0.00098,0.00862,-0.00164,0.227,-0.23268,0.69548,-0.10577,-0.01879,-0.001,0.01533,0.61456,-0.17318,-0.02685,-0.48918,0.11911,-0.14495,0.00941,-0.12397,0.45677,0.00914,0.73415,0.42858,-0.04677,-0.01113
0.16,0.12801,-0.1764,-0.04085,-0.2386,-0.04855,-0.00497,-0.03699,0.19977,0.00255,0.02371,0.00068,0.00776,-0.00176,0.35771,-0.13402,0.51513,-0.10951,-0.01638,-0.00102,0.01541,0.71742,-0.23793,-0.01351,-0.62235,0.13605,-0.13159,0.00613,-0.2343,0.58995,0.00533,0.9266,0.47607,-0.05805,-0.0133
0.18,0.12268,-0.1573,-0.0623,-0.22329,-0.06449,-0.00429,0.00584,0.2158,0.00485,0.00802,0.00041,0.00711,-0.00199,0.48351,-0.033,0.36753,-0.11011,-0.01325,-0.00099,0.01462,0.82953,-0.31124,0.00893,-0.77369,0.15146,-0.10389,-0.00101,-0.34182,0.72881,0.00134,1.10399,0.51572,-0.06973,-0.01537
0.2,0.11822,-0.13307,-0.08049,-0.20681,-0.08009,-0.00338,0.03753,0.22582,0.00603,-0.00027,0.00019,0.00664,-0.00216,0.60131,0.06191,0.23942,-0.1082,-0.01008,-0.00085,0.01248,0.94697,-0.39122,0.04358,-0.94247,0.16227,-0.05593,-0.01311,-0.43823,0.86111,-0.00278,1.2381,0.54221,-0.0809,-0.01671
0.22,0.11297,-0.10446,-0.09284,-0.18848,-0.09445,-0.00228,0.06088,0.22823,0.00606,-0.00043,3e-05,0.00629,-0.00209,0.71299,0.14714,0.12771,-0.10443,-0.00729,-0.00062,0.00929,1.06512,-0.47657,0.09559,-1.13055,0.16458,0.01854,-0.03107,-0.51426,0.97127,-0.00586,1.29183,0.55003,-0.09041,-0.01647
0.24,0.10789,-0.07297,-0.09882,-0.16824,-0.10571,-0.00101,0.07761,0.21986,0.00536,0.00727,-2e-05,0.00592,-0.00192,0.81651,0.21678,0.048,-0.09987,-0.00487,-0.00042,0.00648,1.18075,-0.56455,0.17021,-1.33418,0.15556,0.12465,-0.05583,-0.56281,1.05412,-0.00717,1.26496,0.53274,-0.09564,-0.01494
0.26,0.10413,-0.04113,-0.09866,-0.14536,-0.11185,0.00037,0.08726,0.19846,0.00448,0.02147,1e-05,0.00544,-0.00176,0.90887,0.26139,-0.00191,-0.09596,-0.00296,-0.00026,0.0045,1.29128,-0.65285,0.27088,-1.54924,0.13278,0.26468,-0.08876,-0.57956,1.11048,-0.00714,1.16708,0.4855,-0.09382,-0.01261
0.28,0.10046,-0.01206,-0.0929,-0.11801,-0.11147,0.00177,0.09282,0.16437,0.00403,0.03944,9e-05,0.00486,-0.0015,0.99492,0.27736,-0.03161,-0.09418,-0.0017,-0.00012,0.00308,1.39531,-0.74148,0.40062,-1.77635,0.09428,0.43634,-0.13124,-0.56301,1.14046,-0.00508,0.99288,0.40593,-0.08295,-0.00941
0.3,0.09557,0.01107,-0.08294,-0.08397,-0.10263,0.00309,0.09709,0.11849,0.0048,0.05754,0.00016,0.00419,-0.00125,1.07877,0.26479,-0.0464,-0.09655,-0.00103,3e-05,0.00212,1.49201,-0.83915,0.56115,-2.01974,0.03882,0.63107,-0.17995,-0.52181,1.14182,-0.00243,0.78067,0.29232,-0.0605,-0.00577
0.32,0.08846,0.0253,-0.07048,-0.04153,-0.08382,0.00422,0.10233,0.0634,0.00765,0.07228,0.00022,0.00348,-0.00112,1.16241,0.22754,-0.04938,-0.10514,-0.00082,0.00018,0.00155,1.58057,-0.95722,0.74781,-2.28462,-0.035,0.83111,-0.23409,-0.46396,1.11269,-0.00229,0.55431,0.14349,-0.0252,-0.00196
0.34,0.07957,0.02951,-0.05692,0.01036,-0.05459,0.00509,0.11009,0.00279,0.01333,0.08048,0.00022,0.00279,-0.001,1.24788,0.16958,-0.04449,-0.12142,-0.00093,0.00034,0.00126,1.66003,-1.0918,0.95169,-2.56644,-0.12923,1.01689,-0.28276,-0.3826,1.06278,-0.00356,0.28176,-0.04201,0.02276,0.00216
0.36,0.06937,0.02506,-0.04327,0.07257,-0.01518,0.00569,0.12066,-0.05959,0.02221,0.08075,0.00017,0.00216,-0.00085,1.33272,0.09891,-0.03517,-0.14642,-0.00124,0.00051,0.00122,1.72667,-1.23141,1.15159,-2.85428,-0.24662,1.16356,-0.31723,-0.2684,1.00092,-0.00432,-0.05255,-0.26906,0.08349,0.00638
0.38,0.05821,0.01518,-0.03001,0.14535,0.0333,0.00613,0.1342,-0.1206,0.0333,0.07454,7e-05,0.0016,-0.00072,1.40925,0.02713,-0.02242,-0.18103,-0.00166,0.00073,0.00142,1.77316,-1.36025,1.29243,-3.137,-0.3925,1.23002,-0.39015,-0.11193,0.92831,-0.00439,-0.44623,-0.54424,0.1571,0.01019
0.4,0.04618,0.00285,-0.01753,0.2255,0.08788,0.00644,0.15138,-0.17457,0.046,0.06453,-2e-05,0.00109,-0.00059,1.48097,-0.03721,-0.00779,-0.22404,-0.00214,0.00105,0.00188,1.81246,-1.49104,1.41365,-3.41963,-0.56267,1.19388,-0.33294,0.10128,0.8427,-0.00594,-0.91865,-0.87308,0.24074,0.01327
0.42,0.03346,-0.0082,-0.00617,0.30524,0.14154,0.00662,0.17184,-0.2116,0.06041,0.05457,-4e-05,0.00062,-0.00045,1.55038,-0.07582,0.00853,-0.27324,-0.00267,0.00155,0.00256,1.85457,-1.63708,1.62005,-3.69485,-0.7362,1.03437,0.14015,0.40382,0.74114,-0.01094,-1.54706,-1.25978,0.32744,0.01507
0.44,0.02153,-0.01207,0.00328,0.38059,0.19005,0.00682,0.19403,-0.22983,0.07219,0.04879,0.00012,0.00021,-0.00029,1.59793,-0.07632,0.02655,-0.32862,-0.00323,0.00229,0.00343,1.86509,-1.73258,1.79359,-3.9134,-0.91646,0.68242,0.7296,0.84044,0.63174,-0.01587,-2.38253,-1.71084,0.41402,0.01441
0.46,0.01107,-0.00563,0.00933,0.45012,0.22346,0.00714,0.21583,-0.23598,0.0762,0.04984,0.00054,-0.00015,-0.00011,1.60705,-0.04517,0.04463,-0.39059,-0.00376,0.00331,0.0044,1.81811,-1.74218,1.80424,-4.04372,-1.11999,0.1094,1.11572,1.45548,0.51925,-0.01722,-3.42255,-2.23437,0.50021,0.00952
0.48,0.00203,0.00788,0.00973,0.50793,0.20402,0.00762,0.2335,-0.24186,0.071,0.0586,0.00121,-0.00048,8e-05,1.57271,-0.00129,0.06124,-0.4585,-0.00421,0.0046,0.00524,1.70001,-1.67899,1.70137,-4.04201,-1.33065,-0.65537,1.34762,2.29255,0.4043,-0.01444,-4.66943,-2.83376,0.58349,-0.00161
0.5,-0.00491,0.01931,0.00191,0.54747,0.18574,0.00799,0.24682,-0.2327,0.05538,0.07482,0.00225,-0.00077,0.00032,1.50556,0.08267,0.07399,-0.52525,-0.00458,0.00621,0.00588,1.53835,-1.56278,1.41498,-3.99197,-1.58339,-1.52728,1.11885,3.44705,0.28827,-0.00846,-6.32034,-3.4983,0.65287,-0.01921
0.52,-0.0123,0.01638,-0.01681,0.55831,0.16269,0.00787,0.25433,-0.17331,0.03009,0.09762,0.00391,-0.00096,0.00067,1.41985,0.276,0.0808,-0.58099,-0.00484,0.00826,0.00638,1.38787,-1.42772,0.93255,-4.01386,-1.95776,-2.33135,0.45312,5.08103,0.1719,0.00293,-8.68931,-4.2032,0.69278,-0.04459
0.54,-0.02073,-0.01939,-0.04793,0.54508,0.14259,0.00734,0.2452,-0.08909,-0.00174,0.12619,0.00574,-0.00107,0.001,1.30468,0.53632,0.08073,-0.62574,-0.00491,0.01061,0.00645,1.22633,-1.30401,0.42901,-3.99268,-2.42369,-2.94192,-0.12993,7.24898,0.05567,0.02316,-11.86255,-4.91388,0.70296,-0.07931
0.56,-0.02802,-0.11279,-0.08976,0.51688,0.13215,0.00668,0.21287,-0.02259,-0.03671,0.15988,0.00724,-0.00114,0.0012,1.1615,0.7865,0.07417,-0.65884,-0.00469,0.013,0.00593,1.027,-1.19994,-0.0292,-3.83051,-2.92258,-3.31828,-0.51839,9.8951,-0.06749,0.05463,-15.67289,-5.58125,0.68803,-0.12488
