T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,1.04629,1.03354,1.08567,0.97359,0.91214,0.73368,0.99731,1.01103,0.96862,0.99996,0.99329,1.02192,1.08734,1.07597,1.09235,0.58145,1.10346,1.02619,1.03156,0.97286,1.00509,0.96112,0.68218,0.99966,1.0075,0.98137,1.31087,1.00208,0.98853,0.98176,0.99905,0.99746,1.08044,1.05094,0.98091,0.97898,0.95658,1.04813,1.12795,1.24985,1.00753,0.99492,1.08782,1.00011,1.00958,0.98584,0.95969,0.93638,0.93647,1.25413,0.90899,0.98102,0.97918,1.06279,0.99781,1.05329,1.23598,1.00104,0.99616,1.03255,0.77353,0.99911,1.02803,1.0473,1.00287,1.00506,0.94839,0.92933
0.02,1.04823,1.02801,1.08573,0.9698,0.8929,0.73056,0.9966,1.01428,0.96325,0.99996,0.99402,1.0198,1.08379,1.07874,1.10271,0.59885,1.10247,1.02546,1.0293,0.97476,1.0052,0.95565,0.63606,0.99974,1.00857,0.97345,1.32199,1.00254,0.98802,0.98012,0.9989,0.99751,1.07889,1.05108,0.98002,0.98266,0.95654,1.05423,1.1472,1.25121,1.00949,0.99337,1.09944,1.00011,1.00855,0.98726,0.96171,0.93363,0.9274,1.2484,0.91008,0.98159,0.98076,1.05897,0.99776,1.05988,1.25326,1.0008,0.9956,1.04508,0.74007,0.99891,1.0292,1.05105,1.00335,1.00496,0.94958,0.92912
0.04,1.05025,1.01813,1.0842,0.96627,0.87296,0.73071,0.99552,1.01759,0.95725,0.99997,0.99566,1.01673,1.07786,1.08142,1.11363,0.63269,1.0985,1.02428,1.02588,0.97768,1.00515,0.94968,0.58901,0.99986,1.0098,0.96421,1.33146,1.00316,0.98748,0.97805,0.9987,0.99763,1.07538,1.05049,0.97908,0.98901,0.95749,1.05976,1.16499,1.25115,1.01241,0.99177,1.11153,1.00009,1.00624,0.98931,0.96498,0.93094,0.91729,1.23658,0.9144,0.98248,0.98314,1.05294,0.99779,1.06686,1.26878,1.00043,0.99496,1.05883,0.70533,0.99865,1.03042,1.05571,1.00395,1.00472,0.95225,0.93
0.06,1.05245,1.00295,1.08116,0.96356,0.85408,0.73359,0.99404,1.02068,0.95101,0.99997,0.99849,1.01299,1.06986,1.08404,1.12449,0.68674,1.09103,1.0229,1.02153,0.98139,1.00485,0.94391,0.54706,1.00005,1.01101,0.95479,1.33862,1.00394,0.98686,0.97543,0.99845,0.99782,1.06998,1.04938,0.97804,0.99827,0.95936,1.06391,1.18013,1.24989,1.01635,0.99026,1.12322,1.00009,1.00219,0.99177,0.96924,0.92828,0.90662,1.21561,0.92232,0.98352,0.9861,1.04503,0.99792,1.07339,1.28113,0.99996,0.99432,1.07198,0.67398,0.99831,1.03184,1.06145,1.00468,1.00436,0.95626,0.93168
0.08,1.05492,0.99104,1.07671,0.96256,0.83843,0.73848,0.99214,1.02311,0.94516,0.99997,1.00554,1.00898,1.06053,1.08657,1.13443,0.76647,1.07934,1.0216,1.01672,0.98542,1.0042,0.93938,0.51678,1.00048,1.01204,0.94683,1.34308,1.00487,0.98612,0.97219,0.99817,0.99805,1.06278,1.04797,0.97686,1.01999,0.96204,1.06542,1.19159,1.24771,1.02133,0.98905,1.13345,1.00007,0.99796,0.99435,0.97398,0.92568,0.89626,1.17882,0.93414,0.9845,0.98932,1.03605,0.9982,1.07838,1.28929,0.99963,0.99377,1.08245,0.65167,0.99791,1.03349,1.0683,1.00551,1.00389,0.96144,0.93378
0.1,1.05763,0.97848,1.07103,0.96436,0.82917,0.74459,0.98983,1.02432,0.9406,0.99998,1.01698,1.00538,1.05113,1.08884,1.14245,0.87976,1.06239,1.02076,1.01214,0.98922,1.00311,0.93747,0.50537,1.00099,1.01262,0.9424,1.34432,1.00589,0.98522,0.96836,0.99788,0.99832,1.05411,1.04658,0.97555,1.04527,0.96536,1.06269,1.19795,1.24494,1.02721,0.98845,1.14098,1.00005,0.99358,0.99664,0.97854,0.92332,0.88746,1.1096,0.9502,0.98513,0.99232,1.02724,0.99867,1.08046,1.29222,0.99924,0.99347,1.08805,0.64503,0.99746,1.03548,1.07611,1.0064,1.00336,0.96745,0.93585
0.12,1.06056,0.96417,1.06422,0.97027,0.83044,0.75139,0.98715,1.02351,0.9384,0.99998,1.03115,1.00293,1.0433,1.09073,1.14745,1.06359,1.03843,1.02086,1.00861,0.99213,1.00147,0.93951,0.52077,1.00157,1.01249,0.94356,1.34122,1.00696,0.98415,0.96399,0.99757,0.99861,1.04441,1.04551,0.97411,1.07072,0.96923,1.05348,1.19709,1.24177,1.03386,0.98886,1.14447,1.00005,0.98782,0.99818,0.98218,0.92133,0.88176,0.97875,0.97089,0.98505,0.99459,1.02021,0.99937,1.07825,1.28825,0.9988,0.99354,1.08661,0.66127,0.99699,1.03784,1.08464,1.00729,1.00279,0.97389,0.93743
0.14,1.06372,0.94825,1.05613,0.98146,0.84767,0.75908,0.98408,1.01944,0.93972,0.99999,1.04755,1.00229,1.03867,1.09224,1.14825,1.21026,1.00424,1.02234,1.0069,0.99366,0.99962,0.94638,0.57248,1.00219,1.01151,0.95169,1.33082,1.00804,0.98292,0.95915,0.99729,0.99889,1.03415,1.04491,0.97254,1.0956,0.97365,1.03485,1.18493,1.23807,1.04119,0.99087,1.14238,1.00004,0.98064,0.99858,0.98427,0.91973,0.88083,0.8844,0.99701,0.98395,0.99568,1.01643,1.00065,1.07062,1.2738,0.99832,0.99406,1.07612,0.70788,0.99652,1.04051,1.09363,1.00813,1.00223,0.98039,0.93831
0.16,1.06704,0.9306,1.04627,0.99919,0.88947,0.76885,0.98058,1.01032,0.94568,0.99999,1.06539,1.00384,1.03819,1.09363,1.14337,1.26996,0.97955,1.02559,1.00747,0.99363,0.99823,0.95807,0.67369,1.00285,1.00973,0.96712,1.30323,1.00908,0.98157,0.95395,0.99703,0.99915,1.02389,1.04476,0.97086,1.11971,0.9788,1.00164,1.15041,1.2332,1.04923,0.99525,1.13258,1.00002,0.97214,0.99761,0.98448,0.91825,0.88642,0.79867,1.05077,0.98148,0.99532,1.01649,1.003,1.05698,1.23933,0.99781,0.99499,1.0546,0.79294,0.99606,1.04341,1.1028,1.00887,1.00171,0.98659,0.93855
0.18,1.07059,0.91106,1.03359,1.04272,0.96996,0.78313,0.97659,0.99675,0.95741,0.99999,1.08361,1.00758,1.04197,1.09537,1.13046,1.30175,0.95375,1.03087,1.01045,0.99219,0.99665,0.97356,0.84331,1.00352,1.00742,0.98868,1.20282,1.0101,0.98016,0.94855,0.99682,0.99937,1.01421,1.04474,0.96903,1.14291,0.98507,0.97615,1.05327,1.22571,1.05805,1.00579,1.11123,1.00002,0.9626,0.99524,0.98278,0.91638,0.90047,0.72224,1.10046,0.97741,0.99341,1.02005,1.00564,1.03752,1.15189,0.99729,0.9962,1.02033,0.92412,0.99561,1.04639,1.11183,1.00949,1.00126,0.99219,0.93857
