T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0,0,0.01206,0,0,0.05812,0,0,0,0,0,0,0.07682,0,0,0,0.00868,0,0.01107,0.08425,0,0.01047,0.02754,0,0.08999,0,0.08252,0.07146,0,0.02415,0,0,0.00662,0.00573,0.00708,0.00262,0,0.01031,0.00081,0,0.04037,0.0036,0.02968,0.00939,0.00809,0.00578,0,0.01648,9e-05,0.02732,0,0.00205,0,0,0.06917,0,0,0.1051,0,0.01001,0,0,0.00876,0,0.10989,0.10718,0
0.02,0,0,0,0.01201,0,0,0.0581,0,0,0,0,0,0,0.07695,0,0,0,0.00835,0,0.01116,0.08433,0,0.00863,0.02758,0,0.09024,0,0.08246,0.07148,0,0.02412,0,0,0.00704,0.00573,0.0066,0.00285,0,0.01025,0.00078,0,0.04034,0.00356,0.0297,0.00941,0.00813,0.00592,0,0.01649,0.00013,0.02773,0,0.00184,0,0,0.06909,0,0,0.10511,0,0.01005,0,0,0.00833,0,0.10995,0.10634,0
0.04,1e-05,0,1e-05,0.01194,1e-05,6e-05,0.05815,1e-05,1e-05,1e-05,0.00011,4e-05,4e-05,0.0772,6e-05,7e-05,5e-05,0.00831,9e-05,0.01145,0.08439,0,0.00612,0.02763,3e-05,0.09066,0.00014,0.08239,0.07149,4e-05,0.02407,3e-05,0.00012,0.00747,0.00575,0.00598,0.00294,1e-05,0.0102,0.00081,3e-05,0.04022,0.00353,0.02973,0.00958,0.00823,0.00608,1e-05,0.01633,0.00028,0.02812,0.00023,0.00197,0.00015,0,0.06901,6e-05,1e-05,0.10514,8e-05,0.01023,1e-05,0,0.00795,0,0.11004,0.1056,9e-05
0.06,1e-05,0,1e-05,0.01181,1e-05,6e-05,0.0582,1e-05,1e-05,1e-05,0.00011,4e-05,5e-05,0.07751,6e-05,7e-05,5e-05,0.00801,9e-05,0.01167,0.08444,1e-05,0.003,0.02762,5e-05,0.09156,0.00014,0.08231,0.0715,4e-05,0.02401,5e-05,0.00012,0.00789,0.0058,0.00519,0.00281,1e-05,0.01013,0.00078,3e-05,0.03992,0.00348,0.02974,0.00967,0.00817,0.00619,1e-05,0.0159,0.00047,0.02837,0.00023,0.00194,0.00015,1e-05,0.06892,6e-05,1e-05,0.10516,8e-05,0.01076,1e-05,1e-05,0.00749,1e-05,0.11014,0.10474,9e-05
0.08,2e-05,2e-05,4e-05,0.01168,6e-05,0.00011,0.05832,3e-05,5e-05,5e-05,0.00028,9e-05,0.00024,0.07795,7e-05,0.0001,9e-05,0.00791,0.00021,0.0121,0.08441,8e-05,0.00316,0.02781,0.00046,0.09011,0.00026,0.08222,0.07157,0.0001,0.02397,0.00052,0.00017,0.00839,0.00588,0.00419,0.00245,3e-05,0.01011,0.0008,5e-05,0.03948,0.00348,0.02979,0.00998,0.00823,0.00647,5e-05,0.01511,0.00072,0.02866,0.00039,0.00239,0.00029,4e-05,0.06884,0.0031,7e-05,0.10542,0.00016,0.00927,4e-05,8e-05,0.00719,6e-05,0.11038,0.10384,0.00028
0.1,0,0,0,0.0114,0,0,0.05839,0,0,0,0,0,0,0.0782,0,0,0,0.00724,0,0.01221,0.08434,0,0.00107,0.02754,0,0.09354,0,0.08208,0.07151,0,0.02383,0,0,0.00869,0.00596,0.0031,0.00165,0,0.01002,0.00066,0,0.0387,0.00335,0.02973,0.00983,0.00778,0.00632,0,0.01403,0.00096,0.0286,0,0.00207,0,0,0.06869,0.00355,0,0.10524,0,0.01153,0,0,0.00656,0,0.11039,0.10287,0
0.12,2e-05,0,1e-05,0.01113,1e-05,3e-05,0.05869,5e-05,1e-05,2e-05,0.00014,5e-05,6e-05,0.07846,3e-05,2e-05,1e-05,0.0073,3e-05,0.01261,0.08444,2e-05,0.0068,0.02614,8e-05,0.11315,9e-05,0.08206,0.07158,2e-05,0.02374,7e-05,0.00019,0.00892,0.00606,0.00216,0.00042,1e-05,0.01003,0.00067,4e-05,0.03773,0.0033,0.02976,0.01024,0.00761,0.00628,5e-05,0.01292,0.00139,0.0283,7e-05,0.00272,7e-05,1e-05,0.06895,0.00366,4e-05,0.10438,0.00015,0.02648,1e-05,2e-05,0.00604,3e-05,0.11057,0.10255,0.00013
0.14,2e-05,0,0.00174,0.0108,1e-05,1e-05,0.05897,5e-05,0,1e-05,7e-05,6e-05,1e-05,0.07844,1e-05,1e-05,0,0.00732,1e-05,0.01292,0.08431,0,0.01581,0.02426,0,0.13707,2e-05,0.08201,0.07164,1e-05,0.02358,0,7e-05,0.00907,0.00615,0.00122,0.00041,1e-05,0.01007,0.00065,2e-05,0.03636,0.00324,0.02975,0.01046,0.00728,0.0061,0,0.01152,0.00183,0.02785,3e-05,0.00347,2e-05,0,0.06932,0.00343,2e-05,0.10295,1e-05,0.04538,0,0,0.00547,0,0.11074,0.10208,0.00028
0.16,1e-05,0,0.00391,0.01048,2e-05,3e-05,0.05936,4e-05,1e-05,5e-05,0.0003,4e-05,8e-05,0.0784,5e-05,4e-05,1e-05,0.00747,3e-05,0.01339,0.08402,1e-05,0.0245,0.0226,0,0.1575,5e-05,0.08196,0.07173,3e-05,0.02344,0,5e-05,0.00918,0.00626,0.00015,0.00038,3e-05,0.01013,0.00066,2e-05,0.03471,0.00322,0.02979,0.01106,0.00681,0.00607,2e-05,0.00976,0.00227,0.02748,8e-05,0.00451,0.0001,0,0.06968,0.00309,1e-05,0.10152,7e-05,0.0618,0,0,0.00515,1e-05,0.11095,0.10161,0.00017
0.18,0,0.00108,0.00648,0.01004,0,0,0.05978,1e-05,0,0,7e-05,0,0,0.0781,0,1e-05,0,0.00752,0,0.01369,0.08376,0,0.03949,0.02046,0,0.18293,1e-05,0.08188,0.07185,0,0.02327,0,0,0.00929,0.00639,0.00011,0.0003,0,0.01019,0.00063,0,0.0328,0.00322,0.0297,0.01114,0.00625,0.0059,0,0.00767,0.00262,0.02724,1e-05,0.00557,1e-05,0,0.0702,0.00264,0,0.09932,0,0.08415,0,0,0.00488,0,0.11119,0.10106,0
