T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.01507,0.00188,-0.01211,0.00522,0.00626,-0.00059,-0.06276,-5.45117,0.02321,0.01773,0.03966,-0.00764,0.00194,0.09763,-0.25786,-0.06188,0.01289,-3e-05,-0.00742,0.00437,-0.16046,-0.00535,-0.00226,0.04218,0.00243,0.00301,0.00115,-0.10967,0.00333,-0.00683,0.03296,0.02125,-0.00444,-0.03731
0.02,0.01646,0.00256,-0.00761,0.00533,0.00772,-0.00095,-0.07967,-5.79779,0.03122,0.02165,0.07483,-0.00784,0.00224,0.11134,-0.2699,-0.06926,0.01118,-3e-05,-0.00979,0.00436,-0.16732,-0.00603,-0.00254,0.04326,0.00179,0.00341,0.00215,-0.11316,0.00355,-0.00693,0.03336,0.02106,-0.00454,-0.03773
0.04,0.01841,0.00352,0.00047,0.00496,0.00972,-0.00145,-0.10574,-6.30135,0.04369,0.02849,0.12941,-0.00789,0.00276,0.12876,-0.28676,-0.07909,0.00999,-5e-05,-0.0137,0.00421,-0.17347,-0.00694,-0.00287,0.04377,0.00085,0.00389,0.00355,-0.11618,0.00384,-0.00695,0.03314,0.02021,-0.00459,-0.03747
0.06,0.02105,0.00481,0.01276,0.00388,0.01232,-0.00208,-0.14295,-7.02529,0.06161,0.03919,0.20641,-0.00778,0.00359,0.15027,-0.3108,-0.09166,0.01007,-9e-05,-0.01954,0.00386,-0.17896,-0.00815,-0.0032,0.04373,-0.00037,0.00446,0.00532,-0.11914,0.00422,-0.0069,0.03235,0.01864,-0.00458,-0.03651
0.08,0.02458,0.00646,0.02907,0.00181,0.01554,-0.00282,-0.1927,-8.03039,0.08568,0.05475,0.3076,-0.00749,0.00481,0.17552,-0.34425,-0.10705,0.01232,-0.00013,-0.02765,0.00331,-0.18364,-0.0097,-0.00352,0.04312,-0.00182,0.00507,0.0074,-0.12243,0.00471,-0.00681,0.03104,0.01633,-0.0045,-0.03477
0.1,0.02864,0.00835,0.04783,-0.00154,0.01932,-0.00361,-0.25595,-9.35489,0.11652,0.07648,0.43378,-0.00702,0.0065,0.2042,-0.38877,-0.12481,0.01789,-0.00019,-0.0382,0.00253,-0.18699,-0.01159,-0.00375,0.04189,-0.00342,0.00567,0.00972,-0.12634,0.00533,-0.00667,0.02928,0.01327,-0.00435,-0.03219
0.12,0.03255,0.01023,0.06574,-0.00645,0.02355,-0.00438,-0.33321,-11.02594,0.1547,0.10602,0.58546,-0.00635,0.00875,0.2358,-0.44593,-0.14415,0.02808,-0.00024,-0.05119,0.0015,-0.18832,-0.01381,-0.00383,0.04,-0.00507,0.00624,0.01226,-0.13106,0.00608,-0.00652,0.0271,0.00947,-0.00411,-0.02868
0.14,0.03639,0.01197,0.07776,-0.01311,0.02802,-0.00505,-0.424,-13.0898,0.1999,0.14504,0.76189,-0.00542,0.01161,0.26825,-0.5183,-0.16474,0.04431,-0.00025,-0.06644,0.00021,-0.18725,-0.01636,-0.00378,0.03742,-0.00664,0.00671,0.01485,-0.13667,0.00695,-0.00637,0.02459,0.00496,-0.00377,-0.02427
0.16,0.04044,0.01342,0.07795,-0.02156,0.03243,-0.00555,-0.52677,-15.60009,0.25083,0.19502,0.96137,-0.00418,0.01509,0.29901,-0.60916,-0.18631,0.068,-0.0002,-0.08356,-0.00131,-0.18363,-0.01926,-0.00361,0.03417,-0.00806,0.00707,0.01731,-0.14302,0.0079,-0.00625,0.02176,-0.00021,-0.00335,-0.01908
0.18,0.0448,0.01434,0.06105,-0.03157,0.03647,-0.0059,-0.63826,-18.5984,0.30472,0.25661,1.18035,-0.00257,0.01912,0.32546,-0.72171,-0.20808,0.1002,-5e-05,-0.10195,-0.00302,-0.17741,-0.02258,-0.00331,0.03029,-0.00922,0.00735,0.01956,-0.14973,0.00885,-0.00621,0.0186,-0.00593,-0.00286,-0.01329
