T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.00029,-0.00066,-0.0142,-0.03791,0,-0.00547,-0.01366,-0.03354,0.00904,-0.00826,0.00883,0.00035,0.42961,-0.05366,0.4849,0.05955,-0.05048,-0.00964,0.00675,-0.15896,-0.09184,0.12931,-0.06692,-0.09652,0.01958,0.01164,0.01564,0.02297,0.01413,-0.02205,0.00676,0.00842,0.01736,0.01558,0.02051,-0.03549,-0.04144,0.02147,0.04914,0.08149
0.02,0.00016,-0.00062,-0.01462,-0.0444,0,-0.0063,-0.01459,-0.03251,0.01179,-0.00781,0.00521,0.00116,0.4267,-0.04839,0.48363,0.0664,-0.04194,-0.00786,0.00622,-0.15755,-0.09265,0.1314,-0.06854,-0.09341,0.02309,0.01065,0.01553,0.02431,0.01897,-0.02035,0.00555,0.00946,0.01928,0.01283,0.02172,-0.02774,-0.03838,0.02118,0.04881,0.07952
0.04,-0,-0.00055,-0.01494,-0.0523,0,-0.00723,-0.01569,-0.03052,0.01523,-0.0069,0.00023,0.00217,0.41288,-0.03965,0.47127,0.07551,-0.02897,-0.00506,0.00525,-0.15201,-0.09175,0.13087,-0.06949,-0.08678,0.0276,0.00911,0.01515,0.02567,0.02526,-0.01774,0.00384,0.01064,0.02137,0.00893,0.02296,-0.01678,-0.03361,0.02033,0.04743,0.07534
0.06,-0.00019,-0.00046,-0.0152,-0.06132,0,-0.00819,-0.01704,-0.02775,0.01918,-0.00546,-0.00587,0.00326,0.38846,-0.02745,0.44837,0.08721,-0.01192,-0.0012,0.00383,-0.14241,-0.08921,0.12741,-0.07003,-0.07659,0.03312,0.00714,0.01456,0.02704,0.0328,-0.01445,0.00177,0.0119,0.02348,0.00413,0.02421,-0.00323,-0.02749,0.01897,0.04516,0.06931
0.08,-0.00038,-0.00036,-0.01544,-0.07084,0,-0.00905,-0.01866,-0.02447,0.02333,-0.00341,-0.01266,0.0043,0.35422,-0.01213,0.41585,0.10161,0.00836,0.00368,0.00195,-0.12899,-0.08511,0.1206,-0.07052,-0.06296,0.03957,0.00489,0.01388,0.02834,0.04116,-0.01083,-0.00046,0.01314,0.02534,-0.00115,0.02539,0.0118,-0.02061,0.0172,0.04225,0.062
0.1,-0.00054,-0.00026,-0.01568,-0.07987,0,-0.00962,-0.02058,-0.02104,0.02717,-0.00071,-0.01944,0.00506,0.3114,0.00566,0.37517,0.11853,0.03049,0.00944,-0.00034,-0.11217,-0.07958,0.10999,-0.07128,-0.04625,0.04666,0.0026,0.01324,0.02946,0.04964,-0.00738,-0.00256,0.01419,0.02655,-0.00628,0.02639,0.02671,-0.01381,0.01514,0.039,0.05419
0.12,-0.00065,-0.00017,-0.01594,-0.08728,0,-0.0097,-0.02277,-0.01788,0.03018,0.00264,-0.02547,0.00533,0.2616,0.02511,0.32805,0.13765,0.05288,0.01586,-0.00298,-0.09258,-0.07276,0.09519,-0.07249,-0.02704,0.054,0.00056,0.01279,0.03024,0.05742,-0.00462,-0.00422,0.01485,0.02674,-0.01058,0.02706,0.03971,-0.008,0.01292,0.03575,0.04671
0.14,-0.00066,-0.0001,-0.01622,-0.0922,0,-0.00918,-0.0252,-0.01529,0.03192,0.00658,-0.03008,0.00495,0.20628,0.04547,0.27618,0.15873,0.0743,0.02272,-0.00595,-0.07087,-0.06482,0.07606,-0.07401,-0.00607,0.06111,-0.00104,0.01263,0.03058,0.0638,-0.00295,-0.00518,0.01497,0.02559,-0.01351,0.02732,0.04936,-0.00387,0.01066,0.03275,0.04022
0.16,-0.00057,-5e-05,-0.01655,-0.09414,0,-0.008,-0.02784,-0.01348,0.03216,0.01093,-0.03289,0.00386,0.14677,0.06617,0.22111,0.18176,0.09414,0.02974,-0.00922,-0.04785,-0.05595,0.05287,-0.07522,0.01568,0.06746,-0.00205,0.0128,0.03047,0.06839,-0.00256,-0.00534,0.01446,0.02303,-0.0148,0.02715,0.05497,-0.00179,0.00846,0.03015,0.03503
0.18,-0.00037,-3e-05,-0.01693,-0.09314,0,-0.00625,-0.0306,-0.01248,0.03093,0.01537,-0.03377,0.00216,0.08465,0.08673,0.16473,0.20678,0.11238,0.0366,-0.01279,-0.02454,-0.04646,0.02655,-0.07495,0.03688,0.07245,-0.00247,0.0133,0.02997,0.07105,-0.0034,-0.00474,0.01333,0.01921,-0.01448,0.02666,0.05656,-0.00171,0.00637,0.02797,0.03114
