T,RGRFx,RGRFy,RGRFz,RGRTx,RGRTy,RGRTz,LGRFx,LGRFy,LGRFz,LGRTx,LGRTy,LGRTz
0,0,0,-0,0,0,0,-0,5e-05,-0,0,0,0
0.02,0,0,-0,0,0,0,-0,0.00015,-0,0,0,0
0.04,0,0,-0,0,0,0,-0,0.00028,-0,0,0,0
0.06,0,0,-0,0,0,0,-1e-05,0.00046,-1e-05,0,0,0
0.08,0,0,-0,0,0,0,-1e-05,0.00068,-1e-05,0,0,0
0.1,0,0,-0,0,0,0,-1e-05,0.00094,-1e-05,0,0,0
0.12,-0,0,-0,0,-0,0,-1e-05,0.00123,-1e-05,0,0,0
0.14,-0,1e-05,-0,0,-0,-0,-2e-05,0.00152,-2e-05,0,0,-0
0.16,-0,5e-05,-0,0,-0,-0,-2e-05,0.00178,-2e-05,0,0,-0
0.18,-0,0.00012,-0,0,-0,-0,-2e-05,0.00197,-2e-05,0,0,-0
0.2,-0,0.00021,-0,0,-0,-0,-2e-05,0.00202,-2e-05,0,0,-0
0.22,-0,0.00032,-0,-0,-0,-1e-05,-2e-05,0.00185,-2e-05,-0,0,-1e-05
0.24,-0,0.00045,0,-0,-0,-1e-05,-1e-05,0.00134,-1e-05,-0,-0,-1e-05
0.26,-0,0.0006,0,-0,-0,-1e-05,0,0.00038,0,-0,-0,-1e-05
0.28,-0,0.00076,0,-0,-0,-2e-05,2e-05,0,2e-05,-0,-0,-2e-05
0.3,-0,0.00092,0,-0,-0,-2e-05,4e-05,0,4e-05,-0,-0,-2e-05
0.32,-0,0.00105,0,-0,-0,-2e-05,8e-05,0,8e-05,-0,-0,-2e-05
0.34,-0,0.00111,0,-1e-05,-0,-2e-05,0.00012,0,0.00012,-1e-05,-0,-2e-05
0.36,-0,0.00108,0,-1e-05,-0,-2e-05,0.00017,0,0.00017,-1e-05,-0,-2e-05
0.38,-0,0.00089,0,-1e-05,-0,-2e-05,0.00022,0,0.00022,-1e-05,-1e-05,-2e-05
0.4,0,0.00049,0,-1e-05,0,-1e-05,0.00029,0,0.00028,-1e-05,-1e-05,-1e-05
0.42,0,0,0,-1e-05,0,1e-05,0.00034,0,0.00034,-1e-05,-1e-05,1e-05
0.44,0,0,0,-1e-05,0,3e-05,0.00039,0,0.00039,-1e-05,-1e-05,3e-05
0.46,0,0,0,-1e-05,0,6e-05,0.00042,0,0.00042,-1e-05,-1e-05,6e-05
0.48,1e-05,0,0,-0,0,0.0001,0.00041,0,0.0004,-0,-1e-05,0.0001
0.5,1e-05,0,0,0,0,0.00015,0.00034,0,0.00033,0,-0,0.00015
0.52,1e-05,0,-0,1e-05,0,0.00021,0.00019,0,0.00018,1e-05,0,0.00021
0.54,1e-05,0,-0,3e-05,0,0.00027,-7e-05,0,-8e-05,3e-05,1e-05,0.00027
0.56,1e-05,0,-0,4e-05,0,0.00034,-0.00046,0.02922,-0.00047,4e-05,2e-05,0.00034
0.58,2e-05,0,-0,7e-05,0,0.00041,-0.00101,0.08037,-0.00103,7e-05,3e-05,0.00041
0.6,2e-05,0,-0,9e-05,0,0.00046,-0.00175,0.15006,-0.00176,9e-05,5e-05,0.00046
0.62,1e-05,0,-0,0.00012,0,0.00048,-0.00268,0.23992,-0.00269,0.00012,7e-05,0.00048
0.64,1e-05,0,-0,0.00014,0,0.00046,-0.00379,0.34998,-0.0038,0.00014,9e-05,0.00046
0.66,0,0,-0,0.00017,0,0.00036,-0.00505,0.47774,-0.00505,0.00017,0.00012,0.00036
0.68,-1e-05,0,-0,0.00019,-0,0.00016,-0.00639,0.61711,-0.00638,0.00019,0.00014,0.00016
