T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.39015,-0.009,-0.0498,0.13092,0.00077,0.00016,-0.25093,3.55343,0.11545,-0.01669,-0.16696,0.00423,-0.00356,0.24088,-0.49864,-0.11976,-0.04848,-0.00041,-0.0213,0.00059,0.28693,0.00972,0.04302,0.02255,0.05409,0.00277,0.00756,0.20723,-0.00241,-0.00864,-0.00848,0.03401,0.00425,0.03122
0.02,0.38367,-0.00961,-0.04599,0.13618,0.00038,0.00012,-0.24862,3.3216,0.11407,-0.01698,-0.16397,0.00457,-0.00336,0.2436,-0.47165,-0.12102,-0.05465,-0.00041,-0.02044,0.00047,0.2876,0.00957,0.03993,0.02657,0.05631,0.00307,0.0085,0.21094,-0.00272,-0.00916,-0.00675,0.03684,0.00407,0.02865
0.04,0.37144,-0.01036,-0.03897,0.1409,-0.00016,7e-05,-0.24071,2.94177,0.1093,-0.01709,-0.15619,0.00489,-0.00303,0.2401,-0.42611,-0.11987,-0.0621,-0.00041,-0.01891,0.00033,0.28073,0.00908,0.03434,0.03174,0.05812,0.00348,0.00971,0.21127,-0.00309,-0.00968,-0.0042,0.03994,0.0037,0.02448
0.06,0.35387,-0.0113,-0.02961,0.14501,-0.00078,1e-05,-0.22688,2.442,0.10076,-0.01725,-0.14418,0.00514,-0.00259,0.23038,-0.3642,-0.11622,-0.07098,-0.00039,-0.01681,0.00018,0.26637,0.00821,0.02626,0.03804,0.05946,0.00401,0.01126,0.2085,-0.0035,-0.01018,-0.00096,0.04322,0.00316,0.01894
0.08,0.33098,-0.01236,-0.01948,0.14825,-0.00144,-5e-05,-0.20651,1.87143,0.08808,-0.01772,-0.1288,0.00526,-0.00208,0.21504,-0.28972,-0.1099,-0.08132,-0.00036,-0.0143,4e-05,0.24514,0.00693,0.01589,0.04522,0.06019,0.00467,0.01316,0.20314,-0.00393,-0.01061,0.00273,0.04647,0.00253,0.01251
0.1,0.30362,-0.01378,-0.0104,0.15001,-0.00204,-0.0001,-0.17998,1.29434,0.07115,-0.01879,-0.11135,0.00518,-0.00154,0.19392,-0.20892,-0.10098,-0.09276,-0.00031,-0.01161,-4e-05,0.21759,0.00521,0.00357,0.05288,0.06009,0.00551,0.01555,0.19564,-0.00435,-0.01085,0.00649,0.04936,0.00183,0.00579
0.12,0.27228,-0.01585,-0.00386,0.14963,-0.00249,-0.00014,-0.14797,0.7838,0.05022,-0.02068,-0.09303,0.00481,-0.00103,0.16698,-0.12871,-0.08953,-0.10459,-0.00024,-0.00905,-2e-05,0.18469,0.00304,-0.01004,0.06064,0.05898,0.00654,0.01865,0.18644,-0.00469,-0.01074,0.00994,0.05151,0.00116,-0.00036
0.14,0.2372,-0.01812,-0.00043,0.14696,-0.00272,-0.00017,-0.1111,0.39883,0.02605,-0.02322,-0.07431,0.00404,-0.0006,0.13508,-0.05498,-0.07529,-0.11604,-0.00014,-0.00686,0.00014,0.14814,0.00041,-0.02426,0.06802,0.05666,0.00778,0.02238,0.17604,-0.00489,-0.01029,0.0128,0.05259,0.00063,-0.00521
0.16,0.19877,-0.02002,0.00035,0.14228,-0.00271,-0.00017,-0.07227,0.16004,0.00066,-0.02582,-0.05469,0.0028,-0.00025,0.09765,0.00719,-0.05809,-0.1259,1e-05,-0.00528,0.00044,0.10882,-0.00267,-0.03873,0.07485,0.05315,0.00918,0.02657,0.16446,-0.00493,-0.00948,0.01499,0.05244,0.00028,-0.00843
0.18,0.15748,-0.02127,-0.00048,0.13611,-0.00248,-0.00016,-0.03726,0.05074,-0.0225,-0.02743,-0.03277,0.00103,3e-05,0.0527,0.05341,-0.03806,-0.13199,0.0002,-0.00452,0.0009,0.0669,-0.00614,-0.05311,0.08143,0.04873,0.01073,0.03111,0.15119,-0.00477,-0.00834,0.01672,0.05113,0.0001,-0.00998
