T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.23529,0.04899,-0.0141,0.06381,-0.00695,-0.00043,-0.0669,-0.4722,0.10523,0.16829,0.00012,-0.01009,0.00305,-0.25567,0.05651,0.02525,0.01901,-0.00145,-0.01291,-0.0003,-0.26364,0.00605,-0.00242,0.15653,0.03874,0.00177,-0.01787,-0.01504,0.00594,-0.04475,0.00109,0.05682,-0.00812,-0.05634
0.02,-0.24055,0.04229,-0.01008,0.06024,-0.00617,-0.00038,-0.06766,-0.50842,0.10013,0.21154,0.00029,-0.01236,0.00338,-0.42768,0.04527,0.04161,0.03811,-0.00137,-0.01489,-0.00025,-0.29016,0.00508,-0.00216,0.17578,0.05106,0.00199,-0.01852,0.00026,0.00542,-0.04716,-0.00548,0.05949,-0.00814,-0.05822
0.04,-0.24321,0.02987,-0.00051,0.05298,-0.00424,-0.00026,-0.06775,-0.5575,0.08789,0.277,0.00065,-0.01536,0.00384,-0.66419,0.02271,0.06337,0.0712,-0.00108,-0.01737,-0.00013,-0.31956,0.00383,-0.00182,0.19769,0.06682,0.00226,-0.01924,0.01504,0.00472,-0.04999,-0.01205,0.0625,-0.00813,-0.05992
0.06,-0.24251,0.0099,0.01733,0.04181,-0.00064,-3e-05,-0.06745,-0.62076,0.06736,0.37012,0.00129,-0.01912,0.00446,-0.96399,-0.01093,0.09145,0.1237,-0.00047,-0.02036,0.00011,-0.35047,0.0024,-0.00144,0.22151,0.0855,0.00258,-0.02014,0.02619,0.0039,-0.05332,-0.01739,0.06616,-0.00808,-0.06145
0.08,-0.23557,-0.01892,0.04588,0.02661,0.00525,0.00034,-0.06696,-0.69796,0.03763,0.49423,0.00229,-0.02358,0.00524,-1.31726,-0.05273,0.12424,0.20093,0.00067,-0.0238,0.00051,-0.38051,0.00072,-0.00105,0.24495,0.10583,0.00297,-0.02127,0.02975,0.00286,-0.05724,-0.01988,0.07082,-0.00804,-0.06277
0.1,-0.22645,-0.05655,0.08493,0.00765,0.0139,0.00092,-0.06695,-0.78626,-0.00133,0.65353,0.00378,-0.02859,0.0062,-1.70976,-0.10326,0.17846,0.3077,0.00252,-0.02756,0.0011,-0.40418,-0.00103,-0.0007,0.26646,0.1262,0.00343,-0.0227,0.02144,0.00185,-0.06131,-0.01745,0.07668,-0.00794,-0.06346
0.12,-0.22383,-0.10062,0.12883,-0.01499,0.02553,0.00175,-0.06815,-0.88306,-0.04911,0.85235,0.00602,-0.03391,0.00731,-2.11952,-0.18083,0.28686,0.44531,0.00526,-0.03158,0.00192,-0.41437,-0.00251,-0.00045,0.28469,0.14498,0.00396,-0.02448,-0.00338,0.00129,-0.0649,-0.00767,0.08399,-0.00771,-0.06299
0.14,-0.22928,-0.1466,0.16591,-0.0413,0.03978,0.00286,-0.07073,-0.99072,-0.10416,1.08653,0.00887,-0.03912,0.00856,-2.52433,-0.30755,0.45958,0.60716,0.00897,-0.03575,0.00297,-0.40797,-0.00368,-0.00029,0.29443,0.16003,0.00453,-0.0265,-0.04892,0.00118,-0.06824,0.01191,0.09282,-0.00743,-0.0617
0.16,-0.24383,-0.18851,0.17887,-0.07111,0.05559,0.00428,-0.07485,-1.11741,-0.1628,1.34581,0.01212,-0.04363,0.00996,-2.89606,-0.50157,0.69112,0.77782,0.01363,-0.03999,0.00422,-0.38312,-0.00425,-0.00023,0.29125,0.16967,0.00513,-0.02854,-0.11821,0.0016,-0.07174,0.04374,0.1032,-0.00723,-0.06014
0.18,-0.2698,-0.22056,0.15047,-0.10395,0.07142,0.00599,-0.08078,-1.27549,-0.21948,1.61574,0.01604,-0.04691,0.01149,-3.17669,-0.76357,0.95154,0.93262,0.019,-0.04408,0.0056,-0.33738,-0.00377,-0.00026,0.27426,0.17373,0.00559,-0.03054,-0.21293,0.00272,-0.07564,0.08989,0.11501,-0.00706,-0.05852
