T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.00095,-0.00064,0.00012,0.00181,-0.0002,-1e-05,0.00071,-0.0051,-0.00047,0.00051,-6e-05,-0.00024,-0.00014,0.00084,0.0048,0.00039,0.00058,3e-05,-0.00027,0.00015,-0.00609,0.0009,-0.00035,-0.00156,0.00151,-0.00015,-0.0001,-0.00733,-0.00033,0.00066,-0.00102,0.00174,-4e-05,-0.0004
0.02,-0.00094,-0.0006,0.00011,0.00181,-0.0002,-1e-05,0.00071,-0.0051,-0.00047,0.00051,-6e-05,-0.00024,-0.00014,0.00084,0.00481,0.00039,0.00058,3e-05,-0.00027,0.00015,-0.00609,0.0009,-0.00035,-0.00156,0.00151,-0.00015,-0.0001,-0.00732,-0.00034,0.00066,-0.00102,0.00174,-4e-05,-0.0004
0.04,-0.00094,-0.00055,0.00011,0.00181,-0.0002,-1e-05,0.00071,-0.0051,-0.00047,0.00051,-6e-05,-0.00024,-0.00014,0.00084,0.00481,0.00039,0.00058,3e-05,-0.00027,0.00015,-0.00609,0.00089,-0.00034,-0.00155,0.00151,-0.00015,-0.0001,-0.00731,-0.00035,0.00066,-0.00103,0.00174,-4e-05,-0.00041
0.06,-0.00094,-0.00049,0.0001,0.00181,-0.0002,-1e-05,0.00071,-0.0051,-0.00047,0.00051,-6e-05,-0.00024,-0.00014,0.00084,0.00481,0.00039,0.00058,3e-05,-0.00027,0.00015,-0.0061,0.00087,-0.00034,-0.00155,0.00151,-0.00015,-0.0001,-0.0073,-0.00036,0.00067,-0.00103,0.00174,-4e-05,-0.00041
0.08,-0.00094,-0.00041,9e-05,0.00181,-0.00019,-1e-05,0.00071,-0.0051,-0.00047,0.00051,-6e-05,-0.00024,-0.00014,0.00085,0.00481,0.00039,0.00058,3e-05,-0.00027,0.00015,-0.0061,0.00085,-0.00034,-0.00155,0.00151,-0.00015,-0.0001,-0.0073,-0.00039,0.00067,-0.00103,0.00174,-4e-05,-0.00041
0.1,-0.00094,-0.00032,8e-05,0.00181,-0.00019,-1e-05,0.00071,-0.0051,-0.00047,0.00051,-6e-05,-0.00024,-0.00014,0.00085,0.00481,0.00039,0.00058,3e-05,-0.00027,0.00015,-0.0061,0.00082,-0.00033,-0.00155,0.00151,-0.00015,-0.0001,-0.00729,-0.00041,0.00068,-0.00103,0.00174,-4e-05,-0.00041
0.12,-0.00093,-0.00022,6e-05,0.00181,-0.00018,-1e-05,0.00072,-0.0051,-0.00047,0.00051,-7e-05,-0.00024,-0.00014,0.00085,0.00481,0.00039,0.00058,3e-05,-0.00027,0.00015,-0.0061,0.00079,-0.00033,-0.00155,0.00151,-0.00015,-0.0001,-0.00728,-0.00045,0.00068,-0.00103,0.00174,-4e-05,-0.00041
0.14,-0.00092,-0.00011,3e-05,0.0018,-0.00017,-1e-05,0.00072,-0.0051,-0.00047,0.00051,-7e-05,-0.00023,-0.00014,0.00084,0.00481,0.00039,0.00058,3e-05,-0.00027,0.00015,-0.00609,0.00075,-0.00032,-0.00154,0.00151,-0.00015,-0.0001,-0.00727,-0.00048,0.00069,-0.00104,0.00174,-4e-05,-0.00041
0.16,-0.00091,2e-05,1e-05,0.0018,-0.00016,-1e-05,0.00072,-0.0051,-0.00046,0.00051,-7e-05,-0.00023,-0.00014,0.00084,0.0048,0.00039,0.00058,2e-05,-0.00027,0.00015,-0.00608,0.00071,-0.00031,-0.00154,0.00151,-0.00016,-0.0001,-0.00727,-0.00052,0.00069,-0.00104,0.00174,-4e-05,-0.00041
0.18,-0.0009,0.00015,-2e-05,0.0018,-0.00016,-1e-05,0.00072,-0.0051,-0.00046,0.00052,-6e-05,-0.00023,-0.00014,0.00084,0.00479,0.00039,0.00058,2e-05,-0.00027,0.00015,-0.00608,0.00066,-0.00031,-0.00154,0.00151,-0.00016,-0.0001,-0.00726,-0.00057,0.0007,-0.00105,0.00173,-4e-05,-0.00041
