T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.06033,-0.41445,-0.01881,0.34062,-0.03702,-0.03101,0.03642,-0.00041,0.1138,1.11029,0.0473,0.23267,-0.01736,0.03871,-0.00858,0.27522,1.59544,0.01535,0.4141,-0.00996,1.11052,-1.20482,0.19658,-1.03615,-1.48929,0.07011,-0.19541,1.29153,0.33015,-0.36673,-1.31751,-1.74277,0.18841,1.01062
0.02,0.06099,-0.41346,-0.01825,0.33964,-0.03728,-0.03148,0.03621,-0.00023,0.11332,1.10891,0.04687,0.23188,-0.01723,0.0467,-0.00836,0.25863,1.5912,0.01542,0.41398,-0.01004,1.10943,-1.20531,0.19596,-1.03487,-1.48965,0.06984,-0.19489,1.29069,0.3293,-0.36775,-1.31582,-1.74303,0.19,1.01179
0.04,0.06181,-0.41249,-0.01762,0.33833,-0.03764,-0.03204,0.036,-8e-05,0.11248,1.10695,0.04607,0.23109,-0.01703,0.0574,-0.00774,0.2394,1.58579,0.0157,0.41356,-0.01014,1.10819,-1.20582,0.19526,-1.0334,-1.49002,0.06963,-0.19433,1.28961,0.32837,-0.36878,-1.31368,-1.74336,0.19153,1.01283
0.06,0.0628,-0.41154,-0.01686,0.33664,-0.03814,-0.03269,0.03595,2e-05,0.11132,1.10424,0.04482,0.23037,-0.01675,0.07126,-0.00662,0.21696,1.57883,0.01625,0.41284,-0.01027,1.10667,-1.20641,0.19447,-1.03159,-1.49035,0.06947,-0.19365,1.28822,0.32736,-0.36979,-1.31102,-1.74382,0.19293,1.01369
0.08,0.06378,-0.41055,-0.01624,0.33471,-0.03879,-0.03332,0.03631,1e-05,0.1103,1.1011,0.04317,0.22984,-0.01642,0.0883,-0.00497,0.19357,1.57314,0.01708,0.41195,-0.01042,1.10532,-1.20689,0.19372,-1.02997,-1.4907,0.06929,-0.19307,1.287,0.32642,-0.371,-1.30871,-1.74408,0.1946,1.01535
0.1,0.06555,-0.40972,-0.01519,0.33189,-0.03971,-0.03413,0.03722,-0.00016,0.10874,1.0955,0.04066,0.22949,-0.01589,0.10871,-0.00259,0.16292,1.55985,0.01847,0.41064,-0.01067,1.1029,-1.20759,0.19266,-1.02702,-1.49118,0.06933,-0.19213,1.28432,0.32492,-0.37199,-1.30392,-1.74513,0.19572,1.01537
0.12,0.06879,-0.4092,-0.01299,0.3277,-0.04095,-0.03541,0.03874,-0.00055,0.10568,1.08687,0.03681,0.22922,-0.01504,0.13234,0.0007,0.11984,1.53162,0.02068,0.40864,-0.0111,1.09839,-1.20858,0.19088,-1.02138,-1.49194,0.06977,-0.19006,1.27878,0.32236,-0.37205,-1.29418,-1.74796,0.19526,1.01079
0.14,0.073,-0.40882,-0.01044,0.32258,-0.04254,-0.03679,0.04124,-0.00125,0.10249,1.075,0.03192,0.22942,-0.01393,0.15829,0.00487,0.07206,1.49517,0.02362,0.40641,-0.01164,1.09269,-1.2098,0.18878,-1.0143,-1.49286,0.07045,-0.18746,1.27162,0.31914,-0.37187,-1.28176,-1.75163,0.19434,1.00466
0.16,0.07747,-0.40835,-0.00814,0.31715,-0.04442,-0.03803,0.0449,-0.00233,0.10016,1.06098,0.0263,0.2304,-0.01269,0.18557,0.00993,0.02597,1.45832,0.02716,0.4044,-0.01223,1.08692,-1.21097,0.18679,-1.00714,-1.49383,0.07111,-0.18488,1.26431,0.31587,-0.37198,-1.26927,-1.75519,0.19375,0.99959
0.18,0.08124,-0.40777,-0.0057,0.31225,-0.0463,-0.03928,0.0494,-0.00384,0.09813,1.0501,0.02013,0.23205,-0.01147,0.21298,0.01587,-0.01575,1.42815,0.03126,0.40292,-0.01287,1.0819,-1.21204,0.18489,-1.00088,-1.49455,0.0716,-0.18278,1.25835,0.31341,-0.37146,-1.25906,-1.75815,0.19268,0.99306
0.2,0.08769,-0.40724,-0.00344,0.30555,-0.04895,-0.04043,0.05484,-0.00591,0.09679,1.02651,0.01237,0.23493,-0.00974,0.23962,0.023,-0.06106,1.37767,0.03649,0.40153,-0.01366,1.07427,-1.21345,0.1828,-0.9915,-1.49603,0.0726,-0.17947,1.24831,0.30897,-0.37176,-1.24245,-1.76269,0.19235,0.98877
0.22,0.10031,-0.40689,-0.00185,0.29443,-0.05317,-0.04131,0.06136,-0.00867,0.09664,0.97478,0.00218,0.23946,-0.00697,0.26445,0.0315,-0.1163,1.28225,0.04322,0.39958,-0.01463,1.06067,-1.21565,0.18024,-0.97499,-1.49909,0.07495,-0.17328,1.22868,0.29937,-0.37487,-1.21026,-1.77115,0.1947,0.9924
