T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,7.32854,2.23082,0.01155,1.8028,0.01415,-0.01064,0.95972,-7.83863,-0.69215,2.25658,0.03171,-0.01335,-0.24407,1.74239,6.59927,0.86066,1.97202,-0.02549,-0.09592,0.20011,-3.22477,-1.53316,0.13107,-2.76135,0.3153,-0.04579,-0.01395,-4.85247,0.30052,-0.01929,-2.63669,0.34009,0.02151,-0.00665
0.02,7.33561,2.19784,0.02615,1.80389,0.01124,-0.01096,0.96221,-7.83537,-0.69202,2.25567,0.03161,-0.01333,-0.24386,1.74562,6.59582,0.86132,1.97095,-0.0255,-0.09582,0.20002,-3.22568,-1.5306,0.13083,-2.76322,0.31529,-0.04586,-0.01397,-4.85858,0.30332,-0.01987,-2.63785,0.34008,0.0215,-0.00667
0.04,7.33977,2.16398,0.03667,1.80485,0.00868,-0.01125,0.96475,-7.83266,-0.69207,2.25484,0.03152,-0.01334,-0.24368,1.74846,6.59033,0.86148,1.9699,-0.02554,-0.09562,0.19992,-3.22558,-1.52883,0.13076,-2.7648,0.31528,-0.04593,-0.01399,-4.86538,0.30628,-0.02065,-2.63918,0.34007,0.02149,-0.0067
0.06,7.33944,2.12527,0.04011,1.80556,0.00632,-0.01153,0.96734,-7.83083,-0.69236,2.25426,0.03145,-0.0134,-0.24356,1.75074,6.58188,0.86085,1.96903,-0.02563,-0.09524,0.19985,-3.22535,-1.52729,0.13079,-2.76643,0.31528,-0.04601,-0.01402,-4.87303,0.30927,-0.02164,-2.64057,0.34004,0.02149,-0.00672
0.08,7.33214,2.08892,0.03168,1.80641,0.00484,-0.01174,0.96957,-7.83062,-0.69308,2.25398,0.0314,-0.01352,-0.24352,1.75252,6.5666,0.85891,1.96867,-0.02583,-0.09455,0.19985,-3.22272,-1.52737,0.13111,-2.76777,0.31528,-0.04611,-0.01406,-4.88045,0.31155,-0.02281,-2.64206,0.34001,0.02147,-0.00678
0.1,7.31953,2.04751,0.00765,1.80713,0.00381,-0.01192,0.97255,-7.83199,-0.69424,2.25431,0.03138,-0.01373,-0.24364,1.75315,6.54885,0.85553,1.96906,-0.0261,-0.0936,0.19992,-3.21954,-1.52847,0.13164,-2.76882,0.31529,-0.04619,-0.01408,-4.88853,0.31375,-0.02419,-2.64339,0.33999,0.0215,-0.00678
0.12,7.30446,2.00027,-0.0361,1.80718,0.00331,-0.01207,0.97759,-7.83483,-0.69596,2.25547,0.0314,-0.01406,-0.24397,1.75167,6.53444,0.85062,1.97052,-0.02643,-0.09243,0.20006,-3.21752,-1.53234,0.1326,-2.76916,0.31532,-0.04618,-0.01409,-4.89838,0.3142,-0.02558,-2.64428,0.33998,0.02163,-0.00663
0.14,7.28216,1.95334,-0.10371,1.8075,0.00393,-0.01215,0.98335,-7.84004,-0.69827,2.25759,0.03148,-0.01449,-0.24453,1.74856,6.51384,0.84336,1.97316,-0.02692,-0.0908,0.20033,-3.21421,-1.53812,0.13387,-2.76907,0.31536,-0.04614,-0.01408,-4.90845,0.31322,-0.027,-2.64493,0.33998,0.02181,-0.00644
0.16,7.24639,1.91526,-0.19853,1.80863,0.00651,-0.01209,0.98875,-7.84825,-0.70116,2.26081,0.03163,-0.01498,-0.24534,1.74407,6.4791,0.83295,1.97711,-0.02764,-0.0885,0.20077,-3.20763,-1.54694,0.13554,-2.76874,0.31541,-0.04613,-0.01409,-4.9175,0.31003,-0.02838,-2.64557,0.33998,0.02196,-0.00629
0.18,7.19358,1.88982,-0.32148,1.80923,0.01144,-0.01186,0.99412,-7.85942,-0.70472,2.26512,0.03184,-0.01558,-0.24641,1.73711,6.4331,0.81945,1.9822,-0.02859,-0.08554,0.20138,-3.19845,-1.55956,0.13772,-2.76794,0.31547,-0.0461,-0.01411,-4.92627,0.30348,-0.02948,-2.64629,0.33999,0.02215,-0.0061
0.2,7.1294,1.87943,-0.47131,1.81209,0.0183,-0.01148,0.99983,-7.87265,-0.70809,2.27134,0.03217,-0.01604,-0.24778,1.72957,6.3702,0.80209,1.98896,-0.0298,-0.08186,0.20217,-3.18615,-1.57544,0.14029,-2.76703,0.31553,-0.04612,-0.01415,-4.93437,0.29336,-0.03019,-2.64695,0.33998,0.02229,-0.00601
0.22,7.06256,1.89065,-0.64533,1.821,0.02656,-0.011,1.00607,-7.88685,-0.71012,2.28047,0.03273,-0.01607,-0.2495,1.72362,6.28338,0.78,1.99807,-0.0313,-0.07741,0.20318,-3.16973,-1.59452,0.14318,-2.76614,0.31557,-0.04628,-0.01424,-4.94201,0.27869,-0.03031,-2.64751,0.33995,0.02224,-0.00617
0.24,6.98242,1.92937,-0.83783,1.83168,0.03698,-0.01033,1.01283,-7.90149,-0.71122,2.2918,0.03341,-0.0158,-0.25151,1.71733,6.1801,0.75433,2.00849,-0.03302,-0.07233,0.20433,-3.15004,-1.61821,0.14667,-2.76509,0.31561,-0.04649,-0.01437,-4.94882,0.25809,-0.02948,-2.64804,0.33992,0.02212,-0.00643
0.26,6.88208,2.00173,-1.04052,1.84084,0.05021,-0.00938,1.01986,-7.91573,-0.71149,2.30471,0.03418,-0.01529,-0.25375,1.70881,6.06683,0.72619,2.0192,-0.0349,-0.06676,0.20556,-3.1287,-1.6477,0.15097,-2.76379,0.31565,-0.04668,-0.0145,-4.95303,0.23011,-0.02741,-2.64846,0.33989,0.022,-0.00668
0.28,6.76292,2.11472,-1.24449,1.84993,0.06608,-0.00812,1.02657,-7.92814,-0.70956,2.31974,0.03509,-0.01426,-0.25621,1.69784,5.94208,0.6953,2.03043,-0.03693,-0.06075,0.20685,-3.10455,-1.6831,0.15609,-2.76201,0.31569,-0.04689,-0.01466,-4.95438,0.19417,-0.02396,-2.64884,0.33986,0.02182,-0.00697
0.3,6.63703,2.266,-1.43651,1.85704,0.08321,-0.00672,1.03498,-7.93586,-0.70634,2.33577,0.03601,-0.01286,-0.25875,1.68821,5.8145,0.66436,2.04045,-0.03887,-0.05479,0.20802,-3.08,-1.72359,0.16199,-2.7605,0.31572,-0.04707,-0.01482,-4.95351,0.15104,-0.01884,-2.64861,0.33987,0.02166,-0.00726
0.32,6.51399,2.454,-1.60188,1.85952,0.1005,-0.00527,1.04694,-7.93607,-0.70281,2.35134,0.03676,-0.01136,-0.2612,1.6826,5.69347,0.63598,2.04733,-0.04056,-0.04931,0.20892,-3.05653,-1.77003,0.16881,-2.75922,0.31573,-0.04717,-0.01497,-4.9511,0.10181,-0.01187,-2.64721,0.33998,0.02158,-0.00748
0.34,6.3943,2.68196,-1.73078,1.85969,0.11774,-0.00375,1.06061,-7.92745,-0.69701,2.3671,0.03747,-0.00932,-0.26352,1.67912,5.57736,0.6095,2.05158,-0.04196,-0.04439,0.20951,-3.0334,-1.82127,0.17637,-2.7582,0.31573,-0.04723,-0.01511,-4.94696,0.04596,-0.00317,-2.64526,0.34014,0.02152,-0.00769
0.36,6.27372,2.95967,-1.81702,1.85921,0.13531,-0.00206,1.07387,-7.90952,-0.68717,2.38345,0.03827,-0.00641,-0.26567,1.67494,5.46489,0.58428,2.05375,-0.04308,-0.04002,0.20978,-3.01195,-1.87886,0.18475,-2.75715,0.31571,-0.04733,-0.01527,-4.93907,-0.01766,0.00712,-2.64307,0.34032,0.02141,-0.00793
0.38,6.15273,3.28657,-1.85589,1.85769,0.15333,-0.0001,1.08593,-7.8821,-0.67285,2.39991,0.03902,-0.00272,-0.26762,1.66667,5.35758,0.5606,2.05332,-0.04402,-0.03604,0.20978,-2.99474,-1.94307,0.19389,-2.75586,0.3157,-0.04741,-0.01545,-4.92751,-0.08958,0.01888,-2.64066,0.34051,0.02119,-0.00823
