T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-2.5326,1.91803,0.03118,1.43612,-0.30833,-0.02505,0.25799,-6.26186,-1.12973,0.73401,-0.13902,-0.18151,-0.10743,0.1529,6.04167,1.0505,0.78559,0.05185,-0.3589,0.15898,13.34347,-1.21608,-0.8176,17.39977,-18.76996,-1.61064,0.84171,10.45775,-2.16518,0.65808,12.64963,-20.63691,-0.73124,-0.08891
0.02,-2.49905,1.93221,0.02852,1.44148,-0.30722,-0.02494,0.2571,-6.25661,-1.13043,0.73351,-0.13893,-0.18125,-0.10739,0.15842,6.04907,1.04643,0.78698,0.05165,-0.35873,0.15926,13.3366,-1.21325,-0.81565,17.39269,-18.79027,-1.58865,0.84786,10.44987,-2.16458,0.6589,12.64352,-20.6474,-0.70782,-0.09005
0.04,-2.45969,1.95075,0.02163,1.44722,-0.30645,-0.02485,0.25631,-6.2501,-1.1309,0.73246,-0.1387,-0.18098,-0.10725,0.16388,6.05843,1.04256,0.78923,0.05143,-0.35852,0.15965,13.32939,-1.20554,-0.8138,17.3865,-18.80984,-1.56516,0.85452,10.44453,-2.16125,0.65983,12.64115,-20.65638,-0.68377,-0.09128
0.06,-2.41514,1.97265,0.0101,1.4532,-0.30605,-0.02478,0.25567,-6.24266,-1.13114,0.73084,-0.13834,-0.18075,-0.10705,0.16923,6.06946,1.03896,0.79236,0.05119,-0.35827,0.1601,13.31921,-1.20256,-0.81155,17.3807,-18.82802,-1.54064,0.86082,10.43627,-2.16059,0.66093,12.63841,-20.66371,-0.65935,-0.09271
0.08,-2.36987,1.99804,-0.00642,1.45994,-0.30541,-0.02462,0.25481,-6.23473,-1.13197,0.72922,-0.138,-0.18051,-0.10684,0.17616,6.08258,1.034,0.79559,0.05091,-0.35799,0.16063,13.31164,-1.19672,-0.80925,17.37628,-18.84426,-1.51486,0.86802,10.43153,-2.15819,0.6623,12.63794,-20.66862,-0.63435,-0.0937
0.1,-2.31999,2.01792,-0.028,1.46577,-0.30631,-0.02465,0.25474,-6.22726,-1.1318,0.72687,-0.13754,-0.18046,-0.10653,0.18105,6.09498,1.03094,0.79987,0.05063,-0.35769,0.16117,13.30679,-1.19042,-0.80687,17.37683,-18.85853,-1.48742,0.87426,10.42045,-2.15728,0.66394,12.63891,-20.67149,-0.60932,-0.09542
0.12,-2.26046,2.0236,-0.05477,1.46837,-0.31096,-0.02526,0.25657,-6.22157,-1.12867,0.72247,-0.13674,-0.18084,-0.10602,0.17863,6.10276,1.03437,0.80649,0.05048,-0.35735,0.16166,13.29672,-1.18746,-0.80454,17.38135,-18.87157,-1.45884,0.87749,10.40014,-2.15242,0.66568,12.64838,-20.67197,-0.58441,-0.09822
0.14,-2.20032,2.01783,-0.08568,1.46998,-0.3168,-0.02602,0.2592,-6.21821,-1.12484,0.71801,-0.13597,-0.18146,-0.1055,0.17442,6.1076,1.03907,0.81307,0.05035,-0.35703,0.16208,13.28727,-1.18121,-0.80216,17.38777,-18.88336,-1.42876,0.87977,10.3741,-2.14368,0.66762,12.6603,-20.67054,-0.55925,-0.10099
0.16,-2.14855,2.00122,-0.11894,1.47212,-0.3218,-0.02663,0.26169,-6.21781,-1.12214,0.71499,-0.1355,-0.18211,-0.10517,0.1725,6.11064,1.04127,0.81778,0.05017,-0.35678,0.16239,13.28185,-1.17333,-0.79939,17.39498,-18.89375,-1.39747,0.88315,10.35347,-2.1354,0.66995,12.67283,-20.66753,-0.53358,-0.10357
0.18,-2.1046,1.97012,-0.15303,1.47286,-0.32758,-0.02737,0.26399,-6.22139,-1.12001,0.71216,-0.13519,-0.18293,-0.10504,0.1684,6.10856,1.045,0.82184,0.05005,-0.35656,0.16253,13.28658,-1.16926,-0.79659,17.40922,-18.90265,-1.36538,0.88583,10.33787,-2.12719,0.67255,12.69,-20.66282,-0.50654,-0.10685
0.2,-2.06742,1.92072,-0.18478,1.47551,-0.33133,-0.02786,0.26696,-6.22865,-1.11811,0.71232,-0.13507,-0.1837,-0.10508,0.16849,6.10472,1.04423,0.82239,0.04989,-0.35645,0.16252,13.28232,-1.15989,-0.79274,17.41343,-18.91192,-1.33174,0.88916,10.32211,-2.11792,0.67534,12.70491,-20.65748,-0.48051,-0.10926
0.22,-2.03444,1.84865,-0.21113,1.48438,-0.32975,-0.02763,0.27175,-6.23871,-1.11588,0.71902,-0.13515,-0.18413,-0.10533,0.18084,6.10389,1.0313,0.8161,0.04955,-0.35652,0.16234,13.25485,-1.14547,-0.78647,17.39395,-18.92262,-1.29685,0.8932,10.31036,-2.10426,0.67803,12.71346,-20.65252,-0.45872,-0.1073
0.24,-2.0091,1.76389,-0.2325,1.49477,-0.32587,-0.02716,0.27711,-6.25174,-1.11361,0.72851,-0.13527,-0.1844,-0.10577,0.19643,6.10094,1.01471,0.80673,0.04923,-0.35662,0.162,13.21576,-1.12554,-0.77918,17.36152,-18.93435,-1.26089,0.89793,10.30105,-2.08763,0.68062,12.71978,-20.64742,-0.43786,-0.10413
0.26,-1.9918,1.67569,-0.24886,1.50329,-0.32198,-0.02678,0.28204,-6.26741,-1.1115,0.73791,-0.13529,-0.18463,-0.1064,0.20859,6.09287,1.00087,0.79746,0.04906,-0.35663,0.16152,13.19065,-1.10909,-0.7719,17.33818,-18.94527,-1.22418,0.90218,10.29541,-2.07014,0.68316,12.72891,-20.64165,-0.41511,-0.10191
0.28,-1.98142,1.5865,-0.25884,1.51226,-0.31702,-0.02636,0.28759,-6.28438,-1.10846,0.74853,-0.13506,-0.18461,-0.10709,0.2199,6.08255,0.98754,0.78784,0.04897,-0.35652,0.16099,13.16793,-1.08562,-0.76422,17.31393,-18.95644,-1.18609,0.90734,10.29841,-2.04796,0.68547,12.74199,-20.63561,-0.39262,-0.09799
0.3,-1.97271,1.50578,-0.26278,1.51847,-0.31179,-0.02588,0.29243,-6.30142,-1.10572,0.75868,-0.1347,-0.18444,-0.10798,0.23003,6.0705,0.97506,0.77866,0.04901,-0.35633,0.16043,13.14424,-1.06897,-0.75622,17.28719,-18.9681,-1.14749,0.91138,10.2939,-2.03212,0.68771,12.74822,-20.62957,-0.36689,-0.09725
0.32,-1.95786,1.44494,-0.26168,1.51839,-0.3071,-0.02535,0.2944,-6.31745,-1.10552,0.76645,-0.13446,-0.18421,-0.1093,0.23921,6.05725,0.96329,0.77064,0.04921,-0.35614,0.15984,13.1169,-1.06741,-0.74868,17.25568,-18.98026,-1.10962,0.91299,10.25714,-2.0324,0.69005,12.73075,-20.62402,-0.33259,-0.1045
0.34,-1.93539,1.40525,-0.25541,1.51617,-0.30204,-0.02471,0.29594,-6.33162,-1.10503,0.7733,-0.13394,-0.18374,-0.11072,0.24754,6.04482,0.95245,0.76431,0.04949,-0.35585,0.15934,13.0874,-1.06967,-0.74095,17.22107,-18.99312,-1.07031,0.91408,10.20955,-2.03444,0.69225,12.70549,-20.61854,-0.29443,-0.1143
0.36,-1.90835,1.38708,-0.24494,1.51492,-0.29598,-0.02395,0.29876,-6.34332,-1.10243,0.78048,-0.13285,-0.18289,-0.11204,0.25522,6.03465,0.94253,0.76013,0.04975,-0.35536,0.15907,13.06239,-1.06993,-0.73283,17.1892,-19.00639,-1.0287,0.9154,10.17003,-2.03591,0.69441,12.68459,-20.61271,-0.25554,-0.12274
0.38,-1.87756,1.39384,-0.23272,1.51436,-0.28845,-0.02295,0.30099,-6.35193,-1.10027,0.78814,-0.13144,-0.18163,-0.11329,0.26603,6.02778,0.92997,0.75737,0.04988,-0.35474,0.15904,13.03667,-1.0666,-0.72518,17.15487,-19.02063,-0.98672,0.91639,10.13198,-2.03326,0.69652,12.66375,-20.60653,-0.21344,-0.13162
0.4,-1.82499,1.42891,-0.22225,1.51414,-0.2806,-0.0219,0.30567,-6.35826,-1.09387,0.7944,-0.12946,-0.18023,-0.11453,0.27219,6.02155,0.92166,0.75847,0.05002,-0.35389,0.15921,13.00729,-1.06356,-0.71662,17.12013,-19.03575,-0.93864,0.91896,10.09345,-2.0314,0.69872,12.64473,-20.59992,-0.1699,-0.13942
0.42,-1.73052,1.48914,-0.21745,1.51326,-0.27431,-0.02112,0.31646,-6.36346,-1.07751,0.79692,-0.12673,-0.17908,-0.1158,0.26285,6.01233,0.92681,0.76612,0.05038,-0.35265,0.15953,12.96103,-1.0627,-0.70567,17.08064,-19.05198,-0.87953,0.9258,10.05179,-2.03303,0.70113,12.63065,-20.59282,-0.12752,-0.14345
0.44,-1.61745,1.57105,-0.22054,1.51328,-0.26753,-0.0203,0.32924,-6.36666,-1.0577,0.79833,-0.12372,-0.17793,-0.11707,0.25008,6.00176,0.9344,0.77709,0.05064,-0.35114,0.16002,12.90915,-1.06147,-0.69409,17.04043,-19.06921,-0.81293,0.93465,10.00738,-2.03724,0.70384,12.61783,-20.58537,-0.08288,-0.14635
0.46,-1.50526,1.67188,-0.23277,1.51549,-0.25848,-0.01922,0.34081,-6.36745,-1.03926,0.80091,-0.12088,-0.17655,-0.11834,0.24288,5.9916,0.93609,0.78873,0.05052,-0.34941,0.1607,12.85797,-1.05936,-0.68337,17.00014,-19.0876,-0.74332,0.94305,9.96556,-2.03701,0.70674,12.60621,-20.57728,-0.03354,-0.14966
0.48,-1.38974,1.78482,-0.25476,1.51743,-0.24846,-0.01805,0.35241,-6.36631,-1.01988,0.8036,-0.11874,-0.17523,-0.11951,0.23198,5.97915,0.93907,0.80148,0.0502,-0.34735,0.16149,12.80291,-1.04981,-0.67458,16.95524,-19.1076,-0.6743,0.95197,9.92035,-2.03013,0.70971,12.5944,-20.56886,0.02011,-0.15211
0.5,-1.27841,1.91155,-0.28622,1.52402,-0.23662,-0.0167,0.36397,-6.36328,-1.00016,0.80748,-0.11646,-0.17392,-0.12078,0.23137,5.96632,0.93305,0.81607,0.04939,-0.34488,0.16246,12.74298,-1.04448,-0.664,16.91241,-19.12914,-0.58816,0.96247,9.87408,-2.02941,0.71343,12.58352,-20.55953,0.08004,-0.15579
0.52,-1.18298,2.05332,-0.32679,1.54173,-0.22185,-0.01502,0.37426,-6.35851,-0.98184,0.81348,-0.11275,-0.17257,-0.12244,0.25924,5.95659,0.90437,0.83281,0.04766,-0.34191,0.16371,12.67842,-1.058,-0.64727,16.87945,-19.15181,-0.46469,0.97538,9.8127,-2.04687,0.71841,12.56071,-20.54976,0.14932,-0.16279
