T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-6.29445,-0.42629,0.11718,1.58147,-0.03447,-0.00673,0.30516,-5.94975,0.02661,1.96392,0.04788,0.08295,-0.17406,1.05383,5.18267,0.00082,1.9729,-0.02946,0.04353,0.19049,8.7919,-0.49617,0.24497,9.38102,-8.93896,6.58002,1.51695,20.29373,-1.96947,-0.3148,15.23389,-9.98149,-5.26537,-1.68437
0.02,-6.26488,-0.39964,0.12128,1.61069,-0.04111,-0.00781,0.29355,-5.95446,0.02416,1.9638,0.04851,0.08356,-0.17363,1.06357,5.18208,-0.0013,1.97391,-0.02954,0.04319,0.19091,8.86583,-0.4928,0.24794,9.37628,-9.02874,6.62366,1.52815,20.22465,-1.99615,-0.31143,15.14247,-10.06078,-5.21855,-1.69444
0.04,-6.22427,-0.37299,0.12131,1.64113,-0.04789,-0.00897,0.2819,-5.9578,0.02154,1.9633,0.04912,0.08413,-0.1732,1.07347,5.18187,-0.00342,1.97506,-0.02966,0.04287,0.19135,8.93468,-0.4917,0.25067,9.36916,-9.12078,6.66854,1.53953,20.15273,-2.0224,-0.30773,15.04866,-10.14235,-5.17022,-1.70475
0.06,-6.17423,-0.34855,0.11648,1.67244,-0.05485,-0.0102,0.27022,-5.9601,0.01876,1.96252,0.04969,0.08466,-0.17276,1.08357,5.18124,-0.00553,1.97601,-0.02982,0.0426,0.19178,9.00111,-0.49095,0.25321,9.36098,-9.21384,6.71436,1.55116,20.08049,-2.05099,-0.30383,14.9547,-10.22507,-5.12113,-1.71525
0.08,-6.12058,-0.32566,0.10592,1.70468,-0.06184,-0.01148,0.25801,-5.96207,0.01572,1.96167,0.05026,0.0852,-0.17232,1.09451,5.17744,-0.00788,1.97608,-0.03002,0.04225,0.19216,9.06753,-0.48941,0.25551,9.35248,-9.30778,6.75805,1.56224,20.01038,-2.07824,-0.30033,14.86009,-10.30749,-5.07382,-1.72621
0.1,-6.06202,-0.30645,0.08837,1.73579,-0.06853,-0.01274,0.24659,-5.96356,0.0127,1.96076,0.05075,0.08561,-0.17194,1.10442,5.17368,-0.00986,1.97562,-0.03023,0.04218,0.19238,9.13236,-0.49391,0.258,9.34526,-9.39962,6.80559,1.57421,19.93294,-2.10875,-0.29644,14.76539,-10.39088,-5.02343,-1.73624
0.12,-5.99754,-0.28566,0.06278,1.76368,-0.07403,-0.01385,0.23742,-5.96466,0.01,1.9598,0.05113,0.08574,-0.1717,1.11108,5.17427,-0.01076,1.97534,-0.0304,0.04284,0.1923,9.19378,-0.50182,0.26108,9.33928,-9.48537,6.86539,1.58983,19.83016,-2.1421,-0.29125,14.66784,-10.47652,-4.96446,-1.74283
0.14,-5.93516,-0.26804,0.02944,1.78954,-0.07881,-0.01489,0.22897,-5.96626,0.00734,1.95907,0.05143,0.08576,-0.17154,1.11655,5.17329,-0.01132,1.97406,-0.03056,0.04379,0.19198,9.25562,-0.51402,0.26463,9.33622,-9.5675,6.92833,1.60624,19.72033,-2.17695,-0.2861,14.5706,-10.56175,-4.90315,-1.74819
0.16,-5.87759,-0.26023,-0.01089,1.81488,-0.08337,-0.0159,0.21988,-5.96902,0.00445,1.95874,0.05172,0.08577,-0.17141,1.12252,5.16642,-0.01212,1.97085,-0.03074,0.04468,0.19148,9.32259,-0.52851,0.26856,9.33695,-9.64769,6.98757,1.6216,19.61899,-2.21491,-0.28203,14.47771,-10.64401,-4.84485,-1.75398
0.18,-5.82377,-0.25944,-0.05752,1.83985,-0.088,-0.01693,0.21002,-5.97339,0.00139,1.95875,0.05204,0.08571,-0.17133,1.12855,5.1558,-0.01297,1.96608,-0.03089,0.04566,0.19076,9.39323,-0.5421,0.2731,9.33953,-9.7234,7.0479,1.63752,19.51431,-2.25591,-0.27885,14.38504,-10.72256,-4.78953,-1.75901
