T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.01878,0.003,-0.01266,-0.24379,0.0014,0.00116,-0.04171,0.98309,3e-05,-0.14625,0.02595,0.02098,-0.0096,-0.00131,-0.93947,0.17851,-0.00846,0.02199,0.00136,0.00671,-0.19363,0.00096,-0.03816,0.05072,-0.20909,0.05778,0.01279,-0.26992,-0.00607,-0.00312,0.24871,0.05372,0.00907,0.01893
0.02,-0.01809,0.00248,-0.01316,-0.2512,0.00116,0.00113,-0.0372,0.99305,6e-05,-0.14627,0.02817,0.02179,-0.00975,-0.01093,-0.94795,0.17663,-0.00339,0.01922,0.0005,0.0058,-0.20074,0.00096,-0.03833,0.0507,-0.21677,0.05274,0.01116,-0.26296,-0.00656,-0.00315,0.24174,0.04914,0.00982,0.02029
0.04,-0.01689,0.00186,-0.01322,-0.25522,0.0009,0.00107,-0.03209,0.98515,9e-05,-0.14356,0.02992,0.02232,-0.0098,-0.0238,-0.94087,0.16965,0.00357,0.0149,-0.00067,0.00443,-0.20517,0.00095,-0.03791,0.04932,-0.22303,0.04472,0.00865,-0.24874,-0.00697,-0.00315,0.22788,0.04165,0.01059,0.02162
0.06,-0.01531,0.00123,-0.01275,-0.2561,0.00061,0.00098,-0.02666,0.96052,0.00012,-0.13837,0.03116,0.02252,-0.00974,-0.03943,-0.91959,0.15804,0.01213,0.00935,-0.00207,0.00268,-0.20708,0.00091,-0.03701,0.04665,-0.22835,0.03403,0.00539,-0.22836,-0.00734,-0.00314,0.20807,0.03199,0.0114,0.02284
0.08,-0.01361,0.00059,-0.01165,-0.25434,0.00032,0.00087,-0.02096,0.92067,0.00018,-0.13094,0.03189,0.02231,-0.00958,-0.05675,-0.88545,0.14283,0.02162,0.0031,-0.00359,0.00067,-0.20698,0.00087,-0.0357,0.04255,-0.2335,0.02146,0.00165,-0.20361,-0.0076,-0.00311,0.18337,0.02089,0.01211,0.0238
0.1,-0.01194,1e-05,-0.00986,-0.25023,5e-05,0.00075,-0.01576,0.8673,0.00027,-0.12173,0.032,0.02157,-0.0093,-0.074,-0.8414,0.12505,0.03125,-0.00322,-0.00506,-0.0014,-0.20444,0.0008,-0.03416,0.03707,-0.23883,0.00817,-0.00218,-0.17652,-0.00781,-0.00311,0.15567,0.00965,0.01263,0.02431
0.12,-0.0105,-0.00057,-0.00744,-0.24424,-0.00014,0.00063,-0.01164,0.80242,0.00033,-0.11117,0.03143,0.0202,-0.0089,-0.08904,-0.79069,0.10604,0.04025,-0.00864,-0.00624,-0.00327,-0.19998,0.00072,-0.03257,0.03031,-0.24441,-0.00467,-0.00564,-0.14973,-0.00799,-0.00322,0.12703,-0.0004,0.01279,0.02417
0.14,-0.00949,-0.00101,-0.00466,-0.23728,-0.00029,0.00051,-0.00812,0.72807,0.00039,-0.09945,0.03019,0.01812,-0.00837,-0.10012,-0.73509,0.08767,0.04764,-0.01259,-0.00701,-0.00476,-0.19375,0.00064,-0.03094,0.02228,-0.25028,-0.0158,-0.00837,-0.12526,-0.00811,-0.00338,0.09919,-0.00817,0.01254,0.02319
0.16,-0.009,-0.00121,-0.00192,-0.2302,-0.00041,0.00041,-0.00484,0.64613,0.00048,-0.08678,0.02829,0.01534,-0.00774,-0.10624,-0.67673,0.07117,0.05266,-0.01516,-0.00734,-0.00578,-0.18579,0.00054,-0.0292,0.01332,-0.25581,-0.02468,-0.01017,-0.10464,-0.00811,-0.00352,0.07341,-0.01334,0.01186,0.02136
0.18,-0.00904,-0.00115,0.00038,-0.22365,-0.00051,0.00033,-0.00199,0.55898,0.00051,-0.07345,0.02583,0.01199,-0.007,-0.10688,-0.61945,0.05715,0.05524,-0.01637,-0.00725,-0.00629,-0.17673,0.00045,-0.02741,0.00378,-0.25987,-0.03087,-0.01103,-0.08833,-0.00803,-0.00368,0.05048,-0.01614,0.01085,0.01891
0.2,-0.00961,-0.00091,0.00196,-0.21805,-0.00054,0.00027,-6e-05,0.46978,0.00052,-0.06003,0.0228,0.00824,-0.00622,-0.10207,-0.5671,0.04599,0.05549,-0.0165,-0.00685,-0.00635,-0.16616,0.00037,-0.0255,-0.00585,-0.26072,-0.03441,-0.01114,-0.0765,-0.00788,-0.00376,0.03136,-0.0176,0.0096,0.01617
0.22,-0.01067,-0.00062,0.00284,-0.21378,-0.0005,0.00025,0.00077,0.38219,0.00049,-0.04705,0.01929,0.00438,-0.00543,-0.0922,-0.52403,0.038,0.05366,-0.01581,-0.00627,-0.00604,-0.15421,0.0003,-0.02342,-0.01489,-0.25642,-0.03552,-0.01076,-0.06894,-0.00775,-0.00365,0.01681,-0.0188,0.00831,0.01358
0.24,-0.01218,-0.0002,0.00338,-0.21156,-0.00043,0.00027,0.00086,0.29894,0.00033,-0.03472,0.01559,0.00068,-0.00467,-0.07815,-0.49361,0.03333,0.05032,-0.0144,-0.00561,-0.00542,-0.1418,0.00024,-0.02116,-0.02287,-0.24543,-0.03462,-0.01014,-0.06522,-0.00772,-0.00341,0.00691,-0.02068,0.00702,0.01161
0.26,-0.01396,0.00039,0.00407,-0.21171,-0.00037,0.00032,0.00037,0.2207,6e-05,-0.02315,0.01191,-0.00273,-0.00395,-0.06084,-0.47749,0.03193,0.04583,-0.01235,-0.00497,-0.00455,-0.12923,0.00019,-0.01868,-0.02995,-0.22691,-0.03209,-0.00948,-0.0648,-0.00794,-0.00311,0.00193,-0.02397,0.00578,0.01042
0.28,-0.01585,0.00106,0.00525,-0.21372,-0.00031,0.00041,-0.00078,0.14702,-0.00037,-0.01247,0.00836,-0.00581,-0.00331,-0.04128,-0.4756,0.0335,0.04038,-0.0098,-0.00445,-0.00351,-0.1162,0.00012,-0.01596,-0.03639,-0.20079,-0.02841,-0.00888,-0.06702,-0.0084,-0.00269,0.00156,-0.02852,0.00467,0.00984
