T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0.01107,0,0.01287,0.08916,0,0.00083,0.05127,0,0,0.04053,0.02567,0,0,0.11325,0.46015,0.02136,0.04421,0,0,0.03571,0,0.01506,0,0,0.03073,0,0,0,0.00055,0.0041,0.00176,0.0458,0.01343,0.03101,0,0.00473,0,0,0.00415,0,0,0.4108,0.09558,0,0,0.0042,0.03425,0,0,0,0,0.01379,0.02715,0,0.10827,0,0.0147,0.00368,0,0.00933,0.03047,0.09131,0,0,0,0,0,0
0.02,0.0131,0,0.01233,0.0932,0,0.00087,0.0651,0,0,0.04127,0.0276,0,0,0.1234,0.44948,0.01649,0.04537,0,0,0.03565,0,0.0151,0,0,0.03076,0,0,0,0.0006,0.00396,0.0018,0.04583,0.01345,0.03108,0,0.00589,0,0,0.00348,0,0,0.4058,0.08482,0,0,0.00301,0.03523,0,0,0,0,0.01444,0.02728,0,0.10697,0,0.01467,0.00359,0,0.00934,0.03054,0.08999,0,0,0,0,0,0
0.04,0.01508,0,0.01101,0.10168,0,0.0009,0.07839,0,0,0.04162,0.02907,0,0,0.13308,0.43396,0.01223,0.04612,0,0,0.03548,0,0.01515,0,0,0.03079,0,0,0,0.00066,0.00381,0.00185,0.04586,0.01348,0.03115,0,0.00705,0,0,0.00275,0,0,0.3989,0.07489,0,0,0.0021,0.03605,0,0,0,0,0.01565,0.02738,0,0.10565,0,0.01468,0.00349,0,0.00935,0.03061,0.08865,0,0,0,0,0,0
0.06,0.01692,0,0.00912,0.10937,0,0.00094,0.09083,0,0,0.04154,0.03024,0,0,0.14243,0.41329,0.00843,0.0465,0,0,0.0352,0,0.0152,0,0,0.03082,0,0,0,0.00073,0.00363,0.0019,0.04588,0.01349,0.03119,0,0.00812,0,0,0.00203,0,0,0.38961,0.06557,0,0,0.00145,0.03666,0,0,0,0,0.01734,0.02749,0,0.10431,0,0.01472,0.0034,0,0.00936,0.03066,0.0873,0,0,0,0,0,0
0.08,0.01854,0,0.00695,0.11833,0,0.00098,0.10188,0,0,0.04089,0.03159,0,0,0.15102,0.38793,0.00515,0.04648,0,0,0.0348,0,0.01524,0,0,0.03086,0,0,0,0.00079,0.00344,0.00195,0.04591,0.01352,0.03125,0,0.00904,0,0,0.00136,0,0,0.37736,0.05792,0,0,0.00095,0.03702,0,0,0,0,0.01913,0.02758,0,0.10293,0,0.0147,0.0033,0,0.00937,0.03074,0.08589,0,0,0,0,0,0
0.1,0.01982,0,0.00479,0.12759,0,0.00103,0.11241,0,0,0.03986,0.03294,0,0,0.15984,0.35679,0.00196,0.04626,0,0,0.0344,0,0.01529,0,0,0.0309,0,0,0,0.00086,0.00323,0.00201,0.04593,0.01353,0.03126,0,0.00971,0,0,0.00085,2e-05,0,0.36159,0.04892,0,0,0.00084,0.0372,0,0,0,0,0.02147,0.02796,0,0.1016,0,0.01471,0.00319,0,0.00936,0.03078,0.08451,0,0,0,0,0,0
0.12,0.02071,4e-05,0.00296,0.13581,0.00014,0.00252,0.12448,0.00017,0.00028,0.03877,0.03472,0.00032,0.00041,0.17022,0.31937,0.00217,0.04646,0.00053,7e-05,0.03447,7e-05,0.0154,0.00026,1e-05,0.03112,0.00035,0.00082,6e-05,0.00095,0.00313,0.00216,0.04604,0.01365,0.03124,0.0001,0.01002,3e-05,6e-05,0.001,0.00201,0.00013,0.34231,0.0369,6e-05,0.00046,0.00199,0.03773,5e-05,9e-05,0.0081,0.00029,0.02526,0.02913,0.00047,0.1006,8e-05,0.015,0.00311,4e-05,0.00969,0.03082,0.08338,1e-05,0.00029,2e-05,3e-05,0.00014,0.00046
0.14,0.02085,4e-05,0.00153,0.14223,0.00015,0.00242,0.13414,0.00023,0.00034,0.0373,0.03663,0.00031,0.00046,0.17975,0.27125,0.00195,0.04602,0.00062,0.00016,0.034,0.0001,0.01545,0.00033,3e-05,0.03118,0.00033,0.00093,9e-05,0.00103,0.0029,0.00232,0.04608,0.01366,0.03113,9e-05,0.01001,5e-05,8e-05,0.0008,0.00181,0.00012,0.31863,0.02579,0.0001,0.00054,0.00276,0.03763,7e-05,0.00013,0.01519,0.00027,0.02907,0.03071,0.00056,0.09959,8e-05,0.01521,0.00303,4e-05,0.00963,0.03071,0.08223,2e-05,0.00036,4e-05,4e-05,0.00017,0.00071
0.16,0.02029,4e-05,0.00058,0.14673,0.00014,0.00232,0.14158,0.0002,0.00033,0.03526,0.04002,0.00027,0.00042,0.18671,0.22754,0.00174,0.04526,0.00056,0.00015,0.03328,9e-05,0.01548,0.0003,3e-05,0.03121,0.0003,0.00085,8e-05,0.00109,0.00261,0.00245,0.04607,0.01362,0.03103,8e-05,0.00981,5e-05,8e-05,0.0006,0.00163,0.00011,0.29104,0.01718,0.0001,0.0005,0.00347,0.03723,6e-05,0.00015,0.0218,0.00024,0.03285,0.03205,0.0005,0.09847,7e-05,0.01532,0.00293,4e-05,0.00957,0.03062,0.08099,2e-05,0.00033,5e-05,4e-05,0.00016,0.00084
0.18,0.01884,3e-05,0.00013,0.14883,0.00014,0.0022,0.14642,0.00018,0.0003,0.03274,0.0448,0.00023,0.00036,0.19018,0.19012,0.00155,0.0442,0.00047,0.00017,0.03236,8e-05,0.01549,0.00027,5e-05,0.03125,0.00026,0.00072,7e-05,0.00114,0.00234,0.00258,0.04605,0.01358,0.03092,7e-05,0.00947,5e-05,7e-05,0.00046,0.00144,9e-05,0.26056,0.01015,8e-05,0.00042,0.004,0.03645,5e-05,0.00014,0.02801,0.00021,0.03665,0.03341,0.00041,0.09739,6e-05,0.01543,0.00285,4e-05,0.00952,0.0305,0.07982,2e-05,0.00031,4e-05,3e-05,0.00014,0.00072
