T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.10012,-0.39125,0.03195,0.17158,-0.03828,-0.02309,0.21859,-0.01994,2.99927,1.5388,0.33412,0.26959,-0.12675,0.03534,0.02859,-0.87831,1.5028,0.0578,0.22346,-0.03221,1.66379,-1.79398,0.39151,-1.57029,-0.75106,0.12366,0.93002,1.50382,0.6935,-0.26855,-1.73836,-1.00771,-0.16857,-0.8831
0.02,-0.1001,-0.39043,0.03002,0.17698,-0.03894,-0.02271,0.22164,-0.0195,2.99881,1.5495,0.33789,0.27033,-0.1261,0.03471,0.02883,-0.89516,1.50333,0.05719,0.22316,-0.03204,1.66358,-1.79447,0.39056,-1.57148,-0.75073,0.12286,0.93477,1.50317,0.69345,-0.26885,-1.73885,-1.00799,-0.1688,-0.88008
0.04,-0.10012,-0.38953,0.02817,0.18252,-0.03953,-0.02243,0.22449,-0.01917,2.99813,1.56001,0.34186,0.27111,-0.12573,0.03369,0.02892,-0.91192,1.50382,0.05663,0.22302,-0.03189,1.66336,-1.79496,0.38968,-1.57256,-0.75041,0.12213,0.9395,1.50257,0.69346,-0.26913,-1.73927,-1.00831,-0.16901,-0.87705
0.06,-0.1002,-0.38862,0.02642,0.18828,-0.04007,-0.02224,0.22716,-0.01895,2.99717,1.57038,0.34608,0.27192,-0.12565,0.03228,0.02888,-0.92868,1.50431,0.05609,0.22303,-0.03175,1.66313,-1.79536,0.38889,-1.5736,-0.75014,0.12148,0.94396,1.50192,0.69342,-0.26939,-1.73966,-1.00857,-0.1692,-0.87415
0.08,-0.10017,-0.38783,0.02469,0.19397,-0.04057,-0.02214,0.22977,-0.01885,2.99608,1.58075,0.35032,0.27276,-0.12535,0.03054,0.02877,-0.94508,1.50465,0.05562,0.22305,-0.03157,1.66298,-1.7959,0.38797,-1.57478,-0.7498,0.12072,0.94901,1.50132,0.69339,-0.2696,-1.74015,-1.00885,-0.16944,-0.8711
0.1,-0.10057,-0.38678,0.02316,0.20034,-0.04097,-0.02218,0.23205,-0.01887,2.99413,1.59061,0.35503,0.27367,-0.12591,0.02844,0.02857,-0.96205,1.50506,0.0551,0.22326,-0.03145,1.66257,-1.79621,0.38733,-1.57546,-0.74957,0.1202,0.95277,1.50064,0.69341,-0.26981,-1.74041,-1.00905,-0.16953,-0.86846
0.12,-0.10208,-0.38509,0.02195,0.20832,-0.04123,-0.02238,0.23365,-0.01901,2.99269,1.59992,0.36068,0.27466,-0.12867,0.02598,0.02827,-0.98139,1.50604,0.05438,0.22391,-0.0316,1.66162,-1.79593,0.3875,-1.57496,-0.74969,0.1204,0.9529,1.49987,0.69349,-0.27024,-1.73994,-1.00918,-0.16923,-0.86656
0.14,-0.10398,-0.38309,0.02094,0.21688,-0.0414,-0.02271,0.23476,-0.0193,2.9902,1.60865,0.3665,0.27566,-0.13206,0.02335,0.02796,-1.00132,1.50708,0.05358,0.22461,-0.0318,1.66052,-1.79543,0.3879,-1.57394,-0.74989,0.12079,0.95179,1.49906,0.69362,-0.27067,-1.73926,-1.00922,-0.16882,-0.86507
0.16,-0.10571,-0.38129,0.01997,0.22515,-0.04154,-0.02309,0.23556,-0.01976,2.98643,1.61712,0.37176,0.27659,-0.13486,0.02076,0.02771,-1.02062,1.50785,0.05277,0.22506,-0.03189,1.65943,-1.79502,0.38807,-1.57318,-0.74997,0.12104,0.95145,1.49829,0.69376,-0.27101,-1.73869,-1.00931,-0.1685,-0.86353
0.18,-0.10724,-0.3795,0.01895,0.23313,-0.04167,-0.02344,0.2356,-0.02031,2.98917,1.6272,0.37626,0.27729,-0.13749,0.01836,0.02749,-1.0417,1.50929,0.0517,0.22534,-0.03206,1.65846,-1.79461,0.38834,-1.57256,-0.75014,0.12127,0.95073,1.49748,0.69383,-0.27146,-1.73812,-1.00946,-0.16814,-0.86151
0.2,-0.10911,-0.37753,0.01827,0.24132,-0.04168,-0.02393,0.23486,-0.021,2.97911,1.63401,0.38021,0.27792,-0.13982,0.01617,0.02733,-1.05967,1.50946,0.05058,0.22541,-0.03203,1.65736,-1.79429,0.38835,-1.57165,-0.7502,0.12146,0.95055,1.49671,0.69401,-0.27162,-1.7375,-1.00948,-0.16791,-0.86067
0.22,-0.11209,-0.37534,0.01838,0.25042,-0.04147,-0.02472,0.2337,-0.02193,2.93163,1.63149,0.38413,0.27874,-0.14175,0.01416,0.02725,-1.06808,1.50564,0.04985,0.22528,-0.03148,1.65579,-1.79405,0.38761,-1.56981,-0.75005,0.12156,0.95238,1.4961,0.69425,-0.27086,-1.73698,-1.00889,-0.16799,-0.86289
0.24,-0.11534,-0.37304,0.0188,0.25965,-0.04115,-0.02558,0.23122,-0.02291,2.87376,1.62586,0.38695,0.2793,-0.14334,0.01266,0.02722,-1.0732,1.50067,0.04893,0.22498,-0.03078,1.65413,-1.79382,0.38661,-1.56771,-0.74986,0.12161,0.95479,1.49548,0.69453,-0.26982,-1.7364,-1.00814,-0.16818,-0.86618
0.26,-0.11826,-0.37083,0.01914,0.26834,-0.04086,-0.0263,0.22699,-0.02382,2.82527,1.62225,0.38795,0.27928,-0.1446,0.01184,0.02725,-1.08029,1.49669,0.04748,0.22456,-0.03025,1.6526,-1.79352,0.38579,-1.56584,-0.74969,0.1216,0.95675,1.49488,0.6948,-0.26905,-1.73576,-1.00754,-0.16832,-0.86891
