T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.0063,0.00091,6e-05,0.00171,-0.00011,-2e-05,-0.00016,-0.00519,-8e-05,0.00171,3e-05,6e-05,-0.00015,0.00055,0.00533,3e-05,0.00178,-2e-05,4e-05,0.00017,0.01258,0.00185,0.00011,0.01392,-0.0052,0.00372,0.00101,0.01361,-0.00495,-0.00033,0.01143,-0.00658,-0.00824,-0.00129
0.02,-0.00613,0.00092,7e-05,0.00176,-0.00012,-2e-05,-0.00013,-0.0052,-7e-05,0.00172,3e-05,5e-05,-0.00016,0.00057,0.00533,2e-05,0.00179,-2e-05,4e-05,0.00017,0.01255,0.00187,0.00011,0.01379,-0.00532,0.00374,0.00102,0.0136,-0.00493,-0.00033,0.01138,-0.00669,-0.0082,-0.00131
0.04,-0.00595,0.00093,7e-05,0.0018,-0.00013,-2e-05,-0.0001,-0.00522,-7e-05,0.00172,3e-05,5e-05,-0.00016,0.00058,0.00534,2e-05,0.0018,-2e-05,3e-05,0.00017,0.01251,0.00188,0.00012,0.01365,-0.00546,0.00377,0.00103,0.01358,-0.00491,-0.00034,0.01133,-0.00681,-0.00815,-0.00132
0.06,-0.00575,0.00093,7e-05,0.00185,-0.00014,-2e-05,-8e-05,-0.00524,-6e-05,0.00174,3e-05,5e-05,-0.00016,0.0006,0.00535,2e-05,0.00181,-2e-05,3e-05,0.00017,0.01247,0.0019,0.00012,0.01351,-0.0056,0.0038,0.00105,0.01356,-0.00489,-0.00034,0.01126,-0.00694,-0.0081,-0.00134
0.08,-0.00554,0.00093,6e-05,0.0019,-0.00014,-2e-05,-6e-05,-0.00527,-6e-05,0.00175,3e-05,5e-05,-0.00016,0.00061,0.00537,2e-05,0.00183,-2e-05,3e-05,0.00017,0.01241,0.00191,0.00012,0.01337,-0.00575,0.00382,0.00106,0.01354,-0.00487,-0.00034,0.0112,-0.00707,-0.00804,-0.00135
0.1,-0.00533,0.00092,4e-05,0.00195,-0.00015,-2e-05,-3e-05,-0.0053,-5e-05,0.00176,3e-05,5e-05,-0.00016,0.00063,0.00538,1e-05,0.00184,-2e-05,3e-05,0.00018,0.01237,0.00192,0.00012,0.01322,-0.00589,0.00385,0.00108,0.0135,-0.00485,-0.00034,0.01113,-0.0072,-0.00799,-0.00137
0.12,-0.00512,0.0009,2e-05,0.002,-0.00015,-2e-05,0,-0.00533,-5e-05,0.00178,3e-05,5e-05,-0.00016,0.00065,0.0054,1e-05,0.00185,-2e-05,3e-05,0.00018,0.01235,0.00192,0.00012,0.01309,-0.00604,0.0039,0.00109,0.01339,-0.00486,-0.00034,0.011,-0.00734,-0.00792,-0.00138
0.14,-0.00491,0.00087,-1e-05,0.00206,-0.00015,-2e-05,4e-05,-0.00535,-4e-05,0.00179,3e-05,5e-05,-0.00017,0.00067,0.0054,1e-05,0.00186,-2e-05,3e-05,0.00018,0.01235,0.00192,0.00013,0.01297,-0.00619,0.00394,0.00112,0.01326,-0.00488,-0.00034,0.01086,-0.00749,-0.00785,-0.00139
0.16,-0.00472,0.00083,-5e-05,0.00211,-0.00015,-2e-05,8e-05,-0.00538,-3e-05,0.00181,3e-05,5e-05,-0.00017,0.00069,0.00541,1e-05,0.00187,-2e-05,2e-05,0.00018,0.01235,0.00192,0.00013,0.01285,-0.00633,0.00399,0.00114,0.01315,-0.00489,-0.00034,0.01073,-0.00763,-0.00778,-0.0014
0.18,-0.00454,0.00078,-9e-05,0.00215,-0.00015,-2e-05,0.00012,-0.0054,-2e-05,0.00182,3e-05,5e-05,-0.00017,0.00071,0.0054,1e-05,0.00188,-2e-05,2e-05,0.00018,0.01235,0.00192,0.00013,0.01273,-0.00647,0.00404,0.00116,0.01305,-0.0049,-0.00034,0.0106,-0.00776,-0.0077,-0.00141
0.2,-0.00439,0.00072,-0.00014,0.00219,-0.00015,-2e-05,0.00016,-0.00541,-2e-05,0.00184,3e-05,5e-05,-0.00017,0.00074,0.00539,1e-05,0.00188,-2e-05,2e-05,0.00018,0.01237,0.00191,0.00014,0.01263,-0.0066,0.0041,0.00118,0.01295,-0.00491,-0.00033,0.01048,-0.00789,-0.00763,-0.00142
0.22,-0.00429,0.00065,-0.00017,0.00222,-0.00014,-2e-05,0.00018,-0.00543,-2e-05,0.00185,3e-05,5e-05,-0.00018,0.00076,0.00537,1e-05,0.00188,-2e-05,2e-05,0.00018,0.01239,0.00189,0.00014,0.01256,-0.00673,0.00415,0.0012,0.0128,-0.00494,-0.00033,0.01035,-0.00801,-0.00755,-0.00143
0.24,-0.00421,0.00057,-0.0002,0.00223,-0.00014,-2e-05,0.00018,-0.00544,-2e-05,0.00186,3e-05,5e-05,-0.00018,0.00079,0.00534,0,0.00188,-2e-05,2e-05,0.00019,0.01242,0.00186,0.00015,0.01251,-0.00684,0.00421,0.00122,0.01264,-0.00497,-0.00032,0.01022,-0.00813,-0.00746,-0.00143
