T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.00055,0.00018,0.00013,0.00143,-0.00015,1e-05,6e-05,-0.00707,-0.00263,0.00106,-1e-05,-0.00022,-0.00019,0.00126,0.00629,0.0013,0.00089,-0.00011,-0.00017,0.00027,0.01017,-0.0027,0.00032,0.01148,-0.00959,0.00669,0.00072,0.00798,0.0023,-4e-05,0.00886,-0.00996,-0.00122,-0.00024
0.02,-0.00052,0.00021,0.00015,0.00143,-0.00015,1e-05,6e-05,-0.00708,-0.00263,0.00106,-1e-05,-0.00022,-0.00019,0.00126,0.00631,0.00131,0.00089,-0.00011,-0.00018,0.00027,0.01014,-0.0027,0.00032,0.01145,-0.00958,0.00668,0.00072,0.00799,0.0023,-5e-05,0.00886,-0.00996,-0.00125,-0.00024
0.04,-0.0005,0.00025,0.00017,0.00144,-0.00014,1e-05,6e-05,-0.00708,-0.00263,0.00106,-1e-05,-0.00022,-0.00019,0.00125,0.00633,0.00131,0.0009,-0.00011,-0.00018,0.00027,0.01011,-0.0027,0.00032,0.01143,-0.00957,0.00666,0.00072,0.008,0.0023,-5e-05,0.00886,-0.00996,-0.00128,-0.00023
0.06,-0.00048,0.00029,0.0002,0.00144,-0.00014,1e-05,7e-05,-0.00709,-0.00263,0.00107,-1e-05,-0.00022,-0.00019,0.00125,0.00635,0.00132,0.0009,-0.00011,-0.00018,0.00027,0.01007,-0.0027,0.00032,0.0114,-0.00957,0.00665,0.00071,0.00801,0.00229,-5e-05,0.00886,-0.00995,-0.00131,-0.00023
0.08,-0.00047,0.00033,0.00022,0.00144,-0.00014,2e-05,8e-05,-0.00708,-0.00263,0.00107,-1e-05,-0.00022,-0.00019,0.00125,0.00635,0.00132,0.0009,-0.00011,-0.00018,0.00028,0.01004,-0.0027,0.00032,0.01138,-0.00956,0.00663,0.00071,0.00802,0.00229,-5e-05,0.00887,-0.00995,-0.00134,-0.00023
0.1,-0.00047,0.00038,0.00023,0.00145,-0.00013,2e-05,8e-05,-0.00707,-0.00263,0.00106,-1e-05,-0.00022,-0.00019,0.00125,0.00634,0.00132,0.0009,-0.00011,-0.00018,0.00028,0.01001,-0.00271,0.00032,0.01135,-0.00956,0.00661,0.00071,0.00802,0.00228,-5e-05,0.00887,-0.00995,-0.00137,-0.00023
0.12,-0.00048,0.00044,0.00024,0.00145,-0.00013,2e-05,0.0001,-0.00704,-0.00262,0.00106,-1e-05,-0.00021,-0.00019,0.00125,0.0063,0.00131,0.0009,-0.00011,-0.00018,0.00027,0.00999,-0.00272,0.00032,0.01134,-0.00956,0.00658,0.00071,0.00802,0.00227,-5e-05,0.00886,-0.00995,-0.00139,-0.00023
0.14,-0.0005,0.00049,0.00023,0.00146,-0.00012,1e-05,0.00011,-0.00699,-0.00262,0.00104,-1e-05,-0.00021,-0.00019,0.00126,0.00624,0.00129,0.00088,-0.00011,-0.00017,0.00027,0.00997,-0.00274,0.00032,0.01133,-0.00956,0.00655,0.0007,0.00801,0.00226,-5e-05,0.00884,-0.00995,-0.00141,-0.00023
0.16,-0.00055,0.00054,0.00021,0.00146,-0.00012,1e-05,0.00013,-0.00692,-0.00261,0.00102,-0,-0.00021,-0.00019,0.00127,0.00614,0.00127,0.00086,-0.00011,-0.00017,0.00026,0.00995,-0.00276,0.00032,0.01132,-0.00956,0.00652,0.0007,0.008,0.00224,-6e-05,0.00883,-0.00996,-0.00143,-0.00023
0.18,-0.00061,0.00058,0.00016,0.00147,-0.00011,1e-05,0.00015,-0.00683,-0.0026,0.00099,0,-0.00021,-0.00018,0.00128,0.00601,0.00125,0.00082,-0.00011,-0.00017,0.00026,0.00992,-0.00278,0.00031,0.0113,-0.00957,0.00649,0.00069,0.00798,0.00223,-5e-05,0.00881,-0.00997,-0.00145,-0.00024
