T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,1.74857,-3.19448,0.15257,1.98192,-0.23404,0.00568,0.94231,-6.64408,-0.99348,1.32884,0.15272,-0.29388,-0.27658,2.5526,4.51277,0.17752,0.85003,-0.518,-0.61767,0.33898,10.90707,-4.32019,0.61974,12.8841,-9.29647,9.91513,0.80029,7.20738,6.37204,0.09588,9.87475,-8.79118,0.80256,0.12467
0.02,1.78568,-3.24197,0.10889,1.97238,-0.22563,0.00657,0.96186,-6.65685,-0.97487,1.34145,0.14764,-0.29128,-0.2761,2.5554,4.46312,0.16685,0.83354,-0.52293,-0.62272,0.34063,10.91802,-4.31038,0.61255,12.89468,-9.3244,9.96348,0.79964,7.12519,6.37814,0.09419,9.80338,-8.83007,0.84256,0.12529
0.04,1.81732,-3.29207,0.04972,1.96122,-0.21686,0.00763,0.9813,-6.67304,-0.95811,1.35445,0.14374,-0.28935,-0.27571,2.55741,4.41023,0.15816,0.81656,-0.52586,-0.62692,0.34207,10.92691,-4.30459,0.60102,12.90612,-9.35246,10.01207,0.79784,7.03928,6.38422,0.09244,9.7302,-8.8703,0.88246,0.12569
0.06,1.84339,-3.33776,-0.02122,1.9485,-0.20791,0.00885,1.00058,-6.69069,-0.94289,1.36716,0.14092,-0.28802,-0.27537,2.55887,4.35554,0.15128,0.7995,-0.52701,-0.63022,0.34343,10.9325,-4.29949,0.58668,12.91718,-9.37597,10.06516,0.79101,6.95253,6.38756,0.09062,9.65674,-8.91153,0.92128,0.12588
0.08,1.86472,-3.37595,-0.09779,1.93445,-0.19836,0.01025,1.0194,-6.71044,-0.93015,1.37952,0.13859,-0.28696,-0.27502,2.56022,4.30116,0.1448,0.78486,-0.52772,-0.6334,0.34296,10.93041,-4.28842,0.56068,12.92008,-9.42629,10.09046,0.80936,6.86169,6.39073,0.08872,9.57681,-8.95438,0.95843,0.12601
0.1,1.8827,-3.3916,-0.17521,1.91928,-0.18997,0.01164,1.03793,-6.72274,-0.91657,1.389,0.13757,-0.28654,-0.27445,2.56137,4.25007,0.14104,0.7696,-0.52624,-0.63463,0.34432,10.93587,-4.28744,0.54897,12.93769,-9.42328,10.16819,0.78069,6.76997,6.39427,0.08641,9.50318,-8.99761,0.99508,0.12535
0.12,1.9054,-3.36448,-0.24931,1.90354,-0.18468,0.0128,1.05749,-6.71634,-0.89779,1.39296,0.13882,-0.28718,-0.27342,2.56244,4.20301,0.14229,0.74742,-0.52051,-0.63189,0.35312,10.96176,-4.30778,0.58902,13.00164,-9.24604,10.41631,0.5974,6.67645,6.39077,0.08324,9.44878,-9.04019,1.0332,0.12216
0.14,1.93231,-3.30902,-0.3114,1.88766,-0.18104,0.01382,1.07647,-6.69939,-0.87804,1.39328,0.14084,-0.28814,-0.27204,2.56412,4.16405,0.14517,0.72583,-0.51362,-0.62741,0.36322,10.98459,-4.3358,0.64641,13.07154,-9.00987,10.70798,0.36515,6.58069,6.38443,0.07972,9.39803,-9.08358,1.07045,0.11798
0.16,1.96269,-3.23561,-0.35485,1.87187,-0.17768,0.01479,1.09427,-6.67852,-0.8603,1.39158,0.14236,-0.28879,-0.27045,2.56714,4.13479,0.14718,0.70996,-0.50809,-0.62315,0.3703,10.99508,-4.35729,0.69681,13.12166,-8.80729,10.95575,0.16549,6.49148,6.37707,0.07629,9.34614,-9.1279,1.10462,0.11395
0.18,2.00122,-3.13975,-0.37781,1.85617,-0.17473,0.01565,1.11333,-6.64856,-0.84129,1.38766,0.14317,-0.28893,-0.26841,2.57144,4.10767,0.14977,0.6909,-0.50361,-0.61886,0.37987,11.01197,-4.3803,0.77428,13.18537,-8.52893,11.25578,-0.10007,6.39612,6.36791,0.07247,9.29476,-9.17297,1.13684,0.1096
0.2,2.05016,-3.02944,-0.3767,1.84259,-0.17326,0.01632,1.12835,-6.61654,-0.8256,1.38144,0.14411,-0.28915,-0.26638,2.57769,4.10507,0.15273,0.687,-0.49897,-0.61357,0.38338,11.03565,-4.39812,0.82625,13.21485,-8.37559,11.43926,-0.25887,6.31128,6.35784,0.06942,9.23681,-9.22023,1.16563,0.1052
