T,RGRFx,RGRFy,RGRFz,RGRTx,RGRTy,RGRTz,LGRFx,LGRFy,LGRFz,LGRTx,LGRTy,LGRTz
0,-0.00563,0.50097,5e-05,0.00708,7e-05,-0.01018,-0.0056,0.50098,6e-05,0.00708,7e-05,-0.01018
0.02,-0.00576,0.50086,-0,0.0076,7e-05,-0.01018,-0.00571,0.50109,3e-05,0.0076,7e-05,-0.01018
0.04,-0.00589,0.50069,-7e-05,0.00811,8e-05,-0.01018,-0.00581,0.50126,-1e-05,0.00811,8e-05,-0.01018
0.06,-0.00602,0.50047,-0.00017,0.00858,8e-05,-0.01019,-0.00591,0.50147,-8e-05,0.00858,8e-05,-0.01019
0.08,-0.00615,0.50019,-0.0003,0.009,9e-05,-0.01019,-0.006,0.50175,-0.00017,0.009,9e-05,-0.01019
0.1,-0.00627,0.49985,-0.00047,0.00937,9e-05,-0.01019,-0.00608,0.50209,-0.00029,0.00937,9e-05,-0.01019
0.12,-0.00639,0.49946,-0.00068,0.00966,9e-05,-0.01019,-0.00616,0.50248,-0.00046,0.00966,9e-05,-0.01019
0.14,-0.00649,0.49904,-0.00092,0.0099,9e-05,-0.01019,-0.00623,0.5029,-0.00065,0.0099,9e-05,-0.01019
0.16,-0.00657,0.49863,-0.0012,0.01007,9e-05,-0.01019,-0.0063,0.5033,-0.00089,0.01007,9e-05,-0.01019
0.18,-0.00663,0.49828,-0.0015,0.01019,9e-05,-0.01019,-0.00636,0.50365,-0.00116,0.01019,9e-05,-0.01019
0.2,-0.00666,0.49808,-0.0018,0.01027,9e-05,-0.01019,-0.00643,0.50385,-0.00147,0.01027,9e-05,-0.01019
0.22,-0.00665,0.49812,-0.0021,0.01031,9e-05,-0.01019,-0.00651,0.5038,-0.00182,0.01031,9e-05,-0.01019
0.24,-0.00658,0.49855,-0.00237,0.01033,9e-05,-0.01019,-0.00662,0.50337,-0.00221,0.01033,9e-05,-0.01019
0.26,-0.00645,0.49952,-0.0026,0.01033,0.00011,-0.01019,-0.00675,0.50239,-0.00263,0.01033,0.00011,-0.01019
0.28,-0.00626,0.50122,-0.00276,0.01032,0.00013,-0.01019,-0.00692,0.5007,-0.0031,0.01032,0.00013,-0.01019
0.3,-0.00599,0.50382,-0.00284,0.0103,0.00015,-0.01019,-0.00713,0.49809,-0.00361,0.0103,0.00015,-0.01019
0.32,-0.00564,0.50753,-0.00282,0.01028,0.00019,-0.01019,-0.0074,0.49438,-0.00416,0.01028,0.00019,-0.01019
0.34,-0.00522,0.51249,-0.00268,0.01026,0.00023,-0.01019,-0.00771,0.48942,-0.00475,0.01026,0.00023,-0.01019
0.36,-0.00474,0.51879,-0.00243,0.01025,0.00029,-0.01019,-0.00807,0.48312,-0.00538,0.01025,0.00029,-0.01019
0.38,-0.00422,0.52643,-0.00208,0.01023,0.00035,-0.01019,-0.00844,0.47548,-0.00603,0.01023,0.00035,-0.01019
0.4,-0.00368,0.53535,-0.00165,0.01022,0.00041,-0.01019,-0.00882,0.46655,-0.00669,0.01022,0.00041,-0.01019
0.42,-0.00315,0.54544,-0.00115,0.01021,0.00047,-0.01019,-0.00918,0.45647,-0.00735,0.01021,0.00047,-0.01019
0.44,-0.00265,0.55653,-0.00063,0.0102,0.00054,-0.01019,-0.0095,0.44537,-0.00798,0.0102,0.00054,-0.01019
0.46,-0.00218,0.56848,-0.00012,0.01019,0.0006,-0.01019,-0.00977,0.43342,-0.00856,0.01019,0.0006,-0.01019
0.48,-0.00176,0.58111,0.00037,0.01019,0.00066,-0.01019,-0.00999,0.4208,-0.00909,0.01019,0.00066,-0.01019
