T,RGRFx,RGRFy,RGRFz,RGRTx,RGRTy,RGRTz,LGRFx,LGRFy,LGRFz,LGRTx,LGRTy,LGRTz
0,-2.19714,343.89957,0.05252,-0.49125,-0.05286,-6.96889,-2.0179,342.09898,-0.12238,-0.49125,-0.05286,-6.96889
0.02,-2.19935,343.98919,0.09153,-1.38011,-0.06002,-6.96967,-2.01062,342.00955,-0.10608,-1.38011,-0.06002,-6.96967
0.04,-2.19436,344.00481,0.13895,-2.25919,-0.06592,-6.97151,-2.01449,341.99395,-0.06932,-2.25919,-0.06592,-6.97151
0.06,-2.17797,343.90312,0.19413,-3.10789,-0.06981,-6.97488,-2.03444,342.09546,-0.00467,-3.10789,-0.06981,-6.97488
0.08,-2.14474,343.63128,0.25502,-3.9059,-0.07083,-6.98037,-2.07583,342.36687,0.09587,-3.9059,-0.07083,-6.98037
0.1,-2.08806,343.12823,0.31763,-4.63412,-0.06806,-6.98868,-2.14415,342.86923,0.24026,-4.63412,-0.06806,-6.98868
0.12,-2.0006,342.32769,0.37558,-5.27605,-0.06054,-7.00046,-2.24457,343.66878,0.4354,-5.27605,-0.06054,-7.00046
0.14,-1.87492,341.16362,0.41961,-5.81989,-0.04743,-7.01624,-2.38125,344.83159,0.68584,-5.81989,-0.04743,-7.01624
0.16,-1.70445,339.57856,0.43774,-6.2606,-0.02808,-7.03631,-2.55646,346.4152,0.99247,-6.2606,-0.02808,-7.03631
0.18,-1.48492,337.53565,0.4166,-6.60072,-0.00222,-7.06061,-2.76918,348.45656,1.35168,-6.60072,-0.00222,-7.06061
0.2,-1.2162,335.03472,0.34458,-6.84939,0.02985,-7.0886,-3.01358,350.95595,1.75557,-6.84939,0.02986,-7.0886
0.22,-0.90435,332.12943,0.21587,-7.01992,0.06709,-7.11906,-3.27724,353.85983,2.19262,-7.01992,0.06709,-7.11906
0.24,-0.56268,328.93426,0.03353,-7.12755,0.10754,-7.14987,-3.54046,357.05379,2.64842,-7.12755,0.10755,-7.14987
0.26,-0.21091,325.61254,-0.19034,-7.1876,0.14854,-7.17768,-3.77755,360.37457,3.10622,-7.1876,0.14854,-7.17768
0.28,0.12759,322.35165,-0.43684,-7.21434,0.18692,-7.19767,-3.95993,363.6348,3.54751,-7.21434,0.18693,-7.19767
0.3,0.42926,319.33841,-0.6833,-7.22035,0.21953,-7.20327,-4.0602,366.64766,3.95305,-7.22035,0.21954,-7.20327
