T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.01376,-0.00442,-0.09203,0.62548,0,0.09285,0.01246,-0.20305,-0.13351,0.01624,0.07525,-0.133,-0.19709,0.11242,1.00016,0.05665,0.04881,0.14472,0.26973,1.07575,0.23025,-0.83695,0.67305,-0.19951,-0.28546,0.48286,0.00313,-0.4465,-8.4202,-0.0146,1.18286,0.84155,7.57832,0.08197,0.12579,-0.82402,0.08117,-0.13493,0.04372,0.05342
0.02,0.01554,-0.00511,-0.10321,0.63511,0,0.09531,0.01699,-0.21875,-0.15732,-0.0309,0.08037,-0.14591,-0.07741,0.12158,1.11012,0.07798,0.05666,0.15001,0.26557,1.20363,0.24273,-0.91066,0.71473,-0.20296,-0.29646,0.51421,0.02638,-0.45166,-8.68545,-0.05349,1.20752,0.79543,7.81274,0.07693,0.14051,-0.8835,0.09763,-0.14601,0.04917,0.07782
0.04,0.01905,-0.00578,-0.11744,0.63651,0,0.09776,0.01929,-0.23738,-0.18589,-0.09799,0.08877,-0.15527,0.10449,0.12631,1.23925,0.10863,0.06587,0.15235,0.2557,1.36342,0.24944,-0.99474,0.75817,-0.20318,-0.30608,0.54834,0.05916,-0.44981,-8.87381,-0.10545,1.21616,0.71782,7.97388,0.07499,0.15792,-0.95148,0.10916,-0.15771,0.0562,0.11374
0.06,0.02456,-0.00634,-0.13476,0.62859,0,0.10038,0.01839,-0.25936,-0.217,-0.18672,0.10102,-0.15725,0.35243,0.12343,1.37636,0.1474,0.07587,0.15066,0.24105,1.54956,0.24775,-1.07995,0.79944,-0.19919,-0.31309,0.58275,0.10145,-0.43786,-8.9292,-0.16978,1.20212,0.60855,8.00802,0.07913,0.17766,-1.02524,0.11037,-0.16861,0.06461,0.16143
0.08,0.0324,-0.00668,-0.15489,0.61036,0,0.10337,0.0128,-0.28475,-0.24757,-0.29716,0.1179,-0.14718,0.6667,0.10901,1.50702,0.19261,0.08585,0.14363,0.22316,1.75329,0.23413,-1.15523,0.83366,-0.18997,-0.31612,0.6143,0.15237,-0.41302,-8.79314,-0.24414,1.15898,0.47075,7.85944,0.0931,0.19887,-1.10046,0.09456,-0.17692,0.07404,0.22045
0.1,0.04303,-0.0066,-0.1773,0.58164,0,0.10715,0.00039,-0.31328,-0.27396,-0.4271,0.1405,-0.11988,1.04354,0.07856,1.6161,0.24259,0.09474,0.12979,0.20426,1.9644,0.20436,-1.2101,0.8561,-0.17484,-0.31416,0.64001,0.21016,-0.37383,-8.42205,-0.32428,1.08258,0.31184,7.48659,0.12149,0.22021,-1.17234,0.05397,-0.18076,0.08412,0.2899
0.12,0.05707,-0.00592,-0.20123,0.54352,0,0.11229,-0.02168,-0.34431,-0.29229,-0.57155,0.17025,-0.07021,1.47459,0.02749,1.68986,0.29597,0.10129,0.10765,0.18693,2.1723,0.15375,-1.23631,0.86292,-0.1536,-0.30679,0.65755,0.27219,-0.32085,-7.79928,-0.40417,0.97231,0.14331,6.8733,0.16954,0.23992,-1.2368,-0.01962,-0.17845,0.09451,0.36861
0.14,0.07529,-0.00443,-0.22573,0.49878,0,0.11954,-0.05682,-0.37673,-0.29876,-0.72255,0.20864,0.00637,1.94655,-0.04835,1.71745,0.35188,0.10402,0.07577,0.17355,2.3665,0.07771,-1.22887,0.8516,-0.1267,-0.2942,0.66547,0.33509,-0.2569,-6.94105,-0.47627,0.83141,-0.02094,6.03433,0.24277,0.25592,-1.29147,-0.13403,-0.16871,0.10493,0.45545
0.16,0.09856,-0.00193,-0.24967,0.45187,0,0.12965,-0.10878,-0.40887,-0.29005,-0.86907,0.25688,0.11305,2.44115,-0.15192,1.69206,0.40997,0.10121,0.0329,0.1655,2.53656,-0.02766,-1.18646,0.82094,-0.09524,-0.2771,0.66318,0.39503,-0.18695,-5.89673,-0.53219,0.66648,-0.1672,5.01551,0.3463,0.26587,-1.33661,-0.29567,-0.15091,0.11509,0.54951
0.18,0.12772,0.00169,-0.27176,0.40886,0,0.1432,-0.18134,-0.43834,-0.2637,-0.99726,0.31546,0.25097,2.93535,-0.28434,1.61175,0.47042,0.09086,-0.02183,0.16227,2.67183,-0.16488,-1.11143,0.77107,-0.06091,-0.25655,0.65079,0.44808,-0.11758,-4.74427,-0.56357,0.4865,-0.2848,3.88948,0.48422,0.26736,-1.37562,-0.50838,-0.12523,0.12473,0.65021
