T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.1046,0.04365,0.12275,1.35228,0,0.38767,-0.62288,-1.04231,-0.61739,2.64996,0.66274,0.49438,-7.84299,-7.38294,1.63948,-0.9944,-2.38356,0.82851,1.24999,-6.88992,-10.43177,4.74453,-3.63567,8.36223,11.65735,0.75192,-0.10736,-0.5839,-2.26235,0.20476,0.05403,-0.468,1.08523,0.64273,-0.644,0.57108,0.91642,0.23022,-0.17608,-2.65939
0.02,-0.10855,0.04995,0.12823,1.37293,0,0.43415,-0.69392,-1.12128,-0.62706,3.36541,0.93594,0.87586,-8.3637,-7.83466,1.81451,-1.04648,-2.46734,0.88175,1.32262,-7.46423,-11.16578,5.11679,-4.28769,9.0426,13.00403,0.79324,-0.10302,-0.64692,-2.45532,0.20479,0.02976,-0.52627,1.22203,0.82799,-0.67608,0.28761,0.61732,0.27277,-0.16152,-2.59898
0.04,-0.11212,0.05775,0.13355,1.36713,0,0.48842,-0.78207,-1.20766,-0.62758,4.28707,1.27871,1.36095,-8.93521,-8.31517,2.0261,-1.09197,-2.53576,0.93594,1.39277,-8.14857,-11.96866,5.55377,-5.11102,9.82546,14.60783,0.83337,-0.09494,-0.72126,-2.66865,0.20165,-0.00501,-0.59128,1.38843,1.06944,-0.70698,-0.11134,0.18552,0.32856,-0.13723,-2.45443
0.06,-0.11524,0.06656,0.13851,1.3251,0,0.54494,-0.88218,-1.29295,-0.61542,5.36942,1.67983,1.94685,-9.51063,-8.77585,2.26438,-1.12206,-2.5743,0.98435,1.45032,-8.90148,-12.76577,6.02574,-6.06155,10.65823,16.36348,0.86773,-0.08244,-0.80147,-2.88379,0.19378,-0.04983,-0.65765,1.57672,1.3531,-0.73272,-0.61241,-0.36618,0.39507,-0.10296,-2.21321
0.08,-0.1178,0.07573,0.14278,1.23703,0,0.59666,-0.9874,-1.3666,-0.58733,6.52612,2.11487,2.61653,-10.03312,-9.16011,2.51495,-1.12633,-2.56805,1.01888,1.48324,-9.67094,-13.46644,6.4965,-7.07388,11.47348,18.12543,0.89105,-0.06519,-0.88023,-3.07604,0.18004,-0.10329,-0.7175,1.77462,1.6588,-0.74872,-1.19063,-1.01306,0.46869,-0.05912,-1.86703
0.1,-0.11972,0.0845,0.14604,1.0956,0,0.6362,-1.0907,-1.41815,-0.54154,7.63718,2.54416,3.33295,-10.45053,-9.41807,2.76167,-1.09466,-2.50651,1.03165,1.47994,-10.40879,-13.98484,6.9335,-8.0706,12.20429,19.73134,0.89848,-0.04347,-0.94954,-3.21885,0.16027,-0.16294,-0.76117,1.96703,1.96286,-0.75097,-1.81045,-1.71945,0.54545,-0.00698,-1.41632
0.12,-0.12098,0.09212,0.14812,0.89763,0,0.65688,-1.18592,-1.43891,-0.47842,8.5776,2.91774,4.03423,-10.7242,-9.51545,2.98827,-1.0188,-2.38625,1.01628,1.43119,-11.07864,-14.25376,7.31336,-8.97078,12.79351,21.02097,0.88606,-0.01831,-1.00192,-3.28771,0.13565,-0.22542,-0.77822,2.13807,2.2406,-0.73686,-2.42803,-2.44091,0.62139,0.05129,-0.87276
0.14,-0.12164,0.09791,0.14901,0.64496,0,0.65355,-1.26839,-1.42305,-0.40062,9.25058,3.18952,4.63791,-10.83208,-9.43648,3.1791,-0.89367,-2.21162,0.96865,1.33128,-11.6576,-14.23098,7.62298,-9.69803,13.19695,21.85067,0.85046,0.00873,-1.03128,-3.26359,0.10862,-0.28664,-0.75872,2.27311,2.46867,-0.70552,-2.99513,-3.12799,0.69271,0.11274,-0.25953
0.16,-0.1217,0.10135,0.1489,0.34444,0,0.6233,-1.3352,-1.36823,-0.31267,9.60145,3.33119,5.06194,-10.76714,-9.18224,3.31933,-0.71819,-1.99356,0.88728,1.1788,-12.13335,-13.90008,7.85724,-10.18818,13.38223,22.1047,0.78838,0.03577,-1.03365,-3.13569,0.08259,-0.34223,-0.69479,2.36085,2.6274,-0.65796,-3.46449,-3.73134,0.75577,0.17392,0.39048
0.18,-0.12107,0.10211,0.14819,0.00737,0,0.56597,-1.38521,-1.27575,-0.22036,9.61308,3.33574,5.25062,-10.53338,-8.76636,3.3949,-0.49585,-1.7474,0.77349,0.97683,-12.49888,-13.26758,8.01508,-10.39614,13.3258,21.70446,0.69595,0.06099,-1.00776,-2.90332,0.06141,-0.38806,-0.58197,2.39476,2.70289,-0.59678,-3.79571,-4.20755,0.80704,0.23133,1.03806
0.2,-0.1195,0.10008,0.14742,-0.35138,0,0.48431,-1.41894,-1.15047,-0.13,9.29678,3.21299,5.18561,-10.14106,-8.21002,3.39279,-0.23475,-1.49016,0.63117,0.73282,-12.74717,-12.35857,8.09545,-10.30074,13.01028,20.61554,0.56839,0.083,-0.95515,-2.5762,0.04891,-0.4207,-0.4205,2.37374,2.68867,-0.52591,-3.96053,-4.52423,0.84313,0.28171,1.6418
0.22,-0.11656,0.09542,0.14728,-0.71459,0,0.38381,-1.43834,-1.00014,-0.04768,8.68474,2.98337,4.88207,-9.60257,-7.53747,3.30179,0.05281,-1.23787,0.46637,0.45798,-12.86718,-11.21161,8.09417,-9.90637,12.42364,18.85158,0.40045,0.10107,-0.88,-2.17295,0.04829,-0.43797,-0.21582,2.30127,2.58629,-0.45012,-3.94626,-4.66337,0.861,0.32242,2.16247
0.24,-0.11166,0.08845,0.1485,-1.06398,0,0.27199,-1.44647,-0.83438,0.02129,7.82486,2.67257,4.38185,-8.92951,-6.7727,3.11368,0.35136,-1.00322,0.28664,0.16627,-12.84202,-9.87377,8.00241,-9.24085,11.56044,16.47433,0.18753,0.11521,-0.7884,-1.71752,0.0617,-0.43926,0.02159,2.18315,2.40496,-0.37447,-3.75687,-4.62249,0.85826,0.35158,2.56727
0.26,-0.10416,0.07967,0.1518,-1.38167,0,0.15742,-1.44706,-0.6635,0.07286,6.77839,2.30729,3.74731,-8.13145,-5.93768,2.82487,0.64373,-0.79388,0.10016,-0.12696,-12.64979,-8.3962,7.80699,-8.35034,10.4253,13.59008,-0.07265,0.12622,-0.68735,-1.23441,0.08995,-0.42575,0.27707,2.02446,2.16019,-0.30383,-3.41188,-4.41366,0.83358,0.36818,2.8335
0.28,-0.09346,0.06962,0.15781,-1.65154,0,0.04859,-1.44428,-0.49713,0.10453,5.61989,1.91225,3.05096,-7.21655,-5.05206,2.43818,0.91274,-0.6116,-0.08503,-0.40638,-12.2668,-6.83098,7.49242,-7.2927,9.0372,10.34332,-0.3782,0.13552,-0.58363,-0.74396,0.13225,-0.4004,0.53319,1.82668,1.87191,-0.24231,-2.94374,-4.06116,0.78717,0.37204,2.9514
0.3,-0.07914,0.05889,0.16701,-1.86039,0,-0.04711,-1.44247,-0.34331,0.11548,4.4344,1.50856,2.35951,-6.19367,-4.134,1.96409,1.14285,-0.45244,-0.26175,-0.65799,-11.67231,-5.22905,7.04394,-6.13077,7.43307,6.90747,-0.72161,0.14495,-0.48299,-0.25911,0.18625,-0.36769,0.7715,1.58614,1.56244,-0.19294,-2.39417,-3.59841,0.72112,0.3638,2.92542
0.32,-0.06101,0.04802,0.17965,-1.99873,0,-0.12413,-1.44596,-0.20781,0.10657,3.30385,1.11324,1.72051,-5.07526,-3.20148,1.42109,1.32142,-0.30809,-0.42395,-0.87015,-10.85361,-3.63916,6.45099,-4.92626,5.66849,3.472,-1.08903,0.15657,-0.38955,0.21522,0.24811,-0.33308,0.9743,1.29462,1.25444,-0.15744,-1.80997,-3.06434,0.63939,0.3448,2.77348
0.34,-0.03918,0.03748,0.19576,-2.06103,0,-0.17911,-1.45899,-0.09411,0.08016,2.28819,0.73947,1.15945,-3.88032,-2.2734,0.83469,1.43965,-0.1683,-0.56685,-1.03414,-9.81037,-2.10695,5.71021,-3.73472,3.8145,0.22573,-1.46078,0.17236,-0.30572,0.67995,0.31284,-0.30212,1.12647,0.94226,0.96897,-0.13615,-1.2384,-2.49965,0.54758,0.31693,2.52395
0.36,-0.01407,0.02762,0.21506,-2.04575,0,-0.21085,-1.48552,-0.0036,0.03978,1.41801,0.3969,0.68412,-2.63688,-1.37035,0.2352,1.49301,-0.02384,-0.68667,-1.14449,-8.55795,-0.67416,4.82791,-2.60165,1.95087,-2.66207,-1.81283,0.19399,-0.23253,1.13748,0.37479,-0.27943,1.21716,0.52201,0.72374,-0.12812,-0.72258,-1.94301,0.45223,0.28244,2.21113
0.38,0.01361,0.01873,0.23699,-1.95501,0,-0.22012,-1.52911,0.06381,-0.01026,0.70014,0.09174,0.2902,-1.38378,-0.51478,-0.34513,1.48134,0.1305,-0.78042,-1.19903,-7.12955,0.62215,3.82175,-1.56024,0.15786,-5.05977,-2.11905,0.22251,-0.17009,1.58671,0.42816,-0.26767,1.24109,0.03459,0.53181,-0.13137,-0.29748,-1.42783,0.36013,0.24379,1.86997
0.4,0.04291,0.01097,0.2607,-1.79424,0,-0.20922,-1.59274,0.10915,-0.06525,0.12637,-0.17254,-0.03393,-0.17089,0.26937,-0.8751,1.40868,0.29386,-0.84558,-1.19874,-5.57673,1.75046,2.72134,-0.63062,-1.49164,-6.88662,-2.35377,0.25816,-0.11815,2.0191,0.46763,-0.26692,1.19927,-0.50795,0.40063,-0.14312,0.01302,-0.9799,0.27748,0.20348,1.53145
0.42,0.07267,0.00442,0.28508,-1.57159,0,-0.18149,-1.67845,0.13388,-0.1206,-0.31929,-0.39336,-0.30314,0.94263,0.95785,-1.3272,1.28267,0.45863,-0.8799,-1.1474,-3.96734,2.68564,1.56735,0.17931,-2.93806,-8.11806,-2.49429,0.30017,-0.07651,2.41708,0.48881,-0.27446,1.09885,-1.08126,0.33187,-0.1602,0.19746,-0.61607,0.20934,0.16383,1.21914
0.44,0.10157,-0.00095,0.30879,-1.29719,0,-0.14083,-1.78684,0.13953,-0.1722,-0.65471,-0.56712,-0.53225,1.89251,1.52799,-1.67966,1.11354,0.61156,-0.88139,-1.05102,-2.38067,3.40998,0.40864,0.87175,-4.13835,-8.78195,-2.52294,0.34664,-0.04519,2.7557,0.4886,-0.2852,0.95199,-1.651,0.32167,-0.17938,0.25659,-0.344,0.15917,0.1269,0.94761
0.46,0.12818,-0.00522,0.33029,-0.98237,0,-0.0912,-1.9164,0.12759,-0.21684,-0.89515,-0.689,-0.73323,2.61572,1.96128,-1.918,0.91293,0.7363,-0.8484,-0.91722,-0.89996,3.91444,-0.70199,1.45603,-5.06692,-8.94753,-2.42886,0.39461,-0.02443,3.00689,0.46534,-0.29258,0.77401,-2.17793,0.36145,-0.19777,0.20176,-0.16286,0.12862,0.09424,0.72234
0.48,0.15102,-0.00856,0.34793,-0.63894,0,-0.03629,-2.06288,0.09956,-0.25246,-1.04972,-0.75484,-0.91283,3.05817,2.24603,-2.03581,0.69262,0.81674,-0.77995,-0.75455,0.39636,4.1998,-1.71289,1.94535,-5.71487,-8.71035,-2.2093,0.44018,-0.01442,3.14526,0.41874,-0.28973,0.58126,-2.62444,0.43906,-0.21312,0.05251,-0.06463,0.11748,0.06683,0.54087
0.5,0.16862,-0.01119,0.36001,-0.27857,0,0.02084,-2.21869,0.05705,-0.27819,-1.11898,-0.76323,-1.07054,3.18229,2.37951,-2.03494,0.46347,0.84024,-0.67598,-0.57195,1.44334,4.27744,-2.57834,2.35368,-6.08819,-8.17687,-1.87037,0.47887,-0.01507,3.15374,0.34945,-0.2706,0.38902,-2.96071,0.54003,-0.22404,-0.16607,-0.03583,0.12383,0.04501,0.39474
0.52,0.17954,-0.01338,0.36487,0.08748,0,0.07779,-2.37247,0.00193,-0.29421,-1.09367,-0.71647,-1.19786,2.97357,2.36897,-1.92484,0.2346,0.80003,-0.5377,-0.37827,2.19708,4.16904,-3.26241,2.69323,-6.20536,-7.45115,-1.42705,0.50626,-0.02575,3.02751,0.25837,-0.23074,0.21003,-3.16903,0.64885,-0.23006,-0.4259,-0.05947,0.14426,0.02845,0.27166
