T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,4e-05,-0.00063,-5e-05,0.00099,4e-05,4e-05,1e-05,0.00203,0.00012,0.00213,-0.00367,2e-05,0.00015,1e-05,0.00039,0.00023,0.00156,-1e-05,5e-05,-0,0.0015,0.00011,-8e-05,-0.00143,-0.00019,0.00019,0.0011,0.00121,0.00011,-0.00049,-0.00109,-0.00038,-5e-05,-0.001
0.02,1e-05,-0.00062,-4e-05,0.00098,4e-05,3e-05,1e-05,0.00205,0.00012,0.00213,-0.00367,2e-05,0.00015,1e-05,0.0004,0.00023,0.00156,-1e-05,5e-05,-0,0.00152,0.00012,-8e-05,-0.00144,-0.00019,0.00019,0.0011,0.00128,0.00012,-0.00054,-0.00116,-0.00037,-4e-05,-0.00085
0.04,-2e-05,-0.00061,-3e-05,0.00096,4e-05,3e-05,1e-05,0.00208,0.00012,0.00212,-0.00366,2e-05,0.00016,1e-05,0.0004,0.00023,0.00156,-1e-05,5e-05,-0,0.00154,0.00013,-9e-05,-0.00144,-0.00019,0.00019,0.0011,0.00134,0.00013,-0.00059,-0.00125,-0.00036,-4e-05,-0.00071
0.06,-5e-05,-0.0006,-2e-05,0.00095,3e-05,3e-05,1e-05,0.0021,0.00012,0.00211,-0.00366,2e-05,0.00016,1e-05,0.00041,0.00022,0.00156,-1e-05,5e-05,-0,0.00155,0.00014,-9e-05,-0.00145,-0.00018,0.00019,0.0011,0.00141,0.00014,-0.00064,-0.00133,-0.00036,-3e-05,-0.00058
0.08,-8e-05,-0.00059,-2e-05,0.00094,3e-05,3e-05,1e-05,0.00213,0.00011,0.0021,-0.00366,2e-05,0.00016,1e-05,0.00042,0.00022,0.00157,-1e-05,5e-05,-1e-05,0.00157,0.00015,-0.0001,-0.00145,-0.00018,0.00019,0.0011,0.00148,0.00015,-0.00069,-0.00143,-0.00035,-3e-05,-0.00044
0.1,-0.00011,-0.00058,-1e-05,0.00092,3e-05,3e-05,2e-05,0.00215,0.00011,0.0021,-0.00365,2e-05,0.00016,2e-05,0.00042,0.00022,0.00157,-1e-05,5e-05,-1e-05,0.00159,0.00016,-0.00011,-0.00145,-0.00018,0.00019,0.0011,0.00155,0.00017,-0.00074,-0.00152,-0.00034,-2e-05,-0.00034
0.12,-0.00012,-0.00059,-0,0.0009,2e-05,3e-05,2e-05,0.00218,0.00011,0.00208,-0.00365,2e-05,0.00016,2e-05,0.00043,0.00021,0.00157,-1e-05,5e-05,-1e-05,0.00159,0.00017,-0.00012,-0.00145,-0.00018,0.00019,0.0011,0.0016,0.00019,-0.00076,-0.00158,-0.00034,-2e-05,-0.00032
0.14,-0.00013,-0.0006,-0,0.00088,2e-05,2e-05,2e-05,0.0022,0.0001,0.00207,-0.00365,2e-05,0.00016,2e-05,0.00044,0.00021,0.00156,-1e-05,5e-05,-1e-05,0.00159,0.00018,-0.00012,-0.00143,-0.00018,0.00019,0.0011,0.00164,0.00021,-0.00077,-0.00162,-0.00034,-3e-05,-0.00034
0.16,-0.00015,-0.0006,0,0.00086,2e-05,2e-05,3e-05,0.00223,0.0001,0.00206,-0.00365,2e-05,0.00016,3e-05,0.00045,0.0002,0.00156,-1e-05,5e-05,-1e-05,0.0016,0.00019,-0.00013,-0.00143,-0.00018,0.00019,0.0011,0.00168,0.00023,-0.00079,-0.00168,-0.00034,-3e-05,-0.00035
0.18,-0.00016,-0.00061,1e-05,0.00084,2e-05,2e-05,3e-05,0.00225,0.0001,0.00205,-0.00365,1e-05,0.00016,3e-05,0.00045,0.0002,0.00156,-1e-05,5e-05,-1e-05,0.0016,0.0002,-0.00014,-0.00142,-0.00018,0.00019,0.00111,0.00173,0.00025,-0.00081,-0.00174,-0.00034,-3e-05,-0.00035
0.2,-0.00018,-0.00061,1e-05,0.00082,1e-05,2e-05,3e-05,0.00228,0.0001,0.00205,-0.00365,1e-05,0.00016,3e-05,0.00046,0.00019,0.00156,-1e-05,5e-05,-1e-05,0.00161,0.00021,-0.00015,-0.00141,-0.00019,0.00019,0.00111,0.00177,0.00027,-0.00082,-0.00178,-0.00034,-3e-05,-0.00036
0.22,-0.00018,-0.00061,2e-05,0.0008,1e-05,2e-05,4e-05,0.00231,0.0001,0.00205,-0.00366,1e-05,0.00015,3e-05,0.00047,0.00019,0.00156,-1e-05,5e-05,-1e-05,0.00162,0.00022,-0.00015,-0.00141,-0.00019,0.00019,0.0011,0.00179,0.00028,-0.00082,-0.00179,-0.00034,-3e-05,-0.00037
0.24,-0.00019,-0.0006,2e-05,0.00079,1e-05,1e-05,4e-05,0.00234,0.0001,0.00205,-0.00366,1e-05,0.00015,4e-05,0.00049,0.00019,0.00156,-1e-05,5e-05,-2e-05,0.00163,0.00024,-0.00016,-0.00142,-0.00019,0.00019,0.00109,0.0018,0.0003,-0.00082,-0.00178,-0.00035,-3e-05,-0.00039
0.26,-0.00019,-0.0006,2e-05,0.00077,0,1e-05,4e-05,0.00237,0.0001,0.00206,-0.00366,1e-05,0.00015,4e-05,0.0005,0.00019,0.00156,-1e-05,5e-05,-2e-05,0.00164,0.00025,-0.00016,-0.00143,-0.00019,0.00019,0.00108,0.00181,0.00031,-0.00081,-0.00178,-0.00036,-3e-05,-0.00041
0.28,-0.0002,-0.0006,3e-05,0.00075,-0,1e-05,5e-05,0.0024,0.00011,0.00206,-0.00366,1e-05,0.00015,4e-05,0.00051,0.00018,0.00156,-1e-05,5e-05,-2e-05,0.00165,0.00027,-0.00017,-0.00144,-0.00019,0.00019,0.00107,0.00183,0.00033,-0.00081,-0.00179,-0.00037,-3e-05,-0.00042
0.3,-0.0002,-0.00059,3e-05,0.00074,-1e-05,1e-05,5e-05,0.00243,0.00011,0.00207,-0.00366,1e-05,0.00015,5e-05,0.00052,0.00018,0.00157,-1e-05,5e-05,-2e-05,0.00166,0.00028,-0.00018,-0.00144,-0.00019,0.00019,0.00107,0.00184,0.00034,-0.00081,-0.00178,-0.00038,-3e-05,-0.00044
