T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0,0,0,0,0,0.0627,0,0.00125,0,0,0,0,0.06282,0.00787,0,0,0.0077,0,0.0133,0,0.01286,0,0,0.00944,0,0,0,0,0.03533,0.00265,0.01881,0.00547,0.01534,0.03648,0.00433,0.00181,0.00406,0.01327,0.00347,0,0.02999,0,0.04215,0.00587,0.00957,0.01515,0,0,0.00398,0.05004,0,0.012,0,0.03998,0,0.01481,0.00116,0,0.00377,0.02299,0.05135,0.00215,0,0,0,0,0
0.02,0,0,0,0,0,0,0.06514,0,0.00123,0,0,0,0,0.0661,0.00785,0,0,0.00787,0,0.01412,0,0.01282,0,0,0.00944,0,0,0,0,0.03525,0.00265,0.01877,0.00547,0.01538,0.03592,0.00354,0.00187,0.00377,0.0127,0.00337,0,0.03016,0,0.04076,0.00617,0.00959,0.01584,0,0,0.004,0.04833,0,0.01213,0,0.03996,0,0.01471,0.00128,0,0.00379,0.02313,0.05139,0.00215,0,0,0,0,0
0.04,1e-05,0,1e-05,3e-05,2e-05,5e-05,0.06766,1e-05,0.00125,4e-05,6e-05,3e-05,0.00018,0.06946,0.00793,2e-05,9e-05,0.00816,8e-05,0.01507,4e-05,0.01278,2e-05,0,0.00944,2e-05,2e-05,1e-05,0,0.03527,0.00265,0.01876,0.00548,0.01543,0.03539,0.00257,0.00192,0.00364,0.01208,0.0033,1e-05,0.03034,3e-05,0.03939,0.00652,0.00968,0.01669,3e-05,1e-05,0.00405,0.04672,0.0001,0.01249,0.00013,0.04,2e-05,0.01461,0.00142,0,0.00383,0.02329,0.05145,0.00217,6e-05,1e-05,1e-05,2e-05,2e-05
0.06,5e-05,1e-05,3e-05,0.00011,9e-05,0.00019,0.0702,6e-05,0.00134,8e-05,0.00022,0.0001,0.00042,0.07279,0.00819,0.00011,0.00017,0.00854,0.00029,0.0162,6e-05,0.01271,0.00021,2e-05,0.00953,0.00021,0.00011,7e-05,2e-05,0.0355,0.00266,0.01877,0.00553,0.01556,0.03493,0.00141,0.00196,0.00367,0.01143,0.00331,7e-05,0.03062,0.00013,0.03807,0.00698,0.00985,0.0176,9e-05,8e-05,0.00415,0.04514,0.0003,0.01319,0.00047,0.04005,4e-05,0.0147,0.00159,3e-05,0.00406,0.02351,0.05155,0.00222,0.00026,4e-05,2e-05,6e-05,0.00013
0.08,5e-05,2e-05,3e-05,0.0001,9e-05,0.00018,0.07229,5e-05,0.00136,7e-05,0.00022,0.00011,0.00037,0.07558,0.00848,0.0001,0.00014,0.00864,0.00025,0.01687,5e-05,0.0126,0.00018,2e-05,0.00951,0.00018,0.0001,8e-05,2e-05,0.03539,0.00264,0.01872,0.00553,0.01559,0.03455,6e-05,0.00199,0.00386,0.01061,0.00315,7e-05,0.03078,0.00012,0.0369,0.00724,0.00986,0.01816,8e-05,7e-05,0.00418,0.04371,0.00028,0.01333,0.00041,0.04012,3e-05,0.01447,0.00173,3e-05,0.00405,0.02364,0.05165,0.00226,0.00022,3e-05,2e-05,6e-05,0.00012
0.1,4e-05,0.00148,2e-05,9e-05,8e-05,0.00016,0.07435,4e-05,0.00139,6e-05,0.00019,0.0001,0.00031,0.07835,0.00866,8e-05,0.00012,0.00871,0.00021,0.01754,4e-05,0.01247,0.00015,1e-05,0.00949,0.00015,8e-05,7e-05,2e-05,0.03537,0.00262,0.01867,0.00552,0.01561,0.03407,5e-05,0.00199,0.00371,0.00981,0.00296,6e-05,0.03107,0.0001,0.03577,0.00746,0.00984,0.01871,7e-05,6e-05,0.00423,0.04231,0.00023,0.0135,0.00034,0.04019,3e-05,0.01418,0.00189,2e-05,0.00403,0.02379,0.05174,0.00231,0.00019,3e-05,2e-05,6e-05,0.0001
0.12,0,0.00292,0,0,0,0,0.07672,0,0.00138,0,0,0,1e-05,0.08155,0.00831,0,0,0.00861,0,0.0182,0,0.01229,0,0,0.0094,2e-05,0,0,0,0.03535,0.00259,0.01855,0.00545,0.01551,0.03323,1e-05,0.00192,0.00263,0.00916,0.00266,0,0.0316,0,0.03449,0.00754,0.00973,0.01914,0,0,0.00424,0.04054,0,0.0133,8e-05,0.04016,0,0.01363,0.00205,0,0.00391,0.02401,0.05183,0.0024,5e-05,0,0,0,0
0.14,5e-05,0.00456,8e-05,0.00023,0.00017,0.00016,0.07885,0.0001,0.00158,3e-05,0.00043,0.00036,0.00045,0.08449,0.00791,0.00011,0.00016,0.00953,0.00036,0.02007,7e-05,0.01219,0.00014,3e-05,0.00955,0.00057,0.00021,3e-05,1e-05,0.03621,0.00264,0.01854,0.00577,0.01564,0.03235,0.00011,0.00196,0.00128,0.0088,0.00267,5e-05,0.03251,0.00018,0.03355,0.00823,0.01074,0.0201,6e-05,3e-05,0.00442,0.03932,0.00079,0.01443,0.00134,0.04017,5e-05,0.01341,0.00228,5e-05,0.00455,0.02449,0.05197,0.00254,0.00049,0.00011,2e-05,0.00029,0.00019
0.16,7e-05,0.00616,7e-05,0.00229,0.00018,0.00022,0.07997,0.0001,0.00167,5e-05,0.00046,0.00034,0.0005,0.0862,0.00748,0.00013,0.00016,0.00948,0.00035,0.02046,9e-05,0.01203,0.00014,3e-05,0.00953,0.00052,0.0002,7e-05,2e-05,0.03642,0.00262,0.0185,0.00575,0.01562,0.03155,0.0001,0.00197,0.00118,0.00822,0.00256,8e-05,0.0333,0.00018,0.03318,0.00843,0.01089,0.02046,9e-05,4e-05,0.00457,0.03856,0.00075,0.01465,0.00125,0.04015,5e-05,0.01302,0.00247,5e-05,0.00451,0.02478,0.0521,0.00268,0.00045,0.0001,2e-05,0.00027,0.00019
0.18,5e-05,0.00781,6e-05,0.00422,0.00015,0.00017,0.07984,8e-05,0.00175,3e-05,0.00038,0.00029,0.00026,0.08648,0.00679,9e-05,0.00012,0.0093,0.0003,0.0204,7e-05,0.01185,0.00012,2e-05,0.00949,0.00044,0.00017,0.0001,2e-05,0.03669,0.00261,0.01844,0.0057,0.01556,0.03098,8e-05,0.00203,0.001,0.0076,0.00231,7e-05,0.03425,0.00015,0.03341,0.00842,0.01099,0.02027,8e-05,4e-05,0.00471,0.03845,0.00067,0.01469,0.00104,0.04011,4e-05,0.01258,0.00264,4e-05,0.00445,0.02507,0.05225,0.00284,0.00037,8e-05,2e-05,0.00024,0.00016
0.2,7e-05,0.00942,7e-05,0.00767,0.00016,0.00022,0.07933,9e-05,0.00187,6e-05,0.00042,0.0003,0.00035,0.08618,0.00595,0.00011,0.00013,0.00913,0.00031,0.0203,9e-05,0.0117,0.00013,2e-05,0.00949,0.00041,0.00017,0.00013,2e-05,0.037,0.00259,0.0184,0.00568,0.01558,0.03015,8e-05,0.00219,0.00094,0.00699,0.00213,9e-05,0.03518,0.00016,0.03401,0.00847,0.01124,0.02019,0.0001,5e-05,0.00494,0.03875,0.00067,0.01485,0.001,0.04004,4e-05,0.0122,0.00282,4e-05,0.00443,0.02535,0.05232,0.00297,0.00035,8e-05,3e-05,0.00023,0.00017
0.22,8e-05,0.01092,7e-05,0.01402,0.00019,0.00029,0.07927,9e-05,0.00199,8e-05,0.00047,0.00031,0.00046,0.08613,0.00501,0.00014,0.00014,0.00889,0.00033,0.02019,0.00011,0.01163,0.00015,2e-05,0.00952,0.0004,0.00018,0.00015,2e-05,0.03721,0.00257,0.01838,0.00569,0.01575,0.0285,8e-05,0.00248,0.00092,0.0063,0.00192,0.00013,0.03571,0.00017,0.03457,0.00856,0.01148,0.02009,0.00014,7e-05,0.00521,0.03902,0.00068,0.01507,0.00099,0.03986,4e-05,0.01192,0.00299,4e-05,0.00438,0.02546,0.05226,0.003,0.00034,8e-05,3e-05,0.00022,0.00018
0.24,7e-05,0.01235,6e-05,0.02158,0.00016,0.0003,0.07873,8e-05,0.00209,9e-05,0.0004,0.00027,0.00047,0.08539,0.00374,0.00014,0.00012,0.00846,0.00028,0.01978,9e-05,0.01158,0.00012,2e-05,0.00953,0.00034,0.00015,0.00013,2e-05,0.03734,0.00255,0.01833,0.00567,0.01593,0.02669,6e-05,0.00283,0.00079,0.00553,0.00161,0.00012,0.03596,0.00014,0.03541,0.00845,0.01158,0.01974,0.00013,7e-05,0.00551,0.03957,0.00058,0.01506,0.00084,0.0396,4e-05,0.01164,0.00314,4e-05,0.00426,0.0255,0.05211,0.00297,0.00029,7e-05,3e-05,0.00019,0.00015
0.26,7e-05,0.01377,5e-05,0.02919,0.00015,0.00028,0.07716,7e-05,0.00224,7e-05,0.00036,0.00023,0.00085,0.08341,0.00205,0.00013,0.00011,0.00802,0.00025,0.01909,0.0001,0.01154,0.00011,2e-05,0.00954,0.0003,0.00014,0.00013,2e-05,0.03756,0.00253,0.01829,0.00565,0.01609,0.02533,6e-05,0.00319,0.00071,0.00482,0.00123,0.0001,0.03612,0.00013,0.03675,0.00824,0.01171,0.01947,0.00012,6e-05,0.00585,0.04072,0.0005,0.01495,0.00073,0.03934,3e-05,0.01141,0.00329,3e-05,0.00417,0.02559,0.05198,0.00295,0.00025,6e-05,3e-05,0.00016,0.00013
0.28,5e-05,0.01525,5e-05,0.037,0.00013,0.00031,0.07505,6e-05,0.00241,0.00015,0.00031,0.00021,0.0008,0.08071,0.00195,0.00011,9e-05,0.00753,0.00021,0.01836,8e-05,0.01153,0.0001,2e-05,0.00956,0.00028,0.00012,0.00011,2e-05,0.03779,0.00253,0.01825,0.00567,0.01625,0.02433,5e-05,0.00352,0.00072,0.00411,0.00087,0.0001,0.03608,0.00011,0.03854,0.00795,0.01181,0.01862,0.0001,0.00125,0.00622,0.04222,0.00043,0.01471,0.00082,0.03908,3e-05,0.01126,0.00343,3e-05,0.00409,0.02562,0.05185,0.00291,0.00022,5e-05,2e-05,0.00016,0.00011
0.3,6e-05,0.0167,5e-05,0.04525,0.00014,0.00033,0.07262,7e-05,0.00263,0.00015,0.00035,0.00022,0.00078,0.07752,0.00193,0.00013,0.00011,0.00713,0.00023,0.01745,9e-05,0.01157,0.00011,2e-05,0.0096,0.00027,0.00013,0.00012,2e-05,0.03805,0.00252,0.01823,0.00568,0.01644,0.02334,5e-05,0.00379,0.00069,0.00332,0.00043,0.00011,0.03553,0.00012,0.04035,0.00765,0.01195,0.01776,0.00012,0.00249,0.00663,0.04392,0.00046,0.01454,0.00081,0.03877,3e-05,0.01117,0.00357,3e-05,0.00404,0.02578,0.05168,0.00284,0.00021,5e-05,3e-05,0.00016,0.00012
0.32,6e-05,0.01802,4e-05,0.05446,0.00013,0.00088,0.07007,6e-05,0.00288,0.00014,0.00032,0.0002,0.00071,0.07408,0.00176,0.00011,0.0001,0.00671,0.00021,0.01656,9e-05,0.01166,0.0001,2e-05,0.00964,0.00024,0.00012,0.00011,2e-05,0.03828,0.00247,0.01822,0.00562,0.01666,0.02193,5e-05,0.00391,0.00064,0.00222,0.0004,0.0001,0.03407,0.00011,0.04203,0.00712,0.01197,0.01702,0.00011,0.00331,0.00704,0.04556,0.00042,0.01431,0.00074,0.0383,3e-05,0.011,0.00372,3e-05,0.00405,0.02628,0.05137,0.00268,0.0002,5e-05,2e-05,0.00015,0.00011
0.34,6e-05,0.01931,5e-05,0.06396,0.00015,0.00148,0.0676,7e-05,0.00317,0.00013,0.00036,0.00022,0.00066,0.07069,0.00165,0.00013,0.00012,0.00636,0.00023,0.01575,0.0001,0.01182,0.00011,2e-05,0.00968,0.00023,0.00013,0.00013,2e-05,0.03845,0.00241,0.01822,0.00557,0.0169,0.02049,5e-05,0.00379,0.00059,0.00105,0.00038,0.00011,0.03202,0.00013,0.04358,0.00662,0.01197,0.01636,0.00012,0.00403,0.00748,0.04713,0.00044,0.01419,0.00069,0.03779,3e-05,0.01089,0.00387,3e-05,0.00409,0.02691,0.051,0.00247,0.00018,4e-05,3e-05,0.00014,0.00012
0.36,5e-05,0.02064,4e-05,0.07335,0.00109,0.00203,0.06532,6e-05,0.00347,0.00013,0.00034,0.0002,0.00064,0.06763,0.00148,0.00012,0.00011,0.00594,0.00021,0.01499,8e-05,0.01203,0.00011,2e-05,0.00972,0.0002,0.00012,0.00012,2e-05,0.03854,0.00237,0.0182,0.00553,0.0171,0.01944,4e-05,0.00337,0.00052,0.00094,0.00036,0.00011,0.02964,0.00012,0.04496,0.00614,0.0118,0.01574,0.00014,0.00474,0.00788,0.04852,0.00041,0.01398,0.00066,0.0373,3e-05,0.01086,0.00401,3e-05,0.00409,0.02745,0.05062,0.00222,0.00018,4e-05,3e-05,0.00014,0.00012
0.38,0,0.02208,0,0.08224,0.0013,0.00225,0.06372,0,0.00369,0,0,0,0,0.06536,0.00038,0,0,0.00519,0,0.01386,0,0.01223,0,0,0.00966,0,0,0,0,0.0383,0.00231,0.01811,0.00532,0.01723,0.01864,0,0.00261,0,0,0,0,0.02658,0,0.04578,0.00536,0.01109,0.01472,0,0.00479,0.00816,0.04935,0,0.01335,0,0.03678,0,0.01071,0.00412,0,0.00392,0.02797,0.05017,0.00193,0,0,0,0,0
0.4,0,0.02354,0,0.09064,0.00235,0.00281,0.06216,1e-05,0.00401,1e-05,3e-05,2e-05,4e-05,0.06322,0.00037,1e-05,1e-05,0.00488,2e-05,0.01346,0,0.01258,1e-05,0,0.00971,1e-05,1e-05,0,0,0.03815,0.00229,0.01809,0.00531,0.01742,0.01774,0,0.00155,7e-05,1e-05,3e-05,1e-05,0.02384,1e-05,0.04657,0.00504,0.01087,0.0144,1e-05,0.00531,0.00849,0.05019,3e-05,0.01332,4e-05,0.0363,0,0.01086,0.00425,0,0.00396,0.02845,0.04971,0.00159,1e-05,0,0,1e-05,1e-05
0.42,1e-05,0.02479,3e-05,0.09629,0.00305,0.00334,0.05957,2e-05,0.00435,1e-05,0.00011,8e-05,0.00024,0.05992,0.0004,4e-05,0.00048,0.00448,6e-05,0.01321,1e-05,0.01312,3e-05,1e-05,0.0098,3e-05,5e-05,2e-05,1e-05,0.03782,0.00229,0.01805,0.00541,0.01751,0.01613,1e-05,0.00013,7e-05,4e-05,0.00012,6e-05,0.02227,4e-05,0.0474,0.00483,0.01085,0.01436,7e-05,0.00567,0.00873,0.05173,0.00014,0.0134,0.00018,0.03582,2e-05,0.01129,0.00435,1e-05,0.00395,0.02854,0.04911,0.00111,3e-05,1e-05,1e-05,3e-05,5e-05
0.44,1e-05,0.02599,0.00181,0.10054,0.00363,0.00375,0.05712,2e-05,0.00466,3e-05,0.00011,7e-05,0.00023,0.05676,0.00036,4e-05,0.00043,0.00398,7e-05,0.01301,3e-05,0.01374,3e-05,1e-05,0.00986,3e-05,5e-05,3e-05,1e-05,0.03728,0.00229,0.01796,0.0055,0.01753,0.01405,1e-05,0.00012,6e-05,5e-05,0.0001,6e-05,0.02113,4e-05,0.04793,0.00461,0.01068,0.01433,7e-05,0.00573,0.00886,0.05242,0.00013,0.01346,0.00017,0.03536,2e-05,0.01181,0.00442,1e-05,0.00389,0.02845,0.04842,0.00055,3e-05,1e-05,1e-05,3e-05,4e-05
0.46,2e-05,0.02733,0.00385,0.10446,0.00442,0.0043,0.05586,5e-05,0.00499,5e-05,0.00024,0.00015,0.00038,0.05502,0.00037,6e-05,0.00043,0.00382,0.00014,0.01321,4e-05,0.01437,5e-05,1e-05,0.00995,8e-05,7e-05,6e-05,0.00047,0.03665,0.0023,0.01791,0.00558,0.01761,0.0119,3e-05,0.00013,0.0001,9e-05,0.00021,6e-05,0.01987,0.0001,0.04788,0.00461,0.01067,0.01464,0.0001,0.00557,0.00895,0.05258,0.00031,0.0138,0.00033,0.03492,3e-05,0.01235,0.00452,2e-05,0.0039,0.02848,0.04773,0.00047,9e-05,2e-05,2e-05,5e-05,0.00011
0.48,2e-05,0.02878,0.00606,0.10757,0.00529,0.00473,0.05554,5e-05,0.0053,0.00013,0.00023,0.00015,0.00038,0.05439,0.00032,0.00012,0.00038,0.00361,0.00015,0.01365,5e-05,0.01499,0.00012,1e-05,0.00999,7e-05,0.00011,5e-05,0.00092,0.03587,0.00229,0.01786,0.0057,0.0177,0.00971,5e-05,0.00011,0.0001,0.00013,0.00019,6e-05,0.01857,0.0002,0.04729,0.00452,0.0105,0.01513,0.0001,0.00517,0.00899,0.05209,0.00033,0.0141,0.0004,0.03451,3e-05,0.01299,0.00462,2e-05,0.00384,0.02844,0.04703,0.00042,0.00013,2e-05,3e-05,0.00011,0.00016
0.5,3e-05,0.03003,0.00845,0.10983,0.0061,0.0052,0.05553,6e-05,0.00553,0.00014,0.00028,0.00025,0.00046,0.05414,0.00031,0.00023,0.00035,0.00351,0.00019,0.01416,6e-05,0.01571,0.00015,1e-05,0.01004,0.0001,0.00013,6e-05,0.00146,0.03484,0.00228,0.01778,0.00575,0.0177,0.00697,5e-05,0.00011,0.00014,0.00016,0.00024,7e-05,0.01758,0.0002,0.04651,0.00453,0.01059,0.01571,0.00012,0.00451,0.00902,0.05154,0.00039,0.01452,0.00047,0.03412,4e-05,0.01364,0.00472,2e-05,0.00384,0.0285,0.04626,0.00038,0.00015,3e-05,4e-05,0.00012,0.0002
0.52,3e-05,0.03082,0.01092,0.1111,0.00673,0.00559,0.05527,7e-05,0.00575,0.00015,0.00037,0.00027,0.00053,0.05352,0.00029,0.00023,0.00034,0.00352,0.00023,0.01445,9e-05,0.01661,0.00015,2e-05,0.01007,0.00012,0.00014,9e-05,0.0022,0.03351,0.00231,0.01762,0.00574,0.0175,0.00322,6e-05,0.0001,0.00018,0.00018,0.0003,9e-05,0.01708,0.0002,0.04612,0.00456,0.01045,0.01596,0.00013,0.00348,0.00894,0.05138,0.00045,0.01491,0.00056,0.03372,4e-05,0.01443,0.00481,3e-05,0.00391,0.02897,0.0454,0.00035,0.00016,4e-05,4e-05,0.00014,0.00019
