T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.0069,-0.00105,-0.00022,0.00052,4e-05,1e-05,0.00207,-0.0007,-7e-05,0.00085,-3e-05,-2e-05,-0.0001,0.00216,0.00139,8e-05,0.00078,4e-05,-5e-05,0.0001,-0.00715,-7e-05,-0.00016,-0.00175,0.00016,-8e-05,-4e-05,-0.00836,0.00058,-6e-05,-0.00135,0.00021,0.0001,5e-05
0.02,-0.00684,-0.00099,-0.00024,0.00052,5e-05,1e-05,0.00206,-0.00071,-7e-05,0.00085,-3e-05,-2e-05,-0.0001,0.00215,0.00139,8e-05,0.00079,4e-05,-5e-05,0.0001,-0.00713,-9e-05,-0.00016,-0.00176,0.00016,-8e-05,-4e-05,-0.00837,0.00056,-6e-05,-0.00135,0.00021,0.0001,5e-05
0.04,-0.00679,-0.00093,-0.00026,0.00053,5e-05,1e-05,0.00207,-0.00072,-7e-05,0.00085,-3e-05,-2e-05,-0.0001,0.00216,0.00139,8e-05,0.00079,4e-05,-5e-05,0.0001,-0.00711,-0.00011,-0.00016,-0.00176,0.00016,-8e-05,-4e-05,-0.00837,0.00054,-5e-05,-0.00136,0.00021,0.0001,5e-05
0.06,-0.00674,-0.00086,-0.00028,0.00053,6e-05,1e-05,0.00208,-0.00072,-7e-05,0.00085,-3e-05,-2e-05,-0.0001,0.00217,0.00138,8e-05,0.0008,4e-05,-5e-05,0.0001,-0.00709,-0.00014,-0.00016,-0.00177,0.00016,-8e-05,-4e-05,-0.00838,0.00051,-5e-05,-0.00136,0.00021,0.0001,5e-05
0.08,-0.00669,-0.00079,-0.00029,0.00053,7e-05,1e-05,0.0021,-0.00073,-7e-05,0.00087,-3e-05,-2e-05,-0.0001,0.00219,0.00139,8e-05,0.00081,4e-05,-5e-05,0.0001,-0.00706,-0.00017,-0.00015,-0.00178,0.00016,-8e-05,-4e-05,-0.0084,0.00049,-5e-05,-0.00136,0.00021,0.0001,5e-05
0.1,-0.00665,-0.00073,-0.0003,0.00052,7e-05,1e-05,0.00214,-0.00072,-8e-05,0.00088,-3e-05,-2e-05,-0.0001,0.00222,0.0014,8e-05,0.00083,4e-05,-5e-05,0.0001,-0.00705,-0.0002,-0.00015,-0.00179,0.00016,-8e-05,-4e-05,-0.00841,0.00047,-6e-05,-0.00137,0.00021,0.0001,5e-05
0.12,-0.00664,-0.00068,-0.00029,0.0005,7e-05,1e-05,0.0022,-0.00071,-8e-05,0.00091,-4e-05,-2e-05,-0.0001,0.00227,0.00141,8e-05,0.00085,4e-05,-5e-05,0.0001,-0.00705,-0.00023,-0.00015,-0.00179,0.00016,-8e-05,-4e-05,-0.00843,0.00044,-6e-05,-0.00137,0.00021,0.0001,5e-05
0.14,-0.00665,-0.00065,-0.00026,0.00048,7e-05,1e-05,0.00227,-0.00069,-8e-05,0.00094,-4e-05,-2e-05,-0.00011,0.00234,0.00145,8e-05,0.00088,4e-05,-5e-05,0.00011,-0.00706,-0.00026,-0.00014,-0.0018,0.00016,-8e-05,-4e-05,-0.00845,0.00041,-7e-05,-0.00138,0.00021,0.0001,5e-05
0.16,-0.00665,-0.00061,-0.00022,0.00045,7e-05,1e-05,0.00237,-0.00066,-7e-05,0.00098,-4e-05,-1e-05,-0.00011,0.00242,0.00149,9e-05,0.0009,4e-05,-5e-05,0.00011,-0.00707,-0.00029,-0.00014,-0.00181,0.00016,-8e-05,-4e-05,-0.00847,0.00038,-8e-05,-0.00139,0.00021,0.0001,5e-05
0.18,-0.00663,-0.00056,-0.00015,0.00041,7e-05,1e-05,0.00249,-0.00061,-7e-05,0.00104,-4e-05,-1e-05,-0.00012,0.0025,0.00156,9e-05,0.00093,4e-05,-6e-05,0.00012,-0.00707,-0.00032,-0.00014,-0.00181,0.00016,-8e-05,-4e-05,-0.0085,0.00036,-9e-05,-0.00139,0.00021,0.0001,5e-05
0.2,-0.0066,-0.00051,-6e-05,0.00038,6e-05,1e-05,0.00263,-0.00055,-7e-05,0.0011,-4e-05,-1e-05,-0.00013,0.00261,0.00165,0.0001,0.00097,4e-05,-6e-05,0.00012,-0.00708,-0.00034,-0.00013,-0.00182,0.00016,-8e-05,-4e-05,-0.00852,0.00034,-0.00011,-0.0014,0.00021,9e-05,5e-05
