T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,10.71532,-13.22092,1.69976,3.9414,-0.81576,-0.19163,6.94983,-0.23992,-0.23142,2.53482,-0.05435,0.02801,-0.25369,7.11704,1.79743,0.22666,2.47113,0.06646,-0.04659,0.25842,24.1426,-10.90234,0.78263,16.53601,-11.59382,13.17218,4.13047,-8.86615,-9.68316,1.48443,5.04009,-5.26834,6.60916,0.38684
0.02,10.65954,-13.76158,1.77043,3.92661,-0.85971,-0.19921,6.96613,-0.23688,-0.21892,2.54932,-0.05404,0.03178,-0.25706,7.1891,1.88049,0.22997,2.50175,0.06659,-0.04767,0.26329,22.71359,-12.50143,0.66891,15.50494,-13.08438,12.79764,3.89331,-6.48558,-11.22954,1.9018,5.85373,-6.00044,5.63885,0.14585
0.04,10.55433,-14.38728,1.86949,3.90871,-0.90905,-0.20734,7.00238,-0.22769,-0.20671,2.57141,-0.05386,0.03572,-0.26115,7.27176,1.97224,0.23354,2.53677,0.06673,-0.04894,0.26873,21.22714,-13.97023,0.56797,14.40547,-14.54055,12.54522,3.68419,-4.40739,-12.73055,2.28323,6.41223,-6.73329,4.75293,-0.13932
0.06,10.41505,-15.08169,2.00166,3.88814,-0.96297,-0.2156,7.0569,-0.212,-0.19453,2.60027,-0.05376,0.03987,-0.26587,7.35926,2.06972,0.23717,2.57406,0.06684,-0.05024,0.2745,19.72023,-15.23751,0.48185,13.28269,-15.89616,12.4158,3.50931,-2.57594,-14.18194,2.62963,6.81345,-7.43343,3.96955,-0.45298
0.08,10.28225,-15.85381,2.17322,3.86712,-1.02279,-0.22408,7.12544,-0.19058,-0.18264,2.63447,-0.05369,0.04437,-0.27103,7.43743,2.16345,0.24,2.60803,0.06677,-0.05098,0.27991,18.14568,-16.32,0.42083,12.15877,-16.98184,12.53019,3.40255,-0.8299,-15.65745,2.98756,7.33521,-8.08476,3.27766,-0.78539
0.1,10.12171,-16.58368,2.3682,3.84237,-1.07949,-0.23049,7.20861,-0.16595,-0.17056,2.67222,-0.05363,0.04873,-0.27648,7.51374,2.25614,0.24323,2.64186,0.06669,-0.05173,0.28531,16.69557,-17.02954,0.3585,11.09013,-18.04284,12.55513,3.28628,0.75034,-16.88773,3.23517,7.67631,-8.65153,2.72496,-1.10707
0.12,9.8834,-17.13604,2.56356,3.80974,-1.12282,-0.23241,7.30661,-0.14216,-0.15767,2.71118,-0.05357,0.0522,-0.28212,7.59759,2.35072,0.24792,2.67991,0.06676,-0.05303,0.29119,15.5838,-17.20832,0.26113,10.16112,-19.43035,11.95181,3.03774,2.10846,-17.6221,3.2429,7.53024,-9.12449,2.37356,-1.37591
0.14,9.64706,-17.58772,2.76122,3.77528,-1.15913,-0.23137,7.41121,-0.12286,-0.14547,2.74952,-0.05345,0.055,-0.28765,7.66199,2.42751,0.25235,2.71099,0.06666,-0.0537,0.29611,14.59586,-16.99692,0.15985,9.32017,-20.74588,11.10692,2.76944,3.47248,-18.08258,3.14362,7.39987,-9.52942,2.16401,-1.59674
0.16,9.47235,-18.00486,2.95686,3.74372,-1.19397,-0.22886,7.51422,-0.11438,-0.1351,2.78547,-0.05329,0.05726,-0.29277,7.68623,2.47047,0.25472,2.72627,0.06611,-0.05264,0.29897,13.54511,-16.58384,0.07586,8.50327,-21.72264,10.41575,2.56318,5.00952,-18.47995,3.05392,7.67132,-9.88461,2.01188,-1.79808
0.18,9.33668,-18.35371,3.12832,3.71367,-1.22514,-0.22481,7.60875,-0.12685,-0.12662,2.81587,-0.05331,0.05831,-0.2972,7.66944,2.47596,0.25348,2.72632,0.06502,-0.04939,0.29979,12.40685,-16.05856,-0.01259,7.68833,-22.56414,9.58456,2.34868,6.69971,-18.97669,2.98552,8.3294,-10.20552,1.85439,-2.02253
0.2,9.2488,-18.56288,3.25281,3.68772,-1.24481,-0.21762,7.69988,-0.15472,-0.12065,2.84296,-0.05305,0.05834,-0.30117,7.61832,2.44482,0.25316,2.71042,0.06369,-0.04548,0.29847,11.40243,-15.15561,-0.08123,6.91358,-23.09568,9.01475,2.2169,8.3457,-18.96892,2.82243,8.97948,-10.47512,1.82466,-2.1574
0.22,9.2192,-18.56214,3.30818,3.66873,-1.24506,-0.20572,7.79573,-0.1892,-0.1169,2.87115,-0.05194,0.05808,-0.30525,7.53859,2.37941,0.25884,2.67772,0.06253,-0.04256,0.29491,10.77805,-13.61823,-0.10056,6.22851,-23.11582,9.28727,2.27267,9.59812,-17.76567,2.46271,9.15353,-10.65835,2.10481,-2.06146
