T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-1e-05,0,-2e-05,0.00014,-1e-05,0,-0.00043,1e-05,-0,-1e-05,-0,-0,-0,-0.00046,0,0,-1e-05,-0,0,0,6e-05,-3e-05,-4e-05,-0.00011,-0.00013,0.00015,5e-05,1e-05,6e-05,1e-05,-0.00025,0,2e-05,-2e-05
0.02,-1e-05,0,-2e-05,0.00014,-1e-05,0,-0.00045,1e-05,-0,-1e-05,-0,-0,-0,-0.00049,0,0,-1e-05,-0,0,0,6e-05,-3e-05,-4e-05,-0.00011,-0.00012,0.00016,5e-05,1e-05,6e-05,1e-05,-0.00026,-1e-05,2e-05,-2e-05
0.04,-1e-05,0,-2e-05,0.00015,-1e-05,0,-0.00048,1e-05,-0,-1e-05,-0,-0,-0,-0.00053,0,1e-05,-2e-05,-0,0,0,5e-05,-3e-05,-3e-05,-0.00011,-0.00011,0.00016,5e-05,1e-05,7e-05,1e-05,-0.00028,-2e-05,2e-05,-2e-05
0.06,-1e-05,1e-05,-1e-05,0.00014,-1e-05,0,-0.00049,1e-05,-0,-1e-05,-0,-0,-0,-0.00057,-0,1e-05,-3e-05,-0,0,0,5e-05,-4e-05,-2e-05,-0.0001,-9e-05,0.00015,4e-05,1e-05,8e-05,1e-05,-0.00029,-4e-05,2e-05,-2e-05
0.08,-1e-05,1e-05,-1e-05,0.00014,-1e-05,0,-0.00051,1e-05,-0,-1e-05,-0,-0,-0,-0.00062,-0,1e-05,-4e-05,-0,0,0,4e-05,-4e-05,-0,-0.0001,-8e-05,0.00014,4e-05,-0,8e-05,0,-0.0003,-6e-05,1e-05,-2e-05
0.1,-0,1e-05,-1e-05,0.00013,-1e-05,0,-0.00052,1e-05,-0,-1e-05,-0,-0,0,-0.00066,-0,1e-05,-5e-05,-0,0,0,2e-05,-5e-05,1e-05,-0.0001,-6e-05,0.00013,4e-05,-1e-05,9e-05,-0,-0.0003,-9e-05,1e-05,-1e-05
0.12,0,1e-05,-1e-05,0.00012,-1e-05,0,-0.00051,0,-0,-1e-05,-0,0,0,-0.00071,-0,1e-05,-6e-05,-0,0,0,0,-5e-05,3e-05,-0.00011,-5e-05,0.00011,3e-05,-3e-05,9e-05,-1e-05,-0.00029,-0.00013,1e-05,-1e-05
0.14,1e-05,2e-05,-0,0.0001,-0,0,-0.00049,0,-0,-1e-05,-0,0,0,-0.00074,-0,2e-05,-6e-05,-0,0,0,-2e-05,-5e-05,4e-05,-0.00012,-4e-05,9e-05,3e-05,-5e-05,0.0001,-2e-05,-0.00028,-0.00016,1e-05,-1e-05
0.16,3e-05,2e-05,-0,7e-05,-0,0,-0.00045,0,-0,-1e-05,-0,0,0,-0.00076,-0,2e-05,-6e-05,-0,0,-0,-5e-05,-6e-05,6e-05,-0.00013,-4e-05,6e-05,2e-05,-8e-05,0.0001,-2e-05,-0.00026,-0.0002,1e-05,-1e-05
0.18,5e-05,2e-05,0,3e-05,0,0,-0.00037,-0,-0,-1e-05,-0,-0,0,-0.00074,-1e-05,2e-05,-6e-05,-0,0,-0,-8e-05,-6e-05,7e-05,-0.00014,-6e-05,3e-05,2e-05,-0.00011,0.0001,-3e-05,-0.00022,-0.00024,1e-05,-1e-05
