T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0,0.95578,0,3.14016,0,0.05269,0.12188,-0.0231,-0.03345,-0.57701,0.08299,0.07168,0.44634,-0.28449,0.12231,0.19535,1.42194,0.0022,0.02655,0.48339,0.0289,-0.10133,0.13946,-1.30696,-0.06824,-0.02223,0.00539,0.03769,0.20686,-0.33775,0.18635,-0.16792,-0.25534,-0.02904,-0.0572,-0.09323,-0.23049,0.13445,0.13108,0.19704
0.02,0.00022,0.9558,-0.00032,3.13972,0,0.05282,0.12221,-0.02295,-0.03151,-0.58656,0.08354,0.06902,0.45695,-0.28351,0.12425,0.19594,1.42363,0.00203,0.02668,0.49309,0.0305,-0.10641,0.14027,-1.30931,-0.06942,-0.02126,0.00608,0.03793,0.20708,-0.33864,0.18633,-0.16811,-0.25519,-0.02864,-0.05701,-0.09263,-0.23094,0.13438,0.13106,0.1968
0.04,0.00044,0.95581,-0.00065,3.13929,0,0.05295,0.12254,-0.02279,-0.02959,-0.59603,0.08409,0.06638,0.46749,-0.28254,0.12619,0.19653,1.4253,0.00186,0.0268,0.50272,0.03209,-0.11146,0.14106,-1.31164,-0.07059,-0.02031,0.00677,0.03818,0.2073,-0.33952,0.18631,-0.1683,-0.25503,-0.02825,-0.05682,-0.09205,-0.23138,0.13431,0.13103,0.19655
0.06,0.00067,0.95582,-0.00097,3.13885,0,0.05307,0.12283,-0.02263,-0.02772,-0.60534,0.0846,0.0638,0.47785,-0.28157,0.12811,0.1971,1.42693,0.0017,0.02691,0.51219,0.03367,-0.1165,0.14185,-1.31391,-0.07174,-0.01937,0.00746,0.03842,0.20753,-0.34039,0.18628,-0.16849,-0.25488,-0.02784,-0.05663,-0.09147,-0.23185,0.13425,0.13102,0.19632
0.08,0.00087,0.95583,-0.0013,3.13842,0,0.05323,0.12326,-0.02251,-0.02556,-0.61556,0.08529,0.06092,0.4892,-0.28057,0.13011,0.19777,1.42877,0.0015,0.02711,0.52256,0.03529,-0.12165,0.1427,-1.31647,-0.07299,-0.01833,0.00814,0.03865,0.20773,-0.34132,0.18627,-0.16872,-0.25471,-0.0275,-0.05645,-0.09083,-0.23222,0.13416,0.13098,0.19601
0.1,0.00113,0.95584,-0.00161,3.13797,0,0.05332,0.12341,-0.0223,-0.02404,-0.62381,0.0856,0.05867,0.49842,-0.27964,0.13193,0.19823,1.43017,0.00139,0.02711,0.53099,0.03683,-0.12655,0.14342,-1.31843,-0.07404,-0.0175,0.00883,0.03892,0.20799,-0.34211,0.18622,-0.16884,-0.25459,-0.02701,-0.05625,-0.09034,-0.23278,0.13413,0.13098,0.19587
0.12,0.00156,0.95585,-0.00191,3.13743,0,0.05325,0.12281,-0.02186,-0.02432,-0.62686,0.08483,0.05814,0.50202,-0.27893,0.13329,0.19813,1.43038,0.00152,0.02652,0.53432,0.03812,-0.13086,0.14383,-1.31869,-0.07453,-0.01721,0.00952,0.03934,0.20844,-0.34249,0.18602,-0.16863,-0.25465,-0.0261,-0.05599,-0.09035,-0.23395,0.13424,0.13114,0.19624
0.14,0.00206,0.95585,-0.00219,3.13686,0,0.05313,0.12193,-0.02133,-0.02524,-0.62788,0.08368,0.05824,0.50344,-0.27829,0.13445,0.19783,1.43016,0.00173,0.02573,0.53566,0.03932,-0.1349,0.14412,-1.31835,-0.07482,-0.01712,0.0102,0.03981,0.20895,-0.34271,0.18577,-0.1683,-0.25477,-0.02503,-0.05572,-0.09051,-0.2353,0.13439,0.13134,0.19678
0.16,0.00254,0.95585,-0.00248,3.1363,0,0.05304,0.12116,-0.02085,-0.02585,-0.62969,0.08272,0.05806,0.50571,-0.27762,0.13569,0.19762,1.43014,0.0019,0.02506,0.53777,0.04055,-0.13899,0.14445,-1.31832,-0.0752,-0.01696,0.01089,0.04025,0.20944,-0.34301,0.18554,-0.16804,-0.25485,-0.02405,-0.05546,-0.09057,-0.23653,0.13452,0.1315,0.19722
0.18,0.00299,0.95586,-0.00277,3.13578,0,0.05293,0.12044,-0.02034,-0.02655,-0.63207,0.08171,0.05787,0.50854,-0.27694,0.13699,0.19744,1.43008,0.00209,0.02425,0.54042,0.04184,-0.1434,0.14484,-1.31814,-0.0756,-0.01674,0.01157,0.04073,0.20992,-0.3433,0.18532,-0.16772,-0.25499,-0.02302,-0.05519,-0.0908,-0.2379,0.13468,0.13172,0.19776
0.2,0.0035,0.95586,-0.00305,3.13516,0,0.05285,0.11957,-0.01987,-0.02722,-0.63278,0.0807,0.05783,0.5097,-0.27629,0.13812,0.19713,1.43001,0.00227,0.0237,0.54148,0.04297,-0.14708,0.14507,-1.31812,-0.07591,-0.01668,0.01228,0.04114,0.21043,-0.34356,0.18508,-0.1675,-0.25501,-0.02206,-0.05493,-0.0907,-0.23903,0.13478,0.13184,0.19813
0.22,0.00411,0.95587,-0.0033,3.13422,0,0.05286,0.11832,-0.0195,-0.02767,-0.62936,0.0798,0.05807,0.50674,-0.27569,0.13886,0.19652,1.43007,0.00238,0.02395,0.53865,0.04363,-0.14882,0.14491,-1.3188,-0.07602,-0.01702,0.0131,0.04138,0.21096,-0.34378,0.1848,-0.16765,-0.25466,-0.02138,-0.0547,-0.08965,-0.23942,0.13473,0.1317,0.19798
0.24,0.00477,0.95588,-0.00355,3.13318,0,0.0529,0.11692,-0.01917,-0.02807,-0.62433,0.07891,0.05842,0.50217,-0.27509,0.13943,0.1958,1.43014,0.00248,0.02447,0.53429,0.04414,-0.14984,0.14461,-1.31964,-0.07605,-0.01751,0.01396,0.04155,0.21151,-0.34398,0.1845,-0.16792,-0.2542,-0.02079,-0.05447,-0.08829,-0.23956,0.13461,0.13146,0.19766
0.26,0.0054,0.95589,-0.0038,3.13221,0,0.05292,0.11561,-0.01882,-0.02851,-0.62004,0.07801,0.05869,0.49835,-0.27448,0.14007,0.19515,1.43021,0.00258,0.02486,0.53063,0.04475,-0.15118,0.14438,-1.32036,-0.07612,-0.01793,0.0148,0.04175,0.21206,-0.34419,0.18421,-0.16811,-0.25382,-0.02015,-0.05425,-0.08709,-0.23983,0.13453,0.13128,0.19742
0.28,0.00605,0.95591,-0.00405,3.13114,0,0.05294,0.11423,-0.01846,-0.02893,-0.61566,0.07713,0.05908,0.49441,-0.27395,0.14073,0.19442,1.43027,0.00271,0.02531,0.52689,0.04523,-0.1525,0.1441,-1.32128,-0.07615,-0.01839,0.01567,0.04193,0.21257,-0.34439,0.18391,-0.1684,-0.25332,-0.01953,-0.05402,-0.08579,-0.24007,0.13445,0.13106,0.19718
0.3,0.00667,0.95592,-0.00429,3.13026,0,0.05298,0.11295,-0.01814,-0.02935,-0.6111,0.07621,0.05924,0.49034,-0.27323,0.14133,0.19383,1.43034,0.00278,0.02568,0.52296,0.04593,-0.15373,0.1439,-1.32182,-0.07626,-0.01879,0.01649,0.04214,0.21316,-0.34461,0.18363,-0.16851,-0.25304,-0.0189,-0.05379,-0.08462,-0.2403,0.13434,0.13088,0.19688
0.32,0.00722,0.95594,-0.00451,3.12991,0,0.05304,0.11197,-0.01792,-0.02976,-0.60669,0.07523,0.05876,0.48656,-0.27204,0.14174,0.1937,1.43041,0.0027,0.0258,0.51911,0.04723,-0.15471,0.1439,-1.32118,-0.07661,-0.01904,0.01717,0.04241,0.21402,-0.34485,0.18339,-0.16811,-0.25341,-0.01822,-0.0536,-0.08401,-0.24065,0.13418,0.13083,0.19653
0.34,0.00775,0.95596,-0.00472,3.12978,0,0.05311,0.11109,-0.01774,-0.03016,-0.60212,0.07421,0.05804,0.48266,-0.27067,0.1421,0.19372,1.43049,0.00258,0.02584,0.51509,0.04876,-0.15566,0.144,-1.32017,-0.07705,-0.01921,0.01782,0.04269,0.21496,-0.34511,0.18317,-0.16753,-0.25401,-0.01753,-0.05341,-0.08353,-0.24099,0.13399,0.13081,0.19611
0.36,0.00828,0.95598,-0.00493,3.12955,0,0.05319,0.11016,-0.01755,-0.03056,-0.59748,0.0732,0.05741,0.47868,-0.26936,0.1425,0.19367,1.43056,0.00248,0.0259,0.51099,0.05022,-0.15674,0.14409,-1.31935,-0.07746,-0.0194,0.0185,0.04297,0.21584,-0.3454,0.18294,-0.16704,-0.2545,-0.01687,-0.05322,-0.08293,-0.2413,0.13382,0.13075,0.19564
0.38,0.00882,0.95599,-0.00514,3.12929,0,0.05323,0.10925,-0.01734,-0.03098,-0.5934,0.07222,0.05684,0.47526,-0.26811,0.1428,0.19361,1.43064,0.00237,0.02602,0.50748,0.05154,-0.15728,0.14405,-1.31841,-0.07785,-0.01966,0.01911,0.04326,0.21682,-0.34555,0.1827,-0.16649,-0.25502,-0.01613,-0.05305,-0.08256,-0.24175,0.13363,0.1308,0.19549
0.4,0.00935,0.95601,-0.00536,3.12916,0,0.05334,0.10832,-0.01719,-0.03134,-0.58814,0.07117,0.0561,0.47063,-0.26672,0.14331,0.19362,1.43071,0.00227,0.026,0.50273,0.05319,-0.15895,0.14429,-1.31766,-0.07829,-0.01975,0.01985,0.04352,0.2176,-0.34598,0.1825,-0.16604,-0.25552,-0.01554,-0.05282,-0.08176,-0.24191,0.13347,0.13064,0.19467
0.42,0.00985,0.95605,-0.0056,3.12927,0,0.0536,0.10725,-0.01716,-0.03154,-0.57981,0.06981,0.05486,0.46289,-0.26481,0.14439,0.19371,1.43075,0.00216,0.02559,0.49473,0.05577,-0.16378,0.14528,-1.31739,-0.07886,-0.01937,0.02093,0.04366,0.2179,-0.34717,0.18239,-0.16593,-0.25592,-0.01532,-0.05243,-0.07966,-0.24124,0.1334,0.12994,0.192
0.44,0.01035,0.95609,-0.00586,3.12954,0,0.05393,0.10616,-0.01719,-0.03167,-0.5703,0.0684,0.05346,0.45391,-0.26279,0.14568,0.19387,1.43078,0.00206,0.02504,0.48549,0.05865,-0.16973,0.14654,-1.31735,-0.07948,-0.01881,0.02214,0.04377,0.21798,-0.34864,0.18233,-0.16593,-0.25631,-0.01522,-0.05197,-0.07715,-0.24026,0.13336,0.12903,0.18866
0.46,0.01085,0.95612,-0.00612,3.12979,0,0.05423,0.10509,-0.01722,-0.0318,-0.56124,0.0671,0.05219,0.44536,-0.26093,0.14687,0.19402,1.43082,0.00196,0.02457,0.47675,0.06132,-0.17516,0.14768,-1.31731,-0.08008,-0.01832,0.02329,0.04391,0.21811,-0.34998,0.18226,-0.16588,-0.25672,-0.01507,-0.05153,-0.07489,-0.23943,0.13329,0.12821,0.18563
0.48,0.01135,0.95616,-0.00634,3.1298,0,0.05451,0.10395,-0.01712,-0.03204,-0.55248,0.06545,0.05071,0.43733,-0.25864,0.14808,0.19409,1.43085,0.00184,0.02404,0.46822,0.06428,-0.18066,0.14885,-1.31681,-0.08068,-0.01788,0.02446,0.04401,0.21844,-0.35132,0.18214,-0.16581,-0.25707,-0.01494,-0.05112,-0.07233,-0.23858,0.13326,0.12742,0.18255
0.5,0.01183,0.95619,-0.00666,3.13035,0,0.05486,0.10297,-0.01731,-0.03204,-0.5429,0.0645,0.04961,0.42798,-0.25719,0.14928,0.19434,1.43089,0.00177,0.02361,0.45902,0.06673,-0.18626,0.15,-1.31732,-0.08128,-0.01729,0.02561,0.04417,0.2183,-0.35274,0.18214,-0.16582,-0.25752,-0.01478,-0.05065,-0.07031,-0.2377,0.13317,0.12653,0.17942
0.52,0.01227,0.95621,-0.00726,3.1323,0,0.05538,0.1024,-0.01832,-0.0314,-0.53089,0.06568,0.0497,0.41475,-0.25834,0.15063,0.19517,1.43091,0.00179,0.02348,0.44787,0.06751,-0.19213,0.15097,-1.32078,-0.08195,-0.0163,0.02668,0.04446,0.21699,-0.3543,0.18238,-0.16599,-0.25825,-0.01453,-0.05006,-0.06984,-0.23666,0.13289,0.12536,0.17627
0.54,0.01267,0.95622,-0.00798,3.13479,0,0.05598,0.10202,-0.01962,-0.03051,-0.51823,0.06753,0.05018,0.40036,-0.2603,0.15192,0.19617,1.43093,0.00186,0.02348,0.43619,0.06779,-0.19803,0.1519,-1.32521,-0.08262,-0.01516,0.02771,0.0448,0.21519,-0.35595,0.18275,-0.16624,-0.25907,-0.01422,-0.04942,-0.06994,-0.23562,0.13256,0.1241,0.17309
0.56,0.01307,0.95623,-0.00866,3.13707,0,0.05656,0.10159,-0.02077,-0.02974,-0.50614,0.06896,0.05043,0.38677,-0.26175,0.15308,0.19704,1.43095,0.00193,0.02344,0.42498,0.0684,-0.20376,0.15286,-1.32905,-0.08326,-0.01411,0.02875,0.04512,0.21357,-0.35757,0.1831,-0.16647,-0.25983,-0.01392,-0.04881,-0.06979,-0.23466,0.13229,0.1229,0.16994
0.58,0.01355,0.95626,-0.00927,3.13923,0,0.05711,0.10096,-0.022,-0.02895,-0.49271,0.07087,0.05089,0.37181,-0.26379,0.15489,0.19812,1.43096,0.00192,0.02332,0.41263,0.06858,-0.21017,0.15381,-1.33354,-0.08403,-0.01298,0.02986,0.04542,0.21216,-0.35914,0.18332,-0.16662,-0.26067,-0.01372,-0.0482,-0.06956,-0.23336,0.13188,0.12162,0.16669
0.6,0.01384,0.95624,-0.01005,3.14176,0,0.05772,0.10083,-0.02312,-0.02815,-0.48213,0.07193,0.05104,0.35965,-0.26481,0.15537,0.19881,1.43099,0.00208,0.02339,0.40271,0.06953,-0.21516,0.15474,-1.33691,-0.08452,-0.01199,0.0308,0.04579,0.21018,-0.36083,0.18382,-0.16696,-0.26137,-0.01329,-0.04756,-0.06964,-0.23278,0.13175,0.12049,0.16365
0.62,0.01365,0.95609,-0.01121,3.14517,0,0.05846,0.10173,-0.02387,-0.02724,-0.47791,0.07054,0.05003,0.35383,-0.26275,0.15179,0.19843,1.43107,0.0027,0.02394,0.39812,0.07274,-0.21626,0.15577,-1.33684,-0.08433,-0.01141,0.03137,0.04632,0.20674,-0.36283,0.18508,-0.1678,-0.2617,-0.01217,-0.04687,-0.0704,-0.23421,0.13239,0.11978,0.16119
0.64,0.01326,0.95589,-0.01253,3.14893,0,0.05925,0.10318,-0.0245,-0.02635,-0.47688,0.06827,0.04873,0.35118,-0.25965,0.14694,0.19766,1.43117,0.00349,0.02467,0.39626,0.07673,-0.21596,0.15675,-1.33562,-0.08385,-0.01097,0.03176,0.04692,0.20273,-0.36493,0.18661,-0.16884,-0.26189,-0.01083,-0.04614,-0.07146,-0.23638,0.13332,0.11922,0.15895
0.66,0.01292,0.95571,-0.0138,3.15254,0,0.06002,0.10459,-0.0252,-0.02553,-0.47553,0.06633,0.04773,0.34823,-0.25707,0.14291,0.19704,1.43128,0.00421,0.02533,0.39418,0.08035,-0.21624,0.15766,-1.33497,-0.08345,-0.01048,0.03218,0.04751,0.19898,-0.36697,0.18803,-0.16979,-0.26215,-0.00963,-0.0454,-0.07242,-0.23819,0.13413,0.1186,0.15661
0.68,0.01273,0.95555,-0.01499,3.15615,0,0.0608,0.10515,-0.02584,-0.02438,-0.46948,0.06467,0.04609,0.34051,-0.25428,0.13784,0.1965,1.43133,0.00492,0.02597,0.38786,0.08403,-0.21664,0.15896,-1.33413,-0.08326,-0.00997,0.0328,0.04801,0.19523,-0.36909,0.18944,-0.17071,-0.2624,-0.00825,-0.04477,-0.07324,-0.24006,0.13488,0.11793,0.15424
0.7,0.01219,0.95535,-0.01637,3.15985,0,0.06155,0.10757,-0.02658,-0.02391,-0.47389,0.06225,0.04566,0.34339,-0.25169,0.13466,0.19572,1.43149,0.00567,0.02666,0.3909,0.08779,-0.21659,0.15944,-1.33341,-0.0826,-0.00951,0.03298,0.04871,0.19133,-0.37105,0.19092,-0.17175,-0.26263,-0.00718,-0.04391,-0.07444,-0.24201,0.13584,0.11741,0.152
0.72,0.01068,0.95506,-0.01818,3.16365,0,0.06224,0.11521,-0.02764,-0.02558,-0.50718,0.05765,0.04891,0.37539,-0.24975,0.13683,0.19412,1.43203,0.00656,0.02772,0.4201,0.0915,-0.21477,0.15757,-1.33326,-0.08037,-0.00924,0.03202,0.04991,0.18719,-0.37264,0.19254,-0.17308,-0.26288,-0.00713,-0.0425,-0.07649,-0.2438,0.13728,0.11725,0.14998
0.74,0.00883,0.95474,-0.02018,3.16756,0,0.06287,0.12464,-0.0288,-0.02791,-0.5507,0.05237,0.05334,0.41776,-0.24806,0.14097,0.19233,1.43267,0.00746,0.02878,0.45838,0.0953,-0.21278,0.15489,-1.33326,-0.07774,-0.00899,0.03063,0.05132,0.18289,-0.37406,0.19423,-0.17451,-0.26312,-0.00735,-0.04087,-0.07894,-0.2457,0.13894,0.11724,0.14809
0.76,0.00715,0.95444,-0.02212,3.17147,0,0.06351,0.13312,-0.0299,-0.0298,-0.58913,0.04761,0.05705,0.45504,-0.24632,0.14431,0.19077,1.4332,0.00831,0.02967,0.49194,0.09911,-0.21134,0.15261,-1.33319,-0.07552,-0.00864,0.02942,0.05267,0.17862,-0.3755,0.19587,-0.17588,-0.26337,-0.00737,-0.03931,-0.0813,-0.24766,0.14052,0.11719,0.14618
0.78,0.0054,0.95414,-0.02397,3.17516,0,0.06424,0.14227,-0.03106,-0.03225,-0.62977,0.04196,0.06153,0.49427,-0.24427,0.1472,0.1886,1.434,0.00934,0.03127,0.52837,0.10271,-0.20753,0.15014,-1.33307,-0.07234,-0.00865,0.02825,0.05386,0.17453,-0.37719,0.19759,-0.17734,-0.2636,-0.00777,-0.03787,-0.08327,-0.24908,0.14202,0.11703,0.14408
0.8,0.00372,0.95382,-0.02604,3.17936,0,0.06475,0.15035,-0.03211,-0.03372,-0.66788,0.03799,0.06469,0.53156,-0.24294,0.15149,0.18764,1.43428,0.01001,0.03141,0.56061,0.10676,-0.20903,0.14793,-1.33314,-0.07107,-0.00793,0.02691,0.05545,0.17001,-0.37832,0.19916,-0.17862,-0.26385,-0.00736,-0.03613,-0.08617,-0.25177,0.14375,0.11715,0.14242
0.82,0.00219,0.95345,-0.02867,3.18474,0,0.06482,0.15564,-0.03307,-0.03216,-0.69929,0.03889,0.06399,0.56357,-0.24371,0.15946,0.19009,1.43293,0.00957,0.02735,0.5818,0.11195,-0.22196,0.14629,-1.3335,-0.07498,-0.00509,0.02507,0.05795,0.16455,-0.37799,0.20035,-0.17941,-0.26422,-0.00541,-0.03363,-0.09131,-0.25674,0.14594,0.11795,0.14192
0.84,0.00077,0.95306,-0.03152,3.19067,0,0.06464,0.15966,-0.03388,-0.02962,-0.72727,0.04149,0.06192,0.59275,-0.24519,0.16872,0.19375,1.43108,0.00878,0.02186,0.59792,0.11759,-0.24081,0.14505,-1.33409,-0.08082,-0.00152,0.02311,0.06088,0.15861,-0.37711,0.20137,-0.18001,-0.26459,-0.00248,-0.03084,-0.09742,-0.26319,0.14837,0.11905,0.14187
0.86,-0.00061,0.95267,-0.03427,3.19648,0,0.06449,0.16386,-0.03463,-0.02764,-0.75501,0.04325,0.06047,0.6215,-0.24627,0.17718,0.19684,1.42957,0.00821,0.01714,0.61459,0.12307,-0.25916,0.14386,-1.33471,-0.08591,0.00165,0.02131,0.06369,0.15273,-0.37649,0.20243,-0.18068,-0.2649,0.00049,-0.02817,-0.10326,-0.26971,0.15079,0.12009,0.14166
0.88,-0.0024,0.95232,-0.03701,3.20177,0,0.06474,0.16979,-0.03595,-0.02522,-0.79074,0.04527,0.05908,0.65791,-0.24768,0.18656,0.20003,1.42759,0.00736,0.01189,0.63905,0.1284,-0.26846,0.14157,-1.3348,-0.09054,0.00509,0.01906,0.06616,0.14754,-0.37586,0.20365,-0.18141,-0.26544,0.00136,-0.02554,-0.10841,-0.27307,0.15283,0.12086,0.1413
0.9,-0.00331,0.95187,-0.03983,3.20826,0,0.06406,0.17178,-0.03603,-0.02346,-0.80879,0.04716,0.05723,0.67748,-0.24857,0.19434,0.20328,1.42647,0.00702,0.00742,0.64586,0.13412,-0.29779,0.1418,-1.33602,-0.0965,0.00814,0.01771,0.06946,0.14078,-0.37508,0.2045,-0.18197,-0.26551,0.00687,-0.02275,-0.11518,-0.28341,0.15569,0.12221,0.14129
0.92,-0.00185,0.95119,-0.04286,3.21779,0,0.06098,0.1634,-0.03282,-0.024,-0.77952,0.04828,0.05446,0.65191,-0.24783,0.19726,0.20652,1.42793,0.00816,0.00541,0.60602,0.14102,-0.38272,0.14788,-1.34039,-0.10642,0.00977,0.01892,0.0749,0.12977,-0.37418,0.20442,-0.18223,-0.26421,0.02463,-0.01966,-0.12667,-0.31228,0.16097,0.12548,0.14272
0.94,0.00048,0.95041,-0.04596,3.22853,0,0.05697,0.15107,-0.02835,-0.0252,-0.73241,0.04921,0.05128,0.60932,-0.24654,0.19854,0.20976,1.43026,0.00982,0.00424,0.54836,0.14828,-0.48721,0.15676,-1.34585,-0.11747,0.01099,0.02103,0.08117,0.11719,-0.37311,0.20397,-0.18232,-0.26244,0.04707,-0.01641,-0.13965,-0.34815,0.16701,0.12924,0.14439
