T,RGRFx,RGRFy,RGRFz,RGRTx,RGRTy,RGRTz,LGRFx,LGRFy,LGRFz,LGRTx,LGRTy,LGRTz
0,3.75349,686.82916,6.98917,0,0.03602,0,-0,0,-0,0,0,0
0.02,4.06761,686.78622,6.98883,0,0.05152,0,-0,0,-0,0,0,0
0.04,4.38891,686.86171,6.9897,0,0.06746,0,-0,0,-0,0,0,0
0.06,4.71306,687.11132,6.99235,0,0.08364,0,-0,0,-0,0,0,0
0.08,5.03583,687.6,6.99743,0,0.09983,0,-0,0,-0,0,0,0
0.1,5.35289,688.39901,7.00569,0,0.11578,0,-0,0,-0,0,0,0
0.12,5.65973,689.58055,7.01784,0,0.13116,0,-0,0,-0,0,0,0
0.14,5.95164,691.20922,7.03456,0,0.14564,0,-0,0,-0,0,0,0
0.16,6.22367,693.32969,7.0563,0,0.15884,0,-0,0,-0,0,0,0
0.18,6.47097,695.95,7.08315,0,0.17042,0,0,0,0,0,-0,0
0.2,6.68934,699.01999,7.11459,0,0.18015,0,0,0,0,0,-0,0
0.22,6.87587,702.40515,7.14925,0,0.18792,0,0,0,0,0,-0,0
0.24,7.02937,705.85616,7.18461,-0,0.19385,-0,0,0,0,-0,-0,-0
0.26,7.14968,708.976,7.21662,-0,0.19824,-0,0,0,0,-0,-0,-0
0.28,7.23648,711.18705,7.2394,-0,0.2015,-0,0,0,0,-0,-0,-0
0.3,7.28813,711.70237,7.24493,-0,0.20402,-0,0,0,0,-0,-0,-0
0.32,7.30078,709.50723,7.22287,-0,0.20613,-0,0,0,0,-0,-0,-0
0.34,7.26788,703.35884,7.16055,-0,0.20801,-0,0,0,0,-0,-0,-0
0.36,7.18007,691.81439,7.04328,-0,0.2096,-0,0,0,0,-0,-0,-0
0.38,7.02559,673.2999,6.85501,-0,0.21058,-0,0,0,0,-0,-0,-0
0.4,6.79118,646.23408,6.57962,-0,0.21037,-0,0,0,0,-0,-0,-0
0.42,6.46376,609.22218,6.20288,-0,0.20812,-0,0,0,0,-0,-0,-0
0.44,6.03277,561.33513,5.71532,-0,0.20282,-0,0,0,0,-0,-0,-0
0.46,5.49362,502.48625,5.11601,-0,0.19345,-0,-0,0,-0,-0,0,-0
0.48,4.85195,433.91335,4.41755,-0,0.17924,-0,-0,0,-0,-0,0,-0
0.5,4.1291,358.76435,3.65198,0,0.15999,0,-0,0,-0,0,0,0
0.52,3.36404,282.33898,2.87325,0,0.13632,0,-0,0,-0,0,0,0
0.54,2.60279,211.0889,2.14707,0,0.10931,0,-0,0,-0,0,0,0
0.56,1.87955,150.7603,1.53198,0,0.07965,0,-0,0,-0,0,0,0
0.58,1.20653,105.35274,1.06875,0,0.04714,0,-0,0,-0,0,0,0
0.6,0.57676,77.27368,0.78199,0,0.0108,0,-0,0,-0,0,0,0
0.62,-0.02908,67.78335,0.68464,0,-0.03083,0,-0,0,-0,0,0,0
0.64,-0.63622,77.27085,0.78085,0,-0.07926,0,-0,0,-0,0,0,0
0.66,-1.2696,105.3478,1.06689,0,-0.13567,0,-0,0,-0,0,0,0
0.68,-1.94764,150.75473,1.5302,0,-0.20041,0,-0,0,-0,0,0,0
0.7,-2.67574,211.08498,2.14664,0,-0.27242,0,-0,0,-0,0,0,0
0.72,-3.43946,282.33982,2.87586,0,-0.34856,0,-0,0,-0,0,0,0
0.74,-4.20166,358.77387,3.65976,0,-0.42349,0,0,0,0,0,-0,0
0.76,-4.91261,433.93604,4.43305,0,-0.49087,0,0,0,0,0,-0,0
0.78,-5.52897,502.52662,5.14206,-0,-0.54566,-0,0,0,0,-0,-0,-0
0.8,-6.02449,561.39712,5.7549,-0,-0.5853,-0,0,0,0,-0,-0,-0
0.82,-6.38835,609.30876,6.25886,-0,-0.60933,-0,0,0,0,-0,-0,-0
0.84,-6.62016,646.34696,6.65428,-0,-0.61869,-0,0,0,0,-0,-0,-0
0.86,-6.7264,673.43954,6.94953,-0,-0.61515,-0,0,0,0,-0,-0,-0
0.88,-6.71796,691.98003,7.15695,-0,-0.6009,-0,0,0,0,-0,-0,-0
0.9,-6.6091,703.54874,7.28983,-0,-0.57828,-0,0,0,0,-0,-0,-0
0.92,-6.41709,709.71882,7.36026,-0,-0.54959,-0,0,0,0,-0,-0,-0
0.94,-6.16189,711.93253,7.37773,-0,-0.517,-0,0,0,0,-0,-0,-0
0.96,-5.86477,711.43232,7.34836,-0,-0.48237,-0,0,0,0,-0,-0,-0
0.98,-5.54671,709.23278,7.27471,-0,-0.44716,-0,0,0,0,-0,-0,-0
1,-5.22714,706.12089,7.15608,-0,-0.41241,-0,0,0,0,-0,-0,-0
1.02,-4.9233,702.67446,6.98919,-0,-0.37871,-0,-0,0,-0,-0,0,-0
1.04,-4.64998,699.2908,6.76946,-0,-0.34635,-0,-0,0,-0,-0,0,-0
1.06,-4.41951,696.21955,6.49267,0,-0.31537,0,-0,0,-0,0,0,0
1.08,-4.24177,693.59563,6.15724,0,-0.28572,0,-0,0,-0,0,0,0
1.1,-4.12422,691.46959,5.76663,0,-0.25736,0,-0,0,-0,0,0,0
1.12,-4.07181,689.83379,5.33094,0,-0.23035,0,-0,0,-0,0,0,0
1.14,-4.08679,688.64391,4.86595,0,-0.20486,0,-0,0,-0,0,0,0
1.16,-4.16859,687.83571,4.39015,0,-0.1811,0,-0,0,-0,0,0,0
1.18,-4.31358,687.33727,3.92136,0,-0.15923,0,-0,0,-0,0,0,0
1.2,-4.515,687.07755,3.47439,0,-0.13931,0,-0,0,-0,0,0,0
1.22,-4.76307,686.9918,3.05967,0,-0.1213,0,-0,0,-0,0,0,0
1.24,-5.04534,687.02446,2.68278,0,-0.10508,0,-0,0,-0,0,0,0
1.26,-5.34734,687.13034,2.34458,0,-0.09042,0,-0,0,-0,0,0,0
1.28,-5.65352,687.27454,2.04181,0,-0.0771,0,-0,0,-0,0,0,0
1.3,-5.94853,687.43152,1.76795,0,-0.06489,0,0,0,0,0,-0,0
1.32,-6.21877,687.58383,1.51424,0,-0.05362,0,0,0,0,0,-0,0
1.34,-6.45402,687.72059,1.27076,-0,-0.0432,-0,0,0,0,-0,-0,-0
1.36,-6.64866,687.836,1.02748,-0,-0.03363,-0,0,0,0,-0,-0,-0
