T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.00179,0.0159,0.01426,0.12331,0,0.04222,-0.01008,0.06306,0.21717,0.282,-0.10388,-0.09935,-0.483,0.22388,-0.89903,-0.27416,-0.22833,-0.2129,0.23305,-0.46264,-0.00983,0.88512,0.07417,0.143,-0.07541,-0.14308,-0.12187,-0.06261,-0.04482,0.25738,-0.09034,0.10437,-0.0941,0.02854,-0.03076,0.18364,0.0129,-0.01997,-0.19745,-0.25606
0.02,-0.00229,0.01564,0.0109,0.13906,0,0.05587,-0.00204,0.05367,0.2194,0.30076,-0.09804,-0.09658,-0.52305,0.20564,-0.7679,-0.31627,-0.14945,-0.18588,0.27208,-0.48416,-0.03696,0.8709,0.01767,0.14079,-0.01854,-0.16823,-0.12676,-0.06944,-0.04324,0.25576,-0.08905,0.08831,-0.11981,0.00509,-0.03053,0.22494,0.05983,-0.01651,-0.2145,-0.29533
0.04,-0.00807,0.01466,0.00542,0.15751,0,0.07259,0.01086,0.04007,0.21692,0.31191,-0.08644,-0.08844,-0.54974,0.17112,-0.57306,-0.37882,-0.02398,-0.13748,0.32313,-0.48518,-0.07154,0.7962,-0.06761,0.12978,0.06371,-0.19592,-0.13213,-0.07696,-0.04227,0.25016,-0.08389,0.06306,-0.14897,-0.02446,-0.02979,0.27733,0.11615,-0.00901,-0.23105,-0.33932
0.06,-0.01525,0.01276,-0.0022,0.17942,0,0.09158,0.02964,0.02181,0.2076,0.30942,-0.06807,-0.07375,-0.55255,0.11747,-0.31668,-0.46589,0.1557,-0.06314,0.38531,-0.45385,-0.11245,0.64002,-0.18594,0.10823,0.17343,-0.22386,-0.13739,-0.08472,-0.04421,0.23982,-0.07362,0.0274,-0.17932,-0.05812,-0.02865,0.33834,0.17806,0.00366,-0.24479,-0.38483
0.08,-0.02348,0.00975,-0.01189,0.20508,0,0.11147,0.05518,-0.00108,0.18937,0.28599,-0.0421,-0.0513,-0.51835,0.04235,-0.0072,-0.5813,0.39529,0.04115,0.45663,-0.3762,-0.15744,0.37959,-0.34015,0.07422,0.31082,-0.24863,-0.14214,-0.09206,-0.05178,0.22465,-0.05704,-0.0193,-0.2073,-0.09282,-0.02729,0.40414,0.23942,0.02274,-0.25269,-0.42704
0.1,-0.03231,0.00545,-0.02353,0.23394,0,0.13035,0.08807,-0.02781,0.16071,0.23371,-0.0081,-0.02005,-0.43208,-0.05562,0.33943,-0.72839,0.69714,0.17805,0.5343,-0.23724,-0.20288,-0.00757,-0.5306,0.02569,0.47339,-0.2658,-0.14643,-0.09812,-0.06771,0.20574,-0.03316,-0.07668,-0.22809,-0.1243,-0.02595,0.46985,0.2915,0.0494,-0.25133,-0.45963
0.12,-0.04124,-0.00026,-0.03697,0.26419,0,0.14576,0.12836,-0.05663,0.12112,0.14492,0.03377,0.02075,-0.2778,-0.17641,0.69967,-0.90933,1.05858,0.34803,0.615,-0.0227,-0.24363,-0.5411,-0.75397,-0.03964,0.65525,-0.26993,-0.15073,-0.10184,-0.09413,0.18544,-0.00139,-0.14306,-0.23576,-0.1472,-0.02489,0.52988,0.32301,0.08466,-0.23713,-0.47507
0.14,-0.04973,-0.00739,-0.05203,0.29225,0,0.15477,0.17531,-0.08479,0.07139,0.01326,0.08269,0.07152,-0.04009,-0.31839,1.04393,-1.12375,1.47011,0.54845,0.69505,0.27897,-0.27303,-1.23501,-1.00192,-0.12435,0.8464,-0.25478,-0.15576,-0.10191,-0.13178,0.16686,0.03832,-0.21516,-0.22362,-0.15523,-0.0244,0.57825,0.32048,0.12915,-0.20668,-0.46492
0.16,-0.05707,-0.01585,-0.06843,0.31232,0,0.15409,0.22705,-0.10852,0.01372,-0.16515,0.13705,0.13221,0.29407,-0.47814,1.33942,-1.36697,1.9138,0.77282,0.77041,0.67398,-0.28292,-2.09458,-1.25969,-0.23137,1.03234,-0.21358,-0.16201,-0.09675,-0.17913,0.15314,0.08533,-0.28801,-0.18472,-0.14152,-0.02471,0.60891,0.269,0.18282,-0.15697,-0.42026
0.18,-0.06243,-0.02539,-0.08585,0.31598,0,0.14027,0.28033,-0.12329,-0.04826,-0.39038,0.19453,0.20228,0.73322,-0.65048,1.5538,-1.6279,2.36203,1.01013,0.83665,1.16058,-0.2639,-3.11348,-1.50487,-0.36418,1.19386,-0.13941,-0.16923,-0.08452,-0.23155,0.14646,0.13831,-0.35495,-0.11243,-0.09915,-0.02593,0.6161,0.15343,0.24466,-0.08575,-0.33245
