T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-8e-05,-0.00565,0.0012,0.00166,-0.00043,-6e-05,0.00461,-0.00069,-0.00019,0.0017,-4e-05,-0,-0.00018,0.00457,0.00087,0.00013,0.00164,2e-05,1e-05,0.00017,-0.00558,0.00287,-0.00062,-0.00286,0.00026,-0.00011,-2e-05,-0.00478,0.00113,0.00019,-0.00252,0.00026,0.00011,3e-05
0.02,-8e-05,-0.00554,0.00119,0.00167,-0.00043,-6e-05,0.0046,-0.0007,-0.00019,0.00169,-4e-05,-0,-0.00017,0.00456,0.00086,0.00012,0.00164,2e-05,1e-05,0.00017,-0.00553,0.00287,-0.00061,-0.00287,0.00026,-0.00011,-2e-05,-0.00475,0.00113,0.00019,-0.00251,0.00026,0.00011,3e-05
0.04,-0.0001,-0.0054,0.00116,0.00167,-0.00042,-5e-05,0.00459,-0.00071,-0.00019,0.00169,-4e-05,-0,-0.00017,0.00455,0.00084,0.00012,0.00164,2e-05,1e-05,0.00017,-0.00547,0.00286,-0.00061,-0.00287,0.00026,-0.00011,-2e-05,-0.00472,0.00112,0.00019,-0.00251,0.00026,0.00011,3e-05
0.06,-0.0001,-0.00525,0.00112,0.00168,-0.00041,-5e-05,0.00458,-0.00073,-0.00019,0.00169,-4e-05,-0,-0.00017,0.00455,0.00081,0.00012,0.00163,2e-05,2e-05,0.00017,-0.00541,0.00285,-0.00061,-0.00288,0.00026,-0.00011,-2e-05,-0.0047,0.00111,0.0002,-0.0025,0.00026,0.00011,3e-05
0.08,-0.0001,-0.00509,0.00107,0.00168,-0.0004,-5e-05,0.00458,-0.00076,-0.00019,0.00168,-4e-05,-0,-0.00017,0.00456,0.00078,0.00012,0.00164,2e-05,2e-05,0.00017,-0.00535,0.00284,-0.0006,-0.00288,0.00026,-0.00011,-2e-05,-0.00467,0.00109,0.0002,-0.00249,0.00026,0.0001,3e-05
0.1,-9e-05,-0.00493,0.00101,0.00168,-0.00039,-5e-05,0.00459,-0.00079,-0.00019,0.00169,-4e-05,-0,-0.00017,0.00458,0.00075,0.00012,0.00164,2e-05,2e-05,0.00017,-0.00529,0.00282,-0.0006,-0.00288,0.00026,-0.00011,-2e-05,-0.00464,0.00106,0.00021,-0.00249,0.00027,0.0001,3e-05
0.12,-7e-05,-0.00477,0.00094,0.00168,-0.00037,-5e-05,0.00461,-0.00083,-0.00019,0.00169,-4e-05,-0,-0.00017,0.00463,0.00071,0.00011,0.00166,2e-05,2e-05,0.00017,-0.00525,0.00279,-0.00059,-0.00288,0.00026,-0.00011,-2e-05,-0.0046,0.00102,0.00021,-0.00248,0.00027,0.0001,3e-05
0.14,-3e-05,-0.00463,0.00086,0.00168,-0.00036,-5e-05,0.00465,-0.00087,-0.00019,0.00171,-4e-05,-0,-0.00018,0.0047,0.00067,0.00011,0.00168,2e-05,2e-05,0.00017,-0.00522,0.00275,-0.00058,-0.00288,0.00026,-0.00011,-2e-05,-0.00454,0.00097,0.00021,-0.00248,0.00027,0.0001,3e-05
0.16,4e-05,-0.00449,0.00076,0.00167,-0.00035,-5e-05,0.00471,-0.00093,-0.00019,0.00173,-4e-05,-0,-0.00018,0.00479,0.00063,0.0001,0.00172,2e-05,3e-05,0.00018,-0.00519,0.00271,-0.00057,-0.00288,0.00026,-0.00011,-2e-05,-0.00447,0.0009,0.00022,-0.00247,0.00027,0.0001,3e-05
0.18,0.00013,-0.00436,0.00066,0.00166,-0.00033,-4e-05,0.00479,-0.00099,-0.00019,0.00177,-4e-05,-0,-0.00018,0.00491,0.00059,0.0001,0.00177,2e-05,3e-05,0.00018,-0.00517,0.00265,-0.00056,-0.00288,0.00026,-0.00011,-2e-05,-0.00439,0.00081,0.00022,-0.00246,0.00027,0.0001,3e-05
0.2,0.00024,-0.00426,0.00054,0.00165,-0.00032,-4e-05,0.0049,-0.00107,-0.00019,0.00181,-4e-05,-0,-0.00019,0.00506,0.00056,9e-05,0.00182,2e-05,4e-05,0.00019,-0.00515,0.00257,-0.00055,-0.00288,0.00026,-0.00011,-2e-05,-0.00428,0.00071,0.00023,-0.00245,0.00027,0.0001,3e-05
0.22,0.00036,-0.0042,0.00042,0.00163,-0.00031,-4e-05,0.00503,-0.00115,-0.0002,0.00187,-4e-05,-1e-05,-0.00019,0.00522,0.00054,9e-05,0.00189,1e-05,4e-05,0.00019,-0.00513,0.00248,-0.00054,-0.00289,0.00026,-0.00012,-3e-05,-0.00416,0.0006,0.00023,-0.00244,0.00027,0.0001,3e-05
0.24,0.00049,-0.00418,0.00028,0.00161,-0.0003,-4e-05,0.00518,-0.00124,-0.00021,0.00193,-5e-05,-1e-05,-0.0002,0.00541,0.00053,8e-05,0.00197,1e-05,4e-05,0.0002,-0.0051,0.00237,-0.00053,-0.0029,0.00026,-0.00012,-3e-05,-0.00401,0.00046,0.00022,-0.00242,0.00027,0.0001,3e-05
0.26,0.00062,-0.0042,0.00015,0.00159,-0.00029,-4e-05,0.00535,-0.00134,-0.00022,0.002,-5e-05,-1e-05,-0.00021,0.0056,0.00054,8e-05,0.00205,1e-05,4e-05,0.00021,-0.00509,0.00224,-0.00052,-0.00291,0.00026,-0.00012,-3e-05,-0.00384,0.00032,0.00022,-0.00241,0.00026,0.0001,3e-05
0.28,0.00073,-0.00428,2e-05,0.00156,-0.00029,-5e-05,0.00552,-0.00144,-0.00023,0.00208,-5e-05,-2e-05,-0.00022,0.00579,0.00058,8e-05,0.00214,1e-05,4e-05,0.00022,-0.00508,0.0021,-0.00052,-0.00292,0.00026,-0.00012,-3e-05,-0.00364,0.00017,0.0002,-0.00239,0.00026,0.0001,3e-05
0.3,0.00081,-0.00443,-0.00011,0.00154,-0.00029,-5e-05,0.0057,-0.00154,-0.00025,0.00216,-6e-05,-2e-05,-0.00023,0.00597,0.00064,8e-05,0.00222,1e-05,4e-05,0.00024,-0.00508,0.00195,-0.00051,-0.00292,0.00026,-0.00012,-3e-05,-0.00343,2e-05,0.00018,-0.00238,0.00026,0.0001,3e-05
0.32,0.00083,-0.00466,-0.00023,0.00151,-0.0003,-6e-05,0.00587,-0.00164,-0.00027,0.00224,-6e-05,-3e-05,-0.00025,0.0061,0.00073,9e-05,0.00228,1e-05,4e-05,0.00025,-0.00509,0.00179,-0.00051,-0.00292,0.00026,-0.00012,-3e-05,-0.00323,-0.00011,0.00016,-0.00237,0.00026,0.0001,3e-05
0.34,0.00078,-0.005,-0.00032,0.00149,-0.00031,-6e-05,0.00601,-0.00173,-0.00029,0.00232,-6e-05,-3e-05,-0.00026,0.00618,0.00085,0.0001,0.00232,1e-05,3e-05,0.00026,-0.0051,0.00165,-0.00051,-0.00292,0.00026,-0.00012,-3e-05,-0.00303,-0.00021,0.00013,-0.00235,0.00026,0.0001,3e-05
0.36,0.00066,-0.00546,-0.00038,0.00147,-0.00034,-7e-05,0.00611,-0.0018,-0.00031,0.00238,-7e-05,-4e-05,-0.00027,0.00619,0.00101,0.00012,0.00234,1e-05,2e-05,0.00026,-0.0051,0.00152,-0.00052,-0.00291,0.00026,-0.00012,-3e-05,-0.00285,-0.00026,9e-05,-0.00235,0.00026,0.0001,2e-05
0.38,0.00045,-0.00605,-0.00041,0.00145,-0.00036,-8e-05,0.00615,-0.00184,-0.00032,0.00243,-7e-05,-4e-05,-0.00028,0.0061,0.00119,0.00013,0.00231,1e-05,1e-05,0.00026,-0.00508,0.00143,-0.00053,-0.00289,0.00026,-0.00012,-3e-05,-0.0027,-0.00025,4e-05,-0.00235,0.00026,0.0001,2e-05
0.4,0.00016,-0.00678,-0.00042,0.00144,-0.0004,-9e-05,0.00615,-0.00185,-0.00033,0.00246,-8e-05,-5e-05,-0.00029,0.00594,0.00138,0.00016,0.00225,1e-05,-1e-05,0.00026,-0.00504,0.00138,-0.00054,-0.00287,0.00026,-0.00012,-3e-05,-0.00258,-0.00017,-2e-05,-0.00236,0.00026,0.0001,2e-05
0.42,-0.00027,-0.00767,-0.00042,0.00147,-0.00045,-0.00011,0.00614,-0.00185,-0.00033,0.00248,-9e-05,-5e-05,-0.00029,0.00576,0.00152,0.00018,0.00215,2e-05,-2e-05,0.00026,-0.00499,0.0014,-0.00057,-0.00284,0.00026,-0.00012,-3e-05,-0.00248,1e-05,-8e-05,-0.0024,0.00026,0.0001,2e-05
0.44,-0.00082,-0.00869,-0.00043,0.00151,-0.0005,-0.00012,0.00608,-0.00184,-0.00032,0.00248,-9e-05,-6e-05,-0.00029,0.0055,0.00158,0.0002,0.00201,2e-05,-3e-05,0.00024,-0.00492,0.0015,-0.0006,-0.0028,0.00026,-0.00012,-3e-05,-0.00243,0.00028,-0.00014,-0.00245,0.00026,0.00011,2e-05
0.46,-0.00149,-0.00979,-0.00047,0.00156,-0.00056,-0.00013,0.00594,-0.00182,-0.00031,0.00245,-9e-05,-6e-05,-0.00029,0.00513,0.00156,0.00021,0.00183,3e-05,-4e-05,0.00023,-0.00481,0.00166,-0.00064,-0.00276,0.00027,-0.00012,-3e-05,-0.00247,0.00062,-0.00021,-0.00252,0.00026,0.00011,2e-05
