T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0,0.57926,0,3.11619,0,0.0546,0.13947,-0.00376,0.00536,-0.51363,0.00554,0.00746,0.38925,-0.19126,0.05546,0.18382,1.41648,-0.02797,-0.0082,0.40148,0.14148,-0.16558,0.14226,-1.28471,-0.13465,0.00476,0.06279,0.03274,0.23707,-0.34445,0.17534,-0.16134,-0.2552,0.03508,-0.06616,-0.11236,-0.27781,0.13368,0.13557,0.23587
0.02,4e-05,0.57926,-0.00019,3.11608,0,0.05488,0.13941,-0.00424,0.00594,-0.50886,0.00843,0.00966,0.38423,-0.19442,0.06304,0.18418,1.41896,-0.02179,-0.00344,0.39748,0.13834,-0.16774,0.14256,-1.28523,-0.13447,0.00623,0.06322,0.0329,0.2378,-0.34532,0.17545,-0.16132,-0.25549,0.03528,-0.0662,-0.11272,-0.27809,0.13349,0.13562,0.23647
0.04,9e-05,0.57925,-0.00039,3.11596,0,0.05515,0.13934,-0.00472,0.00652,-0.5041,0.0113,0.01185,0.37923,-0.19758,0.07056,0.18454,1.42142,-0.01567,0.00129,0.3935,0.13521,-0.16988,0.14285,-1.28575,-0.13429,0.00769,0.06365,0.03306,0.23853,-0.34618,0.17556,-0.16129,-0.25578,0.03549,-0.06623,-0.11307,-0.27837,0.1333,0.13567,0.23707
0.06,0.00014,0.57925,-0.00058,3.11586,0,0.05543,0.13928,-0.0052,0.00708,-0.49938,0.01418,0.01404,0.37428,-0.20075,0.07794,0.18489,1.42386,-0.00968,0.00592,0.38955,0.13207,-0.17199,0.14313,-1.28628,-0.13411,0.00914,0.06408,0.03323,0.23924,-0.34704,0.17567,-0.16127,-0.25607,0.03571,-0.06626,-0.1134,-0.27866,0.13313,0.13572,0.23762
0.08,0.00017,0.57925,-0.00078,3.11572,0,0.05572,0.13925,-0.0057,0.00775,-0.4945,0.01704,0.01624,0.36912,-0.20387,0.08609,0.18527,1.42645,-0.00299,0.01107,0.38548,0.12896,-0.17429,0.14345,-1.28673,-0.13398,0.01068,0.06451,0.03338,0.24002,-0.34794,0.17577,-0.16123,-0.25636,0.03586,-0.06633,-0.11387,-0.2789,0.13289,0.13576,0.23837
0.1,0.00024,0.57924,-0.00097,3.11565,0,0.05596,0.13914,-0.00616,0.00817,-0.48994,0.01995,0.01841,0.36439,-0.2071,0.0926,0.1856,1.4287,0.00223,0.01511,0.38164,0.12579,-0.17619,0.14369,-1.28736,-0.13372,0.01202,0.06495,0.03356,0.24066,-0.34874,0.1759,-0.16122,-0.25665,0.03615,-0.06631,-0.11404,-0.27926,0.13279,0.13583,0.23871
0.12,0.0004,0.5792,-0.00116,3.11574,0,0.05611,0.13879,-0.00655,0.00786,-0.48632,0.02302,0.02052,0.36092,-0.21075,0.09469,0.18578,1.43004,0.00334,0.01607,0.37854,0.12242,-0.17707,0.14368,-1.28835,-0.13311,0.01282,0.06542,0.03385,0.24102,-0.34928,0.17608,-0.16127,-0.257,0.03679,-0.06606,-0.11331,-0.27999,0.13307,0.13597,0.23784
0.14,0.00059,0.57916,-0.00135,3.11591,0,0.05621,0.13835,-0.0069,0.00729,-0.48301,0.02614,0.02259,0.35788,-0.21451,0.09512,0.1859,1.43102,0.00296,0.01591,0.37567,0.11898,-0.17753,0.14358,-1.28952,-0.13237,0.0134,0.0659,0.03417,0.24123,-0.34969,0.17629,-0.16134,-0.25734,0.03755,-0.06572,-0.11229,-0.28083,0.13349,0.13613,0.23658
0.16,0.00077,0.57912,-0.00154,3.11606,0,0.05632,0.13796,-0.00724,0.00684,-0.47952,0.02923,0.02463,0.35459,-0.21819,0.09628,0.18606,1.43214,0.00328,0.01627,0.37264,0.11559,-0.17812,0.14351,-1.29068,-0.13168,0.01405,0.06636,0.03447,0.24146,-0.35014,0.17649,-0.16141,-0.25765,0.03825,-0.06542,-0.11146,-0.2816,0.13383,0.13627,0.23555
0.18,0.00095,0.57907,-0.00173,3.11617,0,0.05647,0.13755,-0.00768,0.00638,-0.47616,0.03238,0.02686,0.3515,-0.222,0.09755,0.18619,1.43336,0.00353,0.01658,0.36984,0.11213,-0.17898,0.14349,-1.29156,-0.13101,0.01481,0.06688,0.03479,0.24187,-0.35069,0.17669,-0.16145,-0.25809,0.03901,-0.06511,-0.11038,-0.28248,0.13423,0.13643,0.2343
