T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0,0.00354,0.06623,0,0,0.07461,0.00427,0.00072,0,0,0,0,0.08131,0,0,0,0.01175,0,0.00758,0,0.0143,0,0,0.0454,0,0,0.20208,0,0,0.20419,0,0,0,0.01946,0.02887,0,0,0.01379,0.00171,0,0,0,0.02943,0.00414,0.00209,0.00515,0,0.00242,0.00264,0.04634,0,0.0167,0,0.02078,0,0.00182,0.01428,0,0.01685,0.04475,0,0.05458,0.00311,0,0.2193,0.46448,0.10426
0.02,0,0,0.00387,0.06514,0,0,0.07378,0.00397,0.00077,0,0,0,0,0.08048,0,0,0,0.01165,0,0.00772,0,0.01442,0,0,0.04541,0,0,0.20223,0,0,0.20453,0,0,0,0.01982,0.02911,0,0,0.01448,0.00185,0,0,0,0.02972,0.00413,0.00184,0.0042,0,0.00275,0.00266,0.04664,0,0.01674,0,0.02074,0,0.00191,0.01432,0,0.01685,0.04481,0,0.05564,0.00251,0,0.21916,0.46531,0.10435
0.04,3e-05,3e-05,0.00435,0.06422,0.00017,0.00033,0.07309,0.00384,0.00091,0.0001,0.00041,0.00022,0.00052,0.07976,0.00013,0.00015,0.00011,0.01201,0.00024,0.00833,4e-05,0.01457,0.00013,2e-05,0.04553,0.00012,0.00014,0.2024,4e-05,0.00017,0.20486,1e-05,0.00026,0.00012,0.02022,0.02938,5e-05,0.00014,0.01539,0.00236,8e-05,0.00012,0.00014,0.03012,0.00459,0.0022,0.00378,8e-05,0.00304,0.00277,0.04708,0.00045,0.01738,0.00057,0.0207,3e-05,0.00218,0.01439,3e-05,0.01699,0.04498,1e-05,0.05672,0.00204,0,0.21903,0.46637,0.10458
0.06,3e-05,3e-05,0.00489,0.0631,0.00016,0.00031,0.07236,0.00375,0.00093,9e-05,0.00038,0.00021,0.00049,0.07897,0.00012,0.00014,0.00011,0.01187,0.00023,0.00841,3e-05,0.01469,0.00012,2e-05,0.04556,0.00012,0.00013,0.20257,3e-05,0.00016,0.20522,8e-05,0.00024,0.00012,0.02061,0.02963,4e-05,0.00013,0.01618,0.00255,8e-05,0.00011,0.00013,0.03036,0.00461,0.00206,0.00298,8e-05,0.00317,0.00274,0.04737,0.00042,0.01743,0.00054,0.02063,3e-05,0.00226,0.01442,4e-05,0.01698,0.04504,1e-05,0.05777,0.00143,3e-05,0.21892,0.46714,0.10468
0.08,2e-05,2e-05,0.00551,0.0619,0.00012,0.00024,0.07164,0.00376,0.00093,7e-05,0.00029,0.00017,0.00042,0.07821,9e-05,0.00011,8e-05,0.01165,0.00018,0.00843,2e-05,0.0148,9e-05,1e-05,0.04556,9e-05,0.0001,0.20295,1e-05,0.00012,0.2056,0,0.00016,0.0001,0.02102,0.02986,3e-05,0.0001,0.017,0.00271,6e-05,8e-05,0.0001,0.03056,0.00458,0.00186,0.0021,7e-05,0.00322,0.00268,0.04761,0.00032,0.01743,0.00041,0.02053,2e-05,0.00227,0.01444,3e-05,0.01695,0.04507,0,0.05877,0.0009,0,0.21874,0.46801,0.10468
0.1,0,0,0.00615,0.06071,0,0,0.07101,0.00377,0.00087,0,0,0,0,0.07754,0,0,0,0.01118,0,0.00818,0,0.01488,0,0,0.04547,0,0,0.20311,0,0,0.20594,0,0,0,0.02136,0.03009,0,0,0.0178,0.00273,0,0,0,0.03063,0.00436,0.00146,0.0012,0,0.00321,0.00254,0.04773,0,0.01712,0,0.02039,0,0.00216,0.01443,0,0.01685,0.04505,0,0.05978,0.00018,0,0.21864,0.46849,0.10467
0.12,0,0,0.00685,0.05992,0,0,0.07073,0.00379,0.00083,0,0,0,0,0.07723,0,0,0,0.01104,0,0.00823,0,0.01497,0,0,0.04549,0,0,0.20274,0,0.00106,0.20625,0,0,0,0.02154,0.03041,0,0,0.01881,0.00302,0,0,0,0.03064,0.00444,0.00174,0.00132,0,0.00328,0.00246,0.04786,0,0.01717,0,0.02022,0,0.00213,0.01442,0,0.01687,0.04512,0,0.06088,0,0,0.21871,0.46811,0.10514
0.14,0,0,0.00752,0.0592,0,0,0.07069,0.00377,0.00079,0,0,0,0,0.07723,0,0,0,0.01091,0,0.00831,0,0.01503,0,0,0.04552,0,0,0.20222,0,0.00253,0.20653,0,0,0,0.02163,0.03076,0,0,0.01985,0.00331,0,0,0,0.03052,0.00455,0.0021,0.0017,0,0.00341,0.00236,0.04783,0,0.01719,0,0.02002,0,0.00202,0.0144,0,0.01689,0.04519,0,0.06199,0,0,0.21885,0.4674,0.10568
0.16,0,0,0.00808,0.05832,0,0,0.07088,0.00369,0.00074,0,0,0,0,0.07764,0,0,0,0.01082,0,0.00851,0,0.01504,0,0,0.04555,0,0,0.20188,0,0.00393,0.20681,0,0,0,0.0217,0.03112,0,0,0.0209,0.00358,0,0,0,0.03026,0.00466,0.00238,0.00201,0,0.00364,0.00227,0.04756,0,0.01717,0,0.01978,0,0.00182,0.01438,0,0.01691,0.04526,0,0.06312,0,0,0.21896,0.46688,0.10614
0.18,0,0,0.00846,0.05735,0,0,0.07142,0.00343,0.00069,0,0,0,0,0.07858,0,0,0,0.01079,0,0.00887,0,0.01502,0,0,0.04558,0,0,0.20165,0,0.00549,0.20717,0,0,0,0.0217,0.03151,0,0,0.02193,0.00383,0,0,0,0.02983,0.0048,0.00266,0.0024,0,0.00405,0.00218,0.04697,0,0.01709,0,0.01951,0,0.0015,0.01437,0,0.01693,0.04535,0,0.06436,0,0,0.21908,0.4662,0.1067
