T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0,0.00472,0.08207,0,0,0.08636,0,0,0,0,0,0,0.10345,0,0,0,0.00976,0,0.01262,0.1279,0.02474,0.05132,0.14842,0,0.47417,0.06219,0.07405,0,0,0.10014,0,0,0,0.0181,0.03586,0,0,0.02863,0.00436,0,0.01343,0.00066,0.02641,0.0064,0.00478,0.00387,0,0.02251,0.00186,0.0389,0,0.01246,0,0,0,0,0,0.10552,0,0,0,0.00939,0.01631,0,0.13167,0.02787,0.03248
0.02,0,0,0.0043,0.08227,0,0,0.08594,0,0,0,0,0,0,0.10327,0,0,0,0.00971,0,0.01255,0.12749,0.02472,0.05118,0.14851,0,0.474,0.06145,0.07409,0,0,0.10053,0,0,0,0.01811,0.03634,0,0,0.0289,0.00448,0,0.01409,0.00067,0.02655,0.00636,0.00494,0.00378,0,0.02296,0.00187,0.03907,0,0.01236,0,0,0,0,0,0.1051,0,0,0,0.00923,0.01651,0,0.13127,0.02765,0.03195
0.04,0,0,0.00371,0.08249,0,0,0.08537,0,0,0,0,0,0,0.10296,0,0,0,0.00964,0,0.01244,0.12709,0.02468,0.05105,0.14861,0,0.47383,0.06071,0.07415,0,0,0.10093,0,0,0,0.01821,0.03701,0,0,0.02921,0.00464,0,0.01479,0.0007,0.02679,0.00633,0.00512,0.00366,0,0.02342,0.00189,0.03931,0,0.01225,0,0,0,0,0,0.10466,0,0,0,0.00907,0.01669,0,0.13087,0.02739,0.03144
0.06,0,0,0.00295,0.08271,0,0,0.08467,0,0,0,0,0,0,0.10253,0,0,0,0.00953,0,0.01226,0.12666,0.02469,0.05087,0.14869,0,0.47372,0.06,0.07427,0,0,0.10134,0,0,0,0.0184,0.0379,0,0,0.02957,0.00484,0,0.01554,0.00074,0.0271,0.00631,0.00532,0.0035,0,0.02391,0.00191,0.03963,0,0.01215,0,0,0,0,0,0.10422,0,0,0,0.0089,0.01688,0,0.13047,0.02708,0.03092
0.08,0,0,0.002,0.08285,0,0,0.08378,0,0,0,0,0,0,0.10191,0,0,0,0.00943,0,0.01205,0.12627,0.02459,0.0507,0.14878,0,0.47359,0.05916,0.07431,0,0,0.10173,0,0,0,0.01868,0.03899,0,0,0.02998,0.00507,0,0.0164,0.0008,0.02752,0.00628,0.00556,0.0033,0,0.02445,0.00194,0.04005,0,0.01203,0,0,0,0,0,0.10377,0,0,0,0.00878,0.01706,0,0.13009,0.02677,0.03045
0.1,0,0,0.00091,0.08312,0,0,0.08291,0,0,0,0,0,0,0.1013,0,0,0,0.00931,0,0.01179,0.12582,0.02475,0.05043,0.14884,0,0.47362,0.05862,0.07457,0,0,0.10217,0,0,0,0.01904,0.04038,0,0,0.03044,0.00534,0,0.01729,0.00088,0.02793,0.00627,0.00582,0.00309,0,0.02503,0.00197,0.04048,0,0.01191,0,0,0,0,0,0.10335,0,0,0,0.00856,0.01724,0,0.12973,0.02641,0.02993
0.12,1e-05,2e-05,0.00085,0.08387,3e-05,5e-05,0.0824,1e-05,2e-05,2e-05,6e-05,3e-05,8e-05,0.10111,5e-05,2e-05,4e-05,0.0092,4e-05,0.01154,0.12525,0.02556,0.04999,0.14893,0.00018,0.47425,0.05899,0.07549,1e-05,3e-05,0.10281,0.00021,2e-05,2e-05,0.01949,0.04215,0.00105,5e-05,0.03095,0.00567,4e-05,0.01815,0.00102,0.02822,0.00635,0.00614,0.003,6e-05,0.02565,0.00201,0.04087,7e-05,0.0119,9e-05,3e-05,1e-05,4e-05,0.00013,0.10301,0.00025,5e-05,2e-05,0.00815,0.01743,9e-05,0.12944,0.026,0.02925
0.14,0.00018,0.00012,0.00086,0.08471,0.00016,0.00028,0.08226,6e-05,0.0001,9e-05,0.00035,0.00019,0.00054,0.10133,0.00042,0.00013,8e-05,0.00945,0.00021,0.01156,0.12458,0.02681,0.04956,0.1489,0.00016,0.47483,0.06013,0.07672,2e-05,0.00019,0.10346,0.00018,0.00013,0.0001,0.02009,0.04426,0.00224,0.00012,0.03161,0.0062,0.00025,0.01911,0.00127,0.02851,0.00669,0.00677,0.00326,0.00036,0.02649,0.00212,0.04125,0.00046,0.0122,0.00051,5e-05,0.00014,0.00029,0.00011,0.10264,0.00021,0.00045,0.00012,0.00762,0.01773,0.00012,0.12911,0.02563,0.02862
0.16,0.00015,0.0001,0.00077,0.0852,0.00013,0.00024,0.08184,5e-05,9e-05,7e-05,0.00029,0.00016,0.00059,0.10108,0.00036,0.00011,7e-05,0.00926,0.00017,0.01115,0.12394,0.0279,0.04887,0.14884,0.00013,0.47544,0.06056,0.07759,2e-05,0.00015,0.10403,0.00015,0.0001,9e-05,0.02063,0.04648,0.00336,0.0001,0.03222,0.00647,0.00022,0.02003,0.00139,0.02867,0.00665,0.00696,0.00318,0.00031,0.02712,0.00213,0.04152,0.00038,0.01196,0.00043,4e-05,0.00012,0.00024,8e-05,0.10234,0.00015,0.00039,0.0001,0.00711,0.01789,0.00011,0.12884,0.02515,0.02795
0.18,0.00013,8e-05,0.00068,0.08559,0.00012,0.00019,0.08164,4e-05,8e-05,6e-05,0.00024,0.00013,0.00048,0.10107,0.0003,9e-05,9e-05,0.00917,0.00015,0.01085,0.12345,0.02897,0.04821,0.14882,7e-05,0.47614,0.06111,0.0783,2e-05,0.00015,0.10448,0.00013,0.0001,8e-05,0.02122,0.04885,0.00446,8e-05,0.03293,0.00672,0.00018,0.02101,0.00153,0.02869,0.00661,0.00718,0.003,0.00026,0.02784,0.00213,0.04178,0.00035,0.01169,0.00042,3e-05,0.0001,0.00019,6e-05,0.1021,0.00011,0.00033,8e-05,0.00667,0.01805,6e-05,0.12862,0.02477,0.02729
