T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,1.81833,-6.50811,0.70738,1.42475,-0.50004,-0.01152,5.10963,-0.86927,-0.05773,-0.46738,-0.03161,-0.0671,-0.09779,5.58695,-0.675,-0.07849,-0.75231,0.07436,-0.08785,0.17216,13.84454,2.61749,1.4808,24.1928,-16.64574,13.4207,2.23042,6.85036,-0.52893,-0.76173,15.25138,-19.15145,-0.80136,-1.31398
0.02,1.8108,-6.57555,0.6764,1.42837,-0.50572,-0.01279,5.08589,-0.89376,-0.05859,-0.47456,-0.03507,-0.06704,-0.09709,5.57571,-0.69868,-0.07955,-0.75894,0.07318,-0.08744,0.17098,13.76432,2.61703,1.47793,24.17169,-16.64225,13.42463,2.22109,6.81854,-0.50839,-0.76529,15.28854,-19.15228,-0.80428,-1.31703
0.04,1.77803,-6.66952,0.6352,1.43218,-0.5122,-0.01449,5.05369,-0.91972,-0.0598,-0.48556,-0.03778,-0.0671,-0.09595,5.55693,-0.72302,-0.08078,-0.76891,0.07206,-0.08707,0.16933,13.68457,2.612,1.47608,24.15116,-16.63778,13.42829,2.2114,6.79181,-0.49241,-0.76863,15.32754,-19.15326,-0.80747,-1.32069
0.06,1.7185,-6.79426,0.58322,1.43608,-0.51964,-0.0166,5.01395,-0.94795,-0.06141,-0.5,-0.03981,-0.06738,-0.09439,5.5308,-0.74894,-0.0822,-0.78233,0.07101,-0.08668,0.16717,13.60464,2.61443,1.474,24.13066,-16.63215,13.43273,2.20238,6.7699,-0.4722,-0.77214,15.36785,-19.15412,-0.80988,-1.32354
0.08,1.63232,-6.95008,0.51928,1.43855,-0.52841,-0.01912,4.96428,-0.98038,-0.06336,-0.51855,-0.04159,-0.06786,-0.0924,5.49387,-0.77829,-0.08399,-0.79985,0.07007,-0.08615,0.1645,13.52801,2.60479,1.47234,24.11123,-16.62564,13.43675,2.19079,6.73654,-0.45801,-0.77556,15.40406,-19.15541,-0.81078,-1.328
0.1,1.52311,-7.14932,0.44805,1.44303,-0.53809,-0.02195,4.91602,-1.01418,-0.06589,-0.53708,-0.04266,-0.06867,-0.0903,5.45681,-0.80929,-0.08579,-0.81838,0.06919,-0.08555,0.16142,13.44386,2.63041,1.46978,24.08719,-16.61854,13.44418,2.18385,6.73533,-0.43168,-0.77855,15.45404,-19.15552,-0.81218,-1.33019
0.12,1.39288,-7.40278,0.37526,1.45388,-0.5479,-0.02492,4.88436,-1.04623,-0.06939,-0.54972,-0.04248,-0.06997,-0.08854,5.43492,-0.841,-0.08718,-0.834,0.06823,-0.08493,0.15807,13.34546,2.74487,1.46528,24.05797,-16.61099,13.45983,2.19069,6.81537,-0.37899,-0.78025,15.53566,-19.15223,-0.81674,-1.3263
0.14,1.24622,-7.69886,0.29916,1.46548,-0.5588,-0.02806,4.86077,-1.07948,-0.07343,-0.55927,-0.04203,-0.07157,-0.08702,5.41852,-0.87488,-0.08849,-0.8481,0.06741,-0.08411,0.1546,13.23849,2.90792,1.45821,24.02296,-16.60426,13.48049,2.2031,6.92197,-0.31018,-0.78148,15.62876,-19.1477,-0.82093,-1.32036
0.16,1.08752,-8.03178,0.22073,1.47331,-0.57196,-0.03142,4.83968,-1.11587,-0.07767,-0.56737,-0.04211,-0.0733,-0.08575,5.40187,-0.91174,-0.08987,-0.86148,0.06685,-0.083,0.15122,13.14571,3.06966,1.451,23.99106,-16.59883,13.50308,2.21305,7.01063,-0.24284,-0.78221,15.7155,-19.14336,-0.82161,-1.31546
0.18,0.91577,-8.38943,0.14361,1.47873,-0.58686,-0.03479,4.83128,-1.15468,-0.0823,-0.56989,-0.04257,-0.07519,-0.08505,5.39766,-0.95366,-0.09112,-0.872,0.06634,-0.08151,0.1481,13.07668,3.23073,1.445,23.97538,-16.59461,13.53006,2.2239,7.08045,-0.18367,-0.78135,15.78452,-19.13895,-0.81842,-1.31081
0.2,0.75153,-8.7902,0.07499,1.47852,-0.60446,-0.03827,4.83082,-1.18908,-0.08672,-0.56831,-0.04332,-0.07693,-0.08492,5.39788,-0.98889,-0.09181,-0.87701,0.06621,-0.07995,0.14554,12.99467,3.45642,1.43253,23.936,-16.59763,13.5608,2.23535,7.16158,-0.08867,-0.78144,15.87295,-19.13288,-0.81315,-1.30465
0.22,0.62097,-9.25286,0.02235,1.46939,-0.62553,-0.04199,4.83094,-1.2101,-0.09,-0.56583,-0.04424,-0.07808,-0.08536,5.39169,-1.0028,-0.09144,-0.8739,0.0669,-0.07868,0.14389,12.86147,3.80082,1.40674,23.82425,-16.61479,13.59307,2.24394,7.28675,0.08114,-0.78545,16.03046,-19.12237,-0.80944,-1.29659
0.24,0.50885,-9.7457,-0.01332,1.45386,-0.6496,-0.0457,4.84042,-1.22189,-0.09258,-0.55833,-0.04536,-0.07879,-0.08645,5.39493,-1.00526,-0.09012,-0.86356,0.06783,-0.07745,0.14302,12.72478,4.20741,1.3753,23.69499,-16.64316,13.62883,2.25349,7.41107,0.28874,-0.79044,16.19811,-19.10931,-0.8044,-1.28704
0.26,0.4024,-10.23618,-0.03222,1.43403,-0.67601,-0.04921,4.86461,-1.22703,-0.09468,-0.54381,-0.04674,-0.07909,-0.08818,5.41902,-1.00398,-0.08796,-0.84741,0.06858,-0.0761,0.14286,12.6315,4.61749,1.34499,23.59386,-16.68047,13.66819,2.2651,7.50351,0.48824,-0.79319,16.33666,-19.09358,-0.79636,-1.27801
0.28,0.30572,-10.72346,-0.03088,1.41009,-0.70364,-0.05249,4.90135,-1.21731,-0.09552,-0.52479,-0.0482,-0.0787,-0.09074,5.46308,-0.99037,-0.08443,-0.82449,0.06942,-0.07477,0.14353,12.58483,5.02765,1.31545,23.49793,-16.7296,13.71014,2.27501,7.54364,0.67056,-0.79441,16.45307,-19.07375,-0.7897,-1.26901
0.3,0.23346,-11.19757,-0.01058,1.38185,-0.73544,-0.05585,4.93672,-1.20182,-0.09567,-0.50258,-0.04962,-0.07775,-0.09301,5.51387,-0.97029,-0.08032,-0.79751,0.07007,-0.07355,0.14477,12.55563,5.48286,1.28241,23.43381,-16.79522,13.74865,2.29206,7.59619,0.89785,-0.79468,16.55125,-19.04881,-0.78382,-1.25872
0.32,0.19226,-11.64819,0.02597,1.34845,-0.77511,-0.05968,4.95316,-1.19273,-0.09583,-0.47914,-0.05096,-0.07642,-0.0935,5.55529,-0.95111,-0.07685,-0.7688,0.07006,-0.07285,0.14644,12.51759,6.02189,1.24253,23.43875,-16.88077,13.77519,2.32693,7.72144,1.22767,-0.79338,16.62856,-19.0184,-0.7784,-1.24666
0.34,0.17978,-12.06013,0.07643,1.31393,-0.81762,-0.06361,4.95726,-1.17812,-0.09499,-0.45761,-0.052,-0.07452,-0.09321,5.59739,-0.92622,-0.07324,-0.73786,0.06988,-0.07231,0.1486,12.50378,6.58354,1.20012,23.4817,-16.98321,13.78699,2.36916,7.85519,1.58379,-0.79013,16.68957,-18.98011,-0.78479,-1.23432
0.36,0.18829,-12.4162,0.13728,1.28155,-0.8585,-0.06732,4.95379,-1.14944,-0.09238,-0.4409,-0.05263,-0.07189,-0.0928,5.64846,-0.89142,-0.06924,-0.70364,0.06976,-0.07177,0.15153,12.55199,7.09529,1.16174,23.53165,-17.0977,13.77818,2.40894,7.93805,1.88418,-0.7836,16.73485,-18.9324,-0.81526,-1.22413
0.38,0.21005,-12.69739,0.20281,1.24967,-0.89766,-0.07079,4.93093,-1.11206,-0.08816,-0.43256,-0.05286,-0.06863,-0.09126,5.69724,-0.84892,-0.06664,-0.66411,0.06927,-0.0723,0.1559,12.64478,7.52724,1.12925,23.57534,-17.21987,13.73589,2.44352,7.98236,2.10836,-0.77149,16.7714,-18.87512,-0.8774,-1.22039
0.4,0.28426,-12.89692,0.27043,1.22828,-0.93364,-0.07386,4.89684,-1.07287,-0.08317,-0.42931,-0.05253,-0.06516,-0.08948,5.75477,-0.80901,-0.06452,-0.62488,0.06872,-0.07172,0.16046,12.77134,7.92393,1.0992,23.65158,-17.33922,13.64848,2.48384,8.05557,2.32644,-0.76052,16.8287,-18.80841,-0.98435,-1.21546
0.42,0.43711,-13.00657,0.34255,1.22746,-0.96498,-0.07634,4.86439,-1.03988,-0.07848,-0.4268,-0.05154,-0.06198,-0.08877,5.83708,-0.78187,-0.0613,-0.59151,0.06858,-0.0674,0.16392,12.91972,8.34653,1.06734,23.7531,-17.44492,13.50087,2.53754,8.24093,2.62109,-0.75962,16.9521,-18.7331,-1.15357,-1.19952
0.44,0.6415,-13.00039,0.41808,1.2394,-0.98983,-0.07797,4.8245,-1.0127,-0.07377,-0.42833,-0.05012,-0.05892,-0.0879,5.93176,-0.75615,-0.06014,-0.55412,0.06807,-0.06273,0.16852,13.0673,8.67088,1.04288,23.85674,-17.51169,13.27729,2.59134,8.51509,2.88495,-0.7622,17.16344,-18.65281,-1.39207,-1.18677
0.46,0.85846,-12.86024,0.49605,1.25672,-1.0067,-0.07849,4.77301,-0.99112,-0.06892,-0.43609,-0.04857,-0.05585,-0.08609,6.03001,-0.72641,-0.06312,-0.5046,0.0665,-0.06026,0.17609,13.18671,8.79541,1.03383,23.88346,-17.51199,12.96334,2.62783,8.87832,3.03063,-0.76472,17.50214,-18.57357,-1.70858,-1.18837
0.48,1.03955,-12.58622,0.58222,1.27776,-1.01689,-0.0779,4.717,-0.98242,-0.0649,-0.44833,-0.04704,-0.05324,-0.08398,6.13621,-0.70151,-0.06892,-0.44317,0.06377,-0.05871,0.18649,13.22062,8.70271,1.04206,23.60929,-17.4316,12.53421,2.62602,9.4452,3.08612,-0.77465,18.07007,-18.50121,-2.1199,-1.2033
0.5,1.3165,-12.15189,0.67378,1.31241,-1.01261,-0.07514,4.67653,-0.98191,-0.06207,-0.45378,-0.04554,-0.05086,-0.08233,6.26139,-0.67693,-0.07889,-0.36523,0.05986,-0.05935,0.19978,13.16934,8.44213,1.05776,23.50668,-17.17944,12.0042,2.63054,10.20062,3.13098,-0.79658,18.84976,-18.45455,-2.60974,-1.23222
0.52,1.82443,-11.54693,0.76674,1.37211,-0.98629,-0.0692,4.67541,-0.98185,-0.06045,-0.44021,-0.04397,-0.04837,-0.0817,6.4165,-0.65608,-0.0944,-0.27354,0.05499,-0.06263,0.21498,13.05855,8.13342,1.07085,24.04749,-16.65073,11.41325,2.68239,11.11641,3.26385,-0.83624,19.81317,-18.45784,-3.1574,-1.27598
0.54,2.41202,-10.7864,0.86047,1.44168,-0.94442,-0.06086,4.70577,-0.98969,-0.06085,-0.41307,-0.04278,-0.04623,-0.08237,6.59046,-0.66469,-0.11386,-0.16113,0.04831,-0.06678,0.23271,12.7075,7.75308,1.06777,24.51367,-15.8731,10.70001,2.71419,12.36045,3.49789,-0.9019,21.13597,-18.52081,-3.78148,-1.33528
0.56,2.93631,-9.89839,0.95301,1.50807,-0.89343,-0.05082,4.76116,-1.01188,-0.0639,-0.3774,-0.0423,-0.04488,-0.0844,6.77051,-0.72418,-0.13577,-0.03143,0.03946,-0.06965,0.25256,12.05069,7.1895,1.06114,24.30029,-14.85746,9.83044,2.66127,14.09148,3.84429,-1.00139,22.98343,-18.65239,-4.49395,-1.41522
0.58,3.35335,-8.93456,1.047,1.57414,-0.83545,-0.03922,4.85677,-1.04898,-0.06963,-0.32966,-0.04254,-0.04434,-0.0876,6.95896,-0.84148,-0.15793,0.08766,0.02986,-0.06773,0.27037,11.20491,6.47704,1.08628,23.34,-13.54787,8.8761,2.5044,16.37585,4.40817,-1.14929,25.40512,-18.86472,-5.29088,-1.5119
0.6,3.90829,-7.82559,1.09573,1.63699,-0.76163,-0.02537,4.96972,-1.0895,-0.07771,-0.26868,-0.04335,-0.04417,-0.09291,7.13014,-1.03978,-0.1848,0.26737,0.01607,-0.06733,0.2923,9.94114,5.58055,1.0563,21.89954,-11.96284,7.69743,2.28949,19.10713,5.31771,-1.33572,28.32942,-19.18102,-6.11458,-1.62138
0.62,4.88372,-6.53297,1.04174,1.69538,-0.66452,-0.00899,5.07014,-1.12041,-0.08757,-0.19623,-0.0445,-0.0438,-0.10125,7.22488,-1.34596,-0.22795,0.54746,-0.00544,-0.0765,0.32502,8.34216,4.44702,0.90955,20.22351,-10.13404,6.21127,2.07951,22.06133,6.71872,-1.53105,31.5912,-19.62983,-6.86717,-1.76889
0.64,6.00906,-5.23512,0.95022,1.75213,-0.56132,0.00793,5.17552,-1.15472,-0.09929,-0.11514,-0.04605,-0.04382,-0.11108,7.23062,-1.71149,-0.28086,0.86353,-0.0308,-0.08894,0.35871,6.97575,3.03311,0.83851,17.80959,-8.09441,4.69022,1.79258,25.21468,8.61503,-1.75169,35.13514,-20.1771,-7.57596,-1.90992
0.66,7.04125,-4.05869,0.89377,1.8069,-0.46554,0.02374,5.29957,-1.19763,-0.11246,-0.02921,-0.04804,-0.04449,-0.121,7.168,-2.06119,-0.33233,1.14725,-0.05525,-0.10009,0.3854,6.05797,1.47531,0.95505,14.56016,-5.96901,3.33023,1.41613,28.52406,10.93446,-2.00432,38.84345,-20.76901,-8.24654,-2.02137
0.68,8.03742,-3.04731,0.88105,1.85937,-0.37732,0.03761,5.43302,-1.2253,-0.12498,0.05744,-0.05023,-0.04488,-0.13081,7.02139,-2.35293,-0.38673,1.30344,-0.0745,-0.11131,0.40363,5.64728,-0.07677,1.2372,10.96995,-3.90635,2.15849,1.04175,31.70292,13.61135,-2.22895,42.42376,-21.3969,-8.75833,-2.2236
0.7,9.0871,-2.09935,0.99259,1.90995,-0.29789,0.04937,5.54711,-1.2687,-0.13927,0.14361,-0.05255,-0.04605,-0.14027,6.81958,-2.49223,-0.42662,1.61492,-0.09676,-0.13632,0.42259,5.5896,-1.53656,1.66661,7.22706,-2.07226,1.2193,0.66831,34.52407,16.48117,-2.48613,45.619,-21.94904,-9.24039,-2.18274
0.72,10.26441,-1.13228,1.31603,1.96052,-0.22762,0.05922,5.60859,-1.36826,-0.15906,0.22969,-0.05502,-0.04945,-0.14929,6.57848,-2.38862,-0.4209,2.27951,-0.13347,-0.1939,0.45304,5.84782,-2.74077,2.18935,3.65466,-0.6089,0.54867,0.32476,36.8426,19.45453,-2.89687,48.20095,-22.28422,-9.85961,-1.41027
0.74,11.3975,-0.31506,1.79017,2.0123,-0.16708,0.06625,5.6313,-1.47451,-0.17964,0.30571,-0.05734,-0.05317,-0.1569,6.25421,-2.08948,-0.3665,2.88324,-0.1695,-0.26857,0.47972,6.48263,-3.56798,2.74041,0.61801,0.50454,0.12484,0.09322,38.69856,22.44765,-3.35105,50.18951,-22.46392,-10.41542,-0.36296
