T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,1.26399,-0.16487,0.03902,1.62366,-0.04245,0.00073,-4.40278,-0.05493,-0.00375,0.11557,-0.00211,-0,-0.01033,-5.06974,-0.00448,0.01204,0.14566,-0.01036,0.00368,0.00256,1.75195,-0.01429,0.06711,-1.4062,-0.05164,0.12342,-0.0429,1.28835,0.12542,0.0039,-1.12529,0.06587,-0.01012,-0.15732
0.02,1.3054,-0.17184,0.03677,1.46149,-0.04852,0.00044,-4.37242,-0.05659,-0.00339,0.11544,-0.00205,1e-05,-0.00913,-4.99074,0.00029,0.00978,0.14221,-0.0114,0.00401,0.0029,1.76413,-0.01795,0.07391,-1.40019,-0.02786,0.12018,-0.0437,1.25715,0.12283,0.00365,-1.05882,0.07492,-0.00992,-0.14773
0.04,1.33244,-0.17545,0.03025,1.28947,-0.05511,-6e-05,-4.30486,-0.06096,-0.00292,0.10773,-0.00195,3e-05,-0.00794,-4.83682,0.00529,0.00681,0.12966,-0.01257,0.00403,0.00325,1.75221,-0.02293,0.08199,-1.37012,0.00425,0.11363,-0.044,1.19487,0.1183,0.00303,-0.94871,0.08574,-0.00924,-0.13239
0.06,1.3455,-0.17517,0.01854,1.10727,-0.06204,-0.00074,-4.19589,-0.06808,-0.00238,0.09323,-0.0018,4e-05,-0.00675,-4.6057,0.0097,0.00368,0.10852,-0.01378,0.00379,0.00358,1.72054,-0.02925,0.09128,-1.32432,0.04247,0.10421,-0.04399,1.10637,0.11226,0.00203,-0.80167,0.09774,-0.00805,-0.11221
0.08,1.34806,-0.17047,0.00156,0.90879,-0.0689,-0.00158,-4.02975,-0.07877,-0.00176,0.07447,-0.0016,2e-05,-0.00543,-4.28467,0.0123,0.00111,0.08073,-0.01492,0.00337,0.00387,1.67473,-0.03687,0.10144,-1.2755,0.08307,0.09283,-0.04391,0.9989,0.10581,0.0007,-0.63079,0.11032,-0.00644,-0.08858
0.1,1.32803,-0.16195,-0.02066,0.71327,-0.07554,-0.00247,-3.80572,-0.08905,-0.00118,0.05167,-0.00136,-2e-05,-0.00429,-3.89586,0.01352,-0.00031,0.04637,-0.01577,0.00279,0.00411,1.61953,-0.04572,0.11175,-1.23649,0.12079,0.08068,-0.04398,0.88341,0.09936,-0.00089,-0.45198,0.12233,-0.00438,-0.06375
0.12,1.2724,-0.15012,-0.04708,0.53061,-0.08178,-0.0032,-3.51835,-0.0928,-0.00071,0.02728,-0.00111,-4e-05,-0.00347,-3.45992,0.01597,1e-05,0.00857,-0.016,0.00211,0.00428,1.55794,-0.0557,0.12114,-1.21779,0.14972,0.06882,-0.04447,0.771,0.09329,-0.00243,-0.28499,0.13241,-0.00202,-0.04003
0.14,1.18872,-0.13426,-0.07259,0.31988,-0.08579,-0.00368,-3.15248,-0.09224,-0.0003,0.00586,-0.00085,-6e-05,-0.00261,-2.9632,0.01898,0.00216,-0.02796,-0.01563,0.00149,0.00444,1.49465,-0.06636,0.1288,-1.22861,0.16609,0.05891,-0.04525,0.66959,0.08854,-0.00371,-0.14877,0.13897,0.0003,-0.01905
0.16,1.07884,-0.11523,-0.09148,0.14939,-0.08723,-0.00399,-2.70218,-0.08934,5e-05,-0.01167,-0.00057,-7e-05,-0.00168,-2.40426,0.02072,0.0057,-0.06244,-0.01471,0.00095,0.00459,1.42984,-0.0771,0.13403,-1.26621,0.16885,0.0523,-0.04607,0.58438,0.08575,-0.00471,-0.05382,0.14081,0.00242,-0.00197
0.18,0.94343,-0.09468,-0.09984,0.02215,-0.08607,-0.00406,-2.17481,-0.0813,0.00035,-0.02624,-0.00029,-5e-05,-0.00084,-1.8052,0.02178,0.01017,-0.09542,-0.01319,0.00049,0.00456,1.35851,-0.08724,0.13591,-1.31439,0.16026,0.05022,-0.04636,0.51751,0.08415,-0.00537,-0.00333,0.13714,0.00422,0.01055
