T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.00116,-0.00442,0.00019,0.00107,-0.0002,-0,0.00451,-0.00015,-4e-05,-0.00015,-3e-05,-1e-05,-0.00013,0.0048,9e-05,5e-05,-0.00039,7e-05,-2e-05,9e-05,0.01883,0.00387,0.00175,0.0223,-0.01426,0.01206,0.0021,0.01487,-0.00259,-0.00018,0.01534,-0.01627,0.00027,-0.00153
0.02,0.00111,-0.00455,0.00022,0.00096,-0.00022,-1e-05,0.00444,-0.00017,-4e-05,-0.00018,-3e-05,-1e-05,-0.00013,0.00472,0.00013,4e-05,-0.00043,7e-05,-3e-05,9e-05,0.01865,0.00391,0.00174,0.02227,-0.01425,0.01208,0.0021,0.01473,-0.00253,-0.00018,0.01533,-0.01628,0.00027,-0.00154
0.04,0.00104,-0.00468,0.00026,0.00085,-0.00025,-1e-05,0.0044,-0.00018,-4e-05,-0.00021,-3e-05,-1e-05,-0.00013,0.00467,0.00017,4e-05,-0.00046,7e-05,-3e-05,0.0001,0.01849,0.00396,0.00173,0.02224,-0.01425,0.0121,0.0021,0.0146,-0.00247,-0.00018,0.01532,-0.01628,0.00026,-0.00154
0.06,0.00095,-0.00482,0.00032,0.00073,-0.00027,-1e-05,0.00438,-0.00018,-3e-05,-0.00022,-3e-05,-1e-05,-0.00012,0.00463,0.00022,3e-05,-0.00048,7e-05,-3e-05,0.0001,0.01833,0.004,0.00173,0.02221,-0.01424,0.01212,0.0021,0.01449,-0.00242,-0.00019,0.01532,-0.01628,0.00025,-0.00155
0.08,0.00081,-0.00495,0.00039,0.00059,-0.0003,-1e-05,0.00437,-0.00016,-3e-05,-0.00024,-3e-05,-0,-0.00012,0.00459,0.00027,3e-05,-0.0005,7e-05,-3e-05,0.00011,0.01819,0.00404,0.00172,0.02219,-0.01423,0.01214,0.0021,0.01439,-0.00236,-0.00019,0.01533,-0.01629,0.00024,-0.00155
0.1,0.00066,-0.00508,0.00047,0.00046,-0.00033,-1e-05,0.00438,-0.00013,-2e-05,-0.00024,-3e-05,-0,-0.00012,0.00455,0.00031,2e-05,-0.00052,7e-05,-3e-05,0.00011,0.01804,0.00409,0.00171,0.02216,-0.01423,0.01216,0.00211,0.01432,-0.00231,-0.00019,0.01532,-0.01629,0.00024,-0.00155
0.12,0.00055,-0.00524,0.00058,0.00034,-0.00037,-2e-05,0.00438,-0.00013,-2e-05,-0.00022,-3e-05,-0,-0.00013,0.00454,0.00032,1e-05,-0.00051,7e-05,-3e-05,0.00012,0.01787,0.00417,0.0017,0.02207,-0.01424,0.01216,0.00211,0.01427,-0.00222,-0.00019,0.01526,-0.0163,0.00025,-0.00154
0.14,0.00045,-0.0054,0.0007,0.00022,-0.0004,-2e-05,0.00437,-0.00013,-2e-05,-0.0002,-3e-05,-0,-0.00013,0.00451,0.00032,0,-0.00049,6e-05,-3e-05,0.00012,0.01769,0.00427,0.00168,0.02197,-0.01425,0.01215,0.00211,0.01424,-0.00212,-0.00019,0.01518,-0.0163,0.00026,-0.00153
0.16,0.00034,-0.00555,0.00082,0.0001,-0.00044,-2e-05,0.00433,-0.00012,-1e-05,-0.00019,-3e-05,-0,-0.00013,0.00444,0.00032,-0,-0.0005,6e-05,-3e-05,0.00012,0.01751,0.00436,0.00166,0.02188,-0.01426,0.01215,0.00212,0.0142,-0.00203,-0.00019,0.0151,-0.01631,0.00027,-0.00151
0.18,0.00023,-0.0057,0.00091,-1e-05,-0.00047,-3e-05,0.00422,-0.00013,-1e-05,-0.00021,-3e-05,-0,-0.00013,0.0043,0.00033,-1e-05,-0.00053,6e-05,-3e-05,0.00012,0.0173,0.00444,0.00165,0.02176,-0.01428,0.01215,0.00212,0.01415,-0.00194,-0.00019,0.01502,-0.01632,0.00029,-0.0015
