T,RGRFx,RGRFy,RGRFz,RGRTx,RGRTy,RGRTz,LGRFx,LGRFy,LGRFz,LGRTx,LGRTy,LGRTz
0,-2e-05,0.501,0,0.00234,0,-0.00459,-2e-05,0.501,0,0.00234,0,-0.00459
0.02,-2e-05,0.501,0,0.00235,0,-0.0046,-2e-05,0.501,0,0.00235,0,-0.0046
0.04,-1e-05,0.501,0,0.00235,0,-0.00461,-1e-05,0.501,0,0.00235,0,-0.00461
0.06,-1e-05,0.501,0,0.00235,0,-0.00463,-1e-05,0.501,0,0.00235,0,-0.00463
0.08,-1e-05,0.501,0,0.00235,0,-0.00466,-1e-05,0.501,0,0.00235,0,-0.00466
0.1,-1e-05,0.501,0,0.00235,0,-0.00469,-1e-05,0.501,0,0.00235,0,-0.00469
0.12,-1e-05,0.501,0,0.00235,0,-0.00473,-1e-05,0.501,0,0.00235,0,-0.00473
0.14,-1e-05,0.501,-0,0.00235,0,-0.00477,-1e-05,0.501,-0,0.00235,0,-0.00477
0.16,-1e-05,0.501,-0,0.00235,-0,-0.00483,-1e-05,0.501,-0,0.00235,-0,-0.00483
0.18,-1e-05,0.501,-0,0.00235,-0,-0.00488,-1e-05,0.501,-0,0.00235,-0,-0.00488
0.2,-0,0.501,-0,0.00234,-0,-0.00493,-0,0.501,-0,0.00234,-0,-0.00493
0.22,-0,0.501,-0,0.00234,-0,-0.00498,-0,0.501,-0,0.00234,-0,-0.00498
0.24,-0,0.501,-0,0.00234,-1e-05,-0.00502,-0,0.501,-0,0.00234,-1e-05,-0.00502
0.26,-0,0.501,-0,0.00233,-1e-05,-0.00506,-0,0.501,-0,0.00233,-1e-05,-0.00506
0.28,-0,0.501,-0,0.00232,-1e-05,-0.0051,-0,0.501,-0,0.00232,-1e-05,-0.0051
0.3,-0,0.501,-0,0.00232,-1e-05,-0.00513,-0,0.501,-0,0.00232,-1e-05,-0.00513
0.32,-0,0.501,-0,0.00231,-2e-05,-0.00516,-0,0.501,-0,0.00231,-2e-05,-0.00516
0.34,-0,0.501,0,0.0023,-2e-05,-0.00519,-0,0.501,0,0.0023,-2e-05,-0.00519
0.36,-0,0.501,0,0.00229,-2e-05,-0.00521,-0,0.501,0,0.00229,-2e-05,-0.00521
0.38,-0,0.501,0,0.00229,-2e-05,-0.00523,-0,0.501,0,0.00229,-2e-05,-0.00523
0.4,-1e-05,0.501,0,0.00228,-2e-05,-0.00525,-1e-05,0.501,0,0.00228,-2e-05,-0.00525
0.42,-1e-05,0.501,0,0.00228,-2e-05,-0.00527,-1e-05,0.501,0,0.00228,-2e-05,-0.00527
0.44,-1e-05,0.501,0,0.00227,-2e-05,-0.00529,-1e-05,0.501,0,0.00227,-2e-05,-0.00529
0.46,-1e-05,0.501,0,0.00227,-2e-05,-0.0053,-1e-05,0.501,0,0.00227,-2e-05,-0.0053
0.48,-1e-05,0.501,0,0.00227,-1e-05,-0.00532,-1e-05,0.501,0,0.00227,-1e-05,-0.00532
0.5,-1e-05,0.501,0,0.00227,-1e-05,-0.00533,-1e-05,0.501,0,0.00227,-1e-05,-0.00533
0.52,-1e-05,0.501,0,0.00227,-1e-05,-0.00534,-1e-05,0.501,0,0.00227,-1e-05,-0.00534
0.54,-0,0.501,0,0.00227,-1e-05,-0.00534,-0,0.501,0,0.00227,-1e-05,-0.00534
0.56,-0,0.501,0,0.00227,-0,-0.00535,-0,0.501,0,0.00227,-0,-0.00535
0.58,-0,0.501,0,0.00227,-0,-0.00535,-0,0.501,0,0.00227,-0,-0.00535
0.6,-0,0.501,0,0.00227,-0,-0.00536,-0,0.501,0,0.00227,-0,-0.00536
0.62,-0,0.501,0,0.00227,0,-0.00536,-0,0.501,0,0.00227,0,-0.00536
0.64,-0,0.501,0,0.00227,0,-0.00536,-0,0.501,0,0.00227,0,-0.00536
