T,RGRFx,RGRFy,RGRFz,RGRTx,RGRTy,RGRTz,LGRFx,LGRFy,LGRFz,LGRTx,LGRTy,LGRTz
0,-1e-05,0.4995,-0,0.00077,-0,-0.00274,-1e-05,0.4995,-0,0.00077,-0,-0.00274
0.02,-1e-05,0.4995,-0,0.00077,-0,-0.00274,-1e-05,0.4995,-0,0.00077,-0,-0.00274
0.04,-1e-05,0.4995,0,0.00077,-0,-0.00274,-1e-05,0.4995,0,0.00077,-0,-0.00274
0.06,-1e-05,0.4995,0,0.00076,0,-0.00273,-1e-05,0.4995,0,0.00076,0,-0.00273
0.08,-0,0.4995,0,0.00076,0,-0.00273,-0,0.4995,0,0.00076,0,-0.00273
0.1,-0,0.4995,0,0.00075,0,-0.00273,-0,0.4995,0,0.00075,0,-0.00273
0.12,-0,0.4995,0,0.00075,0,-0.00272,-0,0.4995,0,0.00075,0,-0.00272
0.14,-0,0.4995,0,0.00074,0,-0.00272,-0,0.4995,0,0.00074,0,-0.00272
0.16,-0,0.4995,0,0.00073,0,-0.00271,-0,0.4995,0,0.00073,0,-0.00271
0.18,-0,0.4995,0,0.00073,0,-0.0027,-0,0.4995,0,0.00073,0,-0.0027
0.2,-0,0.4995,0,0.00072,0,-0.0027,-0,0.4995,0,0.00072,0,-0.0027
0.22,-0,0.4995,0,0.00071,0,-0.00269,-0,0.4995,0,0.00071,0,-0.00269
0.24,-0,0.4995,0,0.0007,0,-0.00269,-0,0.4995,0,0.0007,0,-0.00269
0.26,-0,0.4995,0,0.0007,0,-0.00268,-0,0.4995,0,0.0007,0,-0.00268
0.28,-0,0.4995,0,0.0007,0,-0.00268,-0,0.4995,0,0.0007,0,-0.00268
0.3,-0,0.4995,0,0.00069,0,-0.00267,-0,0.4995,0,0.00069,0,-0.00267
0.32,0,0.4995,0,0.00069,0,-0.00267,0,0.4995,0,0.00069,0,-0.00267
0.34,0,0.4995,0,0.00069,0,-0.00267,0,0.4995,0,0.00069,0,-0.00267
0.36,0,0.4995,0,0.00069,0,-0.00266,0,0.4995,0,0.00069,0,-0.00266
0.38,0,0.4995,0,0.00069,0,-0.00266,0,0.4995,0,0.00069,0,-0.00266
0.4,0,0.4995,0,0.0007,0,-0.00265,0,0.4995,0,0.0007,0,-0.00265
0.42,0,0.4995,-0,0.0007,0,-0.00264,0,0.4995,-0,0.0007,0,-0.00264
0.44,-0,0.4995,-0,0.00071,0,-0.00264,-0,0.4995,-0,0.00071,0,-0.00264
0.46,-0,0.4995,-0,0.00072,0,-0.00263,-0,0.4995,-0,0.00072,0,-0.00263
0.48,-0,0.4995,-0,0.00073,0,-0.00262,-0,0.4995,-0,0.00073,0,-0.00262
0.5,-0,0.4995,-0,0.00074,0,-0.00261,-0,0.4995,-0,0.00074,0,-0.00261
0.52,-0,0.4995,-0,0.00075,0,-0.0026,-0,0.4995,-0,0.00075,0,-0.0026
0.54,-0,0.4995,-0,0.00076,0,-0.00259,-0,0.4995,-0,0.00076,0,-0.00259
0.56,-0,0.4995,-0,0.00077,0,-0.00258,-0,0.4995,-0,0.00077,0,-0.00258
0.58,0,0.4995,-1e-05,0.00079,0,-0.00257,0,0.4995,-1e-05,0.00079,0,-0.00257
0.6,0,0.4995,-1e-05,0.0008,0,-0.00255,0,0.4995,-1e-05,0.0008,0,-0.00255
0.62,0,0.4995,-1e-05,0.00082,0,-0.00254,0,0.4995,-1e-05,0.00082,0,-0.00254
0.64,0,0.4995,-1e-05,0.00083,0,-0.00253,0,0.4995,-1e-05,0.00083,0,-0.00253
0.66,-0,0.4995,-1e-05,0.00085,0,-0.00251,-0,0.4995,-1e-05,0.00085,0,-0.00251
0.68,-0,0.4995,-1e-05,0.00087,0,-0.00249,-0,0.4995,-1e-05,0.00087,0,-0.00249
0.7,-0,0.4995,-0,0.00089,0,-0.00247,-0,0.4995,-1e-05,0.00089,0,-0.00247
0.72,-0,0.4995,-0,0.0009,0,-0.00245,-0,0.4995,-0,0.0009,0,-0.00245
0.74,-0,0.4995,-0,0.00092,0,-0.00243,-0,0.49949,-0,0.00092,0,-0.00243
0.76,-0,0.4995,-0,0.00093,0,-0.0024,-0,0.49949,-0,0.00093,0,-0.0024
0.78,-0,0.4995,-0,0.00094,0,-0.00238,-0,0.4995,-0,0.00094,0,-0.00238
0.8,-0,0.4995,-0,0.00094,0,-0.00235,-0,0.4995,-0,0.00094,0,-0.00235
0.82,-0,0.4995,0,0.00093,0,-0.00233,-0,0.4995,0,0.00093,0,-0.00233
0.84,-0,0.4995,0,0.00091,0,-0.00232,-0,0.4995,0,0.00091,0,-0.00232
0.86,-0,0.49949,0,0.00089,0,-0.0023,-0,0.49951,0,0.00089,0,-0.0023
0.88,-0,0.49948,0,0.00086,0,-0.00229,-0,0.49952,0,0.00086,0,-0.00229
0.9,-0,0.49947,0,0.00082,0,-0.00228,-0,0.49952,1e-05,0.00082,0,-0.00228
0.92,-0,0.49946,0,0.00077,0,-0.00228,-0,0.49954,1e-05,0.00077,0,-0.00228
0.94,-0,0.49945,0,0.00071,-0,-0.00227,-0,0.49955,1e-05,0.00071,-0,-0.00227
0.96,-0,0.49944,0,0.00064,-0,-0.00228,-0,0.49956,1e-05,0.00064,-0,-0.00228
0.98,-0,0.49942,0,0.00056,-0,-0.00228,-0,0.49958,1e-05,0.00056,-0,-0.00228
1,-0,0.49941,-0,0.00047,-0,-0.00229,-0,0.49959,1e-05,0.00047,-0,-0.00229
1.02,-0,0.4994,-1e-05,0.00036,-0,-0.0023,-0,0.49959,1e-05,0.00036,-0,-0.0023
1.04,-0,0.4994,-1e-05,0.00022,-0,-0.00231,-0,0.49959,0,0.00022,-0,-0.00231
1.06,-1e-05,0.49942,-2e-05,6e-05,-0,-0.00233,-1e-05,0.49958,-0,6e-05,-0,-0.00233
1.08,-1e-05,0.49945,-2e-05,-0.00013,-0,-0.00235,-1e-05,0.49955,-1e-05,-0.00013,-0,-0.00235
1.1,-1e-05,0.49951,-3e-05,-0.00037,-0,-0.00238,-1e-05,0.49949,-2e-05,-0.00037,-0,-0.00238
1.12,-1e-05,0.49959,-4e-05,-0.00065,-0,-0.00241,-1e-05,0.49941,-3e-05,-0.00065,-0,-0.00241
1.14,-1e-05,0.49971,-4e-05,-0.00099,-0,-0.00245,-1e-05,0.49929,-5e-05,-0.00099,-0,-0.00245
1.16,-1e-05,0.49988,-4e-05,-0.00138,-0,-0.00249,-1e-05,0.49912,-6e-05,-0.00138,-0,-0.00249
1.18,-1e-05,0.50008,-4e-05,-0.00183,-0,-0.00254,-1e-05,0.49892,-8e-05,-0.00183,-0,-0.00254
1.2,-1e-05,0.50033,-3e-05,-0.00235,-0,-0.00259,-1e-05,0.49867,-9e-05,-0.00235,-0,-0.00259
1.22,-1e-05,0.50062,-1e-05,-0.00292,-0,-0.00265,-1e-05,0.49838,-0.00011,-0.00292,-0,-0.00265
1.24,-1e-05,0.50093,2e-05,-0.00355,-0,-0.00271,-1e-05,0.49808,-0.00011,-0.00355,-0,-0.00271
1.26,-1e-05,0.50122,6e-05,-0.00423,-0,-0.00277,-1e-05,0.49778,-0.0001,-0.00423,-0,-0.00277
1.28,-1e-05,0.50147,0.00013,-0.00495,-0,-0.00282,-1e-05,0.49753,-8e-05,-0.00495,-0,-0.00282
1.3,-1e-05,0.50161,0.00021,-0.00569,-0,-0.00288,-1e-05,0.49739,-3e-05,-0.00569,-0,-0.00288
1.32,-1e-05,0.50156,0.00032,-0.00643,-0,-0.00292,-1e-05,0.49744,5e-05,-0.00643,-0,-0.00292
1.34,-1e-05,0.50123,0.00045,-0.00715,-0,-0.00296,-1e-05,0.49777,0.00017,-0.00715,-0,-0.00296
1.36,-1e-05,0.5005,0.0006,-0.00782,-1e-05,-0.00298,-1e-05,0.4985,0.00033,-0.00782,-1e-05,-0.00298
1.38,-1e-05,0.49923,0.00075,-0.00843,-1e-05,-0.003,-1e-05,0.49976,0.00055,-0.00843,-1e-05,-0.003
1.4,-1e-05,0.49729,0.0009,-0.00896,-1e-05,-0.00299,-1e-05,0.50171,0.00083,-0.00896,-1e-05,-0.00299
1.42,-1e-05,0.49453,0.00102,-0.00939,-2e-05,-0.00298,-1e-05,0.50446,0.00116,-0.00939,-2e-05,-0.00298
1.44,-0,0.49086,0.0011,-0.00973,-2e-05,-0.00295,-0,0.50813,0.00155,-0.00973,-2e-05,-0.00295
1.46,-0,0.48622,0.00111,-0.00998,-2e-05,-0.0029,-0,0.51277,0.00198,-0.00998,-2e-05,-0.0029
1.48,-0,0.48063,0.00103,-0.01016,-3e-05,-0.00285,-0,0.51835,0.00245,-0.01016,-3e-05,-0.00285
1.5,-0,0.47423,0.00085,-0.01027,-3e-05,-0.00278,-0,0.52475,0.00296,-0.01027,-3e-05,-0.00278
1.52,-0,0.46721,0.00057,-0.01034,-3e-05,-0.00271,-0,0.53177,0.0035,-0.01034,-3e-05,-0.00271
1.54,-0,0.45983,0.00021,-0.01037,-3e-05,-0.00264,-0,0.53914,0.00408,-0.01037,-3e-05,-0.00264
1.56,-0,0.4524,-0.00023,-0.01038,-4e-05,-0.00256,-0,0.54657,0.00468,-0.01038,-4e-05,-0.00256
1.58,0,0.4452,-0.00074,-0.01037,-4e-05,-0.00248,0,0.55377,0.0053,-0.01037,-4e-05,-0.00248
1.6,0,0.43853,-0.00127,-0.01036,-4e-05,-0.0024,0,0.56043,0.00592,-0.01036,-4e-05,-0.0024
1.62,0,0.43266,-0.00182,-0.01036,-4e-05,-0.00231,0,0.5663,0.00653,-0.01036,-4e-05,-0.00231
1.64,0,0.42783,-0.00235,-0.01036,-3e-05,-0.00221,0,0.57114,0.00711,-0.01036,-3e-05,-0.00221
1.66,-0,0.42424,-0.00283,-0.01038,-3e-05,-0.0021,0,0.57473,0.00762,-0.01038,-3e-05,-0.0021
1.68,-0,0.42204,-0.00322,-0.01041,-3e-05,-0.00197,0,0.57692,0.00806,-0.01041,-3e-05,-0.00197
1.7,-0,0.42134,-0.00351,-0.01046,-3e-05,-0.00181,-0,0.57762,0.00838,-0.01046,-3e-05,-0.00181
1.72,-0,0.4222,-0.00367,-0.01052,-3e-05,-0.00162,-0,0.57677,0.00856,-0.01052,-3e-05,-0.00162
1.74,-0,0.42458,-0.00368,-0.01058,-3e-05,-0.0014,-0,0.57438,0.00859,-0.01058,-3e-05,-0.0014
1.76,-0,0.42841,-0.00354,-0.01065,-3e-05,-0.00113,-0,0.57055,0.00846,-0.01065,-3e-05,-0.00113
1.78,-0,0.43355,-0.00327,-0.0107,-3e-05,-0.00083,-0,0.56542,0.00815,-0.0107,-3e-05,-0.00083
1.8,-0,0.43976,-0.00287,-0.01072,-3e-05,-0.00048,0,0.5592,0.00769,-0.01072,-3e-05,-0.00048
1.82,0,0.44678,-0.00237,-0.0107,-3e-05,-0.00011,0,0.55218,0.00708,-0.0107,-3e-05,-0.00011
1.84,0,0.45427,-0.00182,-0.01059,-3e-05,0.00029,0,0.5447,0.00635,-0.01059,-3e-05,0.00029
1.86,0,0.46184,-0.00125,-0.01037,-3e-05,0.00071,0,0.53713,0.00553,-0.01037,-3e-05,0.00071
1.88,0,0.46912,-0.00072,-0.01001,-3e-05,0.00113,0,0.52985,0.00467,-0.01001,-3e-05,0.00113
1.9,0,0.47574,-0.00026,-0.00947,-3e-05,0.00154,0,0.52324,0.00379,-0.00947,-3e-05,0.00154
1.92,0,0.48144,0.00011,-0.00871,-3e-05,0.00192,0,0.51755,0.00294,-0.00871,-3e-05,0.00192
1.94,1e-05,0.48606,0.00036,-0.00772,-3e-05,0.00228,1e-05,0.51292,0.00215,-0.00772,-3e-05,0.00228
1.96,1e-05,0.48963,0.00052,-0.00648,-2e-05,0.0026,1e-05,0.50936,0.00145,-0.00648,-2e-05,0.0026
1.98,1e-05,0.4923,0.00058,-0.005,-2e-05,0.00287,1e-05,0.50669,0.00083,-0.005,-2e-05,0.00287
2,1e-05,0.49432,0.00056,-0.00332,-1e-05,0.00309,1e-05,0.50468,0.00031,-0.00332,-1e-05,0.00309
2.02,1e-05,0.49601,0.00046,-0.00151,-1e-05,0.00327,1e-05,0.50299,-0.00013,-0.00151,-1e-05,0.00327
2.04,1e-05,0.49776,0.0003,0.00037,-0,0.00341,1e-05,0.50123,-0.00049,0.00037,-0,0.00341
2.06,1e-05,0.49999,6e-05,0.00224,1e-05,0.00352,1e-05,0.499,-0.00079,0.00224,1e-05,0.00352
2.08,1e-05,0.50313,-0.00026,0.00401,2e-05,0.0036,1e-05,0.49586,-0.00103,0.00401,2e-05,0.0036
2.1,1e-05,0.50761,-0.00067,0.00562,3e-05,0.00367,1e-05,0.49139,-0.00121,0.00562,3e-05,0.00367
