T,RGRFx,RGRFy,RGRFz,RGRTx,RGRTy,RGRTz,LGRFx,LGRFy,LGRFz,LGRTx,LGRTy,LGRTz
0,-0.00659,1.00065,0.01019,0,-0.00079,-0,-0,0,-0,0,0,-0
0.02,-0.00663,1.00065,0.01019,0,-0.00079,-0,-0,0,-0,0,0,-0
0.04,-0.00666,1.00065,0.01019,0,-0.00079,-0,-0,0,-0,0,0,-0
0.06,-0.0067,1.00065,0.01019,0,-0.0008,-0,-0,0,0,0,0,-0
0.08,-0.00674,1.00065,0.01019,0,-0.0008,-0,-0,0,0,0,0,-0
0.1,-0.00677,1.00065,0.01019,0,-0.0008,-0,-0,0,0,0,0,-0
0.12,-0.00681,1.00066,0.01019,0,-0.00081,-0,-0,0,0,0,0,-0
0.14,-0.00685,1.00066,0.01019,0,-0.00081,-0,-0,0,0,0,0,-0
0.16,-0.00689,1.00066,0.01019,0,-0.00081,-0,-0,0,0,0,0,-0
0.18,-0.00693,1.00066,0.01019,0,-0.00082,0,0,0,0,0,-0,0
0.2,-0.00697,1.00066,0.01019,0,-0.00082,0,0,0,0,0,-0,0
0.22,-0.00701,1.00066,0.01019,-0,-0.00082,0,0,0,0,-0,-0,0
0.24,-0.00704,1.00066,0.01019,-0,-0.00083,0,0,0,0,-0,-0,0
0.26,-0.00709,1.00066,0.01019,-0,-0.00083,0,0,0,0,-0,-0,0
0.28,-0.00713,1.00066,0.01019,-0,-0.00084,0,0,0,0,-0,-0,0
0.3,-0.00717,1.00066,0.01019,-0,-0.00084,0,0,0,0,-0,-0,0
0.32,-0.00721,1.00066,0.01019,-0,-0.00085,0,0,0,-0,-0,-0,0
0.34,-0.00726,1.00066,0.01019,-0,-0.00085,0,0,0,-0,-0,-0,0
0.36,-0.00731,1.00066,0.01019,-0,-0.00085,0,0,0,-0,-0,-0,0
0.38,-0.00736,1.00066,0.01019,-0,-0.00086,0,0,0,-0,-0,-0,0
0.4,-0.00741,1.00066,0.01019,-0,-0.00087,0,0,0,-0,-0,-0,0
0.42,-0.00747,1.00066,0.01019,-0,-0.00087,0,0,0,-0,-0,-0,0
0.44,-0.00753,1.00067,0.01019,-0,-0.00088,0,0,0,-0,-0,-0,0
0.46,-0.00759,1.00067,0.01019,-0,-0.00088,-0,-0,0,-0,-0,0,-0
0.48,-0.00766,1.00067,0.01019,-0,-0.00089,-0,-0,0,-0,-0,0,-0
0.5,-0.00773,1.00067,0.01019,0,-0.0009,-0,-0,0,-0,0,0,-0
0.52,-0.0078,1.00067,0.01019,0,-0.0009,-0,-0,0,-0,0,0,-0
0.54,-0.00787,1.00067,0.01019,0,-0.00091,-0,-0,0,-0,0,0,-0
0.56,-0.00795,1.00067,0.01019,0,-0.00092,-0,-0,0,-0,0,0,-0
0.58,-0.00804,1.00068,0.01019,0,-0.00093,-0,-0,0,-0,0,0,-0
0.6,-0.00812,1.00068,0.01019,0,-0.00093,-0,-0,0,0,0,0,-0
0.62,-0.00821,1.00068,0.01019,0,-0.00094,-0,-0,0,0,0,0,-0
0.64,-0.0083,1.00068,0.01019,0,-0.00095,-0,-0,0,0,0,0,-0
0.66,-0.0084,1.00069,0.01019,0,-0.00096,-0,-0,0,0,0,0,-0
0.68,-0.0085,1.00069,0.01019,0,-0.00097,-0,-0,0,0,0,0,-0
0.7,-0.0086,1.00069,0.01019,0,-0.00098,-0,-0,0,0,0,0,-0
0.72,-0.0087,1.0007,0.01019,0,-0.00099,-0,-0,0,0,0,0,-0
0.74,-0.00881,1.0007,0.01019,0,-0.001,0,0,0,0,0,-0,0
0.76,-0.00892,1.0007,0.01019,0,-0.00101,0,0,0,0,0,-0,0
0.78,-0.00903,1.00071,0.01019,-0,-0.00102,0,0,0,0,-0,-0,0
0.8,-0.00915,1.00071,0.01019,-0,-0.00103,0,0,0,0,-0,-0,0
0.82,-0.00927,1.00071,0.01019,-0,-0.00104,0,0,0,0,-0,-0,0
0.84,-0.00939,1.00072,0.01019,-0,-0.00106,0,0,0,0,-0,-0,0
0.86,-0.00951,1.00072,0.01019,-0,-0.00107,0,0,0,0,-0,-0,0
0.88,-0.00962,1.00073,0.01019,-0,-0.00108,0,0,0,-0,-0,-0,0
0.9,-0.00974,1.00073,0.01019,-0,-0.00109,0,0,0,-0,-0,-0,0
0.92,-0.00984,1.00074,0.01019,-0,-0.00111,0,0,0,-0,-0,-0,0
0.94,-0.00993,1.00074,0.01019,-0,-0.00112,0,0,0,-0,-0,-0,0
0.96,-0.01001,1.00075,0.01019,-0,-0.00113,0,0,0,-0,-0,-0,0
0.98,-0.01008,1.00075,0.01019,-0,-0.00113,0,0,0,-0,-0,-0,0
1,-0.01013,1.00076,0.01019,-0,-0.00114,0,0,0,-0,-0,-0,0
1.02,-0.01017,1.00076,0.01019,-0,-0.00115,-0,-0,0,-0,-0,0,-0
1.04,-0.01019,1.00077,0.01019,-0,-0.00115,-0,-0,0,-0,-0,0,-0
1.06,-0.01021,1.00077,0.01019,0,-0.00116,-0,-0,0,-0,0,0,-0
1.08,-0.01022,1.00078,0.01019,0,-0.00116,-0,-0,0,-0,0,0,-0
1.1,-0.01022,1.00078,0.01019,0,-0.00116,-0,-0,0,-0,0,0,-0
1.12,-0.01022,1.00079,0.01019,0,-0.00117,-0,-0,0,-0,0,0,-0
1.14,-0.01022,1.00079,0.01019,0,-0.00117,-0,-0,0,-0,0,0,-0
1.16,-0.01022,1.00079,0.01019,0,-0.00118,-0,-0,0,0,0,0,-0
1.18,-0.01022,1.0008,0.01019,0,-0.00118,-0,-0,0,0,0,0,-0
1.2,-0.01021,1.0008,0.01019,0,-0.00119,-0,-0,0,0,0,0,-0
1.22,-0.01021,1.0008,0.01019,0,-0.00119,-0,-0,0,0,0,0,-0
1.24,-0.01021,1.00081,0.01019,0,-0.0012,-0,-0,0,0,0,0,-0
1.26,-0.01021,1.00081,0.01019,0,-0.00121,-0,-0,0,0,0,0,-0
1.28,-0.01022,1.00081,0.01019,0,-0.00121,-0,-0,0,0,0,0,-0
1.3,-0.01022,1.00081,0.01019,0,-0.00122,0,0,0,0,0,-0,0
1.32,-0.01022,1.00081,0.01019,0,-0.00123,0,0,0,0,0,-0,0
1.34,-0.01023,1.00081,0.01019,-0,-0.00124,0,0,0,0,-0,-0,0
1.36,-0.01023,1.00081,0.01019,-0,-0.00125,0,0,0,0,-0,-0,0
1.38,-0.01023,1.00081,0.01019,-0,-0.00126,0,0,0,0,-0,-0,0
1.4,-0.01022,1.0008,0.01019,-0,-0.00127,0,0,0,0,-0,-0,0
1.42,-0.01021,1.0008,0.01019,-0,-0.00128,0,0,0,0,-0,-0,0
1.44,-0.01019,1.00079,0.01019,-0,-0.00129,0,0,0,-0,-0,-0,0
1.46,-0.01015,1.00079,0.01019,-0,-0.0013,0,0,0,-0,-0,-0,0
1.48,-0.01011,1.00078,0.01019,-0,-0.0013,0,0,0,-0,-0,-0,0
1.5,-0.01005,1.00078,0.01019,-0,-0.00131,0,0,0,-0,-0,-0,0
1.52,-0.00997,1.00077,0.01019,-0,-0.00131,0,0,0,-0,-0,-0,0
1.54,-0.00988,1.00076,0.01019,-0,-0.00131,0,0,0,-0,-0,-0,0
1.56,-0.00977,1.00076,0.01019,-0,-0.00131,0,0,0,-0,-0,-0,0
1.58,-0.00965,1.00075,0.01019,-0,-0.00131,-0,-0,0,-0,-0,0,-0
1.6,-0.00953,1.00074,0.01019,-0,-0.0013,-0,-0,0,-0,-0,0,-0
1.62,-0.00941,1.00073,0.01019,0,-0.0013,-0,-0,0,-0,0,0,-0
1.64,-0.00929,1.00072,0.01019,0,-0.0013,-0,-0,0,-0,0,0,-0
1.66,-0.00918,1.00071,0.01019,0,-0.0013,-0,-0,0,-0,0,0,-0
1.68,-0.00909,1.0007,0.01019,0,-0.0013,-0,-0,0,-0,0,0,-0
1.7,-0.00902,1.00069,0.01019,0,-0.0013,-0,-0,0,-0,0,0,-0
1.72,-0.00896,1.00068,0.01019,0,-0.00131,-0,-0,0,0,0,0,-0
1.74,-0.00893,1.00067,0.01019,0,-0.00132,-0,-0,0,0,0,0,-0
1.76,-0.00892,1.00065,0.01019,0,-0.00133,-0,-0,0,0,0,0,-0
1.78,-0.00894,1.00064,0.01019,0,-0.00134,-0,-0,0,0,0,0,-0
1.8,-0.00898,1.00062,0.01019,0,-0.00136,-0,-0,0,0,0,0,-0
1.82,-0.00904,1.0006,0.01019,0,-0.00138,-0,-0,0,0,0,0,-0
1.84,-0.00912,1.00058,0.01019,0,-0.0014,-0,-0,0,0,0,0,-0
1.86,-0.00922,1.00056,0.01019,0,-0.00143,0,0,0,0,0,-0,0
1.88,-0.00934,1.00054,0.01019,0,-0.00145,0,0,0,0,0,-0,0
1.9,-0.00946,1.00052,0.01019,-0,-0.00148,0,0,0,0,-0,-0,0
1.92,-0.00958,1.0005,0.01019,-0,-0.00151,0,0,0,0,-0,-0,0
1.94,-0.0097,1.00047,0.01019,-0,-0.00154,0,0,0,0,-0,-0,0
1.96,-0.00982,1.00045,0.01019,-0,-0.00157,0,0,0,0,-0,-0,0
1.98,-0.00992,1.00042,0.01019,-0,-0.00159,0,0,0,0,-0,-0,0
2,-0.01001,1.0004,0.01019,-0,-0.00162,0,0,0,-0,-0,-0,0
2.02,-0.01008,1.00037,0.01019,-0,-0.00164,0,0,0,-0,-0,-0,0
2.04,-0.01013,1.00035,0.01019,-0,-0.00166,0,0,0,-0,-0,-0,0
2.06,-0.01017,1.00032,0.01019,-0,-0.00168,0,0,0,-0,-0,-0,0
2.08,-0.0102,1.00029,0.01019,-0,-0.0017,0,0,0,-0,-0,-0,0
2.1,-0.01022,1.00027,0.01019,-0,-0.00171,0,0,0,-0,-0,-0,0
2.12,-0.01023,1.00024,0.01019,-0,-0.00173,0,0,0,-0,-0,0,0
2.14,-0.01023,1.00022,0.01019,-0,-0.00174,-0,-0,0,-0,-0,0,-0
2.16,-0.01023,1.00019,0.01019,-0,-0.00175,-0,-0,0,-0,-0,0,-0
2.18,-0.01023,1.00017,0.01019,0,-0.00177,-0,-0,0,-0,0,0,-0
2.2,-0.01022,1.00015,0.01019,0,-0.00178,-0,-0,0,-0,0,0,-0
2.22,-0.01022,1.00013,0.01019,0,-0.00179,-0,-0,0,-0,0,0,-0
2.24,-0.01021,1.0001,0.01019,0,-0.0018,-0,-0,0,-0,0,0,-0
2.26,-0.01021,1.00008,0.01019,0,-0.00181,-0,-0,0,-0,0,0,-0
2.28,-0.0102,1.00007,0.01019,0,-0.00182,-0,-0,0,0,0,0,-0
2.3,-0.0102,1.00005,0.01019,0,-0.00183,-0,-0,0,0,0,0,-0
2.32,-0.0102,1.00003,0.01019,0,-0.00184,-0,-0,0,0,0,0,-0
2.34,-0.01019,1.00002,0.01019,0,-0.00185,-0,-0,0,0,0,0,-0
2.36,-0.01019,1,0.01019,0,-0.00186,-0,-0,0,0,0,0,-0
2.38,-0.01019,0.99999,0.01019,0,-0.00187,-0,-0,0,0,0,0,-0
2.4,-0.01019,0.99998,0.01019,0,-0.00188,-0,-0,0,0,0,-0,-0
2.42,-0.01019,0.99997,0.01019,0,-0.00188,0,0,0,0,0,-0,0
2.44,-0.01019,0.99996,0.01019,0,-0.00189,0,0,0,0,0,-0,0
2.46,-0.01019,0.99995,0.01019,-0,-0.0019,0,0,0,0,-0,-0,0
2.48,-0.01019,0.99994,0.01019,-0,-0.0019,0,0,0,0,-0,-0,0
2.5,-0.01019,0.99994,0.01019,-0,-0.00191,0,0,0,0,-0,-0,0
2.52,-0.01019,0.99993,0.01019,-0,-0.00191,0,0,0,0,-0,-0,0
2.54,-0.01019,0.99993,0.01019,-0,-0.00192,0,0,0,0,-0,-0,0
2.56,-0.01019,0.99992,0.01019,-0,-0.00192,0,0,0,-0,-0,-0,0
2.58,-0.01019,0.99992,0.01019,-0,-0.00192,0,0,0,-0,-0,-0,0
2.6,-0.01019,0.99991,0.01019,-0,-0.00192,0,0,0,-0,-0,-0,0
2.62,-0.01019,0.99991,0.01019,-0,-0.00192,0,0,0,-0,-0,-0,0
2.64,-0.01019,0.99991,0.01019,-0,-0.00193,0,0,0,-0,-0,-0,0
2.66,-0.01019,0.99991,0.01019,-0,-0.00193,0,0,0,-0,-0,-0,0
2.68,-0.01019,0.99991,0.01019,-0,-0.00193,-0,-0,0,-0,-0,0,-0
2.7,-0.01019,0.9999,0.01019,-0,-0.00193,-0,-0,0,-0,-0,0,-0
2.72,-0.01019,0.9999,0.01019,-0,-0.00193,-0,-0,0,-0,-0,0,-0
2.74,-0.01019,0.9999,0.01019,0,-0.00193,-0,-0,0,-0,0,0,-0
2.76,-0.01019,0.9999,0.01019,0,-0.00192,-0,-0,0,-0,0,0,-0
2.78,-0.01019,0.99991,0.01019,0,-0.00192,-0,-0,0,-0,0,0,-0
2.8,-0.01019,0.99991,0.01019,0,-0.00192,-0,-0,0,-0,0,0,-0
2.82,-0.01019,0.99991,0.01019,0,-0.00192,-0,-0,0,-0,0,0,-0
2.84,-0.01019,0.99991,0.01019,0,-0.00192,-0,-0,0,0,0,0,-0
2.86,-0.01019,0.99992,0.01019,0,-0.00191,-0,-0,0,0,0,0,-0
2.88,-0.01019,0.99992,0.01019,0,-0.00191,-0,-0,0,0,0,0,-0
2.9,-0.01019,0.99992,0.01019,0,-0.00191,-0,-0,0,0,0,0,-0
2.92,-0.01019,0.99993,0.01019,0,-0.00191,-0,-0,0,0,0,0,-0
2.94,-0.01019,0.99993,0.01019,0,-0.0019,-0,-0,0,0,0,0,-0
2.96,-0.01019,0.99994,0.01019,0,-0.0019,0,0,0,0,0,-0,0
2.98,-0.01019,0.99995,0.01019,0,-0.0019,0,0,0,0,0,-0,0
3,-0.01019,0.99995,0.01019,-0,-0.00189,0,0,0,0,-0,-0,0
3.02,-0.01019,0.99996,0.01019,-0,-0.00189,0,0,0,0,-0,-0,0
