T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,4.83963,-1.57657,0.00286,2.9773,-0.45124,-0.07318,0.20553,-8.01435,-0.32994,2.48522,0.02497,-0.00897,-0.24826,0.72,7.71084,0.2524,2.56738,-0.07873,-0.00423,0.26135,-5.52753,-1.16321,-0.14662,-2.06268,0.2667,-0.09367,-0.03125,-4.64509,2.41027,-0.0407,-1.75172,0.29914,0.06568,0.02897
0.02,4.84745,-1.52719,0.0151,2.97567,-0.44758,-0.07279,0.20579,-8.01343,-0.32906,2.48505,0.02487,-0.00866,-0.24815,0.71513,7.71219,0.25334,2.56729,-0.07857,-0.00478,0.26138,-5.52444,-1.1676,-0.1473,-2.06508,0.26655,-0.09398,-0.03135,-4.65832,2.40851,-0.03908,-1.75417,0.29916,0.06586,0.02901
0.04,4.8605,-1.44857,0.03457,2.97403,-0.44205,-0.07221,0.20621,-8.01466,-0.3279,2.48573,0.02481,-0.00822,-0.24814,0.70929,7.71295,0.25475,2.56703,-0.07842,-0.00552,0.26145,-5.52369,-1.17577,-0.14762,-2.06811,0.26638,-0.09428,-0.03146,-4.67427,2.40295,-0.03671,-1.75669,0.2992,0.06604,0.02904
0.06,4.87865,-1.33667,0.06209,2.97241,-0.43437,-0.07139,0.20688,-8.01874,-0.3264,2.48761,0.0248,-0.00764,-0.24826,0.70243,7.7128,0.25668,2.56655,-0.07826,-0.00646,0.26156,-5.52601,-1.18904,-0.1474,-2.07186,0.26619,-0.09458,-0.03158,-4.69308,2.39212,-0.03349,-1.75927,0.29924,0.06622,0.02907
0.08,4.90062,-1.18684,0.09804,2.97059,-0.42442,-0.07033,0.20762,-8.02644,-0.32446,2.4911,0.02483,-0.00685,-0.24857,0.69419,7.71131,0.25892,2.56588,-0.07817,-0.00753,0.26173,-5.5311,-1.20898,-0.14649,-2.0764,0.26596,-0.09491,-0.03171,-4.71442,2.37461,-0.02934,-1.76206,0.29929,0.06642,0.02909
0.1,4.92888,-1.00118,0.1426,2.96922,-0.41172,-0.069,0.20914,-8.03846,-0.32215,2.49652,0.02497,-0.00591,-0.24913,0.68547,7.70843,0.26181,2.56494,-0.07799,-0.00888,0.26195,-5.54195,-1.23648,-0.14457,-2.08192,0.26572,-0.09517,-0.03186,-4.73863,2.34843,-0.02422,-1.76451,0.29936,0.06652,0.02908
0.12,4.96465,-0.78215,0.1952,2.96905,-0.39581,-0.06736,0.21239,-8.05534,-0.31953,2.50411,0.02532,-0.00483,-0.24999,0.6776,7.7042,0.26571,2.56374,-0.0775,-0.01064,0.26224,-5.56307,-1.27232,-0.14134,-2.08845,0.26551,-0.09521,-0.03202,-4.76638,2.31132,-0.01803,-1.766,0.29946,0.06644,0.029
0.14,5.00565,-0.52693,0.25411,2.96937,-0.37717,-0.06546,0.21654,-8.07725,-0.3165,2.51416,0.0258,-0.00358,-0.25118,0.66972,7.69851,0.26992,2.5626,-0.07695,-0.01256,0.26262,-5.59105,-1.31741,-0.13692,-2.09604,0.26529,-0.09517,-0.0322,-4.79598,2.26339,-0.0109,-1.76704,0.29958,0.06625,0.02887
0.16,5.04824,-0.23341,0.31703,2.96966,-0.35627,-0.06331,0.22088,-8.10407,-0.31289,2.52681,0.02634,-0.00208,-0.25269,0.66137,7.69149,0.27378,2.56199,-0.07654,-0.01441,0.26313,-5.62355,-1.37255,-0.13147,-2.10458,0.26503,-0.09519,-0.03238,-4.82623,2.20474,-0.00298,-1.76814,0.29971,0.06603,0.02871
0.18,5.08684,0.10031,0.38096,2.97012,-0.33322,-0.06094,0.22595,-8.13556,-0.30852,2.54203,0.02705,-0.00031,-0.25456,0.65387,7.68351,0.27717,2.56232,-0.07615,-0.01622,0.26381,-5.66493,-1.4379,-0.12516,-2.11353,0.26478,-0.09523,-0.03259,-4.85779,2.13451,0.00578,-1.76919,0.29983,0.06583,0.02852
