T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.00302,0.00211,0.00011,-0.00573,0.00109,9e-05,-0.08138,0.75295,-2.90111,-0.03734,-0.1804,0.03424,0.01097,0.00435,-0.0127,-0.02201,0.00279,0.00231,-0.00921,-0.00156,-0.01661,-0.0025,-0.00038,9e-05,0.00108,-0.00098,-0.0078,-0.01469,0.00197,1e-05,-0.00022,0.00544,-0.00095,0.00082
0.02,0.00286,0.00189,9e-05,-0.00399,0.00106,8e-05,-0.06794,1.05849,-3.05374,-0.04394,-0.1659,0.04086,0.01145,0.00413,-0.00647,-0.02028,0.0019,0.0021,-0.00803,-0.00126,-0.01451,-0.00271,-0.00027,6e-05,0.00113,-0.00111,-0.007,-0.01583,0.002,3e-05,-0.00027,0.00497,-0.00089,0.00035
0.04,0.00265,0.00151,5e-05,-0.00142,0.00101,6e-05,-0.04944,1.40492,-3.17449,-0.0513,-0.14312,0.04834,0.01178,0.00402,0.00089,-0.01597,0.00096,0.00174,-0.00631,-0.00084,-0.01132,-0.00294,-0.00013,2e-05,0.00118,-0.00127,-0.0058,-0.01707,0.00201,5e-05,-0.00034,0.00425,-0.00079,-0.0003
0.06,0.00244,0.00097,1e-05,0.00197,0.00094,5e-05,-0.0273,1.74195,-3.23161,-0.05852,-0.11378,0.05575,0.01187,0.00427,0.00844,-0.00821,0.00013,0.00126,-0.00417,-0.00034,-0.00715,-0.0032,2e-05,-3e-05,0.00125,-0.00145,-0.00427,-0.01835,0.002,7e-05,-0.00042,0.00332,-0.00068,-0.0011
0.08,0.00229,0.00028,-4e-05,0.0061,0.00084,3e-05,-0.00378,1.99372,-3.19489,-0.06467,-0.08069,0.06114,0.0116,0.00521,0.0148,0.00398,-0.00031,0.00067,-0.00179,0.00018,-0.00222,-0.00347,0.00015,-8e-05,0.00135,-0.00165,-0.00255,-0.0196,0.00198,0.0001,-0.00051,0.00226,-0.00055,-0.00201
0.1,0.0023,-0.00053,-7e-05,0.01078,0.00073,1e-05,0.01803,2.06928,-2.98449,-0.06711,-0.04782,0.06327,0.01083,0.00719,0.01815,0.02154,-7e-05,3e-05,0.00057,0.00064,0.00311,-0.00372,0.00024,-0.00014,0.0015,-0.00186,-0.00083,-0.02069,0.00194,0.00012,-0.00059,0.00118,-0.00042,-0.00294
0.12,0.00255,-0.00146,-8e-05,0.01575,0.00061,-1e-05,0.03527,1.87901,-2.52513,-0.06269,-0.01914,0.06134,0.00945,0.01046,0.01649,0.04518,0.00122,-0.00061,0.00261,0.00096,0.00839,-0.00394,0.00024,-0.00019,0.00171,-0.00206,0.00069,-0.02145,0.00189,0.00015,-0.00067,0.00021,-0.0003,-0.00377
0.14,0.00311,-0.00248,-4e-05,0.02072,0.00051,-2e-05,0.0455,1.34833,-1.86798,-0.05236,0.00299,0.05222,0.00738,0.01518,0.00793,0.07522,0.00395,-0.0012,0.00406,0.00108,0.01323,-0.00409,0.00014,-0.00023,0.00197,-0.00223,0.00186,-0.02173,0.00185,0.00017,-0.00072,-0.00055,-0.00019,-0.00441
0.16,0.00399,-0.00359,2e-05,0.02542,0.00043,-2e-05,0.04725,0.46225,-1.07447,-0.03788,0.01843,0.03501,0.00471,0.02135,-0.00895,0.11135,0.0085,-0.00174,0.0047,0.00099,0.01734,-0.00419,-6e-05,-0.00026,0.00224,-0.00235,0.00261,-0.02146,0.00181,0.00019,-0.00076,-0.00105,-9e-05,-0.00482
0.18,0.00514,-0.00476,9e-05,0.02953,0.0004,-1e-05,0.0409,-0.71851,-0.21013,-0.02017,0.02962,0.01236,0.00169,0.02826,-0.03494,0.15188,0.01519,-0.00224,0.00441,0.00072,0.02047,-0.00424,-0.00033,-0.00027,0.00244,-0.0024,0.00296,-0.02061,0.00178,0.00019,-0.00076,-0.0013,-1e-05,-0.00495
