T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.00018,-0.00022,0.00014,0.00035,-0.00011,-4e-05,0.00014,0.04567,0.00527,0.00112,-0.00375,0.00017,0.00011,8e-05,3e-05,-0.00068,0.00114,-5e-05,0.00026,1e-05,0.00128,0.00057,-6e-05,-0.00172,-0.00052,0.00019,0.00112,0.00109,0.00023,0.00035,-0.00159,-0.00094,4e-05,0.00067
0.02,0.00018,-0.00022,0.00014,0.00035,-0.00011,-4e-05,0.00014,0.04568,0.00525,0.00112,-0.00375,0.00017,0.00011,8e-05,3e-05,-0.00068,0.00114,-5e-05,0.00026,1e-05,0.00128,0.00057,-6e-05,-0.00172,-0.00053,0.00019,0.00111,0.00109,0.00023,0.00035,-0.00159,-0.00094,4e-05,0.00067
0.04,0.00018,-0.00022,0.00014,0.00035,-0.00011,-4e-05,0.00014,0.04568,0.00523,0.00112,-0.00374,0.00017,0.00011,8e-05,3e-05,-0.00068,0.00114,-5e-05,0.00026,1e-05,0.00128,0.00057,-6e-05,-0.00172,-0.00053,0.00019,0.00111,0.00109,0.00023,0.00035,-0.00159,-0.00094,4e-05,0.00067
0.06,0.00018,-0.00022,0.00014,0.00035,-0.00011,-4e-05,0.00013,0.04569,0.00522,0.00112,-0.00374,0.00017,0.00011,8e-05,3e-05,-0.00068,0.00114,-5e-05,0.00026,1e-05,0.00128,0.00057,-6e-05,-0.00172,-0.00053,0.00019,0.00111,0.00109,0.00023,0.00035,-0.00159,-0.00094,4e-05,0.00067
0.08,0.00018,-0.00022,0.00014,0.00036,-0.00011,-4e-05,0.00013,0.0457,0.0052,0.00112,-0.00374,0.00017,0.00011,8e-05,3e-05,-0.00068,0.00115,-4e-05,0.00026,2e-05,0.00128,0.00057,-6e-05,-0.00172,-0.00053,0.00019,0.0011,0.00109,0.00022,0.00035,-0.00159,-0.00094,4e-05,0.00067
0.1,0.00018,-0.00022,0.00014,0.00036,-0.00011,-4e-05,0.00013,0.04569,0.00518,0.00112,-0.00373,0.00017,0.00011,8e-05,3e-05,-0.00068,0.00115,-5e-05,0.00026,2e-05,0.00128,0.00057,-6e-05,-0.00172,-0.00053,0.00019,0.0011,0.00109,0.00022,0.00035,-0.00159,-0.00094,4e-05,0.00067
0.12,0.00018,-0.00022,0.00014,0.00036,-0.00011,-4e-05,0.00013,0.04563,0.00518,0.00112,-0.00374,0.00017,0.00011,8e-05,3e-05,-0.00068,0.00115,-5e-05,0.00026,1e-05,0.00128,0.00057,-6e-05,-0.00172,-0.00053,0.00019,0.0011,0.00109,0.00022,0.00035,-0.00159,-0.00094,4e-05,0.00067
0.14,0.00018,-0.00022,0.00014,0.00036,-0.00011,-4e-05,0.00013,0.04555,0.00518,0.00112,-0.00374,0.00017,0.00011,8e-05,3e-05,-0.00068,0.00115,-5e-05,0.00026,1e-05,0.00128,0.00057,-6e-05,-0.00172,-0.00053,0.00019,0.0011,0.00109,0.00022,0.00035,-0.00159,-0.00094,4e-05,0.00066
0.16,0.00018,-0.00022,0.00014,0.00036,-0.00011,-4e-05,0.00013,0.04548,0.00517,0.00112,-0.00375,0.00017,0.00011,8e-05,3e-05,-0.00068,0.00115,-5e-05,0.00026,1e-05,0.00128,0.00057,-6e-05,-0.00172,-0.00053,0.00019,0.0011,0.00109,0.00022,0.00035,-0.00159,-0.00095,4e-05,0.00065
0.18,0.00018,-0.00022,0.00014,0.00036,-0.00011,-4e-05,0.00013,0.0454,0.00517,0.00112,-0.00375,0.00017,0.00012,8e-05,3e-05,-0.00068,0.00115,-5e-05,0.00026,1e-05,0.00128,0.00057,-6e-05,-0.00173,-0.00053,0.00019,0.0011,0.00109,0.00022,0.00035,-0.00159,-0.00095,4e-05,0.00065
0.2,0.00018,-0.00022,0.00014,0.00036,-0.00011,-4e-05,0.00013,0.04533,0.00517,0.00112,-0.00375,0.00017,0.00012,8e-05,3e-05,-0.00068,0.00115,-5e-05,0.00026,1e-05,0.00128,0.00057,-6e-05,-0.00173,-0.00053,0.00019,0.0011,0.00109,0.00022,0.00035,-0.00159,-0.00095,4e-05,0.00064
0.22,0.00018,-0.00022,0.00014,0.00036,-0.00011,-4e-05,0.00013,0.04525,0.00517,0.00112,-0.00376,0.00017,0.00012,8e-05,3e-05,-0.00068,0.00115,-5e-05,0.00026,1e-05,0.00128,0.00057,-7e-05,-0.00173,-0.00053,0.00019,0.0011,0.00109,0.00022,0.00036,-0.00159,-0.00095,4e-05,0.00064
0.24,0.00018,-0.00022,0.00014,0.00036,-0.00011,-4e-05,0.00013,0.04516,0.00517,0.00112,-0.00376,0.00017,0.00012,8e-05,3e-05,-0.00067,0.00115,-5e-05,0.00026,1e-05,0.00128,0.00057,-7e-05,-0.00173,-0.00053,0.00019,0.00111,0.00109,0.00022,0.00036,-0.00159,-0.00095,4e-05,0.00063
0.26,0.00018,-0.00022,0.00014,0.00037,-0.00011,-4e-05,0.00013,0.04508,0.00517,0.00112,-0.00376,0.00017,0.00012,8e-05,3e-05,-0.00067,0.00115,-5e-05,0.00026,1e-05,0.00129,0.00057,-7e-05,-0.00173,-0.00053,0.00019,0.00111,0.00109,0.00022,0.00036,-0.00159,-0.00095,4e-05,0.00063
0.28,0.00018,-0.00022,0.00014,0.00037,-0.00011,-4e-05,0.00013,0.04499,0.00517,0.00112,-0.00376,0.00017,0.00011,7e-05,3e-05,-0.00067,0.00115,-5e-05,0.00026,1e-05,0.00129,0.00057,-7e-05,-0.00173,-0.00053,0.00019,0.00112,0.00109,0.00022,0.00036,-0.00159,-0.00095,4e-05,0.00062
