T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.01765,-0.34533,0.11667,0.2976,-0.08817,-0.03014,0.17495,68.04864,4.85873,1.17167,-3.6456,0.18189,0.14331,0.13859,0.03779,-0.97986,1.16842,-0.10628,0.23198,0.04015,1.57479,0.60908,-0.29042,-1.60248,-0.57383,0.25939,1.12739,1.36363,0.37699,-0.03526,-1.48701,-1.02864,-0.00452,0.25627
0.02,0.01841,-0.34573,0.11686,0.29756,-0.08827,-0.03015,0.17492,68.07861,4.87109,1.17112,-3.64266,0.18172,0.14286,0.13835,0.03782,-0.98091,1.16866,-0.1068,0.23221,0.04014,1.57481,0.60908,-0.28996,-1.6023,-0.57374,0.26179,1.12591,1.3637,0.37691,-0.03557,-1.48697,-1.029,-0.00216,0.25759
0.04,0.01916,-0.34611,0.11702,0.29761,-0.08836,-0.03017,0.17473,68.10841,4.88322,1.17062,-3.63989,0.1816,0.14252,0.138,0.03779,-0.98186,1.16888,-0.10722,0.23228,0.04011,1.57484,0.60909,-0.28951,-1.60215,-0.57366,0.264,1.12444,1.36379,0.37682,-0.03586,-1.48693,-1.02936,4e-05,0.25886
0.06,0.0199,-0.34649,0.11716,0.29774,-0.08843,-0.03018,0.1744,68.13806,4.89491,1.1702,-3.63733,0.18153,0.1423,0.13756,0.0377,-0.98267,1.1691,-0.10755,0.23219,0.04008,1.5749,0.60909,-0.28909,-1.60204,-0.57359,0.266,1.12296,1.36388,0.37674,-0.03612,-1.4869,-1.02969,0.00205,0.26005
0.08,0.02065,-0.34689,0.11732,0.29782,-0.0885,-0.0302,0.17406,68.16882,4.90837,1.16961,-3.63462,0.18154,0.14199,0.13712,0.03759,-0.98369,1.16936,-0.10787,0.23211,0.04004,1.57487,0.6091,-0.28875,-1.60179,-0.5735,0.26833,1.1217,1.36393,0.37666,-0.03642,-1.48682,-1.03005,0.00428,0.26148
0.1,0.02137,-0.34722,0.11739,0.29812,-0.08854,-0.03022,0.17352,68.19698,4.91791,1.16942,-3.63273,0.18161,0.14202,0.13657,0.03743,-0.98413,1.16955,-0.10806,0.23184,0.03998,1.57503,0.60911,-0.28837,-1.60186,-0.57346,0.26972,1.12011,1.36406,0.37658,-0.0366,-1.48685,-1.03035,0.00582,0.26237
0.12,0.02201,-0.34739,0.11724,0.29899,-0.08851,-0.03025,0.17253,68.22026,4.91675,1.17033,-3.63266,0.1817,0.14289,0.1358,0.03723,-0.98306,1.16947,-0.10795,0.23112,0.03985,1.57571,0.60913,-0.28766,-1.60285,-0.57356,0.26855,1.11726,1.36442,0.37647,-0.0365,-1.48719,-1.03047,0.00563,0.26169
0.14,0.02262,-0.34749,0.11701,0.30001,-0.08846,-0.03028,0.17147,68.24059,4.91171,1.17157,-3.63341,0.18189,0.14402,0.13504,0.03704,-0.98151,1.16932,-0.10775,0.23038,0.03969,1.57656,0.60916,-0.28692,-1.60415,-0.57372,0.26656,1.11413,1.36484,0.37637,-0.03631,-1.48763,-1.03054,0.00486,0.2605
0.16,0.02326,-0.34763,0.11684,0.30085,-0.08843,-0.0303,0.17066,68.2607,4.90852,1.17256,-3.63401,0.18219,0.14494,0.13448,0.0369,-0.98032,1.16926,-0.10758,0.22993,0.03952,1.57729,0.60919,-0.28635,-1.60523,-0.57383,0.26515,1.11139,1.36521,0.37628,-0.03619,-1.48799,-1.03063,0.00445,0.25964
0.18,0.02391,-0.34776,0.11669,0.30165,-0.08842,-0.0303,0.17001,68.28715,4.90552,1.17355,-3.63426,0.18248,0.14582,0.13413,0.03682,-0.97943,1.16912,-0.1073,0.22968,0.03936,1.57808,0.60923,-0.28559,-1.60643,-0.57395,0.26369,1.10797,1.36562,0.37616,-0.03606,-1.48843,-1.03071,0.00407,0.25863
