T,RGRFx,RGRFy,RGRFz,RGRTx,RGRTy,RGRTz,LGRFx,LGRFy,LGRFz,LGRTx,LGRTy,LGRTz
0,-0,0,-0,0,-0,-0,-0,0,-0,0,-0,-0
0.02,-0,0,-0,0,-0,-0,-0,0,-0,0,-0,-0
0.04,-0,0,-0,0,-0,-0,-0,0,-0,0,-0,-0
0.06,-0,0,-0,0,-0,-0,-0,0,-0,0,-0,-0
0.08,-0,0,-0,0,-0,-0,-0,0,-0,0,-0,-0
0.1,-0,0,-0,0,-0,-0,-0,0,-0,0,-0,-0
0.12,-0,0,-0,0,-0,-0,-0,0,-0,0,-0,-0
0.14,-0,0,0,0,-0,-0,-0,0,0,0,-0,-0
0.16,-0,0,0,0,-0,-0,-0,0,0,0,-0,-0
0.18,-0,0,0,0,-0,-0,-0,0,0,0,-0,-0
0.2,-0,1e-05,0,0,-0,0,-0,1e-05,0,0,-0,0
0.22,-0,5e-05,0,-0,-0,0,-0,5e-05,0,-0,-0,0
0.24,-0,0.00012,0,-0,-0,0,-0,0.00012,0,-0,-0,0
0.26,0,0.0002,0,-0,0,0,0,0.0002,0,-0,0,0
0.28,0,0.00032,0,-0,0,1e-05,0,0.00032,0,-0,0,1e-05
0.3,0,0.00045,0,-1e-05,0,1e-05,0,0.00045,0,-1e-05,0,1e-05
0.32,0,0.0006,0,-1e-05,0,1e-05,0,0.0006,0,-1e-05,0,1e-05
0.34,0,0.00076,0,-1e-05,0,2e-05,0,0.00076,0,-1e-05,0,2e-05
0.36,1e-05,0.00092,0,-1e-05,0,2e-05,1e-05,0.00092,0,-1e-05,0,2e-05
0.38,1e-05,0.00104,0,-2e-05,0,2e-05,1e-05,0.00104,0,-2e-05,0,2e-05
0.4,1e-05,0.00111,0,-2e-05,0,2e-05,1e-05,0.00111,0,-2e-05,0,2e-05
0.42,1e-05,0.00108,-0,-2e-05,0,2e-05,1e-05,0.00108,-0,-2e-05,0,2e-05
0.44,1e-05,0.00089,-0,-1e-05,0,2e-05,1e-05,0.00089,-0,-1e-05,0,2e-05
0.46,1e-05,0.00049,-0,-1e-05,0,1e-05,1e-05,0.00049,-0,-1e-05,0,1e-05
0.48,1e-05,0,-0,0,0,-0,1e-05,0,-0,0,0,-0
0.5,1e-05,0,-0,1e-05,0,-3e-05,1e-05,0,-0,1e-05,0,-3e-05
0.52,-0,0,-0,3e-05,0,-6e-05,-0,0,-0,3e-05,0,-6e-05
0.54,-1e-05,0,-0,6e-05,-0,-0.0001,-1e-05,0,-0,6e-05,-0,-0.0001
0.56,-2e-05,0,-0,0.0001,-0,-0.00015,-2e-05,0,-0,0.0001,-0,-0.00015
0.58,-4e-05,0,-0,0.00014,-0,-0.00021,-4e-05,0,-0,0.00014,-0,-0.00021
0.6,-6e-05,0,-0,0.00019,-0,-0.00027,-6e-05,0,-0,0.00019,-0,-0.00027
0.62,-9e-05,0,-0,0.00024,-0,-0.00035,-9e-05,0,-0,0.00024,-0,-0.00035
0.64,-0.00012,0,-0,0.00029,-0,-0.00042,-0.00012,0,-0,0.00029,-0,-0.00042
0.66,-0.00015,0,-0,0.00033,-0,-0.00047,-0.00015,0,-0,0.00033,-0,-0.00047
0.68,-0.00018,0,-0,0.00036,-0,-0.0005,-0.00018,0,-0,0.00036,-0,-0.0005
0.7,-0.00021,0,0,0.00035,-1e-05,-0.00048,-0.00021,0,0,0.00035,-1e-05,-0.00048
0.72,-0.00022,0,0,0.0003,-1e-05,-0.00039,-0.00022,0,0,0.0003,-1e-05,-0.00039
0.74,-0.00022,0,0,0.00018,-1e-05,-0.0002,-0.00022,0,0,0.00018,-1e-05,-0.0002
0.76,-0.00018,0.00612,0,-3e-05,-1e-05,0.00012,-0.00018,0.00612,0,-3e-05,-1e-05,0.00012
0.78,-0.00011,0.02995,0,-0.00035,-1e-05,0.00061,-0.00011,0.02995,0,-0.00035,-1e-05,0.00061
0.8,3e-05,0.06337,0,-0.00081,-0,0.00129,3e-05,0.06337,0,-0.00081,-0,0.00129
0.82,0.00023,0.10753,0,-0.00143,0,0.00219,0.00023,0.10753,0,-0.00143,0,0.00219
0.84,0.00052,0.16292,0,-0.00221,1e-05,0.00331,0.00052,0.16292,0,-0.00221,1e-05,0.00331
0.86,0.0009,0.22888,1e-05,-0.00315,2e-05,0.00466,0.0009,0.22888,1e-05,-0.00315,2e-05,0.00466
0.88,0.00139,0.30305,1e-05,-0.00422,3e-05,0.00617,0.00139,0.30305,1e-05,-0.00422,3e-05,0.00617
0.9,0.00197,0.38074,1e-05,-0.00536,5e-05,0.00775,0.00197,0.38074,1e-05,-0.00536,5e-05,0.00775
0.92,0.00264,0.45419,1e-05,-0.00647,7e-05,0.00925,0.00264,0.45419,1e-05,-0.00647,7e-05,0.00925
0.94,0.00335,0.51181,0,-0.00738,9e-05,0.01043,0.00335,0.51181,0,-0.00738,9e-05,0.01043
0.96,0.00403,0.53756,0,-0.00789,0.00011,0.01096,0.00403,0.53756,0,-0.00789,0.00011,0.01096
0.98,0.00459,0.51037,-0,-0.00769,0.00013,0.01041,0.00459,0.51037,-0,-0.00769,0.00013,0.01041
1,0.00489,0.40405,-1e-05,-0.00642,0.00014,0.00826,0.00489,0.40405,-1e-05,-0.00642,0.00014,0.00826
1.02,0.00474,0.18767,-2e-05,-0.00363,0.00015,0.00387,0.00474,0.18767,-2e-05,-0.00363,0.00015,0.00387
1.04,0.00392,0,-3e-05,0.00117,0.00014,-0.00347,0.00392,0,-3e-05,0.00117,0.00014,-0.00347
