T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0.00086,0,0.00101,0,0,0,0,0.00014,0,0,0,4e-05,0.00015,0,0.00648,0.00029,0,0.0002,5e-05,0,0,0,0,0.00113,0,0.00036,0,0,0.00285,0.0004,0.00113,0,0.00345,0,0,0,0.00553,0,1e-05,0.00012,2e-05,0.01118,0,0.01948,0,0,0,5e-05,4e-05,0,0.01295,0.00742,0.01641,0.0002,0.00987,0,0,0,3e-05,0.00181,0.00626,0,3e-05,0.01181,0,0.00016,0.00272,0.00232
0.02,0.00012,0,0.00118,0,0,0,0,0.00013,0,0,0,5e-05,0.00018,0,0.00455,0.00074,0,0.00025,6e-05,0,0,0,0,0.00117,0,0.00037,0,0,0.00244,0.00041,0.00117,0,0.00282,0,0,0,0.00437,0,1e-05,0.00015,2e-05,0.01335,0,0.01717,0,0,0,6e-05,5e-05,0,0.01126,0.00484,0.01379,0.00024,0.00996,0,0,0,3e-05,0.00166,0.00587,0,3e-05,0.01068,0,0.00016,0.00286,0.00243
0.04,0,0,0.00136,0,0,0,0,0.00013,0,0,0,6e-05,0.00022,0,0.00281,0.00119,0,0.0003,8e-05,0,0,0,0,0.00119,0,0.00038,0,0,0.00201,0.0004,0.0012,0,0.0022,0,0,0,0.00325,0,2e-05,0.00019,3e-05,0.01571,0,0.01492,3e-05,0.00014,0,6e-05,5e-05,0,0.00955,0.00235,0.0112,0.00028,0.0101,0,0,0,3e-05,0.00151,0.0055,0,2e-05,0.0095,0,0.00016,0.00298,0.00252
0.06,0,0,0.00155,0,0,0,0,0.00012,0,0,0,7e-05,0.00025,0,0.00128,0.00163,0,0.00036,9e-05,0,0,0,0,0.0012,0,0.00038,1e-05,0,0.00157,0.00039,0.00121,0,0.00159,0,0,0,0.00217,0,2e-05,0.00022,3e-05,0.01825,0,0.01272,9e-05,0.00146,0,7e-05,6e-05,0,0.00781,1e-05,0.00867,0.00033,0.01028,0,0,0,3e-05,0.00137,0.00515,0,1e-05,0.00826,0,0.00016,0.00307,0.00259
0.08,0,0,0.00175,0,0,0,0,0.00011,0,0,0.01433,9e-05,0.00029,0,0,0.00205,0,0.00043,0.0001,0,0,0,0,0.00119,0,0.00038,7e-05,0,0.00112,0.00037,0.00121,0,0.00099,0,0,0,0.00117,0,3e-05,0.00026,4e-05,0.02097,0,0.01062,0.00014,0.00266,0,7e-05,7e-05,0,0.00605,0,0.00623,0.00038,0.0105,0,0,0,2e-05,0.00124,0.00485,0,0,0.00698,0,0.00015,0.00312,0.00262
0.1,0,0,0.00197,0,0,0,0,0.00011,0,0,0.03382,0.0001,0.00034,0,0,0.00243,0,0.00051,0.00012,0,0,0,0,0.00116,0,0.00037,0.00013,0,0.00067,0.00034,0.00118,0,0.00042,0,0,0,0.00027,0,4e-05,0.00031,4e-05,0.02386,0,0.00862,0.00019,0.00371,0.0001,8e-05,8e-05,0,0.00426,0,0.00389,0.00043,0.01076,0,0,0,2e-05,0.00111,0.00457,0,0,0.00566,0,0.00014,0.00313,0.00262
0.12,0,0,0.00218,0,0,0,0,0.00011,0,0,0.05191,0.00012,0.00038,0,0,0.00278,0,0.00059,0.00014,0,0,0,0.00032,0.00111,0,0.00036,0.00019,0,0.00021,0.0003,0.00113,0,0,0,0,0,0,0,4e-05,0.00035,5e-05,0.02689,0,0.00675,0.00024,0.0046,0.00111,8e-05,9e-05,0,0.00245,0,0.00165,0.00049,0.01105,0,0,0,2e-05,0.00099,0.00434,0,0,0.00431,0,0.00012,0.00308,0.00257
0.14,0,0,0.00241,0,0,0,0,0.00011,0,0,0.06846,0.00014,0.00043,0,0,0.00307,0,0.00068,0.00016,0,0,0,0.00103,0.00102,0,0.00033,0.00024,0,0,0.00025,0.00104,0,0,0.0002,0,0,0,0,5e-05,0.0004,5e-05,0.03004,0,0.00502,0.00028,0.0053,0.00211,9e-05,0.00011,0,0.00061,0,0,0.00055,0.01134,0,0,0,1e-05,0.00089,0.00415,0.00213,0,0.00294,0,0.0001,0.00298,0.00247
0.16,0,0,0.00263,0,0,0,0,0.00011,0,0,0.08342,0.00016,0.00048,0,0,0.0033,0,0.00078,0.00018,0,0,0,0.00166,0.0009,0,0.0003,0.00029,0,0,0.00018,0.00093,0,0,0.00083,0,0,0,0,6e-05,0.00046,6e-05,0.03329,0,0.00345,0.00033,0.0058,0.00312,9e-05,0.00012,0,0,0,0,0.00062,0.01161,0,0,0,1e-05,0.00079,0.004,0.00439,0,0.00156,0,7e-05,0.0028,0.0023
0.18,0,0,0.00286,0,0,0,0,0.00011,2e-05,0,0.09675,0.00018,0.00054,0,0,0.00345,0,0.00088,0.0002,0,0,1e-05,0.0022,0.00074,0,0.00025,0.00034,0,0,9e-05,0.00077,0,0,0.00138,0,0,0,0,7e-05,0.00052,6e-05,0.03659,0,0.00204,0.00037,0.00607,0.00415,0.0001,0.00014,0,0,0,0,0.00069,0.01185,0,0,0,0,0.0007,0.00389,0.00649,0,0.00019,0,3e-05,0.00254,0.00207
