T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.00251,-0.00084,-0.00436,-0.0224,0,-0.00138,0.00591,0.00049,-0.00099,-0.06208,0.00758,0.00207,0.33822,-0.11139,0.76778,-0.19306,0.23063,-0.77619,-0.15531,0.44903,-0.04854,-0.17639,0.02082,0.13787,0.04589,-0.04717,-0.01224,0.00382,0.00526,0.021,0.00055,-0.01018,0.01629,-0.01074,0.00603,0.01593,0.00471,0.0018,0.01104,0.00391
0.02,-0.00267,-0.00086,-0.00425,-0.02379,0,-0.00132,0.0063,0.00136,-0.00066,-0.0623,0.00663,0.00182,0.33101,-0.10858,0.74525,-0.18446,0.22324,-0.74684,-0.14981,0.45465,-0.04587,-0.19394,0.01068,0.12979,0.04881,-0.0435,-0.01227,0.00357,0.00678,0.02102,0.00068,-0.0099,0.01573,-0.01112,0.00563,0.01658,0.00458,0.00194,0.01156,0.0049
0.04,-0.00284,-0.00087,-0.00401,-0.02512,0,-0.00119,0.0067,0.00253,-0.00024,-0.06132,0.0053,0.00148,0.31321,-0.10296,0.69744,-0.16932,0.20823,-0.6911,-0.13914,0.45234,-0.0413,-0.21221,-0.00279,0.11687,0.05179,-0.03787,-0.01208,0.00314,0.00867,0.02061,0.00086,-0.0093,0.01465,-0.01142,0.00495,0.01712,0.00434,0.00209,0.01199,0.00608
0.06,-0.00303,-0.00086,-0.00366,-0.02631,0,-0.00101,0.00712,0.00393,0.00022,-0.05924,0.00367,0.00106,0.28475,-0.09517,0.626,-0.14885,0.18636,-0.61185,-0.12392,0.44263,-0.03493,-0.23006,-0.01911,0.10019,0.05482,-0.03073,-0.0117,0.00255,0.01082,0.01981,0.0011,-0.00843,0.01311,-0.01167,0.00403,0.01757,0.00404,0.00223,0.01229,0.00736
0.08,-0.00323,-0.00085,-0.0032,-0.02722,0,-0.00078,0.00752,0.00547,0.00067,-0.05624,0.00195,0.00064,0.24605,-0.08615,0.5343,-0.12496,0.15899,-0.51432,-0.10516,0.42621,-0.02702,-0.24544,-0.03731,0.08147,0.05783,-0.0228,-0.0112,0.00182,0.01306,0.01868,0.00138,-0.00735,0.01122,-0.01187,0.00293,0.0179,0.00373,0.00235,0.0124,0.00857
0.1,-0.00343,-0.00082,-0.00268,-0.02761,0,-0.0005,0.00788,0.00701,0.00101,-0.05251,0.00036,0.00025,0.19814,-0.07714,0.42772,-0.10028,0.12815,-0.40616,-0.08441,0.40384,-0.01802,-0.25538,-0.05582,0.06309,0.06059,-0.01508,-0.01064,0.001,0.01508,0.0173,0.0017,-0.00615,0.00914,-0.01201,0.00172,0.01806,0.00349,0.00243,0.01224,0.00951
0.12,-0.00362,-0.00079,-0.00212,-0.02727,0,-0.00019,0.00815,0.00838,0.00115,-0.04828,-0.00081,-1e-05,0.14269,-0.06947,0.31254,-0.07766,0.09607,-0.29605,-0.06334,0.37613,-0.00854,-0.25637,-0.07251,0.04766,0.06278,-0.00867,-0.01008,0.00014,0.01658,0.01576,0.00205,-0.00492,0.00706,-0.01209,0.00051,0.01801,0.00337,0.00244,0.01171,0.00994
0.14,-0.00379,-0.00074,-0.00156,-0.02602,0,0.00013,0.00829,0.00944,0.001,-0.04372,-0.00134,-9e-05,0.08193,-0.06421,0.19428,-0.05925,0.06448,-0.19126,-0.0433,0.34311,0.00065,-0.24499,-0.08492,0.03742,0.06403,-0.00444,-0.00956,-0.00071,0.01734,0.01411,0.00241,-0.00375,0.00512,-0.01209,-0.00061,0.0177,0.00345,0.00237,0.01076,0.00968
0.16,-0.00392,-0.00069,-0.00102,-0.02383,0,0.00045,0.00823,0.0101,0.00054,-0.03892,-0.00109,8e-05,0.01879,-0.06197,0.07683,-0.04595,0.03421,-0.09633,-0.02503,0.30407,0.00867,-0.21841,-0.09028,0.03382,0.06388,-0.00289,-0.0091,-0.00151,0.01726,0.01239,0.00275,-0.00269,0.00337,-0.01202,-0.00161,0.01713,0.00377,0.00221,0.00938,0.00866
0.18,-0.004,-0.00062,-0.0005,-0.02082,0,0.00076,0.00795,0.01035,-0.00022,-0.03394,-1e-05,0.00052,-0.04259,-0.06285,-0.03681,-0.0374,0.00534,-0.01345,-0.00872,0.25781,0.01442,-0.17467,-0.08554,0.03742,0.06188,-0.00404,-0.00865,-0.00222,0.01642,0.0106,0.00303,-0.00174,0.00181,-0.01187,-0.00244,0.01633,0.00433,0.00197,0.00763,0.00694
0.2,-0.00402,-0.00054,-3e-05,-0.01726,0,0.00103,0.00738,0.01023,-0.00121,-0.02879,0.00185,0.00125,-0.09639,-0.0665,-0.14344,-0.0322,-0.02249,0.05649,0.00581,0.20293,0.01654,-0.11284,-0.06725,0.04795,0.05746,-0.00755,-0.00816,-0.00282,0.01504,0.00875,0.0032,-0.00092,0.00041,-0.01167,-0.00311,0.01539,0.00512,0.00166,0.00563,0.00465
0.22,-0.00397,-0.00045,0.0004,-0.0135,0,0.00124,0.00646,0.00982,-0.0024,-0.02346,0.00439,0.00223,-0.13499,-0.07217,-0.2388,-0.02825,-0.04983,0.11292,0.01883,0.13796,0.01338,-0.03304,-0.03179,0.06402,0.04988,-0.01271,-0.00756,-0.00328,0.01339,0.00684,0.00321,-0.0002,-0.00091,-0.01141,-0.00361,0.01439,0.00609,0.00131,0.00355,0.00205
0.24,-0.00384,-0.00036,0.00078,-0.00983,0,0.00138,0.0051,0.00918,-0.00377,-0.01783,0.00746,0.00336,-0.14926,-0.07881,-0.31686,-0.02317,-0.07711,0.1547,0.03057,0.06138,0.00303,0.06356,0.02439,0.08277,0.0381,-0.01859,-0.00678,-0.00357,0.0117,0.00485,0.00302,0.00043,-0.00222,-0.0111,-0.00395,0.01337,0.00719,0.00095,0.00154,-0.00066
0.26,-0.00361,-0.00026,0.00113,-0.00644,0,0.00141,0.00313,0.00842,-0.00543,-0.01164,0.01091,0.00444,-0.12869,-0.08505,-0.36915,-0.01462,-0.10435,0.17937,0.04096,-0.02802,-0.01662,0.17433,0.10429,0.09952,0.02068,-0.02399,-0.00575,-0.00369,0.0101,0.00278,0.0026,0.00095,-0.00355,-0.0107,-0.00415,0.01234,0.00833,0.00057,-0.00029,-0.00327
0.28,-0.00326,-0.00015,0.00144,-0.00338,0,0.00135,0.00037,0.00763,-0.00759,-0.00454,0.01453,0.00517,-0.06144,-0.08922,-0.38409,-0.00046,-0.13094,0.18266,0.04957,-0.13048,-0.04774,0.29436,0.20976,0.10755,-0.00408,-0.02746,-0.00444,-0.00365,0.0086,0.00063,0.00197,0.00137,-0.0049,-0.01012,-0.00422,0.01123,0.00942,0.00018,-0.00187,-0.00565
0.3,-0.00277,-5e-05,0.00173,-0.00065,0,0.0012,-0.00339,0.00692,-0.01049,0.00384,0.01808,0.00514,0.06509,-0.08921,-0.34714,0.02127,-0.15541,0.15876,0.05551,-0.24459,-0.09246,0.41587,0.341,0.09833,-0.03796,-0.02732,-0.00285,-0.00348,0.00711,-0.00155,0.00116,0.00165,-0.00621,-0.0093,-0.00418,0.00995,0.01032,-0.00024,-0.00315,-0.00763
0.32,-0.00214,5e-05,0.00201,0.00182,0,0.00095,-0.00838,0.0064,-0.01443,0.01387,0.02125,0.00389,0.26239,-0.0823,-0.24319,0.0523,-0.17545,0.10196,0.05769,-0.36707,-0.15296,0.52923,0.49663,0.06308,-0.08243,-0.0219,-0.00101,-0.0032,0.00548,-0.0037,0.00023,0.00176,-0.0074,-0.00811,-0.00405,0.00837,0.01091,-0.00069,-0.00409,-0.00911
0.34,-0.00134,0.00014,0.00228,0.00416,0,0.00065,-0.01485,0.00616,-0.01958,0.02583,0.02374,0.00106,0.53788,-0.06495,-0.06065,0.09422,-0.18816,0.00937,0.05515,-0.4929,-0.23155,0.6249,0.67403,-0.00492,-0.13819,-0.01004,0.00106,-0.00286,0.00356,-0.00574,-0.00071,0.00166,-0.00837,-0.00647,-0.00386,0.00635,0.01107,-0.00116,-0.00467,-0.01002
0.36,-0.00036,0.00019,0.00257,0.0065,0,0.00033,-0.02303,0.00629,-0.026,0.03986,0.02529,-0.00363,0.89168,-0.03278,0.20503,0.14831,-0.19011,-0.11685,0.04738,-0.6149,-0.33048,0.69447,0.86897,-0.1084,-0.20457,0.00858,0.00331,-0.00252,0.00121,-0.00761,-0.00155,0.00135,-0.00907,-0.00432,-0.00363,0.00378,0.01077,-0.0016,-0.0049,-0.01037
0.38,0.00081,0.0002,0.00286,0.00903,0,4e-05,-0.03306,0.00684,-0.03349,0.05582,0.02561,-0.01022,1.31352,0.01932,0.54874,0.21518,-0.17733,-0.26803,0.03436,-0.7227,-0.45122,0.73031,1.07406,-0.24495,-0.279,0.03322,0.00564,-0.00225,-0.00166,-0.00919,-0.00209,0.00083,-0.00945,-0.00162,-0.00343,0.00058,0.01002,-0.00191,-0.00477,-0.01025
0.4,0.00217,0.00013,0.00316,0.01189,0,-0.00013,-0.04499,0.00785,-0.04164,0.0732,0.02445,-0.01858,1.78142,0.09682,0.95494,0.29429,-0.14539,-0.42895,0.01658,-0.80246,-0.59385,0.72503,1.27778,-0.40693,-0.3566,0.06211,0.00794,-0.00212,-0.00509,-0.01038,-0.00214,0.00013,-0.00947,0.00158,-0.0033,-0.00328,0.00891,-0.00197,-0.00433,-0.00981
0.42,0.00369,-4e-05,0.00346,0.01521,0,-0.00011,-0.05874,0.00931,-0.04982,0.09122,0.02151,-0.02841,2.26597,0.20503,1.40132,0.38361,-0.08985,-0.58065,-0.00521,-0.83919,-0.75729,0.67184,1.46584,-0.58352,-0.43075,0.09292,0.01005,-0.00223,-0.00904,-0.01101,-0.00142,-0.00071,-0.00911,0.00522,-0.00332,-0.00776,0.00755,-0.00159,-0.00358,-0.00922
0.44,0.00535,-0.00036,0.00375,0.01907,0,0.00018,-0.07424,0.01118,-0.05734,0.109,0.01645,-0.03935,2.73804,0.34826,1.86505,0.47941,-0.00712,-0.70515,-0.03045,-0.82095,-0.94002,0.56551,1.62426,-0.76412,-0.49408,0.12365,0.01182,-0.00261,-0.01348,-0.01096,0.00033,-0.00166,-0.00836,0.00919,-0.0035,-0.01282,0.00607,-0.00057,-0.00252,-0.00866
0.46,0.00713,-0.00085,0.00402,0.02351,0,0.00076,-0.09137,0.01332,-0.0635,0.12559,0.00888,-0.05102,3.17249,0.5288,2.32546,0.57565,0.10472,-0.78823,-0.05886,-0.74186,-1.13994,0.40362,1.74092,-0.94006,-0.539,0.15299,0.01312,-0.00331,-0.01832,-0.0101,0.0034,-0.00268,-0.00724,0.01339,-0.00388,-0.01836,0.00459,0.00134,-0.00111,-0.00824
0.48,0.009,-0.00157,0.00422,0.02845,0,0.00164,-0.10987,0.0155,-0.06751,0.13986,-0.00155,-0.06289,3.54563,0.74538,2.7612,0.66316,0.24491,-0.81946,-0.09036,-0.60328,-1.35289,0.1878,1.80498,-1.10371,-0.55741,0.18029,0.01382,-0.00428,-0.02341,-0.00836,0.00802,-0.00374,-0.00581,0.01767,-0.00441,-0.02422,0.00322,0.0044,0.00071,-0.00806
0.5,0.01087,-0.00254,0.00434,0.0337,0,0.00279,-0.12921,0.01739,-0.06854,0.15038,-0.01511,-0.07429,3.83275,0.99236,3.14771,0.72945,0.40933,-0.79134,-0.12477,-0.41341,-1.57153,-0.07559,1.80595,-1.24717,-0.54055,0.20523,0.01379,-0.00545,-0.02853,-0.00567,0.01441,-0.00484,-0.00415,0.02181,-0.00503,-0.03012,0.00208,0.00884,0.00302,-0.00814
0.52,0.01267,-0.0038,0.00432,0.03909,0,0.00415,-0.14865,0.01861,-0.06587,0.15538,-0.03201,-0.08454,4.01131,1.26147,3.46066,0.76068,0.59072,-0.69933,-0.16177,-0.18437,-1.78683,-0.37702,1.73415,-1.36264,-0.47993,0.22775,0.0129,-0.00672,-0.03349,-0.00204,0.02272,-0.00596,-0.00239,0.02558,-0.00566,-0.03579,0.00127,0.01489,0.00588,-0.00854
0.54,0.01432,-0.00536,0.00413,0.04466,0,0.00569,-0.16733,0.01877,-0.05916,0.15277,-0.05232,-0.09329,4.06816,1.54492,3.6834,0.7452,0.77942,-0.54243,-0.20078,0.0722,-1.99104,-0.70654,1.5823,-1.4438,-0.36904,0.24799,0.01105,-0.008,-0.03825,0.00247,0.03302,-0.00712,-0.00067,0.02882,-0.00623,-0.0411,0.00083,0.02265,0.0093,-0.00929
0.56,0.01575,-0.00721,0.00375,0.05072,0,0.00741,-0.18438,0.01756,-0.04872,0.14022,-0.07589,-0.10069,4.00461,1.83657,3.81159,0.67608,0.96311,-0.32434,-0.24088,0.34717,-2.17912,-1.0545,1.34723,-1.48655,-0.20506,0.26622,0.00817,-0.00921,-0.04307,0.00769,0.04529,-0.0084,0.00088,0.0315,-0.00669,-0.04613,0.00075,0.03208,0.01321,-0.01048
0.58,0.01691,-0.0093,0.00316,0.05791,0,0.00934,-0.19872,0.01473,-0.03563,0.11521,-0.1022,-0.10739,3.83784,2.1301,3.85305,0.55208,1.12542,-0.05518,-0.2804,0.6325,-2.34759,-1.40915,1.03185,-1.48882,0.00967,0.28265,0.00426,-0.01029,-0.04846,0.01333,0.05931,-0.00993,0.00209,0.03368,-0.00701,-0.05118,0.00093,0.04287,0.01739,-0.01226
0.6,0.01772,-0.01153,0.00235,0.06704,0,0.01151,-0.20904,0.01013,-0.02166,0.07528,-0.13022,-0.11439,3.59879,2.41708,3.82511,0.3776,1.2456,0.2479,-0.31672,0.91916,-2.49311,-1.75472,0.64618,-1.44995,0.26705,0.29724,-0.00061,-0.01119,-0.05509,0.01891,0.07458,-0.01186,0.00277,0.03552,-0.00719,-0.05669,0.0012,0.05444,0.02152,-0.01475
0.62,0.01814,-0.01376,0.00134,0.0789,0,0.01393,-0.21405,0.00372,-0.00881,0.01871,-0.15865,-0.12273,3.32415,2.68782,3.74928,0.16125,1.30256,0.56365,-0.34655,1.197,-2.61242,-2.0735,0.20597,-1.37056,0.55474,0.30945,-0.00627,-0.01184,-0.06369,0.02389,0.09038,-0.01431,0.00278,0.03722,-0.00721,-0.06308,0.00136,0.06603,0.02519,-0.01808
