T,RGRFx,RGRFy,RGRFz,RGRTx,RGRTy,RGRTz,LGRFx,LGRFy,LGRFz,LGRTx,LGRTy,LGRTz
0,-6.99383,684.83847,6.99377,8e-05,-0.49953,-0.00295,-1e-05,0.30214,-0.00013,8e-05,-0,-0.00295
0.02,-6.99225,684.76017,6.9922,-0.00052,-0.50556,-0.00368,-1e-05,0.37972,-0.00012,-0.00052,-0,-0.00368
0.04,-6.99075,684.68614,6.99074,-0.00138,-0.51211,-0.00435,-2e-05,0.45311,-9e-05,-0.00138,0,-0.00435
0.06,-6.98958,684.62784,6.98961,-0.00255,-0.51932,-0.00485,-2e-05,0.5108,-4e-05,-0.00255,0,-0.00485
0.08,-6.98905,684.60118,6.98916,-0.00406,-0.52738,-0.00503,-2e-05,0.53676,5e-05,-0.00406,0,-0.00503
0.1,-6.9896,684.62698,6.98981,-0.0059,-0.53644,-0.00467,-1e-05,0.51001,0.00019,-0.0059,0,-0.00467
0.12,-6.99176,684.73112,6.99211,-0.00803,-0.5467,-0.00353,-1e-05,0.40441,0.00037,-0.00803,0,-0.00353
0.14,-6.99615,684.94415,6.99667,-0.01035,-0.55831,-0.00131,0,0.18911,0.00062,-0.01035,0,-0.00131
0.16,-7.00349,685.30005,7.00421,-0.01268,-0.57144,0.00231,2e-05,0,0.00092,-0.01268,1e-05,0.00231
0.18,-7.01449,685.83388,7.01543,-0.01471,-0.58622,0.00767,4e-05,0,0.00128,-0.01471,1e-05,0.00767
0.2,-7.02983,686.57805,7.03099,-0.01603,-0.60274,0.01507,7e-05,0,0.00167,-0.01603,1e-05,0.01507
0.22,-7.05001,687.55672,7.05138,-0.01609,-0.62106,0.02472,0.00011,0,0.00208,-0.01609,1e-05,0.02472
0.24,-7.07522,688.77813,7.07673,-0.01417,-0.64117,0.03666,0.00016,0,0.00246,-0.01417,1e-05,0.03666
0.26,-7.10509,690.22473,7.10664,-0.0094,-0.66297,0.0507,0.00021,0,0.00274,-0.0094,1e-05,0.0507
0.28,-7.13851,691.84087,7.13993,-0.00078,-0.68627,0.06623,0.00026,0,0.00284,-0.00078,1e-05,0.06623
0.3,-7.17326,693.51847,7.1743,0.01275,-0.71069,0.08215,0.00031,0,0.00263,0.01275,0,0.08215
