T,RGRFx,RGRFy,RGRFz,RGRTx,RGRTy,RGRTz,LGRFx,LGRFy,LGRFz,LGRTx,LGRTy,LGRTz
0,-2e-05,0.4995,0,-0.00212,0,-0.00526,-2e-05,0.4995,0,-0.00212,0,-0.00526
0.02,-1e-05,0.4995,0,-0.00211,0,-0.00545,-1e-05,0.4995,0,-0.00211,0,-0.00545
0.04,-1e-05,0.4995,0,-0.0021,0,-0.00563,-1e-05,0.4995,0,-0.0021,0,-0.00563
0.06,-1e-05,0.4995,0,-0.00208,0,-0.0058,-1e-05,0.4995,0,-0.00208,0,-0.0058
0.08,-2e-05,0.4995,0,-0.00207,-0,-0.00596,-2e-05,0.4995,0,-0.00207,-0,-0.00596
0.1,-2e-05,0.4995,0,-0.00205,-0,-0.00611,-2e-05,0.4995,0,-0.00205,-0,-0.00611
0.12,-2e-05,0.4995,0,-0.00202,-0,-0.00624,-2e-05,0.4995,0,-0.00202,-0,-0.00624
0.14,-2e-05,0.4995,0,-0.00199,-0,-0.00636,-2e-05,0.4995,0,-0.00199,-0,-0.00636
0.16,-3e-05,0.4995,0,-0.00196,-0,-0.00646,-3e-05,0.4995,0,-0.00196,-0,-0.00646
0.18,-3e-05,0.4995,0,-0.00192,-0,-0.00654,-3e-05,0.4995,0,-0.00192,-0,-0.00654
0.2,-3e-05,0.4995,1e-05,-0.00188,-0,-0.00662,-3e-05,0.4995,1e-05,-0.00188,-0,-0.00662
0.22,-3e-05,0.4995,1e-05,-0.00183,-0,-0.00668,-3e-05,0.4995,1e-05,-0.00183,-0,-0.00668
0.24,-3e-05,0.4995,1e-05,-0.00179,-0,-0.00673,-3e-05,0.4995,1e-05,-0.00179,-0,-0.00673
0.26,-2e-05,0.4995,1e-05,-0.00174,-0,-0.00678,-2e-05,0.4995,1e-05,-0.00174,-0,-0.00678
0.28,-2e-05,0.4995,1e-05,-0.00169,-0,-0.00683,-2e-05,0.4995,1e-05,-0.00169,-0,-0.00683
0.3,-2e-05,0.4995,1e-05,-0.00164,-0,-0.00687,-2e-05,0.4995,1e-05,-0.00164,-0,-0.00687
0.32,-2e-05,0.4995,1e-05,-0.00159,-0,-0.0069,-2e-05,0.4995,1e-05,-0.00159,-0,-0.0069
0.34,-1e-05,0.4995,1e-05,-0.00154,-0,-0.00694,-1e-05,0.4995,1e-05,-0.00154,-0,-0.00694
0.36,-1e-05,0.4995,0,-0.00149,-0,-0.00697,-1e-05,0.4995,0,-0.00149,-0,-0.00697
0.38,-1e-05,0.4995,0,-0.00145,0,-0.00701,-1e-05,0.4995,0,-0.00145,0,-0.00701
0.4,-1e-05,0.4995,0,-0.0014,0,-0.00704,-1e-05,0.4995,0,-0.0014,0,-0.00704
0.42,-1e-05,0.4995,0,-0.00136,0,-0.00707,-1e-05,0.4995,0,-0.00136,0,-0.00707
0.44,-1e-05,0.4995,-0,-0.00133,0,-0.0071,-1e-05,0.4995,-0,-0.00133,0,-0.0071
0.46,-1e-05,0.4995,-0,-0.0013,0,-0.00713,-1e-05,0.4995,-0,-0.0013,0,-0.00713
0.48,-1e-05,0.4995,-0,-0.00127,0,-0.00716,-1e-05,0.4995,-0,-0.00127,0,-0.00716
0.5,-1e-05,0.4995,-0,-0.00125,0,-0.00719,-1e-05,0.4995,-0,-0.00125,0,-0.00719
0.52,-1e-05,0.4995,-0,-0.00124,0,-0.00721,-1e-05,0.4995,-0,-0.00124,0,-0.00721
0.54,-1e-05,0.4995,-0,-0.00124,0,-0.00723,-1e-05,0.4995,-0,-0.00124,0,-0.00723
