T,RSRFy
0,0
0.02,0
0.04,0
0.06,0
0.08,0
0.1,0
0.12,0
0.14,0
0.16,0
0.18,0
0.2,0
0.22,0
0.24,0
0.26,0
0.28,0
0.3,0
0.32,0
0.34,0
0.36,0
0.38,0
0.4,0
0.42,0
0.44,0
0.46,0
0.48,0
0.5,0
0.52,0
0.54,0
0.56,0
0.58,0
0.6,0
0.62,0
0.64,0
0.66,0
0.68,0
0.7,0
0.72,0
0.74,0
0.76,0
0.78,0
0.8,0
0.82,0
0.84,0
0.86,0
0.88,0
0.9,0
0.92,0
0.94,0
0.96,0
0.98,0
1,0
1.02,0
1.04,0
1.06,0
1.08,0
1.1,0
1.12,0
1.14,0
1.16,0
1.18,0
1.2,0
1.22,0
1.24,0
1.26,0
1.28,0
1.3,0
1.32,0
1.34,0
1.36,0
1.38,0
1.4,0
1.42,0
1.44,0
1.46,0
1.48,0
1.5,0
1.52,0
1.54,0
1.56,0
1.58,0
1.6,0
1.62,0
1.64,0
1.66,0
1.68,0
1.7,0
1.72,0
1.74,0
1.76,0
1.78,0
1.8,0
1.82,0
1.84,0
1.86,0
1.88,0
1.9,0
1.92,0
1.94,0
1.96,0
1.98,0
2,71.38518
2.02,64.59577
2.04,58.47973
2.06,52.82011
2.08,47.68784
2.1,43.27573
2.12,39.822
2.14,37.54009
2.16,36.57915
2.18,36.99368
2.2,38.73848
2.22,41.67331
2.24,45.5713
2.26,50.14738
2.28,55.09485
2.3,60.08169
2.32,64.779
2.34,68.97505
2.36,72.56048
2.38,75.46614
2.4,77.64863
2.42,79.12037
2.44,79.98981
2.46,80.39982
2.48,80.47984
2.5,80.35288
2.52,80.15577
2.54,80.03381
2.56,80.10392
2.58,80.4485
2.6,81.11411
2.62,82.11531
2.64,83.46289
2.66,85.15083
2.68,87.13128
2.7,89.32907
2.72,91.64564
2.74,93.96411
2.76,96.16907
2.78,98.15328
2.8,99.80201
2.82,101.02298
2.84,101.7975
2.86,102.15032
2.88,102.12289
2.9,101.74956
2.92,101.09077
2.94,100.27847
2.96,99.42603
2.98,98.59177
3,97.7981
3.02,97.04246
3.04,96.32008
3.06,95.6038
3.08,94.84676
3.1,94.01525
3.12,93.09465
3.14,92.0827
3.16,90.9923
3.18,89.85234
3.2,88.70916
3.22,87.6099
3.24,86.58341
3.26,85.65558
3.28,84.84908
3.3,84.17105
3.32,83.61564
3.34,83.16732
3.36,82.80332
3.38,82.49698
3.4,82.22319
3.42,81.96138
3.44,81.69692
3.46,81.42244
3.48,81.13748
3.5,80.84823
3.52,80.56094
3.54,80.28494
3.56,80.03634
3.58,79.82733
3.6,79.66868
3.62,79.56789
3.64,79.51542
3.66,79.49356
3.68,79.48667
3.7,79.47788
3.72,79.45442
3.74,79.41221
3.76,79.35292
3.78,79.28288
3.8,79.21285
3.82,79.1555
3.84,79.12295
3.86,79.12599
3.88,79.17291
3.9,79.26753
3.92,79.40844
3.94,79.58994
3.96,79.80189
3.98,80.03083
4,80.26158
4.02,80.47655
4.04,80.66306
4.06,80.81498
4.08,80.92696
4.1,81.00249
4.12,81.04606
4.14,81.05007
4.16,81.01236
4.18,80.94272
4.2,80.85163
4.22,80.74891
4.24,80.65397
4.26,80.58679
4.28,80.55516
4.3,80.57714
4.32,80.65166
4.34,80.73403
4.36,80.79068
4.38,80.80264
4.4,80.75814
4.42,80.66246
4.44,80.51545
4.46,80.31442
4.48,80.0651
4.5,79.78938
4.52,79.51386
4.54,79.24245
4.56,78.97967
4.58,78.74166
4.6,78.53979
4.62,78.38024
4.64,78.26432
4.66,78.19032
4.68,78.15514
4.7,78.15292
4.72,78.1712
4.74,78.19746
4.76,78.22529
4.78,78.24899
4.8,78.26998
4.82,78.2941
4.84,78.31847
4.86,78.33949
4.88,78.35744
4.9,78.37753
4.92,78.40205
4.94,78.42149
4.96,78.42757
4.98,78.41501
5,78.39122
5.02,78.36372
5.04,78.34196
5.06,78.28913
5.08,78.20788
5.1,78.10239
5.12,77.97819
5.14,77.84681
5.16,77.72627
5.18,77.62821
5.2,77.57811
