T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.00171,0.00102,-0.00041,0.00111,0.00022,1e-05,0.00033,-0.0058,-0.00036,0.00148,-5e-05,-0.0001,-0.00016,0.00084,0.00479,0.00047,0.00101,3e-05,-8e-05,0.00012,-0.0054,-0.00315,0.00016,-0.00175,0.00022,-0.0001,-5e-05,-0.00527,0.00228,-0.00014,-0.00169,0.00026,0.00011,5e-05
0.02,-0.0017,0.00104,-0.00046,0.00111,0.00025,2e-05,0.00034,-0.0058,-0.00036,0.00149,-5e-05,-0.0001,-0.00016,0.00085,0.00474,0.00046,0.00101,3e-05,-8e-05,0.00012,-0.00537,-0.00314,0.00016,-0.00175,0.00022,-0.0001,-5e-05,-0.00524,0.00229,-0.00014,-0.00169,0.00026,0.00011,5e-05
0.04,-0.00171,0.00107,-0.00051,0.00111,0.00027,2e-05,0.00035,-0.0058,-0.00036,0.00149,-5e-05,-0.0001,-0.00016,0.00086,0.00468,0.00046,0.00102,3e-05,-8e-05,0.00013,-0.00533,-0.00314,0.00016,-0.00174,0.00022,-0.0001,-5e-05,-0.00521,0.0023,-0.00015,-0.00169,0.00026,0.00011,5e-05
0.06,-0.00173,0.00112,-0.00055,0.00112,0.00029,2e-05,0.00036,-0.00578,-0.00036,0.00149,-5e-05,-0.0001,-0.00016,0.00087,0.00463,0.00046,0.00102,3e-05,-8e-05,0.00013,-0.00528,-0.00313,0.00016,-0.00174,0.00022,-0.0001,-5e-05,-0.00518,0.00231,-0.00015,-0.00169,0.00026,0.00011,5e-05
0.08,-0.00175,0.00119,-0.00058,0.00112,0.00031,2e-05,0.00037,-0.00576,-0.00036,0.00149,-5e-05,-0.0001,-0.00016,0.00088,0.00458,0.00045,0.00103,3e-05,-8e-05,0.00013,-0.00523,-0.00312,0.00016,-0.00173,0.00022,-0.0001,-5e-05,-0.00514,0.00232,-0.00015,-0.00169,0.00026,0.00011,5e-05
0.1,-0.00176,0.00129,-0.00058,0.00112,0.00033,3e-05,0.00038,-0.00572,-0.00036,0.00149,-5e-05,-0.0001,-0.00016,0.00089,0.00455,0.00045,0.00104,3e-05,-8e-05,0.00013,-0.00517,-0.00311,0.00016,-0.00173,0.00022,-0.0001,-5e-05,-0.0051,0.00233,-0.00016,-0.00169,0.00026,0.00011,5e-05
0.12,-0.00174,0.00141,-0.00053,0.00111,0.00032,3e-05,0.00039,-0.00569,-0.00035,0.00148,-5e-05,-0.0001,-0.00016,0.0009,0.00459,0.00046,0.00105,3e-05,-8e-05,0.00013,-0.00513,-0.00309,0.00016,-0.00172,0.00022,-0.0001,-5e-05,-0.00507,0.00235,-0.00016,-0.00169,0.00026,0.00011,5e-05
0.14,-0.00172,0.00155,-0.00046,0.00111,0.0003,2e-05,0.00039,-0.00566,-0.00035,0.00147,-5e-05,-0.0001,-0.00016,0.0009,0.00466,0.00046,0.00105,3e-05,-8e-05,0.00013,-0.00508,-0.00307,0.00017,-0.0017,0.00022,-0.0001,-5e-05,-0.00504,0.00237,-0.00016,-0.00169,0.00026,0.00011,5e-05
0.16,-0.0017,0.00171,-0.00036,0.0011,0.00029,2e-05,0.0004,-0.00561,-0.00034,0.00146,-5e-05,-9e-05,-0.00016,0.00091,0.00472,0.00047,0.00106,3e-05,-8e-05,0.00013,-0.00503,-0.00305,0.00017,-0.00169,0.00022,-0.0001,-5e-05,-0.00501,0.0024,-0.00017,-0.00168,0.00026,0.00011,5e-05
0.18,-0.00167,0.00188,-0.00026,0.0011,0.00027,2e-05,0.00041,-0.00555,-0.00034,0.00144,-5e-05,-9e-05,-0.00015,0.00091,0.00479,0.00048,0.00108,3e-05,-8e-05,0.00013,-0.00499,-0.00303,0.00017,-0.00168,0.00022,-0.0001,-5e-05,-0.00497,0.00242,-0.00017,-0.00168,0.00026,0.00011,5e-05
