T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.00176,-0.00083,0.0009,-0.02651,0.00249,0.00103,-0.00573,3.00407,0.32226,0.00273,-0.14067,0.01497,-0.00048,-0.01516,-0.19574,0.07928,-0.00948,0.00025,0.01037,-0.00293,-0.06808,-0.01853,0.00746,-0.00348,-0.0089,0.00298,0.00946,-0.0425,0.01515,-0.00349,0.00526,0.00026,0.00233,0.00791
0.02,0.00135,-0.00068,0.00117,-0.03012,0.00235,0.00103,-0.046,2.942,0.33745,0.00303,-0.09786,0.01157,0.00036,-0.00647,-0.21521,0.0742,-0.00849,0.00042,0.00863,-0.00355,-0.06945,-0.01737,0.00742,-0.003,-0.00856,0.00299,0.01122,-0.04837,0.01372,-0.00305,0.00552,0.00028,0.00233,0.00764
0.04,0.00098,-0.00043,0.00143,-0.03472,0.00216,0.001,-0.10567,2.77978,0.31768,0.00342,-0.04051,0.00701,0.0014,0.00553,-0.23997,0.0662,-0.00717,0.00067,0.00601,-0.00435,-0.06993,-0.01539,0.00715,-0.0023,-0.0079,0.00294,0.01331,-0.05554,0.01145,-0.00236,0.00573,0.00028,0.00228,0.00706
0.06,0.00065,-0.0001,0.0016,-0.04033,0.00192,0.00092,-0.1856,2.52171,0.24615,0.00391,0.02804,0.00173,0.00257,0.02047,-0.27066,0.05584,-0.00564,0.00105,0.00261,-0.00531,-0.06956,-0.01263,0.00663,-0.0014,-0.00692,0.00284,0.01558,-0.06395,0.00842,-0.00145,0.00587,0.00026,0.00217,0.00618
0.08,0.00041,0.00028,0.00156,-0.04678,0.00164,0.00082,-0.28553,2.17932,0.10315,0.00444,0.1019,-0.00356,0.00372,0.03745,-0.30722,0.044,-0.004,0.00154,-0.0014,-0.00639,-0.06829,-0.0092,0.00587,-0.00038,-0.00567,0.0027,0.01775,-0.0733,0.00481,-0.00035,0.00591,0.0002,0.002,0.00501
0.1,0.00017,0.00065,0.0012,-0.05396,0.00136,0.00071,-0.40044,1.76861,-0.13327,0.00515,0.17262,-0.00796,0.00466,0.05539,-0.34864,0.03193,-0.00257,0.00224,-0.00571,-0.00751,-0.06611,-0.00529,0.00484,0.00069,-0.0042,0.00253,0.01947,-0.08295,0.00091,0.00087,0.0058,7e-05,0.00178,0.00361
0.12,-0.00011,0.0009,0.00047,-0.06186,0.00111,0.00057,-0.52038,1.30788,-0.48578,0.00631,0.23053,-0.01046,0.0052,0.07348,-0.39355,0.02109,-0.00151,0.00328,-0.00995,-0.00859,-0.06297,-0.00113,0.00357,0.00172,-0.0026,0.00234,0.0204,-0.09206,-0.00295,0.00213,0.0055,-0.00015,0.00152,0.00204
0.14,-0.00038,0.00098,-0.00061,-0.07002,0.00085,0.00045,-0.64199,0.81036,-0.97561,0.00778,0.2658,-0.01046,0.00515,0.09024,-0.44114,0.01292,-0.00073,0.00454,-0.01381,-0.00955,-0.05891,0.00306,0.00209,0.00264,-0.00093,0.00215,0.02025,-0.09989,-0.0065,0.00335,0.00496,-0.00044,0.00121,0.00036
0.16,-0.00056,0.0009,-0.00187,-0.07805,0.00059,0.00035,-0.76649,0.27499,-1.61954,0.00931,0.26999,-0.00786,0.00436,0.10423,-0.49154,0.00863,-0.00031,0.0059,-0.01713,-0.01037,-0.05411,0.0071,0.00047,0.0034,0.00073,0.00197,0.01898,-0.10585,-0.00955,0.00445,0.00418,-0.00079,0.00086,-0.00137
0.18,-0.00065,0.00068,-0.00304,-0.08601,0.00032,0.00028,-0.89337,-0.3108,-2.43088,0.01086,0.23683,-0.00298,0.0028,0.11502,-0.54531,0.0093,-0.0003,0.00742,-0.01982,-0.01106,-0.04891,0.01079,-0.00119,0.004,0.00232,0.00181,0.01688,-0.1094,-0.01201,0.00536,0.00316,-0.00112,0.00046,-0.00307
